population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,known_count,variant,position,year,sex,count,unknown_excluded,per,unit,script
19828563.0,19.729115014537363,19.115666680100823,20.35723883806738,26.57164254189606,25.741129445233934,27.422810908979883,3911.0,con_rett,any,2022,TOTAL,3912,1,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
19960889.0,32.42841538771144,31.64318213939742,33.22820943559411,44.133787077414304,43.060070850198656,45.228139237502795,6471.0,con_rett,any,2023,TOTAL,6473,2,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
20086377.0,43.900400754202714,42.988838224382846,44.82642445946768,59.92783077768714,58.67715920111689,61.199073216064946,8811.0,con_rett,any,2024,TOTAL,8818,7,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9424139.0,2.0160992956491834,1.73960737393217,2.324048990184984,2.4531024521112528,2.1149792020008316,2.831540048959965,190.0,con_rett,principal,2019,HOMBRE,190,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9599101.0,1.2917876371964416,1.0744421223515368,1.540189170729562,1.6075205774646215,1.3360073565652946,1.9198307779902832,124.0,con_rett,principal,2020,HOMBRE,124,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9708512.0,1.5553361833409693,1.317155869622419,1.8241398188134332,1.8924651969148543,1.6001407214453442,2.225080730921097,151.0,con_rett,principal,2021,HOMBRE,151,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9782978.0,2.2999131757221574,2.009192333097499,2.620880288512667,2.8774385765470445,2.511214704239596,3.284106511994021,225.0,con_rett,principal,2022,HOMBRE,225,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9848466.0,2.640005052563516,2.3288304737925807,2.9811794333496477,3.3638837122188674,2.9655167948276366,3.802725227076514,260.0,con_rett,principal,2023,HOMBRE,260,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9910500.0,2.6537510720952526,2.3426892161798585,2.9946215077257388,3.363082255163196,2.9655772748099083,3.800920205843723,261.0,con_rett,principal,2024,HOMBRE,263,2,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9683077.0,0.5266920835184932,0.3921568509502792,0.6925028209173983,0.6954979635038848,0.5172870395468879,0.9169820125953327,51.0,con_rett,principal,2019,MUJER,51,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
