year,pie_harmonised,pie_tea_strict,pie_tea_asperger,pie_total_enrolment,special_schools_autism,sinaces_total_autistic_students,harmonised_share_of_pie_pct,source
2019,21012,11877.0,9135.0,385995.0,,,5.443593828935608,Apuntes60
2020,23590,13613.0,9977.0,343059.0,,,6.87636820488604,Apuntes60
2021,30882,18801.0,12081.0,396765.0,,,7.783448640883142,Apuntes60
2022,42940,28845.0,14095.0,438760.0,2074.0,45014.0,9.786671528854043,Apuntes60
2023,63642,47551.0,16091.0,473006.0,2298.0,65940.0,13.454797613560928,Apuntes60
2024,86475,,,,2505.0,88980.0,,SINACES
2025,106786,,,,2626.0,109412.0,,SINACES
