year,series,module,code,variant,identical_across_variants,indicator,era,era_start,era_end,domain,setting,unit,measure,month,aggregation_rule,total,total_dedup,n_reporting_establishments,n_establishments_value_gt0,n_rows,n_rows_value,n_rows_zero,n_rows_empty,n_rows_exact_duplicate,months_covered,n_stable_panel_establishments,stable_panel_total,comparability_warning,note,source_file,script
2023,A,A03,03500405,single_code,True,Alteración de lenguaje y/o área social en control de 18 meses,2019–2024,2019,2024,screening,APS,children reported,annual_sum,01-12,sum of months; COL01+COL02 (cells present),10333.0,10333.0,831,831,4098,4097,1,0,0,12,246,5242.0,Selection criterion; not an autism-positive screen,,REM/SerieA/SerieA_2023.csv,study/pipeline/02_rem_pathway.py
2024,A,A03,03500405,single_code,True,Alteración de lenguaje y/o área social en control de 18 meses,2019–2024,2019,2024,screening,APS,children reported,annual_sum,01-12,sum of months; COL01+COL02 (cells present),14774.0,14774.0,955,955,4871,4871,0,0,0,12,246,6910.0,Selection criterion; not an autism-positive screen,,REM/SerieA/SerieA_2024.csv,study/pipeline/02_rem_pathway.py
2019,A,A03,03500406,single_code,True,M-CHAT performed among children with language/social alteration,2019–2022,2019,2022,screening,APS,screening records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),2613.0,2613.0,263,263,806,806,0,0,0,12,108,1316.0,Selected subgroup only; not population screening coverage,,REM/SerieA/SerieA_2019.csv,study/pipeline/02_rem_pathway.py
2020,A,A03,03500406,single_code,True,M-CHAT performed among children with language/social alteration,2019–2022,2019,2022,screening,APS,screening records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),816.0,816.0,198,198,427,427,0,0,0,12,108,613.0,Selected subgroup only; not population screening coverage,,REM/SerieA/SerieA_2020.csv,study/pipeline/02_rem_pathway.py
2021,A,A03,03500406,single_code,True,M-CHAT performed among children with language/social alteration,2019–2022,2019,2022,screening,APS,screening records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),1833.0,1833.0,273,273,893,893,0,0,0,12,108,1218.0,Selected subgroup only; not population screening coverage,,REM/SerieA/SerieA_2021.csv,study/pipeline/02_rem_pathway.py
2022,A,A03,03500406,single_code,True,M-CHAT performed among children with language/social alteration,2019–2022,2019,2022,screening,APS,screening records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),3455.0,3455.0,399,399,1490,1490,0,0,0,12,108,1783.0,Selected subgroup only; not population screening coverage,,REM/SerieA/SerieA_2022.csv,study/pipeline/02_rem_pathway.py
2019,A,A03,03500407,single_code,True,Altered M-CHAT among children with language/social alteration,2019–2022,2019,2022,screening,APS,screening records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),1640.0,1640.0,188,188,432,432,0,0,0,12,61,525.0,Selected subgroup positivity; do not call population positivity,,REM/SerieA/SerieA_2019.csv,study/pipeline/02_rem_pathway.py
2020,A,A03,03500407,single_code,True,Altered M-CHAT among children with language/social alteration,2019–2022,2019,2022,screening,APS,screening records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),288.0,288.0,134,134,223,223,0,0,0,12,61,174.0,Selected subgroup positivity; do not call population positivity,,REM/SerieA/SerieA_2020.csv,study/pipeline/02_rem_pathway.py
2021,A,A03,03500407,single_code,True,Altered M-CHAT among children with language/social alteration,2019–2022,2019,2022,screening,APS,screening records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),879.0,879.0,230,230,571,571,0,0,0,12,61,368.0,Selected subgroup positivity; do not call population positivity,,REM/SerieA/SerieA_2021.csv,study/pipeline/02_rem_pathway.py
2022,A,A03,03500407,single_code,True,Altered M-CHAT among children with language/social alteration,2019–2022,2019,2022,screening,APS,screening records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),1535.0,1535.0,315,315,970,970,0,0,0,12,61,494.0,Selected subgroup positivity; do not call population positivity,,REM/SerieA/SerieA_2022.csv,study/pipeline/02_rem_pathway.py
2024,A,A03,03700104,single_code,True,Children aged 31–59 months evaluated at integral health control,2024–2024,2024,2024,screening,APS,children reported,annual_sum,01-12,sum of months; COL01+COL02 (cells present),39466.0,39462.0,694,694,3026,3026,0,0,1,12,694,39466.0,Introduced in 2024; 2025 age range and codes redesigned,,REM/SerieA/SerieA_2024.csv,study/pipeline/02_rem_pathway.py
2024,A,A03,03700105,single_code,True,Children aged 31–59 months suspected elsewhere,2024–2024,2024,2024,screening,APS,children reported,annual_sum,01-12,sum of months; COL01+COL02 (cells present),4576.0,4576.0,564,564,1780,1780,0,0,0,12,564,4576.0,Introduced in 2024; 2025 recoded,,REM/SerieA/SerieA_2024.csv,study/pipeline/02_rem_pathway.py
2024,A,A03,03700106,single_code,True,Autism suspicion by alert-sign guide: yes,2024–2024,2024,2024,screening,APS,screening results,annual_sum,01-12,sum of months; COL01+COL02 (cells present),5860.0,5860.0,674,674,2583,2583,0,0,0,12,674,5860.0,One-year code; 2025 recoded,,REM/SerieA/SerieA_2024.csv,study/pipeline/02_rem_pathway.py
2024,A,A03,03700107,single_code,True,Autism suspicion by alert-sign guide: no,2024–2024,2024,2024,screening,APS,screening results,annual_sum,01-12,sum of months; COL01+COL02 (cells present),6327.0,6323.0,495,495,1500,1500,0,0,1,12,495,6327.0,One-year code; 2025 recoded,,REM/SerieA/SerieA_2024.csv,study/pipeline/02_rem_pathway.py
2024,A,A03,03700108,single_code,True,Referral after alert-sign evaluation: yes,2024–2024,2024,2024,referral,APS,referral records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),4866.0,4866.0,629,629,2303,2303,0,0,0,12,629,4866.0,One-year code; 2025 recoded,,REM/SerieA/SerieA_2024.csv,study/pipeline/02_rem_pathway.py
2024,A,A03,03700109,single_code,True,Referral after alert-sign evaluation: no,2024–2024,2024,2024,referral,APS,referral records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),4935.0,4931.0,464,464,1230,1230,0,0,1,12,464,4935.0,One-year code; 2025 recoded,,REM/SerieA/SerieA_2024.csv,study/pipeline/02_rem_pathway.py
2025,A,A03,03710013,single_code,True,M-CHAT motive: altered EEDP language/social area in ages 16–30 months,2025–2025,2025,2025,screening,APS,screening records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),14671.0,14671.0,869,862,4617,4479,52,86,0,12,869,14671.0,New 2025 design; motive rather than result,,REM/SerieA/SerieA_2025.csv,study/pipeline/02_rem_pathway.py
2025,A,A03,03710014,single_code,True,M-CHAT motive: autism risk factor or alert sign in ages 16–30 months,2025–2025,2025,2025,screening,APS,screening records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),5921.0,5921.0,665,657,2480,2415,21,44,0,12,665,5921.0,New 2025 design; motive rather than result,,REM/SerieA/SerieA_2025.csv,study/pipeline/02_rem_pathway.py
2025,A,A03,03710015,single_code,True,M-CHAT motive: both altered EEDP and autism risk/alert in ages 16–30 months,2025–2025,2025,2025,screening,APS,screening records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),2656.0,2656.0,503,491,1246,1196,25,25,0,12,503,2656.0,New 2025 design; motive rather than result,,REM/SerieA/SerieA_2025.csv,study/pipeline/02_rem_pathway.py
2025,A,A03,03710016,single_code,True,M-CHAT-R/F result: low risk,2025–2025,2025,2025,screening,APS,screening results,annual_sum,01-12,sum of months; COL01+COL02 (cells present),12971.0,12971.0,818,818,3984,3984,0,0,0,12,818,12971.0,Not directly continuous with 2023–2024 codes,,REM/SerieA/SerieA_2025.csv,study/pipeline/02_rem_pathway.py
2025,A,A03,03710017,single_code,True,M-CHAT-R/F medium risk: no diagnostic referral required,2025–2025,2025,2025,screening,APS,screening results,annual_sum,01-12,sum of months; COL01+COL02 (cells present),1637.0,1637.0,395,395,964,964,0,0,0,12,395,1637.0,Medium risk is split by referral in 2025,,REM/SerieA/SerieA_2025.csv,study/pipeline/02_rem_pathway.py
2025,A,A03,03710018,single_code,True,M-CHAT-R/F medium risk: diagnostic referral required,2025–2025,2025,2025,referral,APS,referral records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),2500.0,2500.0,534,534,1637,1637,0,0,0,12,534,2500.0,Medium risk is split by referral in 2025,,REM/SerieA/SerieA_2025.csv,study/pipeline/02_rem_pathway.py
2025,A,A03,03710019,single_code,True,M-CHAT-R/F high risk: diagnostic referral required,2025–2025,2025,2025,referral,APS,referral records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),2181.0,2181.0,505,505,1490,1490,0,0,0,12,505,2181.0,New 2025 design,,REM/SerieA/SerieA_2025.csv,study/pipeline/02_rem_pathway.py
2025,A,A03,03710020,single_code,True,Suspected autism ages 30–59 months: no diagnostic referral required,2025–2025,2025,2025,screening,APS,screening results,annual_sum,01-12,sum of months; COL01+COL02 (cells present),5140.0,5140.0,501,501,1788,1788,0,0,0,12,501,5140.0,New 2025 design,,REM/SerieA/SerieA_2025.csv,study/pipeline/02_rem_pathway.py
2025,A,A03,03710021,single_code,True,Suspected autism ages 30–59 months: diagnostic referral required,2025–2025,2025,2025,referral,APS,referral records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),5883.0,5883.0,642,642,2747,2747,0,0,0,12,642,5883.0,New 2025 design,,REM/SerieA/SerieA_2025.csv,study/pipeline/02_rem_pathway.py
2023,A,A03,09600212,single_code,True,Suspected autism in other controls or consultations,2023–2024,2023,2024,screening,APS,children reported,annual_sum,01-12,sum of months; COL01+COL02 (cells present),8221.0,8221.0,731,731,2668,2663,3,2,0,12,602,7820.0,New construct from 2023,,REM/SerieA/SerieA_2023.csv,study/pipeline/02_rem_pathway.py
2024,A,A03,09600212,single_code,True,Suspected autism in other controls or consultations,2023–2024,2023,2024,screening,APS,children reported,annual_sum,01-12,sum of months; COL01+COL02 (cells present),12281.0,12281.0,861,861,3805,3805,0,0,0,12,602,11169.0,New construct from 2023,,REM/SerieA/SerieA_2024.csv,study/pipeline/02_rem_pathway.py
2023,A,A03,09600213,single_code,True,M-CHAT-R/F first part: low risk,2023–2024,2023,2024,screening,APS,screening results,annual_sum,01-12,sum of months; COL01+COL02 (cells present),14083.0,14083.0,880,880,3831,3830,1,0,0,12,752,13708.0,Definition break from legacy A03; 2025 recoded,,REM/SerieA/SerieA_2023.csv,study/pipeline/02_rem_pathway.py
2024,A,A03,09600213,single_code,True,M-CHAT-R/F first part: low risk,2023–2024,2023,2024,screening,APS,screening results,annual_sum,01-12,sum of months; COL01+COL02 (cells present),18142.0,18141.0,1082,1082,5351,5351,0,0,1,12,752,16161.0,Definition break from legacy A03; 2025 recoded,,REM/SerieA/SerieA_2024.csv,study/pipeline/02_rem_pathway.py
2023,A,A03,09600214,single_code,True,M-CHAT-R/F first part: medium risk,2023–2024,2023,2024,screening,APS,screening results,annual_sum,01-12,sum of months; COL01+COL02 (cells present),3642.0,3642.0,627,627,2117,2117,0,0,0,12,497,3358.0,Definition break from legacy A03; 2025 medium risk split by referral,,REM/SerieA/SerieA_2023.csv,study/pipeline/02_rem_pathway.py
2024,A,A03,09600214,single_code,True,M-CHAT-R/F first part: medium risk,2023–2024,2023,2024,screening,APS,screening results,annual_sum,01-12,sum of months; COL01+COL02 (cells present),4698.0,4698.0,734,734,2739,2739,0,0,0,12,497,4085.0,Definition break from legacy A03; 2025 medium risk split by referral,,REM/SerieA/SerieA_2024.csv,study/pipeline/02_rem_pathway.py
2023,A,A03,09600215,single_code,True,M-CHAT-R/F first part: high risk,2023–2024,2023,2024,screening,APS,screening results,annual_sum,01-12,sum of months; COL01+COL02 (cells present),1907.0,1907.0,478,478,1242,1242,0,0,0,12,346,1635.0,Definition break from legacy A03; overlaps referral-specific reporting,,REM/SerieA/SerieA_2023.csv,study/pipeline/02_rem_pathway.py
2024,A,A03,09600215,single_code,True,M-CHAT-R/F first part: high risk,2023–2024,2023,2024,screening,APS,screening results,annual_sum,01-12,sum of months; COL01+COL02 (cells present),2234.0,2234.0,552,552,1546,1546,0,0,0,12,346,1765.0,Definition break from legacy A03; overlaps referral-specific reporting,,REM/SerieA/SerieA_2024.csv,study/pipeline/02_rem_pathway.py
2023,A,A03,09600216,single_code,True,M-CHAT-R/F high risk with specialist referral,2023–2024,2023,2024,referral,APS,referral records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),1152.0,1152.0,373,373,835,835,0,0,0,12,253,951.0,Not linkable to A27 or A05 persons,,REM/SerieA/SerieA_2023.csv,study/pipeline/02_rem_pathway.py
2024,A,A03,09600216,single_code,True,M-CHAT-R/F high risk with specialist referral,2023–2024,2023,2024,referral,APS,referral records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),1741.0,1741.0,454,454,1164,1164,0,0,0,12,253,1275.0,Not linkable to A27 or A05 persons,,REM/SerieA/SerieA_2024.csv,study/pipeline/02_rem_pathway.py
2023,A,A03,09600217,single_code,True,M-CHAT-R/F second part: medium risk in first part,2023–2023,2023,2023,screening,APS,screening records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),920.0,920.0,247,247,549,549,0,0,0,12,247,920.0,Header/denominator row present only in 2023 definition,,REM/SerieA/SerieA_2023.csv,study/pipeline/02_rem_pathway.py
2023,A,A03,09600218,single_code,True,M-CHAT-R/F second part: no referral required,2023–2024,2023,2024,screening,APS,screening results,annual_sum,01-12,sum of months; COL01+COL02 (cells present),817.0,817.0,267,267,488,488,0,0,0,12,168,614.0,2025 replaced by a new code family,,REM/SerieA/SerieA_2023.csv,study/pipeline/02_rem_pathway.py
2024,A,A03,09600218,single_code,True,M-CHAT-R/F second part: no referral required,2023–2024,2023,2024,screening,APS,screening results,annual_sum,01-12,sum of months; COL01+COL02 (cells present),2341.0,2340.0,528,528,1164,1164,0,0,1,12,168,1037.0,2025 replaced by a new code family,,REM/SerieA/SerieA_2024.csv,study/pipeline/02_rem_pathway.py
2023,A,A03,09600219,single_code,True,M-CHAT-R/F second part: referral required,2023–2024,2023,2024,referral,APS,referral records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),1136.0,1136.0,346,346,801,801,0,0,0,12,237,963.0,2025 replaced by a new code family,,REM/SerieA/SerieA_2023.csv,study/pipeline/02_rem_pathway.py
2024,A,A03,09600219,single_code,True,M-CHAT-R/F second part: referral required,2023–2024,2023,2024,referral,APS,referral records,annual_sum,01-12,sum of months; COL01+COL02 (cells present),2283.0,2283.0,516,516,1455,1455,0,0,0,12,237,1499.0,2025 replaced by a new code family,,REM/SerieA/SerieA_2024.csv,study/pipeline/02_rem_pathway.py
2023,A,A27,29101566,single_code,True,Counselling in screening context: number of M-CHAT-R/F,2023–2025,2023,2025,screening_support,APS,interventions,annual_sum,01-12,sum of months; COL01,2380.0,2380.0,150,150,641,641,0,0,0,12,87,1498.0,Counts interventions not unique children,,REM/SerieA/SerieA_2023.csv,study/pipeline/02_rem_pathway.py
2024,A,A27,29101566,single_code,True,Counselling in screening context: number of M-CHAT-R/F,2023–2025,2023,2025,screening_support,APS,interventions,annual_sum,01-12,sum of months; COL01,3874.0,3874.0,180,180,883,883,0,0,0,12,87,2317.0,Counts interventions not unique children,,REM/SerieA/SerieA_2024.csv,study/pipeline/02_rem_pathway.py
2025,A,A27,29101566,single_code,True,Counselling in screening context: number of M-CHAT-R/F,2023–2025,2023,2025,screening_support,APS,interventions,annual_sum,01-12,sum of months; COL01,3026.0,3026.0,169,169,859,859,0,0,0,12,87,1815.0,Counts interventions not unique children,,REM/SerieA/SerieA_2025.csv,study/pipeline/02_rem_pathway.py
2023,A,A27,29101574,single_code,True,Assisted referral in screening context: number of M-CHAT-R/F,2023–2025,2023,2025,assisted_referral,APS,interventions,annual_sum,01-12,sum of months; COL01,672.0,672.0,98,98,366,366,0,0,0,12,57,451.0,Counts interventions not unique children; earlier assisted-referral codes concern alcohol/drugs,,REM/SerieA/SerieA_2023.csv,study/pipeline/02_rem_pathway.py
2024,A,A27,29101574,single_code,True,Assisted referral in screening context: number of M-CHAT-R/F,2023–2025,2023,2025,assisted_referral,APS,interventions,annual_sum,01-12,sum of months; COL01,1068.0,1068.0,118,118,481,481,0,0,0,12,57,642.0,Counts interventions not unique children; earlier assisted-referral codes concern alcohol/drugs,,REM/SerieA/SerieA_2024.csv,study/pipeline/02_rem_pathway.py
2025,A,A27,29101574,single_code,True,Assisted referral in screening context: number of M-CHAT-R/F,2023–2025,2023,2025,assisted_referral,APS,interventions,annual_sum,01-12,sum of months; COL01,878.0,878.0,114,114,453,453,0,0,0,12,57,514.0,Counts interventions not unique children; earlier assisted-referral codes concern alcohol/drugs,,REM/SerieA/SerieA_2025.csv,study/pipeline/02_rem_pathway.py
