year,gini,n_positive,episodes
2019,0.37264773506858395,242,2332.0
2020,0.38607079865429383,213,1609.0
2021,0.38457615845120285,230,2367.0
2022,0.3450228637892606,270,3859.0
2023,0.3154828383442919,297,6371.0
2024,0.29305403612325887,302,8480.0
