year,series,sheet,code,in_era,era,indicator,found_in_dictionary,label,section,col01_meaning,col02_meaning,col03_meaning,col04_meaning,col37_meaning,n_col_tokens,age_columns,layout_check,dictionary_file,excel_row
2019,A,A03,09600212,False,2023–2024,Suspected autism in other controls or consultations,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,09600212,False,2023–2024,Suspected autism in other controls or consultations,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,09600212,False,2023–2024,Suspected autism in other controls or consultations,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,09600212,False,2023–2024,Suspected autism in other controls or consultations,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,09600212,True,2023–2024,Suspected autism in other controls or consultations,True,Niños/as con sospecha del Espectro Autista en otros controles o consultas.,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,217.0
2024,A,A03,09600212,True,2023–2024,Suspected autism in other controls or consultations,True,Niños/as con sospecha del Espectro Autista en otros controles o consultas.,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,219.0
2025,A,A03,09600212,False,2023–2024,Suspected autism in other controls or consultations,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,
2019,A,A03,09600213,False,2023–2024,M-CHAT-R/F first part: low risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,09600213,False,2023–2024,M-CHAT-R/F first part: low risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,09600213,False,2023–2024,M-CHAT-R/F first part: low risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,09600213,False,2023–2024,M-CHAT-R/F first part: low risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,09600213,True,2023–2024,M-CHAT-R/F first part: low risk,True,Resultado M-CHAT R/F 1° parte | Riego Bajo,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,218.0
2024,A,A03,09600213,True,2023–2024,M-CHAT-R/F first part: low risk,True,Resultado M-CHAT R/F 1° parte | Riego Bajo,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,220.0
2025,A,A03,09600213,False,2023–2024,M-CHAT-R/F first part: low risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,
2019,A,A03,09600214,False,2023–2024,M-CHAT-R/F first part: medium risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,09600214,False,2023–2024,M-CHAT-R/F first part: medium risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,09600214,False,2023–2024,M-CHAT-R/F first part: medium risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,09600214,False,2023–2024,M-CHAT-R/F first part: medium risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,09600214,True,2023–2024,M-CHAT-R/F first part: medium risk,True,[Resultado M-CHAT R/F 1° parte] Riesgo medio,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,219.0
2024,A,A03,09600214,True,2023–2024,M-CHAT-R/F first part: medium risk,True,[Resultado M-CHAT R/F 1° parte] Riesgo medio,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,221.0
2025,A,A03,09600214,False,2023–2024,M-CHAT-R/F first part: medium risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,
2019,A,A03,09600215,False,2023–2024,M-CHAT-R/F first part: high risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,09600215,False,2023–2024,M-CHAT-R/F first part: high risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,09600215,False,2023–2024,M-CHAT-R/F first part: high risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,09600215,False,2023–2024,M-CHAT-R/F first part: high risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,09600215,True,2023–2024,M-CHAT-R/F first part: high risk,True,[Resultado M-CHAT R/F 1° parte] Riego Alto,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,220.0
2024,A,A03,09600215,True,2023–2024,M-CHAT-R/F first part: high risk,True,[Resultado M-CHAT R/F 1° parte] Riego Alto,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,222.0
2025,A,A03,09600215,False,2023–2024,M-CHAT-R/F first part: high risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,
2019,A,A03,09600216,False,2023–2024,M-CHAT-R/F high risk with specialist referral,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,09600216,False,2023–2024,M-CHAT-R/F high risk with specialist referral,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,09600216,False,2023–2024,M-CHAT-R/F high risk with specialist referral,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,09600216,False,2023–2024,M-CHAT-R/F high risk with specialist referral,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,09600216,True,2023–2024,M-CHAT-R/F high risk with specialist referral,True,[Resultado M-CHAT R/F 1° parte] Riesgo Alto con derivación a especialista,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,221.0
2024,A,A03,09600216,True,2023–2024,M-CHAT-R/F high risk with specialist referral,True,[Resultado M-CHAT R/F 1° parte] Riesgo Alto con derivación a especialista,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,223.0
2025,A,A03,09600216,False,2023–2024,M-CHAT-R/F high risk with specialist referral,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,
2019,A,A03,09600217,False,2023–2023,M-CHAT-R/F second part: medium risk in first part,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,09600217,False,2023–2023,M-CHAT-R/F second part: medium risk in first part,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,09600217,False,2023–2023,M-CHAT-R/F second part: medium risk in first part,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
