year,series,sheet,code,in_era,era,indicator,found_in_dictionary,label,section,col01_meaning,col02_meaning,col03_meaning,col04_meaning,col37_meaning,n_col_tokens,age_columns,layout_check,dictionary_file,excel_row
2021,A,A03,03700105,False,2024–2024,Children aged 31–59 months suspected elsewhere,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,03700105,False,2024–2024,Children aged 31–59 months suspected elsewhere,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,03700105,False,2024–2024,Children aged 31–59 months suspected elsewhere,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,
2024,A,A03,03700105,True,2024–2024,Children aged 31–59 months suspected elsewhere,True,Niños/as con sospecha del Espectro Autista en otros controles o consultas,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (31 A 59 MESES),31-59 meses | Hombres,31-59 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,231.0
2025,A,A03,03700105,False,2024–2024,Children aged 31–59 months suspected elsewhere,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,
2019,A,A03,03700106,False,2024–2024,Autism suspicion by alert-sign guide: yes,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,03700106,False,2024–2024,Autism suspicion by alert-sign guide: yes,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,03700106,False,2024–2024,Autism suspicion by alert-sign guide: yes,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,03700106,False,2024–2024,Autism suspicion by alert-sign guide: yes,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,03700106,False,2024–2024,Autism suspicion by alert-sign guide: yes,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,
2024,A,A03,03700106,True,2024–2024,Autism suspicion by alert-sign guide: yes,True,Sospecha de TEA según pauta de señales de alerta | Sí,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (31 A 59 MESES),31-59 meses | Hombres,31-59 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,232.0
2025,A,A03,03700106,False,2024–2024,Autism suspicion by alert-sign guide: yes,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,
2019,A,A03,03700107,False,2024–2024,Autism suspicion by alert-sign guide: no,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,03700107,False,2024–2024,Autism suspicion by alert-sign guide: no,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,03700107,False,2024–2024,Autism suspicion by alert-sign guide: no,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,03700107,False,2024–2024,Autism suspicion by alert-sign guide: no,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,03700107,False,2024–2024,Autism suspicion by alert-sign guide: no,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,
2024,A,A03,03700107,True,2024–2024,Autism suspicion by alert-sign guide: no,True,[Sospecha de TEA según pauta de señales de alerta] No,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (31 A 59 MESES),31-59 meses | Hombres,31-59 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,233.0
2025,A,A03,03700107,False,2024–2024,Autism suspicion by alert-sign guide: no,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,
2019,A,A03,03700108,False,2024–2024,Referral after alert-sign evaluation: yes,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,03700108,False,2024–2024,Referral after alert-sign evaluation: yes,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,03700108,False,2024–2024,Referral after alert-sign evaluation: yes,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,03700108,False,2024–2024,Referral after alert-sign evaluation: yes,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,03700108,False,2024–2024,Referral after alert-sign evaluation: yes,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,
2024,A,A03,03700108,True,2024–2024,Referral after alert-sign evaluation: yes,True,Derivación | Si,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (31 A 59 MESES),31-59 meses | Hombres,31-59 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,234.0
2025,A,A03,03700108,False,2024–2024,Referral after alert-sign evaluation: yes,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,
2019,A,A03,03700109,False,2024–2024,Referral after alert-sign evaluation: no,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,03700109,False,2024–2024,Referral after alert-sign evaluation: no,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,03700109,False,2024–2024,Referral after alert-sign evaluation: no,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,03700109,False,2024–2024,Referral after alert-sign evaluation: no,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,03700109,False,2024–2024,Referral after alert-sign evaluation: no,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,
2024,A,A03,03700109,True,2024–2024,Referral after alert-sign evaluation: no,True,[Derivación] No,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (31 A 59 MESES),31-59 meses | Hombres,31-59 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,235.0
2025,A,A03,03700109,False,2024–2024,Referral after alert-sign evaluation: no,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,
2019,A,A03,03710013,False,2025–2025,M-CHAT motive: altered EEDP language/social area in ages 16–30 months,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,03710013,False,2025–2025,M-CHAT motive: altered EEDP language/social area in ages 16–30 months,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,03710013,False,2025–2025,M-CHAT motive: altered EEDP language/social area in ages 16–30 months,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,03710013,False,2025–2025,M-CHAT motive: altered EEDP language/social area in ages 16–30 months,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,03710013,False,2025–2025,M-CHAT motive: altered EEDP language/social area in ages 16–30 months,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,
2024,A,A03,03710013,False,2025–2025,M-CHAT motive: altered EEDP language/social area in ages 16–30 months,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,
2025,A,A03,03710013,True,2025–2025,M-CHAT motive: altered EEDP language/social area in ages 16–30 months,True,Niños y niñas con EEDP alterado en área Lenguaje y/o Social,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (M-CHAT R/F) 16 A 30 MESES,Hombres,Mujeres,ATENCIÓN EN QUE SE APLICA M-CHAT-R/F | Control de Salud de los 18 meses,ATENCIÓN EN QUE SE APLICA M-CHAT-R/F | Otros controles o consultas de salud,absent,6.0,,ok,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,219.0
2019,A,A03,03710014,False,2025–2025,M-CHAT motive: autism risk factor or alert sign in ages 16–30 months,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,03710014,False,2025–2025,M-CHAT motive: autism risk factor or alert sign in ages 16–30 months,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,03710014,False,2025–2025,M-CHAT motive: autism risk factor or alert sign in ages 16–30 months,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,03710014,False,2025–2025,M-CHAT motive: autism risk factor or alert sign in ages 16–30 months,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,03710014,False,2025–2025,M-CHAT motive: autism risk factor or alert sign in ages 16–30 months,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,
2024,A,A03,03710014,False,2025–2025,M-CHAT motive: autism risk factor or alert sign in ages 16–30 months,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,
2025,A,A03,03710014,True,2025–2025,M-CHAT motive: autism risk factor or alert sign in ages 16–30 months,True,Niños y niñas con factor de riesgo y/o señales de alerta para TEA detectados en la Supervisión de salud,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (M-CHAT R/F) 16 A 30 MESES,Hombres,Mujeres,ATENCIÓN EN QUE SE APLICA M-CHAT-R/F | Control de Salud de los 18 meses,ATENCIÓN EN QUE SE APLICA M-CHAT-R/F | Otros controles o consultas de salud,absent,6.0,,ok,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,220.0
2019,A,A03,03710015,False,2025–2025,M-CHAT motive: both altered EEDP and autism risk/alert in ages 16–30 months,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,03710015,False,2025–2025,M-CHAT motive: both altered EEDP and autism risk/alert in ages 16–30 months,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,03710015,False,2025–2025,M-CHAT motive: both altered EEDP and autism risk/alert in ages 16–30 months,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,03710015,False,2025–2025,M-CHAT motive: both altered EEDP and autism risk/alert in ages 16–30 months,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,03710015,False,2025–2025,M-CHAT motive: both altered EEDP and autism risk/alert in ages 16–30 months,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,
2024,A,A03,03710015,False,2025–2025,M-CHAT motive: both altered EEDP and autism risk/alert in ages 16–30 months,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,
2025,A,A03,03710015,True,2025–2025,M-CHAT motive: both altered EEDP and autism risk/alert in ages 16–30 months,True,Niños y niñas con EEDP alterado en área Lenguaje y/o Social y con factor de riesgo y/o señales de alerta para TEA detectados en la Supervisión de salud,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (M-CHAT R/F) 16 A 30 MESES,Hombres,Mujeres,ATENCIÓN EN QUE SE APLICA M-CHAT-R/F | Control de Salud de los 18 meses,ATENCIÓN EN QUE SE APLICA M-CHAT-R/F | Otros controles o consultas de salud,absent,6.0,,ok,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,221.0
2019,A,A03,03710016,False,2025–2025,M-CHAT-R/F result: low risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,03710016,False,2025–2025,M-CHAT-R/F result: low risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,03710016,False,2025–2025,M-CHAT-R/F result: low risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,03710016,False,2025–2025,M-CHAT-R/F result: low risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,03710016,False,2025–2025,M-CHAT-R/F result: low risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,
2024,A,A03,03710016,False,2025–2025,M-CHAT-R/F result: low risk,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,
2025,A,A03,03710016,True,2025–2025,M-CHAT-R/F result: low risk,True,Resultado aplicación M-CHAT R/F | Riego Bajo,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (M-CHAT R/F) 16 A 30 MESES,Hombres,Mujeres,ATENCIÓN EN QUE SE APLICA M-CHAT-R/F | Control de Salud de los 18 meses,ATENCIÓN EN QUE SE APLICA M-CHAT-R/F | Otros controles o consultas de salud,absent,6.0,,ok,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,223.0
2019,A,A03,03710017,False,2025–2025,M-CHAT-R/F medium risk: no diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,03710017,False,2025–2025,M-CHAT-R/F medium risk: no diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,03710017,False,2025–2025,M-CHAT-R/F medium risk: no diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,03710017,False,2025–2025,M-CHAT-R/F medium risk: no diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,03710017,False,2025–2025,M-CHAT-R/F medium risk: no diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,
2024,A,A03,03710017,False,2025–2025,M-CHAT-R/F medium risk: no diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,
2025,A,A03,03710017,True,2025–2025,M-CHAT-R/F medium risk: no diagnostic referral required,True,[Resultado aplicación M-CHAT R/F] Riesgo medio | No requiere derivación a evaluación diagnóstica,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (M-CHAT R/F) 16 A 30 MESES,Hombres,Mujeres,ATENCIÓN EN QUE SE APLICA M-CHAT-R/F | Control de Salud de los 18 meses,ATENCIÓN EN QUE SE APLICA M-CHAT-R/F | Otros controles o consultas de salud,absent,6.0,,ok,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,224.0
2019,A,A03,03710018,False,2025–2025,M-CHAT-R/F medium risk: diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,03710018,False,2025–2025,M-CHAT-R/F medium risk: diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,03710018,False,2025–2025,M-CHAT-R/F medium risk: diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,03710018,False,2025–2025,M-CHAT-R/F medium risk: diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,03710018,False,2025–2025,M-CHAT-R/F medium risk: diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,
2024,A,A03,03710018,False,2025–2025,M-CHAT-R/F medium risk: diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,
2025,A,A03,03710018,True,2025–2025,M-CHAT-R/F medium risk: diagnostic referral required,True,[Resultado aplicación M-CHAT R/F] Requiere derivación a evaluación diagnóstica,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (M-CHAT R/F) 16 A 30 MESES,Hombres,Mujeres,ATENCIÓN EN QUE SE APLICA M-CHAT-R/F | Control de Salud de los 18 meses,ATENCIÓN EN QUE SE APLICA M-CHAT-R/F | Otros controles o consultas de salud,absent,6.0,,ok,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,225.0
2019,A,A03,03710019,False,2025–2025,M-CHAT-R/F high risk: diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,03710019,False,2025–2025,M-CHAT-R/F high risk: diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,03710019,False,2025–2025,M-CHAT-R/F high risk: diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,03710019,False,2025–2025,M-CHAT-R/F high risk: diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,03710019,False,2025–2025,M-CHAT-R/F high risk: diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,
2024,A,A03,03710019,False,2025–2025,M-CHAT-R/F high risk: diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,
2025,A,A03,03710019,True,2025–2025,M-CHAT-R/F high risk: diagnostic referral required,True,[Resultado aplicación M-CHAT R/F] Riesgo Alto | Requiere derivación a evaluación diagnóstica,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (M-CHAT R/F) 16 A 30 MESES,Hombres,Mujeres,ATENCIÓN EN QUE SE APLICA M-CHAT-R/F | Control de Salud de los 18 meses,ATENCIÓN EN QUE SE APLICA M-CHAT-R/F | Otros controles o consultas de salud,absent,6.0,,ok,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,226.0
2019,A,A03,03710020,False,2025–2025,Suspected autism ages 30–59 months: no diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,03710020,False,2025–2025,Suspected autism ages 30–59 months: no diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,03710020,False,2025–2025,Suspected autism ages 30–59 months: no diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,03710020,False,2025–2025,Suspected autism ages 30–59 months: no diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,03710020,False,2025–2025,Suspected autism ages 30–59 months: no diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,
2024,A,A03,03710020,False,2025–2025,Suspected autism ages 30–59 months: no diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,
2025,A,A03,03710020,True,2025–2025,Suspected autism ages 30–59 months: no diagnostic referral required,True,Sospecha de TEA por señales de alerta y/o factores de riesgo | No requiere derivación a evaluación diagnóstica,SECCIÓN F.1: SOSPECHA DE TRASTORNO ESPECTRO AUTISTA EN NIÑOS Y NIÑAS DE 30 A 59 MESES,Hombres,Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,230.0
2019,A,A03,03710021,False,2025–2025,Suspected autism ages 30–59 months: diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,03710021,False,2025–2025,Suspected autism ages 30–59 months: diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,03710021,False,2025–2025,Suspected autism ages 30–59 months: diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,03710021,False,2025–2025,Suspected autism ages 30–59 months: diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,03710021,False,2025–2025,Suspected autism ages 30–59 months: diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,
2024,A,A03,03710021,False,2025–2025,Suspected autism ages 30–59 months: diagnostic referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,
2025,A,A03,03710021,True,2025–2025,Suspected autism ages 30–59 months: diagnostic referral required,True,[Sospecha de TEA por señales de alerta y/o factores de riesgo] Requiere derivación a evaluación diagnóstica,SECCIÓN F.1: SOSPECHA DE TRASTORNO ESPECTRO AUTISTA EN NIÑOS Y NIÑAS DE 30 A 59 MESES,Hombres,Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,231.0
2019,A,A05,06902600,True,2019–2020,Entry to mental-health programme: pervasive developmental disorders,True,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD MENTAL EN APS /ESPECIALIDAD,TOTAL | Ambos Sexos,TOTAL | Hombres,TOTAL | Mujeres,0 - 4 | Hombres,80 y más | Mujeres,43.0,0 - 4; 5 - 9; 10 - 14; 15 - 19; 20 - 24; 25 a 29; 30 a 34; 35 a 39; 40 a 44; 45 a 49; 50 a 54; 55 a 59; 60 a 64; 65 a 69; 70 a 74; 75 a 79; 80 y más,ok,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,189.0
2020,A,A05,06902600,True,2019–2020,Entry to mental-health programme: pervasive developmental disorders,True,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD MENTAL EN APS /ESPECIALIDAD,TOTAL | Ambos Sexos,TOTAL | Hombres,TOTAL | Mujeres,0 - 4 | Hombres,80 y más | Mujeres,43.0,0 - 4; 5 - 9; 10 - 14; 15 - 19; 20 - 24; 25 a 29; 30 a 34; 35 a 39; 40 a 44; 45 a 49; 50 a 54; 55 a 59; 60 a 64; 65 a 69; 70 a 74; 75 a 79; 80 y más,ok,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,187.0
2021,A,A05,06902600,False,2019–2020,Entry to mental-health programme: pervasive developmental disorders,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A05,06902600,False,2019–2020,Entry to mental-health programme: pervasive developmental disorders,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A05,06902600,False,2019–2020,Entry to mental-health programme: pervasive developmental disorders,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,
2024,A,A05,06902600,False,2019–2020,Entry to mental-health programme: pervasive developmental disorders,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,
2025,A,A05,06902600,False,2019–2020,Entry to mental-health programme: pervasive developmental disorders,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,
2019,A,A05,05225000,True,2019–2020,Clinical discharge: pervasive developmental disorders,True,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,TOTAL | Ambos Sexos,TOTAL | Hombres,TOTAL | Mujeres,0 - 4 | Hombres,80 y más | Mujeres,46.0,0 - 4; 5 - 9; 10 - 14; 15 - 19; 20 - 24; 25 a 29; 30 a 34; 35 a 39; 40 a 44; 45 a 49; 50 a 54; 55 a 59; 60 a 64; 65 a 69; 70 a 74; 75 a 79; 80 y más,ok,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,231.0
