year,male,female,male_age_sum,female_age_sum,source
2021,1624.0,461.0,1624.0,461.0,A05
2022,3465.0,1175.0,3466.0,1175.0,A05
2023,5734.0,2315.0,5734.0,2315.0,A05
2024,8164.0,3678.0,8164.0,3679.0,A05
2025,8867.0,4289.0,8867.0,4289.0,A05
