cut_comuna,value,z_value,spatial_lag_z,lisa_i,lisa_z,lisa_p_sim,lisa_p_z_sim,lisa_quadrant,lisa_bh_reject,lisa_bh_critical_p,lisa_class,gi_z,gi_p_sim,gi_p_z_sim,gi_bh_reject,gi_bh_critical_p,gi_class,indicator,variant,value_type,weights,cut_region,observed,expected,person_years,rate_per_100k,sir,sir_lo,sir_hi,sir_eb,eb_weight,suppressed,comuna_name_ine,region_name,script
1101,1.1671657721235094,0.6821419936115649,0.1416551694547999,0.0963463989379324,0.2325975013705162,0.356,0.4080369838613383,HH,False,0.002,ns,0.2767768754939912,0.356000006198883,0.4080369838613383,False,0.0020000000949949,ns,grd_episodes,sin_rett,sir_eb,queen,1,353.0,301.8541340995097,1358733,25.980085859399896,1.1694390108423345,1.0506125025015585,1.2980253835488889,1.1671657721235094,0.9865837347165566,False,Iquique,Tarapacá,lancet_americas/pipeline/15b_spatial_correlation.py
1107,0.8503229289640334,-0.0760744103968998,0.4091182636866652,-0.0310324265092548,-0.5438666818980001,0.255,0.2932666090126015,LH,False,0.002,ns,0.2473873723254767,0.2549999952316284,0.2932666090126016,False,0.0020000000949949,ns,grd_episodes,sin_rett,sir_eb,queen,1,206.0,242.98344944276656,809073,25.46123773750947,0.847794368186061,0.7359678875488939,0.9718104444028808,0.8503229289640334,0.9833872061904824,False,Alto Hospicio,Tarapacá,lancet_americas/pipeline/15b_spatial_correlation.py
1401,0.9389839116887294,0.1360945337617655,0.3528727663757928,0.0478836334048071,0.8270458556896428,0.201,0.2041055355765278,HH,False,0.002,ns,0.3219044474309314,0.2010000050067901,0.2041055355765281,False,0.0020000000949949,ns,grd_episodes,sin_rett,sir_eb,queen,1,27.0,29.021221899576965,107268,25.170600738337622,0.9303536595884536,0.6131089239913824,1.353615729244492,0.9389839116887294,0.8760846291523873,False,Pozo Almonte,Tarapacá,lancet_americas/pipeline/15b_spatial_correlation.py
1402,0.8670996743231505,-0.0359270508721876,-0.4517798596372328,0.0161836585908592,0.8010152160582416,0.215,0.2115614185150798,LL,False,0.002,ns,-0.3478166574459718,0.2150000035762787,0.2115614185150794,False,0.0020000000949949,ns,grd_episodes,sin_rett,sir_eb,queen,1,1.0,1.7824165265064076,8240,12.135922330097088,0.561036090683041,0.0142042040161698,3.125893026732362,0.8670996743231505,0.3027591172213824,True,Camiña,Tarapacá,lancet_americas/pipeline/15b_spatial_correlation.py
1403,0.694618302445912,-0.4486812233796667,-0.0787678683753509,0.0352383253481591,0.1687674755428193,0.475,0.4329897710327103,LL,False,0.002,ns,-0.152750539376214,0.4749999940395355,0.4329897710327103,False,0.0020000000949949,ns,grd_episodes,sin_rett,sir_eb,queen,1,0.0,1.8046442275859615,9433,0.0,0.0,0.0,2.044103429210798,0.694618302445912,0.3053816975540879,True,Colchane,Tarapacá,lancet_americas/pipeline/15b_spatial_correlation.py
1404,0.6105501042973368,-0.6498594676349763,-0.0359270508721876,0.0232792665097709,0.0697289568577966,0.407,0.4722046968150414,LL,False,0.002,ns,-0.3428932592535821,0.4070000052452087,0.4722046968150413,False,0.0020000000949949,ns,grd_episodes,sin_rett,sir_eb,queen,1,1.0,4.256201523978399,18195,5.496015388843089,0.2349512809405862,0.0059484514165167,1.3090647516452454,0.6105501042973368,0.509052411958118,True,Huara,Tarapacá,lancet_americas/pipeline/15b_spatial_correlation.py
1405,1.185589250412453,0.7262300447042636,0.042627856468617,0.0308671107225674,0.0996124706282036,0.418,0.4603259964712128,HH,False,0.002,ns,0.1565615545078914,0.4180000126361847,0.4603259964712129,False,0.0020000000949949,ns,grd_episodes,sin_rett,sir_eb,queen,1,11.0,8.635527277213386,36474,30.158469046444043,1.2738075680712353,0.6358801484799189,2.279193601210323,1.185589250412453,0.6778090602819606,False,Pica,Tarapacá,lancet_americas/pipeline/15b_spatial_correlation.py
2101,1.5841235396399056,1.6799370391210986,-0.2642423380544084,-0.4426125071097417,-0.5830593965787525,0.297,0.2799266580301796,HL,False,0.002,ns,0.0597875581415091,0.296999990940094,0.2799266580301796,False,0.0020000000949949,ns,grd_episodes,sin_rett,sir_eb,queen,2,953.0,600.0808967103619,2593425,36.74677308964015,1.588119210633662,1.4888779148892386,1.6922363528303537,1.5841235396399056,0.993206018573256,False,Antofagasta,Antofagasta,lancet_americas/pipeline/15b_spatial_correlation.py
2102,1.2082001550178234,0.7803387586973183,0.2140986998060146,0.166581006295495,0.4333090328282175,0.297,0.332395138388984,HH,False,0.002,ns,0.3273467115842758,0.296999990940094,0.3323951383889839,False,0.0020000000949949,ns,grd_episodes,sin_rett,sir_eb,queen,2,26.0,20.812258933091726,91053,28.55479775515359,1.2492637192140497,0.8160605376954775,1.8304607974366451,1.2082001550178234,0.835260565293243,False,Mejillones,Antofagasta,lancet_americas/pipeline/15b_spatial_correlation.py
2103,0.7913180220664436,-0.2172752905576254,0.5333235378625476,-0.1155392020109774,-1.18181418790327,0.129,0.1186397184748931,LH,False,0.002,ns,0.4082237331258525,0.1289999932050705,0.118639718474893,False,0.0020000000949949,ns,grd_episodes,sin_rett,sir_eb,queen,2,1.0,2.346216411742604,10584,9.44822373393802,0.4262181421096064,0.0107909090813517,2.3747354945832444,0.7913180220664436,0.3636956712099806,True,Sierra Gorda,Antofagasta,lancet_americas/pipeline/15b_spatial_correlation.py
2104,0.6698066711086799,-0.5080563561821173,-0.2894161063460957,0.1466097517895298,0.5265609809779157,0.333,0.2992492470868664,LL,False,0.002,ns,-0.3440761688051013,0.3330000042915344,0.2992492470868664,False,0.0020000000949949,ns,grd_episodes,sin_rett,sir_eb,queen,2,12.0,19.939165926256113,82613,14.525558931403047,0.6018305903256599,0.3109746481700737,1.0512769253088214,0.6698066711086799,0.8292784952047995,False,Taltal,Antofagasta,lancet_americas/pipeline/15b_spatial_correlation.py
2201,1.4634688184940652,1.3912059196752429,-0.0723470589413043,-0.1003553594285105,-0.1709283137039766,0.474,0.4321400665792703,HL,False,0.002,ns,0.136731938003916,0.4740000069141388,0.43214006657927,False,0.0020000000949949,ns,grd_episodes,sin_rett,sir_eb,queen,2,409.0,278.17301997090965,1153865,35.446087713900674,1.470307940154555,1.33124940226359,1.619944106167461,1.4634688184940652,0.985458204983224,False,Calama,Antofagasta,lancet_americas/pipeline/15b_spatial_correlation.py
2202,0.9262962027807204,0.105732386624692,1.0587179821897532,0.1116134668000458,1.4401264821608508,0.092,0.0749158090015886,HH,False,0.002,ns,0.7410561170013995,0.0920000001788139,0.0749158090015886,False,0.0020000000949949,ns,grd_episodes,sin_rett,sir_eb,queen,2,0.0,0.3266139979176694,1676,0.0,0.0,0.0,11.294309116058775,0.9262962027807204,0.0737037972192795,True,Ollagüe,Antofagasta,lancet_americas/pipeline/15b_spatial_correlation.py
2203,0.792832247661908,-0.2136516938419733,0.9512892227462384,-0.2026502714523734,-1.6269639734799373,0.069,0.0518723747488519,LH,False,0.002,ns,0.6600539935991857,0.0689999982714653,0.0518723747488519,False,0.0020000000949949,ns,grd_episodes,sin_rett,sir_eb,queen,2,10.0,13.685603390631805,63899,15.6496971783596,0.7306948560883543,0.3503965853208209,1.3437738561535777,0.792832247661908,0.7692677136759785,False,San Pedro de Atacama,Antofagasta,lancet_americas/pipeline/15b_spatial_correlation.py
