variant,scope,indicator,value_type,weights,years,subset,morans_i,expected_i,z_norm,p_norm,p_sim,sim_mean,sim_sd,n,permutations,seed,n_imputed_to_mean,script
sin_rett,comuna,grd_episodes,rate_per_100k,queen,full period,excluding Metropolitan Region (13),0.2253030437740598,-0.0034602076124567,5.492489619296433,3.9630685277792424e-08,0.001,-0.0016568856446188,0.0422905346380856,290,999,20260905,0,study/pipeline/15b_spatial_correlation.py
sin_rett,comuna,grd_episodes,sir,queen,full period,excluding Metropolitan Region (13),0.253801096024585,-0.0034602076124567,6.1767133974054165,6.54497266547654e-10,0.001,-0.0014979379719534,0.0424600177583178,290,999,20260905,0,study/pipeline/15b_spatial_correlation.py
sin_rett,comuna,grd_episodes,sir_eb,queen,full period,excluding Metropolitan Region (13),0.3173871303876278,-0.0034602076124567,7.703381826685415,1.3251164984379275e-14,0.001,-0.0018252854342137,0.0418323480619468,290,999,20260905,0,study/pipeline/15b_spatial_correlation.py
sin_rett,comuna,grd_episodes,rate_per_100k,queen,full period,including non-continental comunas present in the cartography,0.2344816922723099,-0.0029239766081871,6.360387287858446,2.012456833211869e-10,0.001,-0.0033575326296805,0.0361359364675771,343,999,20260905,0,study/pipeline/15b_spatial_correlation.py
sin_rett,comuna,grd_episodes,sir,queen,full period,including non-continental comunas present in the cartography,0.2657162241794519,-0.0029239766081871,7.197198475313267,6.146226721393239e-13,0.001,-0.0029968386009985,0.0364804635171633,343,999,20260905,0,study/pipeline/15b_spatial_correlation.py
sin_rett,comuna,grd_episodes,sir_eb,queen,full period,including non-continental comunas present in the cartography,0.3397724699746611,-0.0029239766081871,9.18125558129362,4.2609378759563804e-20,0.001,-0.0025962198128716,0.0371886710010046,343,999,20260905,0,study/pipeline/15b_spatial_correlation.py
sin_rett,comuna,grd_episodes,rate_per_100k,queen,2024,denominator base2017,0.1808781129358048,-0.002932551319648,4.963508802013787,6.923090225624395e-07,0.001,-0.0024555940521425,0.0360766641794771,342,999,20260905,0,study/pipeline/15b_spatial_correlation.py
sin_rett,comuna,grd_episodes,sir,queen,2024,denominator base2017,0.1689471380910515,-0.002932551319648,4.641332181313275,3.4617010396867924e-06,0.001,-0.0024818212970686,0.0357074680960627,342,999,20260905,0,study/pipeline/15b_spatial_correlation.py
sin_rett,comuna,grd_episodes,sir_eb,queen,2024,denominator base2017,0.3190018128987045,-0.002932551319648,8.693315248824586,3.5201387230312224e-18,0.001,-0.002256569561248,0.0357672404009031,342,999,20260905,0,study/pipeline/15b_spatial_correlation.py
sin_rett,comuna,grd_episodes,rate_per_100k,queen,2024,denominator censo2024,0.1255526700419346,-0.002932551319648,3.469534968170305,0.0005213601954419,0.004,-0.0026575195770173,0.0360716032580624,342,999,20260905,0,study/pipeline/15b_spatial_correlation.py
sin_rett,comuna,grd_episodes,sir,queen,2024,denominator censo2024,0.1095977797184461,-0.002932551319648,3.0386990377493066,0.0023760209160841,0.008,-0.0026975118171888,0.0344422492692046,342,999,20260905,0,study/pipeline/15b_spatial_correlation.py
sin_rett,comuna,grd_episodes,sir_eb,queen,2024,denominator censo2024,0.2961589536564055,-0.002932551319648,8.076480891734505,6.666260255857054e-16,0.001,-0.0021054138958255,0.0360329163487055,342,999,20260905,0,study/pipeline/15b_spatial_correlation.py
sin_rett,region,grd_episodes,rate_per_100k,queen (16 regions),full period,all comunas,0.1845328965815152,-0.0666666666666666,1.0533526010447951,0.2921794192939614,0.169,-0.076891576995524,0.2516105786353618,16,999,20260905,0,study/pipeline/15b_spatial_correlation.py
sin_rett,region,grd_episodes,sir,queen (16 regions),full period,all comunas,0.0999594325420315,-0.0666666666666666,0.6987115452506691,0.4847323173237104,0.252,-0.078461409261985,0.2474294604947182,16,999,20260905,0,study/pipeline/15b_spatial_correlation.py
sin_rett,region,grd_episodes,sir_eb,queen (16 regions),full period,all comunas,0.0975819553129645,-0.0666666666666666,0.6887420939077611,0.4909855815315591,0.257,-0.0782230307260513,0.2473679497803417,16,999,20260905,0,study/pipeline/15b_spatial_correlation.py
