year,series,module,code,variant,identical_across_variants,indicator,era,era_start,era_end,domain,setting,unit,measure,month,aggregation_rule,total,total_dedup,n_reporting_establishments,n_establishments_value_gt0,n_rows,n_rows_value,n_rows_zero,n_rows_empty,n_rows_exact_duplicate,months_covered,n_stable_panel_establishments,stable_panel_total,comparability_warning,note,source_file,script
2023,A,A27,29101574,single_code,True,Assisted referral in screening context: number of M-CHAT-R/F,2023–2025,2023,2025,assisted_referral,APS,interventions,annual_sum,01-12,sum of months; COL01,672.0,672.0,98,98,366,366,0,0,0,12,57,451.0,Counts interventions not unique children; earlier assisted-referral codes concern alcohol/drugs,,REM/SerieA/SerieA_2023.csv,study/pipeline/02_rem_pathway.py
2024,A,A27,29101574,single_code,True,Assisted referral in screening context: number of M-CHAT-R/F,2023–2025,2023,2025,assisted_referral,APS,interventions,annual_sum,01-12,sum of months; COL01,1068.0,1068.0,118,118,481,481,0,0,0,12,57,642.0,Counts interventions not unique children; earlier assisted-referral codes concern alcohol/drugs,,REM/SerieA/SerieA_2024.csv,study/pipeline/02_rem_pathway.py
2025,A,A27,29101574,single_code,True,Assisted referral in screening context: number of M-CHAT-R/F,2023–2025,2023,2025,assisted_referral,APS,interventions,annual_sum,01-12,sum of months; COL01,878.0,878.0,114,114,453,453,0,0,0,12,57,514.0,Counts interventions not unique children; earlier assisted-referral codes concern alcohol/drugs,,REM/SerieA/SerieA_2025.csv,study/pipeline/02_rem_pathway.py
