year,variant,position,panel,activity,n_episodes_cell,n_invalid_dates,n_valid_dates,mean_days,sd_days,median_days,q25_days,q75_days,p90_days,max_days,total_days,n_los_zero,unit,denominator,script
2019,con_rett,secondary_only,observed,cma,167,0,167,0.0479,0.2142,0.0,0.0,0.0,0.0,1.0,8.0,159,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,con_rett,secondary_only,observed,hospitalisation,1745,0,1745,8.6556,27.1665,3.0,1.0,7.0,17.0,557.0,15104.0,255,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,con_rett,secondary_only,observed,other,232,0,232,0.7888,2.1569,0.0,0.0,0.0,2.9,15.0,183.0,178,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,any,fixed65,all,2334,0,2334,7.8385,24.9567,2.0,0.0,6.0,17.0,557.0,18295.0,624,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,any,fixed65,cma,168,0,168,0.0476,0.2136,0.0,0.0,0.0,0.0,1.0,8.0,160,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,any,fixed65,hospitalisation,1911,0,1911,9.4375,27.3079,3.0,1.0,7.0,21.0,557.0,18035.0,278,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,any,fixed65,other,255,0,255,0.9882,2.5802,0.0,0.0,1.0,3.0,22.0,252.0,186,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,any,observed,all,2334,0,2334,7.8385,24.9567,2.0,0.0,6.0,17.0,557.0,18295.0,624,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,any,observed,cma,168,0,168,0.0476,0.2136,0.0,0.0,0.0,0.0,1.0,8.0,160,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,any,observed,hospitalisation,1911,0,1911,9.4375,27.3079,3.0,1.0,7.0,21.0,557.0,18035.0,278,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,any,observed,other,255,0,255,0.9882,2.5802,0.0,0.0,1.0,3.0,22.0,252.0,186,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,principal,fixed65,all,228,0,228,14.6053,24.311,5.0,1.0,19.25,35.6,196.0,3330.0,34,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,principal,fixed65,cma,1,0,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
