age_group,count,population,rate,lo,hi
0-4,940.0,602473,156.0235894388628,146.20760269282061,166.32526085136718
5-9,3538.0,610433,579.5885871176689,560.6461694425209,599.0078371646323
10-14,2484.0,656243,378.518323243067,363.77781917856305,393.70285679512244
15-19,1267.0,646181,196.07509351095126,185.42592900014296,207.17641095784563
20-24,309.0,645940,47.83726042666501,42.65159082595213,53.47956458545748
25-29,136.0,745391,18.245457753045045,15.308001208971252,21.58233392819844
30-34,80.0,849522,9.417060417505374,7.467143239491191,11.720346850044905
35-39,49.0,816260,6.002989243623356,4.441044489357453,7.936270133648383
40-44,23.0,726178,3.167267529448703,2.007775922300686,4.752456408047756
45+,41.0,3671404,1.116738991404923,0.8013911808249727,1.5149825398058867
