year,pie_tea_strict_n,pie_tea_asperger_n,pie_harmonised_n,pie_harmonised_sinaces_n,special_schools_autism_n,pie_total_enrolment_apuntes60_n,pie_total_applicants_sinaces_n,pie_tea_strict_share_of_pie_pct,pie_harmonised_share_of_pie_pct,pie_harmonised_share_of_applicants_sinaces_pct,pie_tea_exceptional_entry_n,pie_harmonised_source,junaeb_parvularia_n_students,junaeb_parvularia_tea_n,junaeb_parvularia_pct_weighted,junaeb_parvularia_pct_weighted_lo,junaeb_parvularia_pct_weighted_hi,junaeb_parvularia_pct_unweighted,junaeb_parvularia_estimable,junaeb_basico1_n_students,junaeb_basico1_tea_n,junaeb_basico1_pct_weighted,junaeb_basico1_pct_weighted_lo,junaeb_basico1_pct_weighted_hi,junaeb_basico1_pct_unweighted,junaeb_basico1_estimable,junaeb_basico5_n_students,junaeb_basico5_tea_n,junaeb_basico5_pct_weighted,junaeb_basico5_pct_weighted_lo,junaeb_basico5_pct_weighted_hi,junaeb_basico5_pct_unweighted,junaeb_basico5_estimable,junaeb_medio1_n_students,junaeb_medio1_tea_n,junaeb_medio1_pct_weighted,junaeb_medio1_pct_weighted_lo,junaeb_medio1_pct_weighted_hi,junaeb_medio1_pct_unweighted,junaeb_medio1_estimable,variant_note,unit_note
2019,11877.0,9135.0,21012.0,,,385995.0,,3.077,5.444,,,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,364967,,,,,,no,217506,,,,,,no,208846,,,,,,no,206665,,,,,,no,Series educativas idénticas en con_rett y sin_rett (no dependen de F84.2),_n = estudiantes (stock escolar anual); _pct = porcentaje; JUNAEB = reporte de cuidadores en cohortes escolares seleccionadas
2020,13613.0,9977.0,23590.0,,,343059.0,,3.968,6.876,,,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,337917,,,,,,no,179201,,,,,,no,192349,,,,,,no,185734,,,,,,no,Series educativas idénticas en con_rett y sin_rett (no dependen de F84.2),_n = estudiantes (stock escolar anual); _pct = porcentaje; JUNAEB = reporte de cuidadores en cohortes escolares seleccionadas
2021,18801.0,12081.0,30882.0,,,396765.0,,4.739,7.783,,,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,320233,,,,,,no,190518,,,,,,no,196691,,,,,,no,195505,,,,,,no,Series educativas idénticas en con_rett y sin_rett (no dependen de F84.2),_n = estudiantes (stock escolar anual); _pct = porcentaje; JUNAEB = reporte de cuidadores en cohortes escolares seleccionadas
2022,28845.0,14095.0,42940.0,42945.0,2074.0,438760.0,438783.0,6.574,9.787,9.787,5643.0,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,313688,,,,,,no,191649,,,,,,no,195457,,,,,,no,199027,,,,,,no,Series educativas idénticas en con_rett y sin_rett (no dependen de F84.2),_n = estudiantes (stock escolar anual); _pct = porcentaje; JUNAEB = reporte de cuidadores en cohortes escolares seleccionadas
2023,47551.0,16091.0,63642.0,63642.0,2298.0,473006.0,473006.0,10.053,13.455,13.455,11906.0,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,261098,11388.0,,,,4.361580709159013,unweighted_only,159887,6660.0,,,,4.165441843301832,unweighted_only,166218,4822.0,,,,2.901009517621437,unweighted_only,178466,4618.0,,,,2.5876077236000135,unweighted_only,Series educativas idénticas en con_rett y sin_rett (no dependen de F84.2),_n = estudiantes (stock escolar anual); _pct = porcentaje; JUNAEB = reporte de cuidadores en cohortes escolares seleccionadas
2024,,,86475.0,86475.0,2505.0,,499110.0,,,17.326,19629.0,Reporte_Ley_21545_SINACES_2022_2025.pdf,258255,17641.0,6.740039361956847,6.643237802894049,6.83814814100209,6.830845482178467,yes,154166,10245.0,6.603376342608202,6.4792267663565895,6.729733588599168,6.645434142417914,yes,165533,7468.0,4.490779547623294,4.390866524027063,4.592856852242016,4.511487135495641,yes,184963,,,,,,no,Series educativas idénticas en con_rett y sin_rett (no dependen de F84.2),_n = estudiantes (stock escolar anual); _pct = porcentaje; JUNAEB = reporte de cuidadores en cohortes escolares seleccionadas
2025,,,106786.0,106786.0,2626.0,,475710.0,,,22.448,28119.0,Reporte_Ley_21545_SINACES_2022_2025.pdf,239332,18785.0,7.691967180510173,7.58478301321713,7.800538168576587,7.848929520498721,yes,148970,12536.0,8.345355506467964,8.204267496406795,8.488645428039668,8.415117137678727,yes,171925,9887.0,5.705395045124132,5.595072738302162,5.817758606144958,5.750763414279483,yes,183573,9164.0,5.031237400067144,4.929382176178361,5.1350835683368885,4.992019523568281,yes,Series educativas idénticas en con_rett y sin_rett (no dependen de F84.2),_n = estudiantes (stock escolar anual); _pct = porcentaje; JUNAEB = reporte de cuidadores en cohortes escolares seleccionadas
