age_group,count,population,rate,lo,hi
0-4,1069.0,603305.0,177.19064154946503,166.72665019874003,188.13932088934865
5-9,2163.0,622349.0,347.5541858346362,333.0601782119311,362.5166303896267
10-14,1405.0,657714.0,213.61868532523255,202.59348522333238,225.08790066894545
15-19,671.0,635804.0,105.53566822479884,97.70045991844492,113.83201323069996
20-24,242.0,661712.0,36.57180162971202,32.10883767356326,41.48159091146802
25-29,120.0,767831.0,15.628439070576729,12.95752914716112,18.68778225538592
30-34,63.0,861519.0,7.312665187883262,5.619252714738415,9.35607540714604
35-39,40.0,790820.0,5.058041020712678,3.613538661362758,6.887616267163713
40-44,22.0,715861.0,3.0732223155053844,1.9259720633236912,4.6528955184212055
45+,51.0,3593585.0,1.4191955943716372,1.056684337181137,1.8659801111314687
