year,category,panel,n_episodes,sex,age_group
2023,F84,observed,9,HOMBRE,45-49
2023,F84,observed,1500,HOMBRE,5-9
2023,F84,observed,9,HOMBRE,60-64
2023,F84,observed,3,HOMBRE,70-74
2023,F84,observed,383,MUJER,0-4
2023,F84,observed,584,MUJER,10-14
2023,F84,observed,337,MUJER,15-19
2023,F84,observed,97,MUJER,20-24
2023,F84,observed,69,MUJER,25-29
2023,F84,observed,41,MUJER,30-34
2023,F84,observed,19,MUJER,35-39
2023,F84,observed,10,MUJER,40-44
2023,F84,observed,13,MUJER,45-49
2023,F84,observed,406,MUJER,5-9
2023,F88,observed,30,,
2023,F88,fixed65,30,,
2023,F88,observed,2,HOMBRE,10-14
2023,F88,observed,1,HOMBRE,70-74
2023,F88,observed,1,MUJER,0-4
2023,F88,observed,2,MUJER,5-9
2023,F89,observed,122,,
2023,F89,fixed65,122,,
2023,F89,observed,13,HOMBRE,0-4
2023,F89,observed,9,HOMBRE,15-19
2023,F89,observed,5,HOMBRE,30-34
2023,F89,observed,9,HOMBRE,5-9
2023,F89,observed,13,MUJER,0-4
2023,F89,observed,27,MUJER,10-14
2023,F89,observed,23,MUJER,15-19
2023,F80,observed,7,HOMBRE,20-24
2023,F80,observed,3,HOMBRE,40-44
2023,F80,observed,11,HOMBRE,45-49
2023,F80,observed,7,HOMBRE,60-64
2023,F80,observed,9,HOMBRE,65-69
2023,F80,observed,5,MUJER,70-74
2023,F81,observed,2,HOMBRE,20-24
2023,F81,observed,1,MUJER,0-4
2023,F81,observed,7,MUJER,5-9
2023,F82,observed,2,HOMBRE,70-74
2023,F82,observed,2,MUJER,15-19
2023,F82,observed,1,MUJER,40-44
2023,F82,observed,1,MUJER,75-79
2023,F83,observed,1,HOMBRE,55-59
2023,F84,observed,8,HOMBRE,50-54
2023,F84,observed,4,MUJER,50-54
2023,F84,observed,2,MUJER,60-64
2023,F88,observed,12,MUJER,10-14
2023,F88,observed,7,MUJER,15-19
2023,F89,observed,8,HOMBRE,10-14
2023,F89,observed,2,MUJER,45-49
2023,F89,observed,1,MUJER,55-59
2023,F80,observed,1,HOMBRE,55-59
2023,F81,observed,2,HOMBRE,25-29
2023,F82,observed,1,HOMBRE,25-29
2023,F82,observed,1,HOMBRE,40-44
2023,F82,observed,1,HOMBRE,50-54
2023,F82,observed,1,MUJER,20-24
2023,F82,observed,1,MUJER,30-34
2023,F83,observed,3,HOMBRE,30-34
2023,F83,observed,1,HOMBRE,35-39
2023,F83,observed,2,MUJER,20-24
2023,F83,observed,3,MUJER,25-29
2023,F83,observed,1,MUJER,55-59
2023,F83,observed,1,MUJER,80+
2023,F84,observed,2,HOMBRE,65-69
2023,F84,observed,4,MUJER,55-59
2023,F84,observed,2,MUJER,80+
2023,F88,observed,1,MUJER,40-44
2023,F89,observed,3,HOMBRE,20-24
2023,F89,observed,1,HOMBRE,40-44
2023,F89,observed,1,MUJER,20-24
2023,F89,observed,3,MUJER,5-9
2023,F80,observed,1,HOMBRE,30-34
2023,F80,observed,1,MUJER,25-29
2023,F80,observed,1,MUJER,50-54
2023,F81,observed,2,HOMBRE,45-49
2023,F82,observed,1,HOMBRE,45-49
2023,F83,observed,1,HOMBRE,45-49
2023,F83,observed,2,MUJER,60-64
2023,F83,observed,1,MUJER,70-74
2023,F84,observed,1,HOMBRE,80+
2023,F84,observed,1,MUJER,75-79
2023,F88,observed,1,HOMBRE,45-49
2023,F88,observed,1,HOMBRE,5-9
2023,F80,observed,1,MUJER,60-64
2023,F81,observed,1,HOMBRE,75-79
2023,F81,observed,1,MUJER,70-74
2023,F82,observed,2,HOMBRE,30-34
2023,F82,observed,2,HOMBRE,35-39
2023,F82,observed,1,MUJER,25-29
2023,F83,observed,1,HOMBRE,40-44
2023,F83,observed,2,MUJER,30-34
2023,F83,observed,1,unknown,0-4
2023,F84,observed,1,HOMBRE,55-59
2023,F84,observed,1,HOMBRE,75-79
2023,F84,observed,1,unknown,0-4
2023,F84,observed,1,unknown,15-19
2023,F88,observed,2,HOMBRE,0-4
2023,F89,observed,2,HOMBRE,45-49
2023,F80,observed,1,HOMBRE,35-39
2023,F89,observed,1,HOMBRE,25-29
2023,F89,observed,1,MUJER,35-39
2024,F80,observed,1360,,
2024,F80,fixed65,1318,,
2024,F80,observed,371,HOMBRE,0-4
2024,F80,observed,112,HOMBRE,10-14
2024,F80,observed,21,HOMBRE,15-19
2024,F80,observed,6,HOMBRE,20-24
2024,F80,observed,5,HOMBRE,25-29
2024,F80,observed,4,HOMBRE,40-44
2024,F80,observed,5,HOMBRE,45-49
2024,F80,observed,333,HOMBRE,5-9
2024,F80,observed,11,HOMBRE,55-59
2024,F80,observed,6,HOMBRE,60-64
2024,F80,observed,12,HOMBRE,65-69
2024,F80,observed,6,HOMBRE,75-79
2024,F80,observed,15,HOMBRE,80+
2024,F80,observed,174,MUJER,0-4
2024,F80,observed,46,MUJER,10-14
2024,F80,observed,14,MUJER,15-19
2024,F80,observed,3,MUJER,25-29
2024,F80,observed,4,MUJER,35-39
2024,F80,observed,2,MUJER,40-44
2024,F80,observed,4,MUJER,45-49
2024,F80,observed,142,MUJER,5-9
2024,F80,observed,5,MUJER,60-64
2024,F80,observed,7,MUJER,75-79
2024,F80,observed,12,MUJER,80+
2024,F81,observed,211,,
2024,F81,fixed65,205,,
2024,F81,observed,45,HOMBRE,10-14
2024,F81,observed,17,HOMBRE,15-19
2024,F81,observed,3,HOMBRE,20-24
2024,F81,observed,18,HOMBRE,5-9
2024,F81,observed,55,MUJER,10-14
2024,F81,observed,33,MUJER,15-19
2024,F81,observed,1,MUJER,25-29
2024,F81,observed,1,MUJER,40-44
2024,F81,observed,21,MUJER,5-9
2024,F81,observed,1,MUJER,50-54
2024,F81,observed,2,MUJER,70-74
2024,F81,observed,2,MUJER,75-79
2024,F82,observed,447,,
2024,F82,fixed65,440,,
2024,F82,observed,165,HOMBRE,0-4
2024,F82,observed,25,HOMBRE,10-14
2024,F82,observed,5,HOMBRE,15-19
2024,F82,observed,3,HOMBRE,30-34
2024,F82,observed,58,HOMBRE,5-9
2024,F82,observed,3,HOMBRE,65-69
2024,F82,observed,117,MUJER,0-4
2024,F82,observed,21,MUJER,10-14
2024,F82,observed,5,MUJER,15-19
2024,F82,observed,35,MUJER,5-9
2024,F83,observed,1130,,
2024,F83,fixed65,1116,,
2024,F83,observed,428,HOMBRE,0-4
2024,F83,observed,69,HOMBRE,10-14
2024,F83,observed,21,HOMBRE,15-19
2024,F83,observed,5,HOMBRE,20-24
2024,F83,observed,3,HOMBRE,35-39
2024,F83,observed,1,HOMBRE,45-49
2024,F83,observed,134,HOMBRE,5-9
2024,F83,observed,295,MUJER,0-4
2024,F83,observed,41,MUJER,10-14
2024,F83,observed,15,MUJER,15-19
2024,F83,observed,1,MUJER,20-24
2024,F83,observed,4,MUJER,30-34
2024,F83,observed,102,MUJER,5-9
2024,F84,observed,8818,,
2024,F84,fixed65,8557,,
2024,F84,observed,1073,HOMBRE,0-4
2024,F84,observed,1405,HOMBRE,10-14
2024,F84,observed,672,HOMBRE,15-19
2024,F84,observed,242,HOMBRE,20-24
2024,F84,observed,120,HOMBRE,25-29
2024,F84,observed,63,HOMBRE,30-34
2024,F84,observed,40,HOMBRE,35-39
2024,F84,observed,22,HOMBRE,40-44
2024,F84,observed,15,HOMBRE,45-49
2024,F84,observed,2170,HOMBRE,5-9
2024,F84,observed,12,HOMBRE,50-54
2024,F84,observed,9,HOMBRE,60-64
2024,F84,observed,5,HOMBRE,65-69
2024,F84,observed,3,HOMBRE,unknown
2024,F84,observed,353,MUJER,0-4
2024,F84,observed,912,MUJER,10-14
2024,F84,observed,592,MUJER,15-19
2024,F84,observed,191,MUJER,20-24
2024,F84,observed,115,MUJER,25-29
2024,F84,observed,66,MUJER,30-34
2024,F84,observed,46,MUJER,35-39
2024,F84,observed,25,MUJER,40-44
2024,F84,observed,11,MUJER,45-49
2024,F84,observed,612,MUJER,5-9
2024,F84,observed,8,MUJER,50-54
2024,F84,observed,2,MUJER,60-64
2024,F84,observed,3,MUJER,65-69
2024,F84,observed,7,MUJER,80+
2024,F84,observed,2,unknown,15-19
2024,F88,observed,37,,
2024,F88,fixed65,36,,
2024,F88,observed,4,HOMBRE,0-4
2024,F88,observed,1,MUJER,0-4
2024,F88,observed,14,MUJER,15-19
2024,F88,observed,2,MUJER,5-9
2024,F88,observed,1,MUJER,50-54
2024,F89,observed,119,,
2024,F89,fixed65,117,,
2024,F89,observed,19,HOMBRE,0-4
2024,F89,observed,14,HOMBRE,10-14
2024,F89,observed,12,HOMBRE,15-19
2024,F89,observed,3,HOMBRE,20-24
2024,F89,observed,7,MUJER,0-4
2024,F89,observed,26,MUJER,10-14
2024,F89,observed,20,MUJER,15-19
2024,F80,observed,5,HOMBRE,30-34
2024,F80,observed,2,HOMBRE,35-39
2024,F80,observed,3,HOMBRE,50-54
2024,F80,observed,3,HOMBRE,70-74
2024,F80,observed,2,MUJER,20-24
2024,F80,observed,6,MUJER,30-34
2024,F80,observed,2,MUJER,50-54
2024,F80,observed,3,MUJER,55-59
2024,F80,observed,8,MUJER,65-69
2024,F81,observed,1,HOMBRE,75-79
2024,F82,observed,1,HOMBRE,35-39
2024,F82,observed,2,MUJER,40-44
2024,F82,observed,3,MUJER,45-49
2024,F83,observed,3,HOMBRE,25-29
2024,F83,observed,1,unknown,0-4
2024,F84,observed,7,HOMBRE,55-59
2024,F84,observed,3,MUJER,70-74
2024,F88,observed,2,HOMBRE,10-14
2024,F88,observed,9,MUJER,10-14
2024,F89,observed,2,HOMBRE,25-29
2024,F89,observed,2,HOMBRE,5-9
2024,F89,observed,2,MUJER,20-24
2024,F80,observed,4,MUJER,70-74
2024,F80,observed,1,unknown,0-4
2024,F81,observed,1,HOMBRE,35-39
2024,F81,observed,3,MUJER,0-4
2024,F81,observed,1,MUJER,30-34
2024,F82,observed,1,HOMBRE,25-29
2024,F82,observed,1,MUJER,25-29
2024,F83,observed,1,HOMBRE,60-64
2024,F83,observed,2,MUJER,25-29
2024,F83,observed,1,MUJER,35-39
2024,F84,observed,6,MUJER,55-59
2024,F84,observed,1,MUJER,75-79
2024,F88,observed,4,HOMBRE,15-19
2024,F89,observed,1,HOMBRE,30-34
2024,F89,observed,4,MUJER,5-9
2024,F81,observed,2,HOMBRE,0-4
2024,F81,observed,1,HOMBRE,55-59
2024,F83,observed,1,MUJER,50-54
2024,F83,observed,1,MUJER,55-59
2024,F83,observed,1,MUJER,unknown
2024,F84,observed,1,HOMBRE,70-74
2024,F84,observed,2,HOMBRE,75-79
2024,F84,observed,1,unknown,0-4
2024,F89,observed,1,HOMBRE,35-39
2024,F89,observed,1,HOMBRE,45-49
2024,F80,observed,1,MUJER,unknown
2024,F81,observed,1,HOMBRE,25-29
2024,F81,observed,1,MUJER,55-59
2024,F81,observed,1,MUJER,65-69
2024,F82,observed,2,MUJER,50-54
2024,F84,observed,1,unknown,10-14
2024,F89,observed,3,MUJER,25-29
2024,F89,observed,1,MUJER,55-59
2024,F89,observed,1,MUJER,30-34
