year,pie_tea_strict_n,pie_tea_asperger_n,pie_harmonised_n,pie_harmonised_sinaces_n,pie_total_enrolment_apuntes60_n,pie_total_applicants_sinaces_n,pie_tea_strict_share_of_pie_pct,pie_harmonised_share_of_pie_pct,pie_harmonised_share_of_applicants_sinaces_pct,pie_tea_exceptional_entry_n,pie_harmonised_source
2019,11877.0,9135.0,21012.0,,385995.0,,3.077,5.444,,,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf
2020,13613.0,9977.0,23590.0,,343059.0,,3.968,6.876,,,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf
2021,18801.0,12081.0,30882.0,,396765.0,,4.739,7.783,,,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf
2022,28845.0,14095.0,42940.0,42945.0,438760.0,438783.0,6.574,9.787,9.787,5643.0,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf
2023,47551.0,16091.0,63642.0,63642.0,473006.0,473006.0,10.053,13.455,13.455,11906.0,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf
2024,,,86475.0,86475.0,,499110.0,,,17.326,19629.0,Reporte_Ley_21545_SINACES_2022_2025.pdf
2025,,,106786.0,106786.0,,475710.0,,,22.448,28119.0,Reporte_Ley_21545_SINACES_2022_2025.pdf
