domain,domain_definition,subgroup_type,subgroup,survey,survey_year,variant,source_file,source_sha256,source_documents,script,variant_note,module,item_variable,item_wording,positive_definition,estimate_type,weight_var,strata_var,psu_var,n,cases,proportion,proportion_unit,se,lo,hi,ci_method,weighted_total,weighted_population,weighted_unit,deff,rse,df,n_psu,n_strata,precision_flag,deff_note,precision_flag_original,precision_flag_revision,precision_rule_revision
ENDIDE NNA 2-17: autismo reportado,Personas seleccionadas de 2 a 17 años con cuestionario NNA respondido por el/la responsable principal (n29_19 no perdido); edad 2-5,age_group,2-5,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,"NNA (2-17), responsable principal",n29_19,Enfermedad o condición de salud: Autismo (Trastorno del espectro Autista),n29_19 == 1 (Sí); 0 = No; sin códigos perdidos,primary,fexp,estrato,cod_upm,1053,45,0.0344891813082606,proportion (0-1) of persons in domain,0.0067731457159899,0.0234140859488053,0.0505318424856795,"logit, t with df = PSU - strata (Taylor linearisation)",27405.0,794597.0,persons (survey expansion weights),1.4506718355068156,0.1963846475638909,8445,8477,32,adequate,DEFF = 1.45 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 19.6 %; adecuado según el umbral de 30 casos no ponderados,adequate,adequate,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
ENDIDE NNA 2-17: autismo reportado,Personas seleccionadas de 2 a 17 años con cuestionario NNA respondido por el/la responsable principal (n29_19 no perdido); edad 6-11,age_group,6-11,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,"NNA (2-17), responsable principal",n29_19,Enfermedad o condición de salud: Autismo (Trastorno del espectro Autista),n29_19 == 1 (Sí); 0 = No; sin códigos perdidos,primary,fexp,estrato,cod_upm,2131,68,0.0332542990750973,proportion (0-1) of persons in domain,0.0048203922306452,0.0249972659339065,0.044115367400342,"logit, t with df = PSU - strata (Taylor linearisation)",51066.0,1535621.0,persons (survey expansion weights),1.5402391477712167,0.1449554603379099,8445,8477,32,adequate,DEFF = 1.54 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 14.5 %; adecuado según el umbral de 30 casos no ponderados,adequate,adequate,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
ENDIDE NNA 2-17: autismo reportado,Personas seleccionadas de 2 a 17 años con cuestionario NNA respondido por el/la responsable principal (n29_19 no perdido); edad 12-17,age_group,12-17,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,"NNA (2-17), responsable principal",n29_19,Enfermedad o condición de salud: Autismo (Trastorno del espectro Autista),n29_19 == 1 (Sí); 0 = No; sin códigos perdidos,primary,fexp,estrato,cod_upm,2342,50,0.0216665554050014,proportion (0-1) of persons in domain,0.0035385084311518,0.0157148234752153,0.0298041535149791,"logit, t with df = PSU - strata (Taylor linearisation)",36026.0,1662747.0,persons (survey expansion weights),1.3834089728120458,0.1633166124013896,8445,8477,32,adequate,DEFF = 1.38 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 16.3 %; adecuado según el umbral de 30 casos no ponderados,adequate,adequate,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
ENDIDE NNA con autismo reportado: confirmado por un médico,NNA con autismo reportado (n29_19 == 1) y respuesta válida en n29a_19 (1 Sí / 2 No); -99 No responde excluido,total,total,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,"NNA (2-17), responsable principal",n29a_19,¿Le ha dicho un médico que tiene…? Autismo (Trastorno del espectro Autista),n29a_19 == 1 (Sí); 2 = No; -99 = No responde (perdido); ítem aplicado solo si n29_19 == 1,primary,fexp,estrato,cod_upm,153,139,0.9000235460324936,proportion (0-1) of persons in domain,0.0303211213903775,0.8230192775866124,0.9457324695097058,"logit, t with df = PSU - strata (Taylor linearisation)",95560.0,106175.0,persons (survey expansion weights),1.563256880301611,0.0336892534912445,8445,8477,32,adequate,DEFF = 1.56 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 3.4 %; adecuado según el umbral de 30 casos no ponderados,adequate,adequate,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
ENDIDE NNA con autismo reportado: confirmado por un médico,NNA con autismo reportado (n29_19 == 1) y respuesta válida en n29a_19 (1 Sí / 2 No); -99 No responde excluido; sexo = Hombre,sex,Hombre,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,"NNA (2-17), responsable principal",n29a_19,¿Le ha dicho un médico que tiene…? Autismo (Trastorno del espectro Autista),n29a_19 == 1 (Sí); 2 = No; -99 = No responde (perdido); ítem aplicado solo si n29_19 == 1,primary,fexp,estrato,cod_upm,120,111,0.9101034584688148,proportion (0-1) of persons in domain,0.034257126593266,0.8166954647059491,0.9583407609870992,"logit, t with df = PSU - strata (Taylor linearisation)",76972.0,84575.0,persons (survey expansion weights),1.7212714383789252,0.0376409146394205,8445,8477,32,adequate,DEFF = 1.72 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 3.8 %; adecuado según el umbral de 30 casos no ponderados,adequate,adequate,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
ENDIDE NNA con autismo reportado: confirmado por un médico,NNA con autismo reportado (n29_19 == 1) y respuesta válida en n29a_19 (1 Sí / 2 No); -99 No responde excluido; sexo = Mujer,sex,Mujer,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,"NNA (2-17), responsable principal",n29a_19,¿Le ha dicho un médico que tiene…? Autismo (Trastorno del espectro Autista),n29a_19 == 1 (Sí); 2 = No; -99 = No responde (perdido); ítem aplicado solo si n29_19 == 1,primary,fexp,estrato,cod_upm,33,28,0.8605555555555555,proportion (0-1) of persons in domain,0.0641037752020241,0.6841154815481538,0.9461945665579202,"logit, t with df = PSU - strata (Taylor linearisation)",18588.0,21600.0,persons (survey expansion weights),1.130058755196424,0.0744911525911191,8445,8477,32,imprecise,"DEFF = 1.13 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 7.4 %; imprecise: menos de 30 casos no ponderados, usar solo como orden de magnitud",imprecise,imprecise,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
ENDIDE NNA con autismo reportado: confirmado por un médico (sensibilidad: No responde = no confirmado),"NNA con autismo reportado (n29_19 == 1), todos; -99 No responde contado como no confirmado",total,total,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,"NNA (2-17), responsable principal",n29a_19,¿Le ha dicho un médico que tiene…? Autismo (Trastorno del espectro Autista),n29a_19 == 1 (Sí); 2 = No; -99 = No responde (perdido); ítem aplicado solo si n29_19 == 1,sensitivity,fexp,estrato,cod_upm,163,139,0.8346070202712735,proportion (0-1) of persons in domain,0.0369186486323724,0.7492026376430161,0.895004296162972,"logit, t with df = PSU - strata (Taylor linearisation)",95560.0,114497.0,persons (survey expansion weights),1.6094596417334166,0.0442347688620839,8445,8477,32,adequate,DEFF = 1.61 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 4.4 %; adecuado según el umbral de 30 casos no ponderados,adequate,adequate,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
ENDIDE NNA 2-17: autismo reportado y confirmado por un médico,Personas seleccionadas de 2 a 17 años con cuestionario NNA respondido por el/la responsable principal (n29_19 no perdido); numerador = n29_19 == 1 y n29a_19 == 1,total,total,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,"NNA (2-17), responsable principal",n29a_19,¿Le ha dicho un médico que tiene…? Autismo (Trastorno del espectro Autista),n29a_19 == 1 (Sí); 2 = No; -99 = No responde (perdido); ítem aplicado solo si n29_19 == 1,primary,fexp,estrato,cod_upm,5526,139,0.0239320905642799,proportion (0-1) of persons in domain,0.0025528933522974,0.019406633650544,0.0294811173284767,"logit, t with df = PSU - strata (Taylor linearisation)",95560.0,3992965.0,persons (survey expansion weights),1.541755666426505,0.1066723922609519,8445,8477,32,adequate,DEFF = 1.54 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 10.7 %; adecuado según el umbral de 30 casos no ponderados,adequate,adequate,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
ENDIDE NNA 2-17: autismo reportado y confirmado por un médico,Personas seleccionadas de 2 a 17 años con cuestionario NNA respondido por el/la responsable principal (n29_19 no perdido); numerador = n29_19 == 1 y n29a_19 == 1; sexo = Hombre,sex,Hombre,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,"NNA (2-17), responsable principal",n29a_19,¿Le ha dicho un médico que tiene…? Autismo (Trastorno del espectro Autista),n29a_19 == 1 (Sí); 2 = No; -99 = No responde (perdido); ítem aplicado solo si n29_19 == 1,primary,fexp,estrato,cod_upm,2880,111,0.0379069336810877,proportion (0-1) of persons in domain,0.0044564088488473,0.0300755104556889,0.0476773567369253,"logit, t with df = PSU - strata (Taylor linearisation)",76972.0,2030552.0,persons (survey expansion weights),1.5682915532600066,0.1175618393811335,8445,8477,32,adequate,DEFF = 1.57 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 11.8 %; adecuado según el umbral de 30 casos no ponderados,adequate,adequate,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
ENDIDE NNA 2-17: autismo reportado y confirmado por un médico,Personas seleccionadas de 2 a 17 años con cuestionario NNA respondido por el/la responsable principal (n29_19 no perdido); numerador = n29_19 == 1 y n29a_19 == 1; sexo = Mujer,sex,Mujer,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,"NNA (2-17), responsable principal",n29a_19,¿Le ha dicho un médico que tiene…? Autismo (Trastorno del espectro Autista),n29a_19 == 1 (Sí); 2 = No; -99 = No responde (perdido); ítem aplicado solo si n29_19 == 1,primary,fexp,estrato,cod_upm,2646,28,0.0094720122624544,proportion (0-1) of persons in domain,0.0020591577467086,0.0061807415283097,0.0144903444947415,"logit, t with df = PSU - strata (Taylor linearisation)",18588.0,1962413.0,persons (survey expansion weights),1.19580419643621,0.2173939063477351,8445,8477,32,imprecise,"DEFF = 1.20 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 21.7 %; imprecise: menos de 30 casos no ponderados, usar solo como orden de magnitud",imprecise,imprecise,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
ENDIDE NNA 2-17: autismo reportado y confirmado por un médico,Personas seleccionadas de 2 a 17 años con cuestionario NNA respondido por el/la responsable principal (n29_19 no perdido); numerador = n29_19 == 1 y n29a_19 == 1; edad 2-5,age_group,2-5,ENDIDE 2022,2022,both,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,"NNA (2-17), responsable principal",n29a_19,¿Le ha dicho un médico que tiene…? Autismo (Trastorno del espectro Autista),n29a_19 == 1 (Sí); 2 = No; -99 = No responde (perdido); ítem aplicado solo si n29_19 == 1,primary,fexp,estrato,cod_upm,1053,38,0.0279475004310361,proportion (0-1) of persons in domain,0.0061479307882488,0.0181156477618062,0.0428823234849362,"logit, t with df = PSU - strata (Taylor linearisation)",22207.0,794597.0,persons (survey expansion weights),1.4650539499008903,0.2199814184964284,8445,8477,32,adequate,DEFF = 1.47 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 22.0 %; adecuado según el umbral de 30 casos no ponderados,adequate,adequate,"Fewer than30 unweighted positives OR relative standard error greater than30%; an editorial caution, not exclusion."
