age_group,count,population,rate,lo,hi
0-4,367.0,579945,63.28186293527835,56.97237328215647,70.0991709052334
5-9,1298.0,587777,220.83205025035002,208.98040359892298,233.1807218455181
10-14,1268.0,632916,200.34254150629783,189.46583659538882,211.68087412048018
15-19,789.0,624185,126.40483190079865,117.73744591977157,135.54147209286364
20-24,223.0,626269,35.60770212161228,31.087256160799356,40.60067222367735
25-29,115.0,724859,15.865154464523446,13.098312121536512,19.043715207915
30-34,72.0,827027,8.705882637447145,6.81181698906908,10.963618363688
35-39,64.0,795338,8.046893270534037,6.197088350642802,10.275703060696834
40-44,30.0,714206,4.2004687723149905,2.8340386417113432,5.996430356900903
45+,63.0,4124406,1.527492686219543,1.1737673205665795,1.9543266906044285
