metropolitan,GRD,GRD_count,A05,A05_count,P2,P2_count
False,18.636103456997198,14.0,,,99.8362685196278,75.0
False,,,,,,
False,43.46801049126219,59.0,75.88483187457638,103.0,156.19013939233193,212.0
False,34.64253236911618,16.0,,,127.74433811111592,59.0
False,32.39947671788546,477.0,16.437470368403105,242.0,56.85191197666694,837.0
False,59.841119083826975,109.0,130.11325892538525,237.0,128.46625564784875,234.0
False,21.961731682543167,8.0,,,,
False,9.854967724980702,6.0,,,,
True,3.753720599535422,51.0,,,14.794075304051368,201.0
False,35.39962240402769,9.0,,,70.79924480805538,18.0
True,31.21058038675111,24.0,32.51102123619907,25.0,,
False,53.3739992375143,126.0,82.60261786758166,195.0,114.7964586775109,271.0
False,0.0,0.0,,,,
False,42.16073781291173,8.0,,,,
False,0.0,0.0,,,,
False,14.586828094230908,6.0,,,,
False,15.764533508906965,17.0,,,,
True,10.30900929115774,79.0,32.492953335421234,249.0,7.04666457876605,54.0
False,,,,,,
False,19.117540269097905,129.0,29.93599328959517,202.0,51.869295303754,350.0
True,15.681885270097412,102.0,23.06159598543737,150.0,47.50688773000098,309.0
False,10.37344398340249,15.0,60.165975103734446,87.0,125.86445366528352,182.0
False,31.0880829015544,21.0,,,,
False,14.821676702176935,8.0,,,,
False,45.47311963812731,799.0,33.40766111086449,587.0,163.39590298005444,2871.0
False,24.063328041245097,261.0,27.93558772604316,303.0,50.892555857345954,552.0
False,67.37679671457906,21.0,,,,
False,28.828309399830637,16.0,,,154.95216302408966,86.0
False,0.0,0.0,,,,
False,22.18591799277949,11.0,,,229.92678647062385,114.0
False,0.0,0.0,,,,
True,24.931050064664912,32.0,,,,
False,,,,,,
False,24.517112281748005,37.0,35.11910678196336,53.0,53.00997250107677,80.0
False,19.03538201632284,16.0,,,127.299117234159,107.0
False,42.06827609908719,295.0,38.21795930357752,268.0,51.76537025074118,363.0
False,30.258835716330232,111.0,26.715008109913175,98.0,80.41762645331006,295.0
False,0.0,0.0,,,,
False,0.0,0.0,,,167.1541997492687,28.0
False,52.40085874840158,268.0,48.881398086195496,250.0,29.328838851717304,150.0
True,14.597344707394443,82.0,29.550722212530214,166.0,38.629558554934086,217.0
True,23.30684001128925,128.0,21.303908447819083,117.0,27.858957200994183,153.0
False,32.0,34.0,,,79.05882352941177,84.0
False,0.0,0.0,,,251.8539247236603,36.0
False,0.0,0.0,,,,
True,2.0524240410690053,8.0,,,,
False,20.56563728796828,25.0,13.984633355818431,17.0,20.56563728796828,25.0
False,51.06729720980938,549.0,48.36975327705078,520.0,109.11100114227033,1173.0
False,21.062767045796477,14.0,66.19726785821749,44.0,112.83625203105252,75.0
False,,,,,,
False,15.218555364540768,27.0,11.836654172420594,21.0,87.36578079643773,155.0
True,14.370213344623757,149.0,22.953763597452717,238.0,47.25774858299088,490.0
True,16.603454030627184,389.0,9.347445842435356,219.0,15.920535612915012,373.0
False,29.01172414970049,17.0,,,64.84973633462464,38.0
False,18.227194974902552,13.0,,,46.26903339782956,33.0
False,,,,,86.6094291308932,23.0
False,0.0,0.0,,,,
False,,,,,,
