variant,series,unit,stock_or_flow,index_base_year,year,value,index,first_year,last_year,note,script
con_rett,grd_principal_rate,"episodes with F84 principal per 100,000 GRD episodes",rate,2019,2020,20.846335649024443,99.60180224672375,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,grd_principal_rate,"episodes with F84 principal per 100,000 GRD episodes",rate,2019,2021,23.1359918913857,110.54156125781473,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,grd_principal_rate,"episodes with F84 principal per 100,000 GRD episodes",rate,2019,2022,32.5886889377481,155.7056456207199,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,grd_principal_rate,"episodes with F84 principal per 100,000 GRD episodes",rate,2019,2023,35.20628865116628,168.21228723901118,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,grd_principal_rate,"episodes with F84 principal per 100,000 GRD episodes",rate,2019,2024,36.930852734310605,176.45208984332075,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,deis_principal_rate,"DEIS discharges with F84 principal per 100,000 discharges",rate,2021,2019,20.153792631869383,95.68564183202449,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,deis_principal_rate,"DEIS discharges with F84 principal per 100,000 discharges",rate,2021,2020,20.067990652976334,95.27827347358179,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,deis_principal_rate,"DEIS discharges with F84 principal per 100,000 discharges",rate,2021,2021,21.06250451582823,100.0,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,deis_principal_rate,"DEIS discharges with F84 principal per 100,000 discharges",rate,2021,2022,30.054135010688,142.69022465064714,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,deis_principal_rate,"DEIS discharges with F84 principal per 100,000 discharges",rate,2021,2023,37.21467970255547,176.68686871776842,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
