age_group,count,population,rate,lo,hi
0-4,348.0,580776.0,59.91983139799165,53.78898505331125,66.55800289382533
5-9,586.0,599322.0,97.77715485164903,90.01979461405438,106.02415921861646
10-14,893.0,634559.0,140.72765495407046,131.64780881383078,150.2687570649146
15-19,585.0,614278.0,95.23375409830729,87.67185855738336,103.27337782565289
20-24,178.0,641616.0,27.742450312959775,23.816498197742238,32.130817195596705
25-29,112.0,746460.0,15.004152935187419,12.354373112096884,18.05389482251365
30-34,65.0,838059.0,7.756017177788198,5.985930313884138,9.885680580468867
35-39,45.0,770683.0,5.838976596084253,4.258989596012168,7.813010082869195
40-44,25.0,705304.0,3.544570851717841,2.2938593638812947,5.232485807188158
45+,41.0,4044820.0,1.0136421398232802,0.7274071001541547,1.375120019326816
