year,category,sex,n_episodes,asr,asr_lo,asr_hi,asr_var,groups_missing,label_en,label_es
2019,F80,HOMBRE,528,6.935246484287984,6.349694831170461,7.561384204018535,0.09320942066883726,0,Speech and language development disorders,Trastornos del desarrollo del habla y lenguaje
2020,F80,HOMBRE,379,4.95240055898455,4.460485020134773,5.485092893879445,0.06631265853781777,0,Speech and language development disorders,Trastornos del desarrollo del habla y lenguaje
2021,F80,HOMBRE,493,6.612609381383895,6.036017675935923,7.230582416703566,0.09051261772078432,0,Speech and language development disorders,Trastornos del desarrollo del habla y lenguaje
2022,F80,HOMBRE,690,9.408541275971476,8.713784032393242,10.14492636865829,0.13048162505928373,0,Speech and language development disorders,Trastornos del desarrollo del habla y lenguaje
2023,F80,HOMBRE,778,10.588840599147002,9.851924355486519,11.367228229309436,0.14646870521928676,0,Speech and language development disorders,Trastornos del desarrollo del habla y lenguaje
2024,F80,HOMBRE,920,12.50710622092772,11.704364209954312,13.351284270696043,0.17331076150503255,0,Speech and language development disorders,Trastornos del desarrollo del habla y lenguaje
2019,F81,HOMBRE,78,1.0281598882699776,0.8118698067764428,1.2858258266510327,0.013666504263527064,0,Scholastic skills development disorders,Trastornos del aprendizaje escolar
2020,F81,HOMBRE,46,0.5944311891627109,0.43418565380796487,0.7964477304695896,0.00778818981413618,0,Scholastic skills development disorders,Trastornos del aprendizaje escolar
2021,F81,HOMBRE,55,0.7141309140322982,0.537293846606923,0.9327094375004357,0.00935065751082967,0,Scholastic skills development disorders,Trastornos del aprendizaje escolar
2022,F81,HOMBRE,59,0.767094888479528,0.5827466750043672,0.9933006390223837,0.010114770042335417,0,Scholastic skills development disorders,Trastornos del aprendizaje escolar
2023,F81,HOMBRE,92,1.2049464019816014,0.9702412578060154,1.4811020960967616,0.015941440257460405,0,Scholastic skills development disorders,Trastornos del aprendizaje escolar
2024,F81,HOMBRE,89,1.166684215319416,0.9361713268628414,1.438580893384045,0.015402925614747416,0,Scholastic skills development disorders,Trastornos del aprendizaje escolar
2019,F82,HOMBRE,280,3.8814910120640254,3.438879449140556,4.365847247578504,0.054119430213158154,0,Motor function development disorder,Trastorno del desarrollo de la función motriz
2020,F82,HOMBRE,169,2.3647009089245006,2.0206689455755122,2.7511296082282386,0.03327802456663428,0,Motor function development disorder,Trastorno del desarrollo de la función motriz
2021,F82,HOMBRE,169,2.3739326684007143,2.0282055361504394,2.762377854181185,0.03360961666561481,0,Motor function development disorder,Trastorno del desarrollo de la función motriz
2022,F82,HOMBRE,221,3.1232500778784393,2.723383622749386,3.5658882520519137,0.044515568761459776,0,Motor function development disorder,Trastorno del desarrollo de la función motriz
2023,F82,HOMBRE,237,3.3556119234527024,2.940344339849242,3.8135959446505874,0.04789631731588703,0,Motor function development disorder,Trastorno del desarrollo de la función motriz
2024,F82,HOMBRE,261,3.691701515556019,3.255901366395271,4.170078547421433,0.05258306127115257,0,Motor function development disorder,Trastorno del desarrollo de la función motriz
2019,F83,HOMBRE,194,2.7377116624329423,2.365475458424523,3.1522478622726564,0.0387484641517625,0,Mixed specific developmental disorders,Trastornos mixtos del desarrollo
2020,F83,HOMBRE,96,1.3474462784089583,1.0907016997989012,1.647039831897123,0.01902743574611357,0,Mixed specific developmental disorders,Trastornos mixtos del desarrollo
