cut_comuna,indicator,variant,population_base,observed,expected,expected_unscaled,expected_scaling_factor,person_years,rate_per_100k,standardisation,years_in_period,years_reported,rate_lo,rate_hi,sir,sir_lo,sir_hi,sir_eb,eb_weight,prior_mean,prior_variance,suppressed,never_reported,period,years,cut_region,script
1101,grd_episodes,sin_rett,base2017,353.0,301.8541340995097,301.73492311491214,1.000395085140848,1358733,25.980085859399896,age-sex indirect (national age x sex x year rates of the same source),6,6,23.340253546261614,28.836741890447485,1.1694390108423345,1.0506125025015585,1.2980253835488889,1.1671657721235094,0.9865837347165566,1.0,0.2436156509750521,False,False,full,2019-2024,1,lancet_americas/pipeline/15b_spatial_correlation.py
1107,grd_episodes,sin_rett,base2017,206.0,242.98344944276656,242.88748820527883,1.000395085140848,809073,25.46123773750947,age-sex indirect (national age x sex x year rates of the same source),6,6,22.10282829803199,29.185729098056655,0.847794368186061,0.7359678875488939,0.9718104444028808,0.8503229289640334,0.9833872061904824,1.0,0.2436156509750521,False,False,full,2019-2024,1,lancet_americas/pipeline/15b_spatial_correlation.py
1401,grd_episodes,sin_rett,base2017,27.0,29.021221899576965,29.00976057423453,1.000395085140848,107268,25.170600738337622,age-sex indirect (national age x sex x year rates of the same source),6,6,16.58758449096168,36.62190256662014,0.9303536595884536,0.6131089239913824,1.353615729244492,0.9389839116887294,0.8760846291523873,1.0,0.2436156509750521,False,False,full,2019-2024,1,lancet_americas/pipeline/15b_spatial_correlation.py
1402,grd_episodes,sin_rett,base2017,1.0,1.7824165265064076,1.781712598333545,1.000395085140848,8240,12.135922330097088,age-sex indirect (national age x sex x year rates of the same source),6,1,0.3072549512656538,67.61703144343323,0.561036090683041,0.0142042040161698,3.125893026732362,0.8670996743231505,0.3027591172213824,1.0,0.2436156509750521,True,False,full,2019-2024,1,lancet_americas/pipeline/15b_spatial_correlation.py
1403,grd_episodes,sin_rett,base2017,0.0,1.8046442275859615,1.8039315210468891,1.000395085140848,9433,0.0,age-sex indirect (national age x sex x year rates of the same source),6,0,0.0,39.10611103693349,0.0,0.0,2.044103429210798,0.694618302445912,0.3053816975540879,1.0,0.2436156509750521,True,True,full,2019-2024,1,lancet_americas/pipeline/15b_spatial_correlation.py
1404,grd_episodes,sin_rett,base2017,1.0,4.256201523978399,4.254520626097597,1.000395085140848,18195,5.496015388843089,age-sex indirect (national age x sex x year rates of the same source),6,1,0.1391470622934315,30.621837817746073,0.2349512809405862,0.0059484514165167,1.3090647516452454,0.6105501042973368,0.509052411958118,1.0,0.2436156509750521,True,False,full,2019-2024,1,lancet_americas/pipeline/15b_spatial_correlation.py
1405,grd_episodes,sin_rett,base2017,11.0,8.635527277213386,8.632116856109475,1.000395085140848,36474,30.158469046444043,age-sex indirect (national age x sex x year rates of the same source),6,5,15.054999087670224,53.9618317522124,1.2738075680712353,0.6358801484799189,2.279193601210323,1.185589250412453,0.6778090602819606,1.0,0.2436156509750521,False,False,full,2019-2024,1,lancet_americas/pipeline/15b_spatial_correlation.py
2101,grd_episodes,sin_rett,base2017,953.0,600.0808967103619,599.8439072957613,1.000395085140848,2593425,36.74677308964015,age-sex indirect (national age x sex x year rates of the same source),6,6,34.450473572938805,39.15589261506737,1.588119210633662,1.4888779148892386,1.6922363528303537,1.5841235396399056,0.993206018573256,1.0,0.2436156509750521,False,False,full,2019-2024,2,lancet_americas/pipeline/15b_spatial_correlation.py
2102,grd_episodes,sin_rett,base2017,26.0,20.812258933091726,20.804039566189513,1.000395085140848,91053,28.55479775515359,age-sex indirect (national age x sex x year rates of the same source),6,5,18.652941930080654,41.8393947295806,1.2492637192140497,0.8160605376954775,1.8304607974366451,1.2082001550178234,0.835260565293243,1.0,0.2436156509750521,False,False,full,2019-2024,2,lancet_americas/pipeline/15b_spatial_correlation.py
2103,grd_episodes,sin_rett,base2017,1.0,2.346216411742604,2.34528982258272,1.000395085140848,10584,9.44822373393802,age-sex indirect (national age x sex x year rates of the same source),6,1,0.2392083142884531,52.6421333233078,0.4262181421096064,0.0107909090813517,2.3747354945832444,0.7913180220664436,0.3636956712099806,1.0,0.2436156509750521,True,False,full,2019-2024,2,lancet_americas/pipeline/15b_spatial_correlation.py
