age_group,count,population,rate,lo,hi
0-4,165.0,589563.0,27.986830923921616,23.87936777091843,32.59800574505686
5-9,135.0,626150.0,21.560328994649844,18.076930709488526,25.51925872148735
10-14,138.0,607281.0,22.72424133144294,19.091147537642218,26.84749429073446
15-19,53.0,625645.0,8.47125766209272,6.34555329817348,11.080613595442184
20-24,18.0,711606.0,2.5294896333083194,1.4991358673759823,3.997684149308464
25-29,9.0,800590.0,1.1241709239435915,0.5140425308058224,2.134026586819617
30-34,12.0,745995.0,1.6085898699052943,0.8311818589564564,2.809882780471309
35-39,4.0,691342.0,0.5785848393414548,0.15764489552585043,1.4814069845899274
40-44,3.0,663414.0,0.4522063146089772,0.09325581354864403,1.3215387480129035
45+,10.0,3621491.0,0.27612936218811535,0.1324147622107147,0.5078117284294722
