year,gini,n_comunas,n_positive,n_zero
2019,0.37264773506858395,346,242,104
2020,0.38607079865429383,346,213,133
2021,0.38457615845120285,346,230,116
2022,0.3450228637892606,346,270,76
2023,0.3173513342968488,346,297,49
2024,0.29948235496410025,346,302,44
