era,year,variant,position,panel,horizon_days,n_discharges,n_eligible,n_readmitted_any_cause,n_readmitted_f84,n_with_overlapping_next_admission,pct_any_cause,pct_any_cause_lo,pct_any_cause_hi,pct_f84,pct_f84_lo,pct_f84_hi,unit,denominator,script
2021-2024,2022,sin_rett,secondary_only,fixed65,365,3561,3561,1072,840,2,30.1039,28.6194,31.6313,23.5889,22.2234,25.0113,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2022,sin_rett,secondary_only,observed,30,3561,3561,412,319,2,11.5698,10.5604,12.662,8.9582,8.0639,9.9409,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2022,sin_rett,secondary_only,observed,90,3561,3561,634,483,2,17.804,16.5824,19.0949,13.5636,12.4782,14.7275,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2022,sin_rett,secondary_only,observed,365,3561,3561,1072,840,2,30.1039,28.6194,31.6313,23.5889,22.2234,25.0113,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2022,strict_autism_f840,any,fixed65,30,3058,3058,347,261,2,11.3473,10.2713,12.5203,8.535,7.596,9.578,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2022,strict_autism_f840,any,fixed65,90,3058,3058,528,398,2,17.2662,15.9679,18.6466,13.015,11.8687,14.2541,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2022,strict_autism_f840,any,fixed65,365,3058,3058,906,704,2,29.6272,28.0352,31.2703,23.0216,21.5639,24.5469,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2022,strict_autism_f840,any,observed,30,3058,3058,347,261,2,11.3473,10.2713,12.5203,8.535,7.596,9.578,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2022,strict_autism_f840,any,observed,90,3058,3058,528,398,2,17.2662,15.9679,18.6466,13.015,11.8687,14.2541,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2022,strict_autism_f840,any,observed,365,3058,3058,906,704,2,29.6272,28.0352,31.2703,23.0216,21.5639,24.5469,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
