year,cut_region,region,rem_ingresos,rem_crude,rem_asr,grd_records,grd_records_crude,grd_records_asr,grd_persons,grd_persons_crude,grd_persons_asr
2021.0,1,Tarapacá,13.0,3.3234057239272428,3.7288336743122414,45.0,11.504096736671226,12.76163346601038,39.0,9.970217171781728,11.170698554354743
2021.0,2,Antofagasta,135.0,19.18305752359516,23.683197843658828,147.0,20.888218192359176,25.498180770994495,121.0,17.193703410037145,21.309961355908516
2021.0,3,Atacama,141.0,44.51642845641652,54.9662653564555,26.0,8.208703119622905,9.93907614730211,26.0,8.208703119622905,9.93907614730211
2021.0,4,Coquimbo,154.0,18.15868568847949,22.729702734332683,136.0,16.03624190670916,20.21640465449317,89.0,10.494305365419969,13.104314248568588
2021.0,5,Valparaíso,196.0,9.902125572087726,13.766991423846113,177.0,8.942225644181264,11.891530181740947,155.0,7.830762569763253,10.387054964696349
2021.0,6,O'Higgins,79.0,7.89243115851898,10.35150882340202,96.0,9.59080242047876,12.703335956523349,84.0,8.391952117918915,11.170112904672369
2021.0,7,Maule,194.0,16.972700199123018,22.779872393027627,83.0,7.26151606457325,9.689134801245824,74.0,6.474122756366512,8.597823779333138
2021.0,8,Biobío,314.0,18.79575479321677,25.516017700768437,285.0,17.059841133970632,22.733395522375154,236.0,14.126745640761648,18.85535833543584
2021.0,9,La Araucanía,175.0,17.16446896075516,22.252631636414783,127.0,12.456500331519456,15.819949520643926,107.0,10.494846736004584,13.378694544849486
2021.0,10,Los Lagos,70.0,7.801155239645917,10.504525732593992,117.0,13.03907375769389,17.170478365992558,104.0,11.590287784616793,15.301150242833849
2021.0,11,Aysén,34.0,31.55833186370513,40.30012671774849,18.0,16.70735216313801,20.50652036417314,11.0,10.210048544139896,12.776047233901137
2021.0,12,Magallanes,7.0,3.889991053020578,4.97866439951423,47.0,26.11851135599531,37.02059015761153,38.0,21.117094287826,30.193000165105587
2021.0,13,Metropolitana,369.0,4.476819356941903,6.132580659868509,790.0,9.584518406460983,12.989784538935597,642.0,7.788937742972092,10.519358313877108
2021.0,14,Los Ríos,27.0,6.620600365849472,9.590476628814582,37.0,9.07267457542335,11.82150287481734,29.0,7.111015207764248,9.286069072961835
2021.0,15,Arica y Parinacota,40.0,15.66293366747592,19.56614806118015,68.0,26.626987234709063,32.086351742930766,62.0,24.27754718458767,29.168011247413645
2021.0,16,Ñuble,137.0,26.627379943557727,37.26866055195208,155.0,30.125867819353637,39.95541316029006,125.0,24.29505469302713,32.354225822488374
2022.0,1,Tarapacá,47.0,11.847833485002408,13.85171841215577,93.0,23.44358540649413,27.08354619749825,80.0,20.166525080855163,23.59857257615691
2022.0,2,Antofagasta,173.0,24.378661202840327,30.23156338935411,213.0,30.01534587401728,37.40400462184767,186.0,26.210583720972835,32.97441483769102
2022.0,3,Atacama,307.0,96.53966616772117,118.69330016652364,54.0,16.980918479012843,20.09667014336648,46.0,14.46522685249242,17.17748937478416
2022.0,4,Coquimbo,302.0,35.16661640091806,44.74715403309924,236.0,27.481196922571726,35.60219902951819,196.0,22.82336693569516,29.44249131037066
2022.0,5,Valparaíso,578.0,28.9646200673703,40.704865639965725,331.0,16.58700560951483,23.23312667534741,299.0,14.983428027930312,21.04128965837604
2022.0,6,O'Higgins,123.0,12.183622042252406,16.25754546040199,147.0,14.560914148057751,19.684542683192507,116.0,11.490245178059178,15.426073039944717
2022.0,7,Maule,210.0,18.212677237535807,25.310533343207144,195.0,16.911771720568964,22.699630042837143,163.0,14.136506617706363,19.051812685515426
2022.0,8,Biobío,686.0,40.924219203481066,56.6665157154777,451.0,26.90498959295913,36.44697460092528,381.0,22.72904885791004,30.81042273757585
2022.0,9,La Araucanía,264.0,25.78051988762037,33.68264515062411,210.0,20.50723172878893,26.81161819908169,181.0,17.675280680527603,23.08732245500307
2022.0,10,Los Lagos,242.0,26.814107322910548,36.52462117171183,171.0,18.947158480238446,25.38366094295217,147.0,16.287908167222525,21.959873906329715
2022.0,11,Aysén,80.0,74.04185215693171,92.12517101928114,31.0,28.691217710811035,35.90549063355006,26.0,24.06360195100281,30.80971863938933
2022.0,12,Magallanes,11.0,6.072550415969704,8.3229114607762,60.0,33.12300226892565,44.2708049925994,45.0,24.84225170169424,33.6579958810595
2022.0,13,Metropolitana,865.0,10.407913190543985,14.352540239470596,1272.0,15.305046911412656,21.148876513141904,1045.0,12.573721715743888,17.327629927023164
2022.0,14,Los Ríos,173.0,42.2405563056849,62.822807488692575,62.0,15.138234051748343,20.639443899643783,53.0,12.940748463591326,17.68895181375924
2022.0,15,Arica y Parinacota,129.0,50.05393408401301,63.82644337232137,103.0,39.96554426863054,48.77802798132981,70.0,27.161049502952796,33.252504219528795
2022.0,16,Ñuble,451.0,87.22391985456234,123.24165238622705,221.0,42.74165474026225,58.52581820144291,190.0,36.746219007465285,50.59447367896211
2023.0,1,Tarapacá,112.0,27.88927956014622,32.58103028113415,131.0,32.62049662838531,37.91403930390634,111.0,27.64026813550206,32.32972736097558
2023.0,2,Antofagasta,221.0,30.94622638074781,39.36674675589717,409.0,57.27152303043372,72.20189123788262,317.0,44.38893105292785,56.07350253736208
2023.0,3,Atacama,269.0,84.31333216318548,104.22136960049458,109.0,34.16413831147664,41.19275483073987,78.0,24.447732002708054,29.783601565711727
2023.0,4,Coquimbo,546.0,62.82339377496108,80.11779831631513,356.0,40.9617732305607,54.25199339072626,304.0,34.978592871040604,46.31972205573618
2023.0,5,Valparaíso,896.0,44.55829353671012,62.77963217094288,622.0,30.93220823642153,43.94387392483019,520.0,25.859723927554978,36.76365734643867
2023.0,6,O'Higgins,253.0,24.859953955041806,33.58408814809688,218.0,21.420829890115076,29.426119855303117,173.0,16.99909894949499,23.39470959218561
2023.0,7,Maule,341.0,29.32977591535134,39.405211898971935,325.0,27.9535987463026,38.034203267967946,258.0,22.190856850910983,30.380118170344083
2023.0,8,Biobío,1103.0,65.59892472478784,90.16999106043276,808.0,48.05433470319906,66.11723114929117,683.0,40.62018638896654,55.95532508836082
2023.0,9,La Araucanía,455.0,44.25204799450691,58.37341263934689,370.0,35.98518188564298,47.33646946120156,302.0,29.37168899855184,38.76452291235596
2023.0,10,Los Lagos,425.0,46.83562019728265,64.23010306887156,275.0,30.305401304124068,40.92912858149039,230.0,25.34633563617649,34.15754833463471
2023.0,11,Aysén,125.0,115.41373515779364,145.98694562941134,47.0,43.39556441933041,53.3161009847687,39.0,36.00908536923162,44.72068174409336
2023.0,12,Magallanes,40.0,21.95184862005192,30.55997288473696,82.0,45.00128967110643,61.89482720758114,67.0,36.76934643858696,50.49609553164839
2023.0,13,Metropolitana,2025.0,24.19993809596082,33.69991577562898,2087.0,24.940874472232213,34.61006456833281,1654.0,19.76627042504652,27.370237671727555
2023.0,14,Los Ríos,258.0,62.74242774285332,91.16791819781238,91.0,22.130081103099428,31.10393619196363,71.0,17.266327014506146,24.12198131289645
