era,raw_F84_identifiers,F84_records_missing_id,history_records,exact_duplicate_rows_removed,ids_inconsistent_or_missing_birth_sex,ids_ambiguous_encounter_key,history_records_invalid_dates
2019-2020,3152,4,6591,2,50,8,0
2021-2024,15762,6,31464,0,130,2,4
