series,year,sex,age_group,population,count,rate,rate_lo,rate_hi
05990022,2021,HOMBRE,0-4,600632.0,408,67.92844870070192,61.496251148493364,74.85054176625307
05990022,2021,HOMBRE,10-14,655232.0,316,48.22719281109592,43.05582187233071,53.848629536204236
05990022,2021,HOMBRE,15-19,631851.0,192,30.386910838156464,26.240543621524328,35.00241735835989
05990022,2021,HOMBRE,20-24,719079.0,29,4.0329365758143405,2.700920919335419,5.791969649869708
05990022,2021,HOMBRE,25-29,827115.0,19,2.297141268142882,1.3830291028897712,3.5872706421217835
05990022,2021,HOMBRE,30-34,842111.0,13,1.5437394832747702,0.8219762585934397,2.639841531360934
05990022,2021,HOMBRE,35-39,738934.0,5,0.6766504180346282,0.21970654890943175,1.5790763558481098
05990022,2021,HOMBRE,40-44,683807.0,3,0.4387202821848855,0.09047466944556012,1.2821268383830997
05990022,2021,HOMBRE,45-49,644339.0,1,0.15519780736537755,0.003929268286459437,0.864706837695514
05990022,2021,HOMBRE,5-9,651336.0,637,97.79898546986502,90.35069498636649,105.69756743499227
05990022,2021,HOMBRE,50-54,602079.0,1,0.16609116079451366,0.004205064116883312,0.925400718334122
05990022,2021,HOMBRE,55-59,566471.0,0,0.0,0.0,0.6512035839635101
05990022,2021,HOMBRE,60-64,483184.0,0,0.0,0.0,0.7634523192228914
05990022,2021,HOMBRE,65-69,393552.0,0,0.0,0.0,0.9373296169537787
05990022,2021,HOMBRE,70-74,278885.0,0,0.0,0.0,1.3227242247212778
05990022,2021,HOMBRE,75-79,184713.0,0,0.0,0.0,1.9970870778526337
05990022,2021,HOMBRE,80+,205192.0,0,0.0,0.0,1.7977696275263828
05990022,2021,MUJER,0-4,578263.0,114,19.714213082974357,16.261794747710884,23.682792014366367
05990022,2021,MUJER,10-14,632388.0,104,16.44559985325465,13.437246802616507,19.926596803703635
05990022,2021,MUJER,15-19,610954.0,63,10.311741964206798,7.92382565553008,13.193197407151846
05990022,2021,MUJER,20-24,697050.0,8,1.1476938526648017,0.4954927446737682,2.2614144208009916
05990022,2021,MUJER,25-29,802756.0,10,1.2457085341000254,0.5973656623098965,2.2909023466679512
05990022,2021,MUJER,30-34,817367.0,4,0.4893762532619986,0.13333855827630978,1.2529975733548937
05990022,2021,MUJER,35-39,722171.0,6,0.8308281556584244,0.3048992902637811,1.8083631193330507
05990022,2021,MUJER,40-44,678365.0,3,0.44223979715934636,0.09120047804583098,1.292412354667815
05990022,2021,MUJER,45-49,651942.0,6,0.9203272683766347,0.337743887261574,2.0031650089300403
05990022,2021,MUJER,5-9,627814.0,130,20.70676983947475,17.300451837427012,24.587607712838036
05990022,2021,MUJER,50-54,622931.0,3,0.4815942696703166,0.09931631639709716,1.407422823674263
05990022,2021,MUJER,55-59,601133.0,2,0.3327050752495704,0.040292128122057014,1.2018451270723718
05990022,2021,MUJER,60-64,530360.0,4,0.754204691153179,0.2054953943785966,1.9310635559626845
05990022,2021,MUJER,65-69,450783.0,0,0.0,0.0,0.8183271006479693
05990022,2021,MUJER,70-74,336455.0,1,0.2972165668514363,0.0075248719692945195,1.6559847203753542
05990022,2021,MUJER,75-79,246241.0,3,1.218318639056859,0.25124659292952894,3.5604440648561058
05990022,2021,MUJER,80+,362878.0,0,0.0,0.0,1.0165618897023063
05990022,2022,HOMBRE,0-4,599782.0,753,125.54561490674945,116.73745771090951,134.84225456339243
05990022,2022,HOMBRE,10-14,660773.0,726,109.87131738130947,102.02344995853092,118.1626776116837
05990022,2022,HOMBRE,15-19,626479.0,344,54.910060832047044,49.260119559034834,61.03036460457784
05990022,2022,HOMBRE,20-24,700037.0,86,12.28506493228215,9.826466207381893,15.17195525121489
05990022,2022,HOMBRE,25-29,808991.0,25,3.090269236616971,1.9998593121344153,4.561847004173145
