year,definition,role,TIPO_ACTIVIDAD,n,mean,sd,median,q25,q75,p90,max,total_days,n_los0
2021,TEA_operacional,principal_y_secundario,HOSPITALIZACIÓN,3,32.666666666666664,31.00537587795596,32.0,17.0,48.0,57.6,64.0,98.0,0
2021,TEA_operacional,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),177,0.05649717514124294,0.23153426322856202,0.0,0.0,0.0,0.0,1.0,10.0,167
2021,TEA_operacional,solo_secundario,HOSPITALIZACIÓN,1992,9.465863453815262,34.427379210948274,3.0,1.0,7.0,19.0,686.0,18856.0,267
2022,TEA_operacional,principal,HOSPITALIZACIÓN,286,17.255244755244757,38.079711738407845,7.0,1.25,19.0,35.5,420.0,4935.0,19
2022,TEA_operacional,principal_y_secundario,HOSPITALIZACIÓN,8,16.375,16.38760420038791,14.0,1.75,24.75,33.3,48.0,131.0,0
2022,TEA_operacional,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),348,0.040229885057471264,0.19678087704644556,0.0,0.0,0.0,0.0,1.0,14.0,334
2022,TEA_operacional,solo_secundario,HOSPITALIZACIÓN,3209,7.397008413836086,25.064879723158477,3.0,1.0,7.0,16.0,742.0,23737.0,392
2023,TEA_operacional,principal,HOSPITALIZACIÓN,351,14.47008547008547,35.088029537861175,5.0,1.0,16.0,32.0,506.0,5079.0,9
2023,TEA_operacional,principal_y_secundario,HOSPITALIZACIÓN,7,90.28571428571429,221.30199146996267,7.0,3.5,13.0,247.0000000000002,592.0,632.0,1
2023,TEA_operacional,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),630,0.025396825396825397,0.15745214426089663,0.0,0.0,0.0,0.0,1.0,16.0,614
2023,TEA_operacional,solo_secundario,HOSPITALIZACIÓN,5418,7.112218530823182,12.704068203776538,3.0,1.0,7.0,17.0,210.0,38534.0,510
2024,TEA_operacional,principal,HOSPITALIZACIÓN,371,13.107816711590296,26.08746656359822,6.0,1.0,14.0,29.0,282.0,4863.0,28
2024,TEA_operacional,principal_y_secundario,HOSPITALIZACIÓN,15,21.4,35.25377386080208,8.0,3.5,15.0,53.99999999999999,133.0,321.0,1
2024,TEA_operacional,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),1112,0.03597122302158273,0.18630219220906985,0.0,0.0,0.0,0.0,1.0,40.0,1072
2024,TEA_operacional,solo_secundario,HOSPITALIZACIÓN,7215,7.338322938322938,16.434094139778892,3.0,1.0,7.0,17.0,552.0,52946.0,649
2019,F84_historico,principal,CIRUGÍA MAYOR AMBULATORIA (CMA),1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1
2019,F84_historico,principal,HOSPITALIZACIÓN,208,15.5,25.0257838053569,6.0,1.0,20.25,37.0,196.0,3224.0,25
2019,F84_historico,principal,HOSPITALIZACIÓN DIURNA,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2019,F84_historico,principal,HOSPITALIZACIÓN EN URGENCIA,17,4.117647058823529,5.2067546627094945,2.0,1.0,5.0,7.4,22.0,70.0,1
2019,F84_historico,principal_y_secundario,HOSPITALIZACIÓN,7,18.714285714285715,21.234518169828153,9.0,3.0,28.0,41.60000000000001,59.0,131.0,0
2019,F84_historico,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),167,0.04790419161676647,0.2142058247195213,0.0,0.0,0.0,0.0,1.0,8.0,159
2019,F84_historico,solo_secundario,HOSPITALIZACIÓN,1745,8.655587392550144,27.1664509946767,3.0,1.0,7.0,17.0,557.0,15104.0,255
2019,F84_historico,solo_secundario,HOSPITALIZACIÓN DIURNA,156,0.08333333333333333,0.8868816943566635,0.0,0.0,0.0,0.0,11.0,13.0,153
