year,cut_region,sex,age_group,population
2017,5,HOMBRE,20-24,76775.0
2017,5,HOMBRE,25-29,76768.0
2017,5,HOMBRE,30-34,68548.0
2017,5,HOMBRE,35-39,63385.0
2017,5,HOMBRE,40-44,60095.0
2017,5,HOMBRE,45-49,57441.0
2017,5,HOMBRE,5-9,62728.0
2017,5,HOMBRE,50-54,58752.0
2017,5,HOMBRE,55-59,54529.0
2017,5,HOMBRE,60-64,47070.0
2017,5,HOMBRE,65-69,37191.0
2017,5,HOMBRE,70-74,27977.0
2017,5,HOMBRE,75-79,19116.0
2017,5,HOMBRE,80+,22004.0
2017,5,MUJER,0-4,57667.0
2017,5,MUJER,10-14,58817.0
2017,5,MUJER,15-19,64999.0
2017,5,MUJER,20-24,72826.0
2017,5,MUJER,25-29,74132.0
2017,5,MUJER,30-34,66196.0
2017,5,MUJER,35-39,63771.0
2017,5,MUJER,40-44,61870.0
2017,5,MUJER,45-49,60462.0
2017,5,MUJER,5-9,60361.0
2017,5,MUJER,50-54,63814.0
2017,5,MUJER,55-59,60696.0
2017,5,MUJER,60-64,52978.0
2017,5,MUJER,65-69,43203.0
2017,5,MUJER,70-74,34887.0
2017,5,MUJER,75-79,26759.0
2017,5,MUJER,80+,40829.0
2017,6,HOMBRE,0-4,31737.0
2017,6,HOMBRE,10-14,33576.0
2017,6,HOMBRE,15-19,34019.0
2017,6,HOMBRE,20-24,31389.0
2017,6,HOMBRE,25-29,36566.0
2017,6,HOMBRE,30-34,33726.0
2017,6,HOMBRE,35-39,35042.0
2017,6,HOMBRE,40-44,34743.0
2017,6,HOMBRE,45-49,33388.0
2017,6,HOMBRE,5-9,34485.0
2017,6,HOMBRE,50-54,32890.0
2017,6,HOMBRE,55-59,29422.0
2017,6,HOMBRE,60-64,24408.0
2017,6,HOMBRE,65-69,18750.0
2017,6,HOMBRE,70-74,13408.0
2017,6,HOMBRE,75-79,9264.0
2017,6,HOMBRE,80+,10418.0
2017,6,MUJER,0-4,30461.0
2017,6,MUJER,10-14,32121.0
2017,6,MUJER,15-19,32461.0
2017,6,MUJER,20-24,29903.0
2017,6,MUJER,25-29,35293.0
2017,6,MUJER,30-34,33165.0
2017,6,MUJER,35-39,33983.0
2017,6,MUJER,40-44,34425.0
2017,6,MUJER,45-49,32945.0
2017,6,MUJER,5-9,33104.0
2017,6,MUJER,50-54,32779.0
2017,6,MUJER,55-59,29428.0
2017,6,MUJER,60-64,25337.0
2017,6,MUJER,65-69,20097.0
2017,6,MUJER,70-74,14869.0
2017,6,MUJER,75-79,11064.0
2017,6,MUJER,80+,15613.0
2017,7,HOMBRE,0-4,36476.0
2017,7,HOMBRE,10-14,37808.0
2017,7,HOMBRE,15-19,39588.0
2017,7,HOMBRE,20-24,38205.0
2017,7,HOMBRE,25-29,40575.0
2017,7,HOMBRE,30-34,36853.0
