year,sheet,code,label,section,dictionary,excel_row,total_rule,age_sex_mapping,Col01,Col02,Col03,Col04,Col05,Col06,Col07,Col08,Col09,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,total_known,months,reporting_establishments,rows,rows_total_known
2022,A05,05990031,TRASTONO GENERALIZADO DEL DESARROLLO NO ESPECÍFICO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,263,Col01,A05_Col04_Col37,582,435,147,46,12,143,38,120,38,87,24,21,7,7,1,3,2,2,1,2,1,0,3,1,1,0,2,1,2,0,14,0,1,1,0,1,0,261,2,99,0,1,14,2,14,2,,,,,582,12,236,480,480
2023,A03,03500404,Niños/as con Control a los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,215,Col01+Col02,not_applied,38316,36624,2069,2348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72668,12,1136,7834,6338
2023,A03,03500405,Niños/as con alteración de área Lenguaje y/o Social en Control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,216,Col01+Col02,not_applied,6430,3903,242,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8415,12,831,4098,2713
2023,A03,09600212,Niños/as con sospecha del Espectro Autista en otros controles o consultas.,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,217,Col01+Col02,not_applied,5234,2987,247,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6804,12,731,2668,1745
2023,A03,09600213,Resultado M-CHAT R/F 1° parte | Riego Bajo,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,218,Col01+Col02,not_applied,7743,6340,541,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12143,12,880,3831,2520
2023,A03,09600214,Riesgo medio,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,219,Col01+Col02,not_applied,2448,1194,99,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2367,12,627,2117,1156
2023,A03,09600215,Riego Alto,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,220,Col01+Col02,not_applied,1349,558,46,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186,12,478,1242,670
2023,A03,09600216,Riesgo Alto con derivación a especialista,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,221,Col01+Col02,not_applied,827,325,23,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,12,373,835,389
2023,A03,09600217,Resultado M-CHAT R/F 2° Parte | Riesgo Medio en 1° parte,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,222,Col01+Col02,not_applied,596,324,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637,12,247,549,309
2023,A03,09600218,No requiere derivación,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,223,Col01+Col02,not_applied,471,346,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534,12,267,488,238
2023,A03,09600219,Requiere derivación,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,224,Col01+Col02,not_applied,784,352,32,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653,12,346,801,383
2023,A05,05990022,TRASTORNO GENERALIZADOS DEL DESARROLLO | AUTISMO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,221,Col01,A05_Col04_Col37,8049,5734,2315,841,288,2489,717,1371,698,755,375,143,86,59,53,27,34,19,26,9,11,11,6,5,7,2,2,2,8,0,1,0,1,0,1,1,1,1,18,126,57,29,35,80,24,13,6,,,,8049,12,920,3712,3712
2023,A05,05990023,ASPERGER,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,222,Col01,A05_Col04_Col37,1301,858,443,52,16,196,84,282,155,192,101,67,31,29,11,16,13,8,10,3,9,4,3,4,4,3,2,1,1,1,1,0,0,0,2,0,0,1,1,13,10,9,15,13,11,0,2,,,,1301,12,397,842,842
2023,A05,05990024,SÍNDROME DE RETT,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,223,Col01,A05_Col04_Col37,56,30,26,1,0,12,1,4,3,7,3,2,0,1,2,0,3,0,1,1,4,0,0,0,2,1,1,0,3,1,1,0,0,0,2,0,0,1,0,0,0,1,1,2,1,0,0,,,,56,10,20,26,26
2023,A05,05990025,TRASTORNO DESINTEGRATIVO DE LA INFANCIA,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,224,Col01,A05_Col04_Col37,67,50,17,5,0,21,5,11,3,7,2,1,0,0,1,2,1,2,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,5,0,,,,67,12,40,55,55
2023,A05,05990026,TRASTONO GENERALIZADO DEL DESARROLLO NO ESPECÍFICO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,225,Col01,A05_Col04_Col37,2669,1729,940,368,161,592,207,403,248,228,161,52,32,22,22,19,19,11,18,7,10,6,12,2,8,2,3,6,7,9,10,1,12,1,7,0,3,2,7,24,15,19,30,39,18,4,0,,,,2669,12,473,1330,1330
2023,A05,05990027,TRASTORNO GENERALIZADOS DEL DESARROLLO | AUTISMO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,269,Col01,A05_Col04_Col37,1814,1350,464,128,45,599,154,325,114,221,110,43,12,14,10,8,5,1,2,0,3,6,2,1,3,2,1,1,1,0,2,0,0,1,0,0,0,510,8,408,1,6,26,11,11,22,15,4,,,1814,12,438,1174,1174
2023,A05,05990028,ASPERGER,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,270,Col01,A05_Col04_Col37,434,312,122,5,3,65,7,89,29,88,27,22,14,16,8,10,9,8,4,0,3,2,4,1,1,1,4,1,4,1,3,3,0,0,2,0,0,105,3,115,0,1,7,3,2,5,8,0,,,434,12,195,347,347
2023,A05,05990029,SÍNDROME DE RETT,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,271,Col01,A05_Col04_Col37,25,16,9,2,0,3,0,3,1,4,5,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,,,25,8,17,17,17
2023,A05,05990030,TRASTORNO DESINTEGRATIVO DE LA INFANCIA,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,272,Col01,A05_Col04_Col37,6,3,3,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,,,6,7,10,10,10
2023,A05,05990031,TRASTONO GENERALIZADO DEL DESARROLLO NO ESPECÍFICO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,273,Col01,A05_Col04_Col37,721,476,245,58,22,144,47,124,67,105,60,21,12,9,14,4,3,2,4,0,4,4,4,1,2,4,3,0,1,0,1,0,0,0,0,0,1,377,1,151,0,1,10,7,5,3,13,0,,,721,12,280,601,601
2023,A28,29101629,TRASTORNO ESPECTRO AUTISTA,SECCIÓN A.2: INGRESOS POR CONDICIÓN DE SALUD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,44,Col01,not_applied,3962,2901,1061,1289,490,1087,306,311,121,107,46,29,14,16,15,12,11,4,10,10,8,4,9,6,6,6,4,4,4,6,3,3,2,3,5,4,7,1433,1807,703,31,,,,,,,,,,3962,12,264,978,978
2023,A28,29101651,TRASTORNO ESPECTRO AUTISTA,SECCIÓN B.1: INGRESOS Y EGRESOS  A REHABILITACIÓN INTEGRAL,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,175,Col01,not_applied,731,556,175,231,85,210,45,75,24,17,5,0,1,2,1,2,0,1,0,1,0,0,0,1,4,2,0,2,2,3,1,1,0,1,2,7,5,648,35,48,,,,,,,,,,,731,12,39,155,155
2024,A03,03500404,Niños/as con Control a los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,217,Col01+Col02,not_applied,43681,41505,3113,1312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82616,12,1283,8755,7096
2024,A03,03500405,Niños/as con alteración de área Lenguaje y/o Social en Control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,218,Col01+Col02,not_applied,9117,5657,516,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12742,12,955,4871,3486
2024,A03,09600212,Niños/as con sospecha del Espectro Autista en otros controles o consultas.,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,219,Col01+Col02,not_applied,7786,4495,530,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10586,12,861,3805,2687
2024,A03,09600213,Resultado M-CHAT R/F 1° parte | Riego Bajo,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,220,Col01+Col02,not_applied,10448,7693,726,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15790,12,1082,5350,3684
2024,A03,09600214,Riesgo medio,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,221,Col01+Col02,not_applied,3196,1502,147,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3262,12,734,2739,1601
2024,A03,09600215,Riego Alto,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,222,Col01+Col02,not_applied,1566,668,66,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432,12,552,1546,862
2024,A03,09600216,Riesgo Alto con derivación a especialista,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,223,Col01+Col02,not_applied,1243,498,36,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102,12,454,1164,640
2024,A03,09600218,Resultado M-CHAT R/F 2° Parte | No requiere derivación,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,224,Col01+Col02,not_applied,1390,950,98,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775,12,528,1163,696
2024,A03,09600219,Requiere derivación,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,225,Col01+Col02,not_applied,1589,694,54,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470,12,516,1455,795
2024,A03,03700104,Niños/as evaluados en Control de Salud Integral,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (31 A 59 MESES),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,230,Col01+Col02,not_applied,20785,18677,983,1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38478,12,694,3025,2359
2024,A03,03700105,Niños/as con sospecha del Espectro Autista en otros controles o consultas,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (31 A 59 MESES),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,231,Col01+Col02,not_applied,3023,1553,180,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3796,12,564,1780,1211
2024,A03,03700106,Sospecha de TEA según pauta de señales de alerta | Sí,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (31 A 59 MESES),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,232,Col01+Col02,not_applied,4149,1711,223,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4621,12,674,2583,1678
2024,A03,03700107,No,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (31 A 59 MESES),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,233,Col01+Col02,not_applied,3279,3044,213,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5757,12,495,1499,1050
2024,A03,03700108,Derivación | Si,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (31 A 59 MESES),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,234,Col01+Col02,not_applied,3506,1360,179,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3735,12,629,2303,1466
2024,A03,03700109,No,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (31 A 59 MESES),REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,235,Col01+Col02,not_applied,2652,2279,169,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4439,12,464,1229,833
2024,A05,05990022,Trastorno Generalizados del Desarrollo | Autismo,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,224,Col01,A05_Col04_Col37,11842,8164,3678,942,311,3431,1079,2153,1121,1116,682,266,196,106,91,62,73,29,46,23,35,11,22,9,4,8,6,6,8,2,4,0,0,0,0,0,1,2,12,206,64,41,119,94,34,29,5,,,,11842,12,1070,5020,5019
2024,A05,05990023,Asperger,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,225,Col01,A05_Col04_Col37,922,595,327,25,9,151,60,177,116,129,74,58,21,22,16,16,10,5,9,6,6,1,1,2,1,2,2,0,0,0,0,0,1,1,0,0,1,0,1,10,10,3,13,8,8,3,3,,,,922,12,312,618,618
2024,A05,05990024,Síndrome de Rett,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,226,Col01,A05_Col04_Col37,15,4,11,1,0,0,1,1,1,0,0,1,2,0,2,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,15,6,13,13,13
2024,A05,05990025,Trastorno Desintegrativo de la Infancia,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,227,Col01,A05_Col04_Col37,47,27,20,2,3,9,2,2,5,3,5,2,0,4,1,1,2,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,,,,47,12,27,34,34
2024,A05,05990026,Trastorno Generalizado del Desarrollo no Específico,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,228,Col01,A05_Col04_Col37,2062,1357,705,194,75,459,182,365,205,222,127,41,30,37,20,15,17,14,20,5,5,2,4,1,4,0,7,1,4,0,2,0,1,1,1,0,1,1,2,26,9,9,27,28,20,2,1,,,,2062,12,457,1132,1132
2024,A05,05990027,Trastorno Generalizados del Desarrollo | Autismo,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,272,Col01,A05_Col04_Col37,3315,2331,984,139,60,909,280,681,278,445,222,76,57,24,24,17,20,17,11,9,11,3,2,1,5,1,3,2,4,1,2,1,3,2,2,3,1,1013,11,836,1,1,47,16,11,27,36,10,,,3315,12,625,1811,1810
2024,A05,05990028,Asperger,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,273,Col01,A05_Col04_Col37,476,340,136,8,0,62,16,88,37,111,50,37,22,14,2,6,3,6,1,3,1,2,1,0,1,2,0,0,1,1,0,0,1,0,0,0,0,157,0,117,0,0,9,1,2,4,7,1,,,476,12,220,378,378
2024,A05,05990029,Síndrome de Rett,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,274,Col01,A05_Col04_Col37,71,28,43,8,0,3,1,4,1,1,4,0,3,0,9,2,2,0,4,1,5,0,2,2,4,3,1,1,1,0,1,0,3,0,1,3,1,21,0,0,0,0,0,0,0,0,1,0,,,71,8,9,17,17
2024,A05,05990030,Trastorno Desintegrativo de la Infancia,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,275,Col01,A05_Col04_Col37,8,4,4,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,,,8,7,8,8,8
2024,A05,05990031,Trastorno Generalizado del Desarrollo no Específico,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,276,Col01,A05_Col04_Col37,1073,616,457,45,19,141,47,163,69,125,93,56,64,23,22,9,35,22,23,9,20,6,12,9,4,2,15,7,20,1,7,0,7,0,0,0,0,454,1,198,0,0,8,3,1,8,6,1,,,1073,12,269,566,565
2024,A28,29101629,Trastorno Espectro Autista,SECCIÓN A.2: INGRESOS POR CONDICIÓN DE SALUD,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,44,Col01,not_applied,7033,5173,1860,1843,696,2357,713,696,267,217,117,31,15,5,17,5,13,3,5,7,1,3,3,1,3,1,4,1,3,3,0,1,1,0,1,0,4,3725,1353,1867,42,,,,,,,,,,7033,12,313,1196,1196
2024,A28,29101651,Trastorno espectro autista,SECCIÓN B.1: INGRESOS Y EGRESOS  A REHABILITACIÓN INTEGRAL,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,174,Col01,not_applied,1045,712,333,274,134,297,116,89,44,18,11,8,2,2,0,0,1,1,2,2,0,1,1,0,1,0,1,4,5,3,6,3,5,2,2,8,2,888,30,127,,,,,,,,,,,1045,12,50,218,218
