year,sheet,code,label,section,dictionary,excel_row,total_rule,age_sex_mapping,Col01,Col02,Col03,Col04,Col05,Col06,Col07,Col08,Col09,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,total_known,months,reporting_establishments,rows,rows_total_known
2020,A03,03500404,Niños/as con Control a los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,202,Col01+Col02,not_applied,10600,9994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19293,12,663,2929,2048
2020,A03,03500405,Niños/as con alteracion de area Lenguaje y/o Social en Control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,203,Col01+Col02,not_applied,1532,826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1778,12,404,1076,638
2020,A03,03500406,Niños/as con Tamizaje Trastorno Espectro Autista (MCHAT) realizado   con alteracion del area de lenguaje y/o Social en el control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,204,Col01+Col02,not_applied,539,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565,12,198,427,225
2020,A03,03500407,Niños/as con Tamizaje Trastorno Espectro Autista (MCHAT) alterado y  con alteracion del area de lenguaje y/o Social en el control,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,205,Col01+Col02,not_applied,195,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,12,134,223,90
2020,A05,06902600,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,187,Col01,A05_Col04_Col37,2560,1955,607,405,113,759,201,399,121,239,84,60,15,25,13,19,9,9,8,7,3,9,13,6,4,6,9,4,7,1,2,1,2,0,1,4,2,1,5,69,21,33,24,,,,,,,,2560,12,492,1353,1353
2020,A05,05225000,TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,229,Col01,A05_Col04_Col37,646,448,198,38,22,167,29,109,32,89,32,22,11,11,13,3,11,3,11,0,4,1,7,1,7,2,7,0,3,0,2,2,2,0,1,0,4,220,5,105,0,0,13,5,6,1,,,,,646,12,260,504,504
2021,A03,03500404,Niños/as con Control a los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,208,Col01+Col02,not_applied,17785,16586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32278,12,745,4669,3557
2021,A03,03500405,Niños/as con alteración de área Lenguaje y/o Social en Control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,209,Col01+Col02,not_applied,3229,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3940,12,518,2226,1355
2021,A03,03500406,Niños/as con Tamizaje Trastorno Espectro Autista (MCHAT) realizado   con alteración del área de lenguaje y/o Social en el control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,210,Col01+Col02,not_applied,1201,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1364,12,273,893,544
2021,A03,03500407,Niños/as con Tamizaje Trastorno Espectro Autista (MCHAT) alterado y  con alteración del área de lenguaje y/o Social en el control,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,211,Col01+Col02,not_applied,619,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,12,230,571,314
2021,A05,05990022,TRASTORNO GENERALIZADOS DEL DESARROLLO | AUTISMO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,213,Col01,A05_Col04_Col37,2085,1624,461,408,114,637,130,316,104,192,63,29,8,19,10,13,4,5,6,3,3,1,6,1,3,0,2,0,4,0,0,0,1,0,3,0,0,0,3,29,2,14,23,,,,,,,,2085,12,449,1159,1159
2021,A05,05990023,ASPERGER,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,214,Col01,A05_Col04_Col37,911,695,216,56,15,205,56,196,76,138,47,50,13,19,3,9,0,7,0,6,2,6,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,18,9,12,10,,,,,,,,911,12,329,607,607
2021,A05,05990024,SÍNDROME DE RETT,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,215,Col01,A05_Col04_Col37,354,129,225,12,1,41,25,11,16,11,13,3,16,4,20,9,16,1,19,7,8,5,10,7,14,2,19,2,17,2,14,2,5,6,2,4,10,2,3,5,2,0,5,,,,,,,,354,12,58,83,83
