era,definition,sex,age_group,comuna_norm,persons
2021-2024,autismo_F840,HOMBRE,20-24,REQUINOA,2
2021-2024,autismo_F840,HOMBRE,20-24,RIO CLARO,1
2021-2024,autismo_F840,HOMBRE,20-24,SAAVEDRA,2
2021-2024,autismo_F840,HOMBRE,20-24,SALAMANCA,1
2021-2024,autismo_F840,HOMBRE,20-24,SAN ANTONIO,4
2021-2024,autismo_F840,HOMBRE,20-24,SAN BERNARDO,2
2021-2024,autismo_F840,HOMBRE,20-24,SAN CARLOS,1
2021-2024,autismo_F840,HOMBRE,20-24,SAN FELIPE,2
2021-2024,autismo_F840,HOMBRE,20-24,SAN FERNANDO,4
2021-2024,autismo_F840,HOMBRE,20-24,SAN JOAQUIN,2
2021-2024,autismo_F840,HOMBRE,20-24,SAN PEDRO DE ATACAMA,1
2021-2024,autismo_F840,HOMBRE,20-24,SAN PEDRO DE LA PAZ,1
2021-2024,autismo_F840,HOMBRE,20-24,SAN RAMON,1
2021-2024,autismo_F840,HOMBRE,20-24,SANTIAGO,2
2021-2024,autismo_F840,HOMBRE,20-24,TALAGANTE,1
2021-2024,autismo_F840,HOMBRE,20-24,TALCA,1
2021-2024,autismo_F840,HOMBRE,20-24,TALCAHUANO,8
2021-2024,autismo_F840,HOMBRE,20-24,TEMUCO,11
2021-2024,autismo_F840,HOMBRE,20-24,TIERRA AMARILLA,1
2021-2024,autismo_F840,HOMBRE,20-24,TOCOPILLA,1
2021-2024,autismo_F840,HOMBRE,20-24,VALDIVIA,3
2021-2024,autismo_F840,HOMBRE,20-24,VALLENAR,2
2021-2024,autismo_F840,HOMBRE,20-24,VALPARAISO,8
2021-2024,autismo_F840,HOMBRE,20-24,VICTORIA,3
2021-2024,autismo_F840,HOMBRE,20-24,VILLA ALEMANA,3
2021-2024,autismo_F840,HOMBRE,20-24,VILLARRICA,1
2021-2024,autismo_F840,HOMBRE,20-24,VINA DEL MAR,5
2021-2024,autismo_F840,HOMBRE,25-29,ANGOL,2
2021-2024,autismo_F840,HOMBRE,25-29,ANTOFAGASTA,3
2021-2024,autismo_F840,HOMBRE,25-29,ARICA,6
2021-2024,autismo_F840,HOMBRE,25-29,BULNES,1
2021-2024,autismo_F840,HOMBRE,25-29,CABILDO,1
2021-2024,autismo_F840,HOMBRE,25-29,CALAMA,1
2021-2024,autismo_F840,HOMBRE,25-29,CERRO NAVIA,2
2021-2024,autismo_F840,HOMBRE,25-29,CHANCO,1
2021-2024,autismo_F840,HOMBRE,25-29,CHIGUAYANTE,1
2021-2024,autismo_F840,HOMBRE,25-29,CHILLAN,7
2021-2024,autismo_F840,HOMBRE,25-29,COLBUN,1
2021-2024,autismo_F840,HOMBRE,25-29,COLTAUCO,1
2021-2024,autismo_F840,HOMBRE,25-29,COMBARBALA,1
2021-2024,autismo_F840,HOMBRE,25-29,CONCEPCION,7
2021-2024,autismo_F840,HOMBRE,25-29,CONSTITUCION,2
2021-2024,autismo_F840,HOMBRE,25-29,COPIAPO,1
2021-2024,autismo_F840,HOMBRE,25-29,COQUIMBO,7
2021-2024,autismo_F840,HOMBRE,25-29,CORONEL,1
2021-2024,autismo_F840,HOMBRE,25-29,CURACAVI,1
2021-2024,autismo_F840,HOMBRE,25-29,EL BOSQUE,2
2021-2024,autismo_F840,HOMBRE,25-29,EL MONTE,3
2021-2024,autismo_F840,HOMBRE,25-29,GORBEA,1
2021-2024,autismo_F840,HOMBRE,25-29,GRANEROS,1
2021-2024,autismo_F840,HOMBRE,25-29,HUALPEN,2
2021-2024,autismo_F840,HOMBRE,25-29,HUALQUI,1
2021-2024,autismo_F840,HOMBRE,25-29,HUECHURABA,1
2021-2024,autismo_F840,HOMBRE,25-29,INDEPENDENCIA,2
2021-2024,autismo_F840,HOMBRE,25-29,ISLA DE MAIPO,2
2021-2024,autismo_F840,HOMBRE,25-29,LA CISTERNA,1
2021-2024,autismo_F840,HOMBRE,25-29,LA FLORIDA,1
2021-2024,autismo_F840,HOMBRE,25-29,LA GRANJA,2
2021-2024,autismo_F840,HOMBRE,25-29,LA PINTANA,2
2021-2024,autismo_F840,HOMBRE,25-29,LA SERENA,2
2021-2024,autismo_F840,HOMBRE,25-29,LIMACHE,1
2021-2024,autismo_F840,HOMBRE,25-29,LINARES,1
2021-2024,autismo_F840,HOMBRE,25-29,LOS ANDES,1
2021-2024,autismo_F840,HOMBRE,25-29,LOS ANGELES,4
2021-2024,autismo_F840,HOMBRE,25-29,LOS LAGOS,1
2021-2024,autismo_F840,HOMBRE,25-29,LOS VILOS,1
2021-2024,autismo_F840,HOMBRE,25-29,LOTA,1
2021-2024,autismo_F840,HOMBRE,25-29,MACUL,2
2021-2024,autismo_F840,HOMBRE,25-29,MAIPU,4
2021-2024,autismo_F840,HOMBRE,25-29,MARIQUINA,2
2021-2024,autismo_F840,HOMBRE,25-29,MAULE,1
2021-2024,autismo_F840,HOMBRE,25-29,MELIPILLA,1
2021-2024,autismo_F840,HOMBRE,25-29,NUEVA IMPERIAL,1
2021-2024,autismo_F840,HOMBRE,25-29,OSORNO,1
2021-2024,autismo_F840,HOMBRE,25-29,PADRE HURTADO,1
2021-2024,autismo_F840,HOMBRE,25-29,PAILLACO,1
2021-2024,autismo_F840,HOMBRE,25-29,PAINE,1
2021-2024,autismo_F840,HOMBRE,25-29,PANQUEHUE,1
2021-2024,autismo_F840,HOMBRE,25-29,PEDRO AGUIRRE CERDA,2
2021-2024,autismo_F840,HOMBRE,25-29,PENALOLEN,1
2021-2024,autismo_F840,HOMBRE,25-29,PENCO,2
2021-2024,autismo_F840,HOMBRE,25-29,PEUMO,1
2021-2024,autismo_F840,HOMBRE,25-29,PICHILEMU,1
2021-2024,autismo_F840,HOMBRE,25-29,PUCON,1
2021-2024,autismo_F840,HOMBRE,25-29,PUDAHUEL,2
2021-2024,autismo_F840,HOMBRE,25-29,PUENTE ALTO,2
2021-2024,autismo_F840,HOMBRE,25-29,PUERTO MONTT,2
2021-2024,autismo_F840,HOMBRE,25-29,PUNTA ARENAS,8
2021-2024,autismo_F840,HOMBRE,25-29,PUTAENDO,1
2021-2024,autismo_F840,HOMBRE,25-29,QUILLOTA,3
2021-2024,autismo_F840,HOMBRE,25-29,QUINTA NORMAL,1
2021-2024,autismo_F840,HOMBRE,25-29,RANCAGUA,3
2021-2024,autismo_F840,HOMBRE,25-29,RENCA,2
2021-2024,autismo_F840,HOMBRE,25-29,SAAVEDRA,1
2021-2024,autismo_F840,HOMBRE,25-29,SAN BERNARDO,3
2021-2024,autismo_F840,HOMBRE,25-29,SAN FELIPE,2
2021-2024,autismo_F840,HOMBRE,25-29,SAN FERNANDO,1
2021-2024,autismo_F840,HOMBRE,25-29,SAN JOAQUIN,1
2021-2024,autismo_F840,HOMBRE,25-29,SAN PEDRO DE LA PAZ,2
2021-2024,autismo_F840,HOMBRE,25-29,SAN VICENTE,1
2021-2024,autismo_F840,HOMBRE,25-29,SANTIAGO,1
2021-2024,autismo_F840,HOMBRE,25-29,TALCA,2
2021-2024,autismo_F840,HOMBRE,25-29,TALCAHUANO,5
2021-2024,autismo_F840,HOMBRE,25-29,TOCOPILLA,1
2021-2024,autismo_F840,HOMBRE,25-29,VALDIVIA,1
2021-2024,autismo_F840,HOMBRE,25-29,VALPARAISO,7
2021-2024,autismo_F840,HOMBRE,25-29,VICUNA,1
2021-2024,autismo_F840,HOMBRE,25-29,VILLA ALEMANA,1
2021-2024,autismo_F840,HOMBRE,25-29,VILLARRICA,1
2021-2024,autismo_F840,HOMBRE,25-29,VINA DEL MAR,5
2021-2024,autismo_F840,HOMBRE,25-29,YUMBEL,1
2021-2024,autismo_F840,HOMBRE,30-34,ALTO BIOBIO,1
2021-2024,autismo_F840,HOMBRE,30-34,ANTOFAGASTA,3
2021-2024,autismo_F840,HOMBRE,30-34,ARICA,3
2021-2024,autismo_F840,HOMBRE,30-34,BUIN,1
2021-2024,autismo_F840,HOMBRE,30-34,CALAMA,2
2021-2024,autismo_F840,HOMBRE,30-34,CARAHUE,1
2021-2024,autismo_F840,HOMBRE,30-34,CASABLANCA,1
2021-2024,autismo_F840,HOMBRE,30-34,CAUQUENES,1
2021-2024,autismo_F840,HOMBRE,30-34,CHILLAN,6
2021-2024,autismo_F840,HOMBRE,30-34,CHILLAN VIEJO,1
2021-2024,autismo_F840,HOMBRE,30-34,COIHAIQUE,1
2021-2024,autismo_F840,HOMBRE,30-34,COLBUN,1
2021-2024,autismo_F840,HOMBRE,30-34,COLINA,1
2021-2024,autismo_F840,HOMBRE,30-34,CONCEPCION,1
2021-2024,autismo_F840,HOMBRE,30-34,CONCHALI,1
2021-2024,autismo_F840,HOMBRE,30-34,COPIAPO,1
2021-2024,autismo_F840,HOMBRE,30-34,CORONEL,2
2021-2024,autismo_F840,HOMBRE,30-34,CURACO DE VELEZ,1
2021-2024,autismo_F840,HOMBRE,30-34,ESTACION CENTRAL,1
2021-2024,autismo_F840,HOMBRE,30-34,HUALPEN,2
2021-2024,autismo_F840,HOMBRE,30-34,ILLAPEL,1
2021-2024,autismo_F840,HOMBRE,30-34,INDEPENDENCIA,1
2021-2024,autismo_F840,HOMBRE,30-34,IQUIQUE,1
2021-2024,autismo_F840,HOMBRE,30-34,LA FLORIDA,4
2021-2024,autismo_F840,HOMBRE,30-34,LA REINA,1
2021-2024,autismo_F840,HOMBRE,30-34,LA SERENA,1
2021-2024,autismo_F840,HOMBRE,30-34,LAMPA,1
2021-2024,autismo_F840,HOMBRE,30-34,LIMACHE,1
2021-2024,autismo_F840,HOMBRE,30-34,LOS ANGELES,2
2021-2024,autismo_F840,HOMBRE,30-34,LOS MUERMOS,1
2021-2024,autismo_F840,HOMBRE,30-34,LOTA,1
2021-2024,autismo_F840,HOMBRE,30-34,MAIPU,1
2021-2024,autismo_F840,HOMBRE,30-34,PAINE,1
2021-2024,autismo_F840,HOMBRE,30-34,PARRAL,1
2021-2024,autismo_F840,HOMBRE,30-34,PENAFLOR,1
2021-2024,autismo_F840,HOMBRE,30-34,PENALOLEN,2
2021-2024,autismo_F840,HOMBRE,30-34,PICHILEMU,1
2021-2024,autismo_F840,HOMBRE,30-34,PROVIDENCIA,2
2021-2024,autismo_F840,HOMBRE,30-34,PUCON,1
2021-2024,autismo_F840,HOMBRE,30-34,PUDAHUEL,2
2021-2024,autismo_F840,HOMBRE,30-34,PUENTE ALTO,5
2021-2024,autismo_F840,HOMBRE,30-34,PUERTO MONTT,1
2021-2024,autismo_F840,HOMBRE,30-34,QUEMCHI,1
2021-2024,autismo_F840,HOMBRE,30-34,QUILICURA,1
2021-2024,autismo_F840,HOMBRE,30-34,QUILPUE,1
2021-2024,autismo_F840,HOMBRE,30-34,QUINTERO,1
2021-2024,autismo_F840,HOMBRE,30-34,RANCAGUA,2
2021-2024,autismo_F840,HOMBRE,30-34,RENCA,1
2021-2024,autismo_F840,HOMBRE,30-34,SAN BERNARDO,1
2021-2024,autismo_F840,HOMBRE,30-34,SAN CARLOS,1
2021-2024,autismo_F840,HOMBRE,30-34,SAN CLEMENTE,2
2021-2024,autismo_F840,HOMBRE,30-34,SAN JAVIER,1
2021-2024,autismo_F840,HOMBRE,30-34,SANTIAGO,1
2021-2024,autismo_F840,HOMBRE,30-34,TALAGANTE,3
2021-2024,autismo_F840,HOMBRE,30-34,TALCA,3
2021-2024,autismo_F840,HOMBRE,30-34,TALCAHUANO,4
2021-2024,autismo_F840,HOMBRE,30-34,TEMUCO,4
2021-2024,autismo_F840,HOMBRE,30-34,TILTIL,1
2021-2024,autismo_F840,HOMBRE,30-34,TOME,1
2021-2024,autismo_F840,HOMBRE,30-34,VALDIVIA,1
2021-2024,autismo_F840,HOMBRE,30-34,VALPARAISO,4
2021-2024,autismo_F840,HOMBRE,30-34,VINA DEL MAR,1
2021-2024,autismo_F840,HOMBRE,35-39,AISEN,1
2021-2024,autismo_F840,HOMBRE,35-39,ARICA,2
2021-2024,autismo_F840,HOMBRE,35-39,CARAHUE,1
2021-2024,autismo_F840,HOMBRE,35-39,COIHAIQUE,2
2021-2024,autismo_F840,HOMBRE,35-39,COLINA,1
2021-2024,autismo_F840,HOMBRE,35-39,CONCEPCION,2
2021-2024,autismo_F840,HOMBRE,35-39,COPIAPO,1
2021-2024,autismo_F840,HOMBRE,35-39,COQUIMBO,1
2021-2024,autismo_F840,HOMBRE,35-39,HUALPEN,1
2021-2024,autismo_F840,HOMBRE,35-39,HUECHURABA,1
2021-2024,autismo_F840,HOMBRE,35-39,IQUIQUE,2
2021-2024,autismo_F840,HOMBRE,35-39,ISLA DE MAIPO,1
2021-2024,autismo_F840,HOMBRE,35-39,LA CISTERNA,1
2021-2024,autismo_F840,HOMBRE,35-39,LA FLORIDA,4
2021-2024,autismo_F840,HOMBRE,35-39,LAMPA,1
2021-2024,autismo_F840,HOMBRE,35-39,LITUECHE,1
2021-2024,autismo_F840,HOMBRE,35-39,LOS ANDES,1
2021-2024,autismo_F840,HOMBRE,35-39,LOTA,1
2021-2024,autismo_F840,HOMBRE,35-39,MACUL,1
2021-2024,autismo_F840,HOMBRE,35-39,MAIPU,3
2021-2024,autismo_F840,HOMBRE,35-39,MARCHIHUE,1
2021-2024,autismo_F840,HOMBRE,35-39,MELIPILLA,1
2021-2024,autismo_F840,HOMBRE,35-39,OLIVAR,1
2021-2024,autismo_F840,HOMBRE,35-39,OSORNO,3
2021-2024,autismo_F840,HOMBRE,35-39,OVALLE,1
2021-2024,autismo_F840,HOMBRE,35-39,PAINE,1
2021-2024,autismo_F840,HOMBRE,35-39,PARRAL,1
2021-2024,autismo_F840,HOMBRE,35-39,PUENTE ALTO,3
2021-2024,autismo_F840,HOMBRE,35-39,RAUCO,1
2021-2024,autismo_F840,HOMBRE,35-39,SAN CARLOS,1
2021-2024,autismo_F840,HOMBRE,35-39,SAN FELIPE,1
2021-2024,autismo_F840,HOMBRE,35-39,SANTIAGO,3
2021-2024,autismo_F840,HOMBRE,35-39,TALAGANTE,1
2021-2024,autismo_F840,HOMBRE,35-39,TALCA,1
2021-2024,autismo_F840,HOMBRE,35-39,TALCAHUANO,4
2021-2024,autismo_F840,HOMBRE,35-39,TEMUCO,4
2021-2024,autismo_F840,HOMBRE,35-39,TOME,1
2021-2024,autismo_F840,HOMBRE,35-39,VALLENAR,1
2021-2024,autismo_F840,HOMBRE,35-39,VALPARAISO,2
2021-2024,autismo_F840,HOMBRE,35-39,VICUNA,1
2021-2024,autismo_F840,HOMBRE,35-39,VINA DEL MAR,1
2021-2024,autismo_F840,HOMBRE,40-44,ANTOFAGASTA,1
2021-2024,autismo_F840,HOMBRE,40-44,ARICA,1
2021-2024,autismo_F840,HOMBRE,40-44,CALAMA,1
2021-2024,autismo_F840,HOMBRE,40-44,CALBUCO,1
2021-2024,autismo_F840,HOMBRE,40-44,COLINA,1
2021-2024,autismo_F840,HOMBRE,40-44,ESTACION CENTRAL,1
2021-2024,autismo_F840,HOMBRE,40-44,HUECHURABA,1
2021-2024,autismo_F840,HOMBRE,40-44,IQUIQUE,1
2021-2024,autismo_F840,HOMBRE,40-44,LA FLORIDA,1
2021-2024,autismo_F840,HOMBRE,40-44,LA GRANJA,1
2021-2024,autismo_F840,HOMBRE,40-44,LAMPA,3
2021-2024,autismo_F840,HOMBRE,40-44,LOS ANDES,1
2021-2024,autismo_F840,HOMBRE,40-44,LOS ANGELES,2
2021-2024,autismo_F840,HOMBRE,40-44,MAIPU,1
2021-2024,autismo_F840,HOMBRE,40-44,PENALOLEN,1
2021-2024,autismo_F840,HOMBRE,40-44,PUDAHUEL,1
2021-2024,autismo_F840,HOMBRE,40-44,PUNTA ARENAS,1
2021-2024,autismo_F840,HOMBRE,40-44,QUILLOTA,1
2021-2024,autismo_F840,HOMBRE,40-44,QUINTA NORMAL,1
2021-2024,autismo_F840,HOMBRE,40-44,RANCAGUA,1
2021-2024,autismo_F840,HOMBRE,40-44,RIO CLARO,1
2021-2024,autismo_F840,HOMBRE,40-44,SAN NICOLAS,1
2021-2024,autismo_F840,HOMBRE,40-44,TALCAHUANO,5
2021-2024,autismo_F840,HOMBRE,40-44,VALDIVIA,1
2021-2024,autismo_F840,HOMBRE,40-44,VALPARAISO,2
2021-2024,autismo_F840,HOMBRE,45-49,ARICA,1
2021-2024,autismo_F840,HOMBRE,45-49,CHILLAN,1
2021-2024,autismo_F840,HOMBRE,45-49,COQUIMBO,1
2021-2024,autismo_F840,HOMBRE,45-49,LA SERENA,2
2021-2024,autismo_F840,HOMBRE,45-49,LOS ANGELES,1
2021-2024,autismo_F840,HOMBRE,45-49,MAIPU,1
2021-2024,autismo_F840,HOMBRE,45-49,NUNOA,1
2021-2024,autismo_F840,HOMBRE,45-49,PUENTE ALTO,1
2021-2024,autismo_F840,HOMBRE,45-49,PUNTA ARENAS,1
2021-2024,autismo_F840,HOMBRE,45-49,QUILPUE,1
2021-2024,autismo_F840,HOMBRE,45-49,QUINTA NORMAL,1
2021-2024,autismo_F840,HOMBRE,45-49,QUINTERO,1
2021-2024,autismo_F840,HOMBRE,45-49,SAN BERNARDO,2
2021-2024,autismo_F840,HOMBRE,45-49,SAN PEDRO DE LA PAZ,1
2021-2024,autismo_F840,HOMBRE,45-49,TALCAHUANO,1
2021-2024,autismo_F840,HOMBRE,45-49,TEMUCO,1
2021-2024,autismo_F840,HOMBRE,45-49,VINA DEL MAR,2
2021-2024,autismo_F840,HOMBRE,5-9,AISEN,2
2021-2024,autismo_F840,HOMBRE,5-9,ALGARROBO,2
2021-2024,autismo_F840,HOMBRE,5-9,ALHUE,2
2021-2024,autismo_F840,HOMBRE,5-9,ALTO BIOBIO,1
2021-2024,autismo_F840,HOMBRE,5-9,ALTO HOSPICIO,24
2021-2024,autismo_F840,HOMBRE,5-9,ANCUD,1
2021-2024,autismo_F840,HOMBRE,5-9,ANDACOLLO,2
2021-2024,autismo_F840,HOMBRE,5-9,ANGOL,31
2021-2024,autismo_F840,HOMBRE,5-9,ANTOFAGASTA,103
2021-2024,autismo_F840,HOMBRE,5-9,ARAUCO,11
2021-2024,autismo_F840,HOMBRE,5-9,ARICA,65
2021-2024,autismo_F840,HOMBRE,5-9,BUIN,30
2021-2024,autismo_F840,HOMBRE,5-9,BULNES,7
2021-2024,autismo_F840,HOMBRE,5-9,CABILDO,6
2021-2024,autismo_F840,HOMBRE,5-9,CABO DE HORNOS,1
2021-2024,autismo_F840,HOMBRE,5-9,CABRERO,6
2021-2024,autismo_F840,HOMBRE,5-9,CALAMA,56
2021-2024,autismo_F840,HOMBRE,5-9,CALBUCO,4
2021-2024,autismo_F840,HOMBRE,5-9,CALDERA,1
2021-2024,autismo_F840,HOMBRE,5-9,CALERA,11
2021-2024,autismo_F840,HOMBRE,5-9,CALERA DE TANGO,2
2021-2024,autismo_F840,HOMBRE,5-9,CALLE LARGA,2
2021-2024,autismo_F840,HOMBRE,5-9,CANETE,3
2021-2024,autismo_F840,HOMBRE,5-9,CARAHUE,4
2021-2024,autismo_F840,HOMBRE,5-9,CARTAGENA,1
2021-2024,autismo_F840,HOMBRE,5-9,CASABLANCA,7
2021-2024,autismo_F840,HOMBRE,5-9,CASTRO,12
2021-2024,autismo_F840,HOMBRE,5-9,CATEMU,1
2021-2024,autismo_F840,HOMBRE,5-9,CAUQUENES,5
2021-2024,autismo_F840,HOMBRE,5-9,CERRILLOS,11
2021-2024,autismo_F840,HOMBRE,5-9,CERRO NAVIA,14
2021-2024,autismo_F840,HOMBRE,5-9,CHANARAL,1
2021-2024,autismo_F840,HOMBRE,5-9,CHANCO,2
2021-2024,autismo_F840,HOMBRE,5-9,CHEPICA,1
2021-2024,autismo_F840,HOMBRE,5-9,CHIGUAYANTE,12
2021-2024,autismo_F840,HOMBRE,5-9,CHILE CHICO,1
2021-2024,autismo_F840,HOMBRE,5-9,CHILLAN,87
2021-2024,autismo_F840,HOMBRE,5-9,CHILLAN VIEJO,5
2021-2024,autismo_F840,HOMBRE,5-9,CHIMBARONGO,5
2021-2024,autismo_F840,HOMBRE,5-9,CHOLCHOL,4
2021-2024,autismo_F840,HOMBRE,5-9,CISNES,1
2021-2024,autismo_F840,HOMBRE,5-9,COBQUECURA,1
2021-2024,autismo_F840,HOMBRE,5-9,COCHAMO,1
2021-2024,autismo_F840,HOMBRE,5-9,CODEGUA,2
2021-2024,autismo_F840,HOMBRE,5-9,COELEMU,6
2021-2024,autismo_F840,HOMBRE,5-9,COIHAIQUE,15
2021-2024,autismo_F840,HOMBRE,5-9,COIHUECO,11
2021-2024,autismo_F840,HOMBRE,5-9,COINCO,1
2021-2024,autismo_F840,HOMBRE,5-9,COLBUN,17
2021-2024,autismo_F840,HOMBRE,5-9,COLINA,7
2021-2024,autismo_F840,HOMBRE,5-9,COLLIPULLI,5
2021-2024,autismo_F840,HOMBRE,5-9,COMBARBALA,4
2021-2024,autismo_F840,HOMBRE,5-9,CON CON,5
2021-2024,autismo_F840,HOMBRE,5-9,CONCEPCION,37
2021-2024,autismo_F840,HOMBRE,5-9,CONCHALI,9
2021-2024,autismo_F840,HOMBRE,5-9,CONSTITUCION,10
2021-2024,autismo_F840,HOMBRE,5-9,CONTULMO,1
2021-2024,autismo_F840,HOMBRE,5-9,COPIAPO,29
2021-2024,autismo_F840,HOMBRE,5-9,COQUIMBO,109
2021-2024,autismo_F840,HOMBRE,5-9,CORONEL,37
2021-2024,autismo_F840,HOMBRE,5-9,CORRAL,4
2021-2024,autismo_F840,HOMBRE,5-9,CUNCO,4
2021-2024,autismo_F840,HOMBRE,5-9,CURACAUTIN,3
2021-2024,autismo_F840,HOMBRE,5-9,CURACAVI,6
2021-2024,autismo_F840,HOMBRE,5-9,CURANILAHUE,14
2021-2024,autismo_F840,HOMBRE,5-9,CUREPTO,1
2021-2024,autismo_F840,HOMBRE,5-9,CURICO,32
2021-2024,autismo_F840,HOMBRE,5-9,DALCAHUE,2
2021-2024,autismo_F840,HOMBRE,5-9,DIEGO DE ALMAGRO,1
2021-2024,autismo_F840,HOMBRE,5-9,DONIHUE,3
2021-2024,autismo_F840,HOMBRE,5-9,EL BOSQUE,53
2021-2024,autismo_F840,HOMBRE,5-9,EL CARMEN,1
2021-2024,autismo_F840,HOMBRE,5-9,EL MONTE,5
2021-2024,autismo_F840,HOMBRE,5-9,EL QUISCO,8
2021-2024,autismo_F840,HOMBRE,5-9,EL TABO,1
2021-2024,autismo_F840,HOMBRE,5-9,ESTACION CENTRAL,20
2021-2024,autismo_F840,HOMBRE,5-9,FLORIDA,8
2021-2024,autismo_F840,HOMBRE,5-9,FREIRE,1
2021-2024,autismo_F840,HOMBRE,5-9,FREIRINA,2
2021-2024,autismo_F840,HOMBRE,5-9,FRESIA,1
2021-2024,autismo_F840,HOMBRE,5-9,FRUTILLAR,4
2021-2024,autismo_F840,HOMBRE,5-9,FUTRONO,4
2021-2024,autismo_F840,HOMBRE,5-9,GALVARINO,2
2021-2024,autismo_F840,HOMBRE,5-9,GRANEROS,2
2021-2024,autismo_F840,HOMBRE,5-9,HIJUELAS,3
2021-2024,autismo_F840,HOMBRE,5-9,HUALANE,2
2021-2024,autismo_F840,HOMBRE,5-9,HUALPEN,45
2021-2024,autismo_F840,HOMBRE,5-9,HUALQUI,7
2021-2024,autismo_F840,HOMBRE,5-9,HUARA,1
2021-2024,autismo_F840,HOMBRE,5-9,HUASCO,1
2021-2024,autismo_F840,HOMBRE,5-9,HUECHURABA,8
2021-2024,autismo_F840,HOMBRE,5-9,ILLAPEL,5
2021-2024,autismo_F840,HOMBRE,5-9,INDEPENDENCIA,7
2021-2024,autismo_F840,HOMBRE,5-9,IQUIQUE,40
2021-2024,autismo_F840,HOMBRE,5-9,ISLA DE MAIPO,5
2021-2024,autismo_F840,HOMBRE,5-9,ISLA DE PASCUA,1
2021-2024,autismo_F840,HOMBRE,5-9,LA CISTERNA,22
2021-2024,autismo_F840,HOMBRE,5-9,LA CRUZ,2
2021-2024,autismo_F840,HOMBRE,5-9,LA FLORIDA,51
2021-2024,autismo_F840,HOMBRE,5-9,LA GRANJA,22
2021-2024,autismo_F840,HOMBRE,5-9,LA HIGUERA,1
2021-2024,autismo_F840,HOMBRE,5-9,LA LIGUA,3
2021-2024,autismo_F840,HOMBRE,5-9,LA PINTANA,24
2021-2024,autismo_F840,HOMBRE,5-9,LA REINA,4
2021-2024,autismo_F840,HOMBRE,5-9,LA SERENA,87
2021-2024,autismo_F840,HOMBRE,5-9,LA UNION,2
2021-2024,autismo_F840,HOMBRE,5-9,LAGO RANCO,3
2021-2024,autismo_F840,HOMBRE,5-9,LAJA,7
2021-2024,autismo_F840,HOMBRE,5-9,LAMPA,6
2021-2024,autismo_F840,HOMBRE,5-9,LANCO,1
2021-2024,autismo_F840,HOMBRE,5-9,LAS CABRAS,2
2021-2024,autismo_F840,HOMBRE,5-9,LAS CONDES,9
2021-2024,autismo_F840,HOMBRE,5-9,LAUTARO,13
2021-2024,autismo_F840,HOMBRE,5-9,LEBU,4
2021-2024,autismo_F840,HOMBRE,5-9,LICANTEN,1
2021-2024,autismo_F840,HOMBRE,5-9,LIMACHE,5
2021-2024,autismo_F840,HOMBRE,5-9,LINARES,54
2021-2024,autismo_F840,HOMBRE,5-9,LLAILLAY,1
2021-2024,autismo_F840,HOMBRE,5-9,LLANQUIHUE,2
2021-2024,autismo_F840,HOMBRE,5-9,LO BARNECHEA,2
2021-2024,autismo_F840,HOMBRE,5-9,LO ESPEJO,33
2021-2024,autismo_F840,HOMBRE,5-9,LO PRADO,7
2021-2024,autismo_F840,HOMBRE,5-9,LOLOL,1
2021-2024,autismo_F840,HOMBRE,5-9,LONCOCHE,7
2021-2024,autismo_F840,HOMBRE,5-9,LONGAVI,7
2021-2024,autismo_F840,HOMBRE,5-9,LONQUIMAY,2
2021-2024,autismo_F840,HOMBRE,5-9,LOS ALAMOS,4
2021-2024,autismo_F840,HOMBRE,5-9,LOS ANDES,12
2021-2024,autismo_F840,HOMBRE,5-9,LOS ANGELES,60
2021-2024,autismo_F840,HOMBRE,5-9,LOS LAGOS,4
2021-2024,autismo_F840,HOMBRE,5-9,LOS MUERMOS,2
2021-2024,autismo_F840,HOMBRE,5-9,LOS SAUCES,1
2021-2024,autismo_F840,HOMBRE,5-9,LOS VILOS,4
2021-2024,autismo_F840,HOMBRE,5-9,LOTA,18
2021-2024,autismo_F840,HOMBRE,5-9,LUMACO,2
2021-2024,autismo_F840,HOMBRE,5-9,MACUL,10
2021-2024,autismo_F840,HOMBRE,5-9,MAIPU,63
2021-2024,autismo_F840,HOMBRE,5-9,MALLOA,1
2021-2024,autismo_F840,HOMBRE,5-9,MARCHIHUE,1
2021-2024,autismo_F840,HOMBRE,5-9,MARIA PINTO,2
2021-2024,autismo_F840,HOMBRE,5-9,MARIQUINA,3
2021-2024,autismo_F840,HOMBRE,5-9,MAULE,11
2021-2024,autismo_F840,HOMBRE,5-9,MEJILLONES,3
2021-2024,autismo_F840,HOMBRE,5-9,MELIPILLA,21
2021-2024,autismo_F840,HOMBRE,5-9,MOLINA,8
2021-2024,autismo_F840,HOMBRE,5-9,MONTE PATRIA,7
2021-2024,autismo_F840,HOMBRE,5-9,MOSTAZAL,3
2021-2024,autismo_F840,HOMBRE,5-9,MULCHEN,9
2021-2024,autismo_F840,HOMBRE,5-9,NACIMIENTO,5
2021-2024,autismo_F840,HOMBRE,5-9,NANCAGUA,6
2021-2024,autismo_F840,HOMBRE,5-9,NATALES,3
2021-2024,autismo_F840,HOMBRE,5-9,NAVIDAD,1
2021-2024,autismo_F840,HOMBRE,5-9,NEGRETE,4
2021-2024,autismo_F840,HOMBRE,5-9,NINHUE,1
2021-2024,autismo_F840,HOMBRE,5-9,NIQUEN,2
2021-2024,autismo_F840,HOMBRE,5-9,NOGALES,3
