year,series,sex,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing
2021,05990022,HOMBRE,1624.0,9708512.0,16.727589150634,15.923830733607893,17.561409202609994,21.957551657037477,20.89981519815955,23.056167823648572,0.2984089927425097,0
2021,05990022,MUJER,461.0,9969851.0,4.623940718873331,4.21142501811826,5.0659416825104095,6.300263891833833,5.733879273403531,6.909038600748501,0.08746324023599869,0
2021,05990022,TOTAL,2085.0,19678363.0,10.595393529431284,10.145434363548452,11.060169479810565,14.275309650951826,13.666889069126855,14.904483603157269,0.09845183837061344,0
2022,05990022,HOMBRE,3466.0,9782978.0,35.42888474245777,34.25911410499703,36.62841024162043,46.94577266308747,45.39220230768613,48.540153138157436,0.6387979148150719,0
2022,05990022,MUJER,1175.0,10045585.0,11.696680681115136,11.03736547166687,12.3850910109115,16.29882266601207,15.375881834618864,17.26410367964327,0.2281956393516717,0
2022,05990022,TOTAL,4641.0,19828563.0,23.405629545620627,22.73703515827968,24.088892979389577,31.90236825388942,30.988408666978092,32.83706695445952,0.22058496066559943,0
2023,05990022,HOMBRE,5734.0,9848466.0,58.22226527461231,56.72492250242992,59.7491276024294,77.52877228731319,75.53088488172622,79.56729893163717,1.0525226662666156,0
2023,05990022,MUJER,2315.0,10112423.0,22.892634139216685,21.96949350493857,23.844596880241106,31.738205952296838,30.45232850139234,33.06593239318936,0.439284934618657,0
2023,05990022,TOTAL,8049.0,19960889.0,40.32385531526176,39.447684432118095,41.2145807198501,55.056554788276806,53.85689225056488,56.27683520264143,0.37873559570905035,0
2024,05990022,HOMBRE,8164.0,9910500.0,82.37727662580092,80.59993728042947,84.18392967792086,110.43976815967196,108.05125171838027,112.86888670857789,1.5012012810839332,0
2024,05990022,MUJER,3679.0,10175877.0,36.15413197309677,34.99520309484743,37.34166207037348,50.220215597846256,48.60207192568394,51.880011624160396,0.6926969245109597,0
2024,05990022,TOTAL,11843.0,20086377.0,58.960359053302646,57.90319763351565,60.03197454477059,80.88880611495253,79.43366672547342,82.36452343606146,0.5561577786787766,0
2017,06902600,HOMBRE,2300.0,9074217.0,25.346539541648607,24.321152315966405,26.404047216540167,30.832058622884556,29.581154069907264,32.123030118062935,0.41572682575288744,0
2017,06902600,MUJER,824.0,9344975.0,8.817573080719852,8.225720334679366,9.44076109717751,10.75892409220141,10.027163246616078,11.531420649676408,0.14430645109045012,0
2017,06902600,TOTAL,3124.0,18419192.0,16.96057025737068,16.370980995597368,17.565968001027787,20.988778959985282,20.25515621743524,21.742649499700445,0.14257997248261423,0
2018,06902600,HOMBRE,2695.0,9244484.0,29.15251949162333,28.062161893941493,30.274389193800513,36.26895548511551,34.90891806555017,37.66925036058455,0.4906578002782951,0
2018,06902600,MUJER,930.0,9506921.0,9.782346987000313,9.163659285417747,10.431815303264122,12.347822488732296,11.55703200174359,13.179843663610388,0.1681762090414774,0
2018,06902600,TOTAL,3625.0,18751405.0,19.33188473077084,18.70763567674622,19.971655524079324,24.536850481767218,23.74060363807669,25.353483798623778,0.16774722494895727,0
2019,06902600,HOMBRE,3355.0,9424139.0,35.600069141594794,34.40552349885438,36.82550549336176,45.24423878413029,43.72271690706033,46.80613999098304,0.6128815206856125,0
2019,06902600,MUJER,1073.0,9683077.0,11.081188345398886,10.427991305078312,11.764583342975635,14.572157276855592,13.706139166749288,15.479846731758224,0.20120924843377117,0
2019,06902600,TOTAL,4428.0,19107216.0,23.1744907264355,22.49687975959017,23.86732631618386,30.192850200887428,29.306826723963923,31.099368801143246,0.2073794483286557,0
2020,06902600,HOMBRE,1953.0,9599101.0,20.345655285843957,19.453225793466174,21.268466888750353,26.01241431011153,24.86737451339846,27.197822112401248,0.34895480561128206,0
2020,06902600,MUJER,607.0,9859209.0,6.1566805207192585,5.676577707626614,6.666540763255383,8.126766914869917,7.486985047289553,8.808253386207584,0.11093581074962666,0
2020,06902600,TOTAL,2560.0,19458310.0,13.156332692818646,12.651578269619097,13.67606077019352,17.22960850666492,16.56523240582926,17.914463360375805,0.11714954286319722,0
2021,A05_ingresos_TGD_total,HOMBRE,3833.0,9708512.0,39.48081848176116,38.24073285254092,40.7508788229013,51.14313964082349,49.53053819676446,52.79621649010867,0.6877189219053367,0
2021,A05_ingresos_TGD_total,MUJER,1469.0,9969851.0,14.734422811333891,13.990489956449833,15.507641750476768,18.961020552856514,17.987602613023462,19.975502281784102,0.2531432382486529,0
2021,A05_ingresos_TGD_total,TOTAL,5302.0,19678363.0,26.943298078198882,26.222887798832478,27.67848467981233,35.36726284975613,34.41471718870339,36.34025668642759,0.2393957341724449,0
2022,A05_ingresos_TGD_total,HOMBRE,5821.0,9782978.0,59.50130931501635,57.98247737571209,61.04985742752466,78.26656894524619,76.26309619777064,80.31063106712634,1.0583240924254491,0
2022,A05_ingresos_TGD_total,MUJER,2260.0,10045585.0,22.497445395166135,21.579381545051028,23.444525556579006,30.75312455715028,29.4893097391861,32.058775453586144,0.4244662789480754,0
