year,code,IdServicio,IdRegion,IdComuna,IdEstablecimiento,months_with_rows,rows,rows_total_known,months_positive,total_known,Col01
2017,05225000,14,13,13131,114307,2,2,2,2,2,2
2017,05225000,14,13,13131,114328,4,4,4,4,4,4
2017,05225000,14,13,13131,114606,2,2,2,2,9,9
2017,05225000,14,13,13131,114607,1,1,1,1,1,1
2017,05225000,14,13,13131,114714,1,1,1,1,1,1
2017,05225000,14,13,13201,114301,3,3,3,3,3,3
2017,05225000,14,13,13201,114313,2,2,2,2,4,4
2017,05225000,14,13,13201,114321,1,1,1,1,1,1
2017,05225000,14,13,13203,114407,1,1,1,1,2,2
2017,05225000,15,6,06101,115100,1,1,1,1,1,1
2017,05225000,15,6,06101,115301,1,1,1,0,0,0
2017,05225000,15,6,06101,115303,2,2,2,1,2,2
2017,05225000,15,6,06101,115304,4,4,4,2,2,2
2017,05225000,15,6,06101,115324,1,1,1,0,0,0
2017,05225000,15,6,06104,115405,1,1,1,1,2,2
2017,05225000,15,6,06105,115321,1,1,1,1,1,1
2017,05225000,15,6,06106,115101,1,1,1,1,1,1
2017,05225000,15,6,06108,115305,1,1,1,1,1,1
2017,05225000,15,6,06111,115330,1,1,1,0,0,0
2017,05225000,15,6,06112,115103,2,2,2,1,1,1
2017,05225000,15,6,06116,115310,1,1,1,0,0,0
2017,05225000,15,6,06117,200075,1,1,1,1,1,1
2017,05225000,15,6,06201,115112,2,2,2,1,1,1
2017,05225000,15,6,06301,115317,4,4,4,0,0,0
2017,05225000,15,6,06301,115323,2,2,2,2,3,3
2017,05225000,15,6,06301,115434,1,1,1,1,1,1
2017,05225000,15,6,06303,115108,3,3,3,1,1,1
2017,05225000,15,6,06309,115452,1,1,1,1,3,3
2017,05225000,15,6,06309,115473,3,3,3,3,3,3
2017,05225000,15,6,06310,115319,2,2,2,2,2,2
2017,05225000,16,7,07101,116306,2,2,2,1,1,1
2017,05225000,16,7,07101,116340,2,2,2,1,1,1
2017,05225000,16,7,07101,116602,2,2,2,2,2,2
2017,05225000,16,7,07105,116314,2,2,2,2,3,3
2017,05225000,16,7,07105,116440,2,2,2,2,2,2
2017,05225000,16,7,07201,116329,1,1,1,1,2,2
2017,05225000,16,7,07201,116341,1,1,1,1,1,1
2017,05225000,16,7,07301,116100,6,6,6,6,15,15
2017,05225000,16,7,07304,116525,1,1,1,0,0,0
2017,05225000,16,7,07401,116108,2,2,2,2,3,3
2017,05225000,16,7,07404,116110,1,1,1,1,2,2
2017,05225000,17,8,08401,117010,1,1,1,1,1,1
2017,05225000,17,8,08401,117301,3,3,3,2,2,2
2017,05225000,17,8,08401,117330,1,1,1,1,1,1
2017,05225000,17,8,08401,117701,2,2,2,0,0,0
2017,05225000,17,8,08401,200261,1,1,1,1,1,1
2017,05225000,17,8,08402,117103,1,1,1,1,1,1
2017,05225000,17,8,08406,117331,1,1,1,1,1,1
2017,05225000,17,8,08413,117306,1,1,1,1,1,1
2017,05225000,17,8,08416,117602,4,4,4,0,0,0
