definition,unit,role,year,count_men,count_women,asr_men,asr_women,asr_ratio,asr_ratio_lo,asr_ratio_hi,count_ratio,count_ratio_lo,count_ratio_hi
F84_historico,persons,cualquiera,2019,1485.0,496.0,19.802407712629893,6.863039142015578,2.885370067525829,2.6051269690981598,3.1957599477218843,2.993951612903226,2.7027504104920568,3.3209747382293946
F84_historico,persons,cualquiera,2020,993.0,345.0,13.095085994879298,4.733389487069877,2.7665346430186935,2.445773605139318,3.129363206365371,2.878260869565217,2.5438823313358276,3.262809042918849
F84_historico,persons,cualquiera,2021,1482.0,496.0,19.51570463388004,6.768573971389322,2.8832815769426,2.602985990774291,3.193760043811725,2.9879032258064515,2.6972171693751945,3.3143511184411767
F84_historico,persons,cualquiera,2022,2405.0,858.0,32.2173877071651,11.807168396587665,2.7286294753343316,2.522865350390541,2.9511756592601164,2.803030303030303,2.5917648456510465,3.0337589023520883
F84_historico,persons,cualquiera,2023,3624.0,1641.0,48.89880639970077,22.470791438215667,2.176105213479017,2.052174126264738,2.307520516667731,2.2084095063985374,2.0827191801828175,2.3424475919829053
F84_historico,persons,cualquiera,2024,4868.0,2341.0,65.83603597682453,31.59925431868749,2.08346802468341,1.9826553723560532,2.1894067271609745,2.0794532251174713,1.979016800043393,2.1854577638327606
F84_historico,records,cualquiera,2019,1788.0,596.0,23.801842503058097,8.262873928674082,2.880576747087984,2.6243763613533857,3.1617882701796898,3.0,2.7328444989801897,3.2969337607662674
F84_historico,records,cualquiera,2020,1208.0,425.0,15.968361120559873,5.812478062015891,2.7472552928693044,2.4581758012590944,3.0703302995386137,2.8423529411764705,2.5427900870474676,3.18206802163548
F84_historico,records,cualquiera,2021,1808.0,590.0,23.797181979420056,8.058347627179943,2.9531093817738405,2.689674167800606,3.242346275665008,3.064406779661017,2.790904770140624,3.3685308671568706
F84_historico,records,cualquiera,2022,2887.0,1024.0,38.61412543507623,14.087872099538279,2.7409480411411304,2.5512965509006325,2.9446973389209927,2.8193359375,2.6244196134448083,3.030605146593566
F84_historico,records,cualquiera,2023,4499.0,1972.0,60.66737768354976,26.98793327723717,2.247944555825597,2.1314541976351737,2.3708014611209913,2.2814401622718052,2.1633279479460596,2.4066683143552665
F84_historico,records,cualquiera,2024,5858.0,2953.0,79.1347992582801,39.98848322462131,1.9789397565736127,1.892843581360882,2.06895202472675,1.9837453437182526,1.8975796007147583,2.074161308200266
F84_historico,records,principal,2019,184.0,50.0,2.376383284545315,0.6819646714017951,3.4846134766198387,2.5461520658457415,4.768973245675836,3.68,2.6790516989446083,5.136826209286327
F84_historico,records,principal,2020,119.0,36.0,1.5395080537162658,0.4844300632496673,3.1779779384229268,2.1858159746547265,4.620491337885006,3.3055555555555554,2.25990899727293,4.942394522477031
F84_historico,records,principal,2021,149.0,37.0,1.8659442980311804,0.5114107452743086,3.6486216124190585,2.5406312072636332,5.239815850703302,4.027027027027027,2.7934966716686813,5.939729425583927
F84_historico,records,principal,2022,220.0,76.0,2.8131289350052233,1.021669308866136,2.7534632885539807,2.1185036179317858,3.5787336010386848,2.8947368421052633,2.2206446403674294,3.808637943160626
F84_historico,records,principal,2023,253.0,104.0,3.2801275432721484,1.400741314967136,2.341708285622393,1.8614358693890507,2.945896651681242,2.4326923076923075,1.9287097275002714,3.0868655075424307
F84_historico,records,principal,2024,253.0,131.0,3.266327588407937,1.7583227281186324,1.857638268660064,1.5028335036002274,2.296209080329581,1.9312977099236641,1.557859220160116,2.403549794185465
F84_historico,records,principal_y_secundario,2019,6.0,1.0,0.07671916756593798,0.013533292102089804,5.668921278518111,0.6806607268971616,47.21393080592825,6.0,0.7279417951607722,275.98553283885803
F84_historico,records,principal_y_secundario,2020,5.0,3.0,0.06801252374835559,0.04267315779904935,1.5938010509705176,0.3803765867351911,6.678123414160485,1.6666666666666667,0.324263393962028,10.732487899518786
F84_historico,records,principal_y_secundario,2021,2.0,1.0,0.02652089888367396,0.013594487961712438,1.9508567706534818,0.1768891992348937,21.5154014833359,2.0,0.10411753745392764,117.99437388723099
F84_historico,records,principal_y_secundario,2022,5.0,3.0,0.0643096415418212,0.03755113451887047,1.712588510728054,0.4037736771595175,7.26386976910092,1.6666666666666667,0.324263393962028,10.732487899518786
F84_historico,records,principal_y_secundario,2023,7.0,2.0,0.08375616894671899,0.02743290342280968,3.0531281234008247,0.6328377640894777,14.729827875099835,3.5,0.6664067802078135,34.530323053432
F84_historico,records,principal_y_secundario,2024,8.0,7.0,0.0967546667552592,0.0970094656775583,0.9973734632953654,0.360048045067954,2.7628363461827594,1.1428571428571428,0.3621405115933231,3.7021929676555763
F84_historico,records,solo_secundario,2019,1598.0,545.0,21.348740050946844,7.567375965170198,2.821154935238729,2.558579148478775,3.1106777264849823,2.932110091743119,2.6587773457163237,3.2374379212182216
F84_historico,records,solo_secundario,2020,1084.0,386.0,14.360840543095255,5.285374840967173,2.7170902679945703,2.417397001617197,3.05393756982903,2.8082901554404147,2.4979727976605006,3.1624562260994544
F84_historico,records,solo_secundario,2021,1657.0,552.0,21.904716782505204,7.533342393943922,2.9077022703912245,2.639312686040571,3.2033841757195716,3.0018115942028984,2.724503625901112,3.3113240316352357
F84_historico,records,solo_secundario,2022,2662.0,945.0,35.73668685852918,13.028651656153274,2.7429305657774017,2.545636311416179,2.9555157014909157,2.816931216931217,2.614436990771477,3.037148769105934
F84_historico,records,solo_secundario,2023,4239.0,1866.0,57.303493971330894,25.55975905884722,2.2419418680512146,2.122523857724138,2.368078606716059,2.2717041800643085,2.150798506867295,2.4001079680669215
F84_historico,records,solo_secundario,2024,5597.0,2815.0,75.7717170031169,38.133151030825125,1.9870300500964753,1.898565787914514,2.0796163320331456,1.9882770870337478,1.8998956775989462,2.081126259999543
TEA_operacional,persons,cualquiera,2019,1478.0,457.0,19.711237736891377,6.3404456599293715,3.108809505531027,2.797709283547154,3.4545035106100856,3.2341356673960613,2.9100662155354167,3.599729064170533
TEA_operacional,persons,cualquiera,2020,985.0,324.0,12.991087737412778,4.442915361601627,2.9240007247695172,2.57705271082031,3.317658270067419,3.0401234567901234,2.678776942043667,3.4574373275917867
TEA_operacional,persons,cualquiera,2021,1475.0,467.0,19.42842335012972,6.376303172689811,3.046972959714828,2.74415891220348,3.3832021082840713,3.158458244111349,2.8443443320983257,3.5123931594205806
TEA_operacional,persons,cualquiera,2022,2398.0,826.0,32.12210290629196,11.372977889180936,2.8244232266423004,2.608455729899528,3.05827178577563,2.903147699757869,2.681289358539392,3.1458257585003997
TEA_operacional,persons,cualquiera,2023,3613.0,1602.0,48.75168513933352,21.940638857487762,2.2219811125825926,2.0943528925563153,2.357386896077266,2.255305867665418,2.1258513879318914,2.393455488329899
TEA_operacional,persons,cualquiera,2024,4856.0,2295.0,65.66717532175767,30.984238819465595,2.1193735209819904,2.0161061840927945,2.227930332677785,2.1159041394335514,2.0129969782369592,2.224568879098383
TEA_operacional,records,cualquiera,2019,1779.0,544.0,23.68687734545839,7.556851277215367,3.1344903421450945,2.8461959266665624,3.4519864261445456,3.270220588235294,2.969113822109014,3.606440596622623
TEA_operacional,records,cualquiera,2020,1199.0,399.0,15.851146087465045,5.457092898809441,2.904686869252903,2.5918694450160418,3.2552587957832158,3.0050125313283207,2.6809413645401894,3.3739159355639545
TEA_operacional,records,cualquiera,2021,1799.0,555.0,23.681817587724655,7.582303304606628,3.1233012761883012,2.838298167697896,3.436922509713496,3.2414414414414416,2.945527551694925,3.571507173283363
TEA_operacional,records,cualquiera,2022,2880.0,970.0,38.51884063420308,13.345594827696559,2.886258809106331,2.6825661923941975,3.1054182136355455,2.9690721649484537,2.759734662645661,3.196437512700039
TEA_operacional,records,cualquiera,2023,4486.0,1918.0,60.4937643180245,26.244525746865982,2.3050050475859116,2.1843706303822814,2.432301641258886,2.3388946819603755,2.216611830312789,2.468640908200515
TEA_operacional,records,cualquiera,2024,5839.0,2870.0,78.86750792288792,38.860222045590966,2.0295176859864634,1.9403428003349292,2.1227908991240434,2.034494773519164,1.9452534110679327,2.1281957334067587
TEA_operacional,records,principal,2019,183.0,38.0,2.363004776556747,0.5191569736627998,4.551619060194988,3.204945887161722,6.4641453548775365,4.815789473684211,3.380535235347789,7.0227787135114115
TEA_operacional,records,principal,2020,120.0,32.0,1.5541106773131486,0.42645690450054574,3.6442385172149554,2.463789536441696,5.390263321571391,3.75,2.5210858371928575,5.725899042448819
TEA_operacional,records,principal,2021,148.0,35.0,1.8526071578083885,0.48430592956094476,3.8252828320477077,2.641495562106282,5.539584830303861,4.228571428571429,2.909021802786048,6.300277600475754
TEA_operacional,records,principal,2022,220.0,66.0,2.8131289350052233,0.8863360335351571,3.1738853308096253,2.4071650664457223,4.184818163717592,3.3333333333333335,2.5210659743746797,4.458304638068794
TEA_operacional,records,principal,2023,249.0,102.0,3.225507460299906,1.371969626086956,2.351005006939907,1.8648453950930315,2.9639049742141097,2.4411764705882355,1.9312420971301831,3.104789339062543
TEA_operacional,records,principal,2024,253.0,118.0,3.266327588407937,1.5816402759269954,2.065152005877917,1.6580868508084543,2.572152843080636,2.1440677966101696,1.7165694854606035,2.690855561157582
TEA_operacional,records,principal_y_secundario,2019,6.0,0.0,0.07671916756593798,0.0,,,,,,
TEA_operacional,records,principal_y_secundario,2020,4.0,1.0,0.05340990015147258,0.01383445155866075,3.860644560068339,0.43150671895056775,34.54077483528753,4.0,0.39583328331853307,196.98987298932116
TEA_operacional,records,principal_y_secundario,2021,2.0,1.0,0.02652089888367396,0.013594487961712438,1.9508567706534818,0.1768891992348937,21.5154014833359,2.0,0.10411753745392764,117.99437388723099
TEA_operacional,records,principal_y_secundario,2022,5.0,3.0,0.0643096415418212,0.03755113451887047,1.712588510728054,0.4037736771595175,7.26386976910092,1.6666666666666667,0.324263393962028,10.732487899518786
TEA_operacional,records,principal_y_secundario,2023,7.0,0.0,0.08375616894671899,0.0,,,,,,
TEA_operacional,records,principal_y_secundario,2024,8.0,7.0,0.0967546667552592,0.0970094656775583,0.9973734632953654,0.360048045067954,2.7628363461827594,1.1428571428571428,0.3621405115933231,3.7021929676555763
TEA_operacional,records,solo_secundario,2019,1590.0,506.0,21.24715340133571,7.037694303552568,3.019050343037822,2.730337122618024,3.3382928790335824,3.142292490118577,2.841347997553928,3.479783954836881
TEA_operacional,records,solo_secundario,2020,1075.0,366.0,14.243625510000426,5.016801542750234,2.839184565828371,2.5198114538433085,3.199036573368675,2.9371584699453552,2.6062100005198476,3.316141171481244
