year,code,IdRegion,age_group,sex,count
2017,05225000,13,40-44,Mujeres,2.0
2017,05225000,13,45-49,Hombres,2.0
2017,05225000,13,45-49,Mujeres,1.0
2017,05225000,13,50-54,Hombres,2.0
2017,05225000,13,50-54,Mujeres,4.0
2017,05225000,13,55-59,Hombres,1.0
2017,05225000,13,55-59,Mujeres,3.0
2017,05225000,13,60-64,Hombres,1.0
2017,05225000,13,60-64,Mujeres,2.0
2017,05225000,13,65-69,Hombres,3.0
2017,05225000,13,65-69,Mujeres,0.0
2017,05225000,13,70-74,Hombres,3.0
2017,05225000,13,70-74,Mujeres,1.0
2017,05225000,13,75-79,Hombres,0.0
2017,05225000,13,75-79,Mujeres,2.0
2017,05225000,13,80+,Hombres,0.0
2017,05225000,13,80+,Mujeres,3.0
2017,05225000,14,0-4,Hombres,2.0
2017,05225000,14,0-4,Mujeres,0.0
2017,05225000,14,5-9,Hombres,3.0
2017,05225000,14,5-9,Mujeres,
2017,05225000,14,10-14,Hombres,3.0
2017,05225000,14,10-14,Mujeres,1.0
2017,05225000,14,15-19,Hombres,1.0
2017,05225000,14,15-19,Mujeres,
2017,05225000,14,20-24,Hombres,
2017,05225000,14,20-24,Mujeres,1.0
2017,05225000,14,25-29,Hombres,
2017,05225000,14,25-29,Mujeres,
2017,05225000,14,30-34,Hombres,
2017,05225000,14,30-34,Mujeres,
2017,05225000,14,35-39,Hombres,
2017,05225000,14,35-39,Mujeres,
2017,05225000,14,40-44,Hombres,
2017,05225000,14,40-44,Mujeres,
2017,05225000,14,45-49,Hombres,
2017,05225000,14,45-49,Mujeres,
2017,05225000,14,50-54,Hombres,
2017,05225000,14,50-54,Mujeres,
2017,05225000,14,55-59,Hombres,
2017,05225000,14,55-59,Mujeres,
2017,05225000,14,60-64,Hombres,
2017,05225000,14,60-64,Mujeres,
2017,05225000,14,65-69,Hombres,
2017,05225000,14,65-69,Mujeres,
2017,05225000,14,70-74,Hombres,
2017,05225000,14,70-74,Mujeres,
2017,05225000,14,75-79,Hombres,
2017,05225000,14,75-79,Mujeres,
2017,05225000,14,80+,Hombres,
2017,05225000,14,80+,Mujeres,
2017,05225000,15,0-4,Hombres,5.0
2017,05225000,15,0-4,Mujeres,0.0
2017,05225000,15,5-9,Hombres,7.0
2017,05225000,15,5-9,Mujeres,0.0
2017,05225000,15,10-14,Hombres,9.0
2017,05225000,15,10-14,Mujeres,3.0
2017,05225000,15,15-19,Hombres,2.0
2017,05225000,15,15-19,Mujeres,2.0
2017,05225000,15,20-24,Hombres,0.0
2017,05225000,15,20-24,Mujeres,0.0
2017,05225000,15,25-29,Hombres,0.0
2017,05225000,15,25-29,Mujeres,0.0
2017,05225000,15,30-34,Hombres,0.0
2017,05225000,15,30-34,Mujeres,0.0
2017,05225000,15,35-39,Hombres,0.0
2017,05225000,15,35-39,Mujeres,0.0
2017,05225000,15,40-44,Hombres,0.0
2017,05225000,15,40-44,Mujeres,0.0
2017,05225000,15,45-49,Hombres,0.0
2017,05225000,15,45-49,Mujeres,0.0
2017,05225000,15,50-54,Hombres,0.0
2017,05225000,15,50-54,Mujeres,0.0
2017,05225000,15,55-59,Hombres,0.0
2017,05225000,15,55-59,Mujeres,0.0
2017,05225000,15,60-64,Hombres,0.0
2017,05225000,15,60-64,Mujeres,0.0
2017,05225000,15,65-69,Hombres,0.0
2017,05225000,15,65-69,Mujeres,0.0
2017,05225000,15,70-74,Hombres,0.0
2017,05225000,15,70-74,Mujeres,0.0
2017,05225000,15,75-79,Hombres,0.0
2017,05225000,15,75-79,Mujeres,0.0
2017,05225000,15,80+,Hombres,0.0
2017,05225000,15,80+,Mujeres,0.0
2017,05225000,2,0-4,Hombres,3.0
2017,05225000,2,0-4,Mujeres,2.0
2017,05225000,2,5-9,Hombres,10.0
2017,05225000,2,5-9,Mujeres,1.0
2017,05225000,2,10-14,Hombres,6.0
2017,05225000,2,10-14,Mujeres,2.0
2017,05225000,2,15-19,Hombres,4.0
2017,05225000,2,15-19,Mujeres,1.0
2017,05225000,2,20-24,Hombres,3.0
2017,05225000,2,20-24,Mujeres,0.0
2017,05225000,2,25-29,Hombres,0.0
2017,05225000,2,25-29,Mujeres,0.0
2017,05225000,2,30-34,Hombres,0.0
2017,05225000,2,30-34,Mujeres,0.0
2017,05225000,2,35-39,Hombres,0.0
2017,05225000,2,35-39,Mujeres,0.0
2017,05225000,2,40-44,Hombres,0.0
2017,05225000,2,40-44,Mujeres,0.0
2017,05225000,2,45-49,Hombres,0.0
2017,05225000,2,45-49,Mujeres,0.0
2017,05225000,2,50-54,Hombres,0.0
2017,05225000,2,50-54,Mujeres,0.0
2017,05225000,2,55-59,Hombres,0.0
2017,05225000,2,55-59,Mujeres,0.0
2017,05225000,2,60-64,Hombres,0.0
2017,05225000,2,60-64,Mujeres,0.0
2017,05225000,2,65-69,Hombres,0.0
2017,05225000,2,65-69,Mujeres,0.0
2017,05225000,2,70-74,Hombres,0.0
2017,05225000,2,70-74,Mujeres,0.0
2017,05225000,2,75-79,Hombres,0.0
2017,05225000,2,75-79,Mujeres,0.0
2017,05225000,2,80+,Hombres,0.0
2017,05225000,2,80+,Mujeres,0.0
2017,05225000,3,0-4,Hombres,1.0
2017,05225000,3,0-4,Mujeres,0.0
2017,05225000,3,5-9,Hombres,0.0
2017,05225000,3,5-9,Mujeres,0.0
2017,05225000,3,10-14,Hombres,1.0
2017,05225000,3,10-14,Mujeres,0.0
2017,05225000,3,15-19,Hombres,0.0
2017,05225000,3,15-19,Mujeres,1.0
2017,05225000,3,20-24,Hombres,0.0
2017,05225000,3,20-24,Mujeres,0.0
2017,05225000,3,25-29,Hombres,2.0
2017,05225000,3,25-29,Mujeres,0.0
2017,05225000,3,30-34,Hombres,1.0
2017,05225000,3,30-34,Mujeres,1.0
2017,05225000,3,35-39,Hombres,0.0
2017,05225000,3,35-39,Mujeres,0.0
2017,05225000,3,40-44,Hombres,0.0
2017,05225000,3,40-44,Mujeres,0.0
2017,05225000,3,45-49,Hombres,0.0
2017,05225000,3,45-49,Mujeres,0.0
2017,05225000,3,50-54,Hombres,0.0
2017,05225000,3,50-54,Mujeres,0.0
2017,05225000,3,55-59,Hombres,0.0
2017,05225000,3,55-59,Mujeres,0.0
2017,05225000,3,60-64,Hombres,0.0
2017,05225000,3,60-64,Mujeres,0.0
2017,05225000,3,65-69,Hombres,0.0
2017,05225000,3,65-69,Mujeres,0.0
2017,05225000,3,70-74,Hombres,0.0
2017,05225000,3,70-74,Mujeres,0.0
2017,05225000,3,75-79,Hombres,0.0
2017,05225000,3,75-79,Mujeres,0.0
2017,05225000,3,80+,Hombres,0.0
2017,05225000,3,80+,Mujeres,0.0
2017,05225000,4,0-4,Hombres,2.0
2017,05225000,4,0-4,Mujeres,0.0
2017,05225000,4,5-9,Hombres,11.0
2017,05225000,4,5-9,Mujeres,7.0
2017,05225000,4,10-14,Hombres,6.0
2017,05225000,4,10-14,Mujeres,5.0
2017,05225000,4,15-19,Hombres,7.0
2017,05225000,4,15-19,Mujeres,1.0
2017,05225000,4,20-24,Hombres,1.0
2017,05225000,4,20-24,Mujeres,0.0
2017,05225000,4,25-29,Hombres,0.0
2017,05225000,4,25-29,Mujeres,0.0
2017,05225000,4,30-34,Hombres,0.0
2017,05225000,4,30-34,Mujeres,1.0
2017,05225000,4,35-39,Hombres,0.0
2017,05225000,4,35-39,Mujeres,1.0
2017,05225000,4,40-44,Hombres,1.0
2017,05225000,4,40-44,Mujeres,0.0
2017,05225000,4,45-49,Hombres,0.0
2017,05225000,4,45-49,Mujeres,1.0
2017,05225000,4,50-54,Hombres,0.0
2017,05225000,4,50-54,Mujeres,0.0
2017,05225000,4,55-59,Hombres,0.0
2017,05225000,4,55-59,Mujeres,0.0
2017,05225000,4,60-64,Hombres,0.0
2017,05225000,4,60-64,Mujeres,0.0
2017,05225000,4,65-69,Hombres,0.0
2017,05225000,4,65-69,Mujeres,0.0
2017,05225000,4,70-74,Hombres,0.0
2017,05225000,4,70-74,Mujeres,0.0
2017,05225000,4,75-79,Hombres,0.0
2017,05225000,4,75-79,Mujeres,0.0
2017,05225000,4,80+,Hombres,0.0
2017,05225000,4,80+,Mujeres,0.0
2017,05225000,5,0-4,Hombres,1.0
2017,05225000,5,0-4,Mujeres,1.0
2017,05225000,5,5-9,Hombres,23.0
2017,05225000,5,5-9,Mujeres,6.0
2017,05225000,5,10-14,Hombres,12.0
2017,05225000,5,10-14,Mujeres,3.0
2017,05225000,5,15-19,Hombres,9.0
2017,05225000,5,15-19,Mujeres,2.0
2017,05225000,5,20-24,Hombres,1.0
2017,05225000,5,20-24,Mujeres,1.0
2017,05225000,5,25-29,Hombres,1.0
2017,05225000,5,25-29,Mujeres,0.0
2017,05225000,5,30-34,Hombres,1.0
2017,05225000,5,30-34,Mujeres,0.0
2017,05225000,5,35-39,Hombres,0.0
2017,05225000,5,35-39,Mujeres,0.0
2017,05225000,5,40-44,Hombres,0.0
2017,05225000,5,40-44,Mujeres,0.0
2017,05225000,5,45-49,Hombres,0.0
2017,05225000,5,45-49,Mujeres,0.0
2017,05225000,5,50-54,Hombres,0.0
2017,05225000,5,50-54,Mujeres,1.0
2017,05225000,5,55-59,Hombres,0.0
2017,05225000,5,55-59,Mujeres,0.0
2017,05225000,5,60-64,Hombres,0.0
2017,05225000,5,60-64,Mujeres,0.0
2017,05225000,5,65-69,Hombres,0.0
2017,05225000,5,65-69,Mujeres,1.0
2017,05225000,5,70-74,Hombres,1.0
2017,05225000,5,70-74,Mujeres,2.0
2017,05225000,5,75-79,Hombres,0.0
2017,05225000,5,75-79,Mujeres,0.0
2017,05225000,5,80+,Hombres,0.0
2017,05225000,5,80+,Mujeres,0.0
2017,05225000,6,0-4,Hombres,1.0
2017,05225000,6,0-4,Mujeres,1.0
2017,05225000,6,5-9,Hombres,7.0
2017,05225000,6,5-9,Mujeres,2.0
2017,05225000,6,10-14,Hombres,4.0
2017,05225000,6,10-14,Mujeres,2.0
2017,05225000,6,15-19,Hombres,6.0
2017,05225000,6,15-19,Mujeres,1.0
2017,05225000,6,20-24,Hombres,0.0
2017,05225000,6,20-24,Mujeres,0.0
2017,05225000,6,25-29,Hombres,0.0
2017,05225000,6,25-29,Mujeres,0.0
2017,05225000,6,30-34,Hombres,0.0
2017,05225000,6,30-34,Mujeres,0.0
2017,05225000,6,35-39,Hombres,0.0
2017,05225000,6,35-39,Mujeres,0.0
2017,05225000,6,40-44,Hombres,0.0
2017,05225000,6,40-44,Mujeres,0.0
2017,05225000,6,45-49,Hombres,0.0
2017,05225000,6,45-49,Mujeres,0.0
2017,05225000,6,50-54,Hombres,0.0
2017,05225000,6,50-54,Mujeres,1.0
2017,05225000,6,55-59,Hombres,0.0
2017,05225000,6,55-59,Mujeres,1.0
2017,05225000,6,60-64,Hombres,0.0
2017,05225000,6,60-64,Mujeres,0.0
2017,05225000,6,65-69,Hombres,0.0
2017,05225000,6,65-69,Mujeres,0.0
2017,05225000,6,70-74,Hombres,0.0
2017,05225000,6,70-74,Mujeres,0.0
2017,05225000,6,75-79,Hombres,0.0
2017,05225000,6,75-79,Mujeres,0.0
2017,05225000,6,80+,Hombres,0.0
2017,05225000,6,80+,Mujeres,0.0
2017,05225000,7,0-4,Hombres,3.0
2017,05225000,7,0-4,Mujeres,0.0
2017,05225000,7,5-9,Hombres,10.0
2017,05225000,7,5-9,Mujeres,0.0
2017,05225000,7,10-14,Hombres,9.0
2017,05225000,7,10-14,Mujeres,1.0
2017,05225000,7,15-19,Hombres,1.0
2017,05225000,7,15-19,Mujeres,2.0
2017,05225000,7,20-24,Hombres,0.0
2017,05225000,7,20-24,Mujeres,1.0
2017,05225000,7,25-29,Hombres,1.0
2017,05225000,7,25-29,Mujeres,0.0
2017,05225000,7,30-34,Hombres,0.0
2017,05225000,7,30-34,Mujeres,0.0
2017,05225000,7,35-39,Hombres,0.0
2017,05225000,7,35-39,Mujeres,0.0
2017,05225000,7,40-44,Hombres,0.0
2017,05225000,7,40-44,Mujeres,1.0
2017,05225000,7,45-49,Hombres,0.0
2017,05225000,7,45-49,Mujeres,1.0
2017,05225000,7,50-54,Hombres,0.0
2017,05225000,7,50-54,Mujeres,2.0
2017,05225000,7,55-59,Hombres,0.0
2017,05225000,7,55-59,Mujeres,0.0
2017,05225000,7,60-64,Hombres,0.0
2017,05225000,7,60-64,Mujeres,0.0
2017,05225000,7,65-69,Hombres,0.0
2017,05225000,7,65-69,Mujeres,0.0
2017,05225000,7,70-74,Hombres,0.0
2017,05225000,7,70-74,Mujeres,0.0
2017,05225000,7,75-79,Hombres,0.0
2017,05225000,7,75-79,Mujeres,0.0
2017,05225000,7,80+,Hombres,0.0
2017,05225000,7,80+,Mujeres,0.0
2017,05225000,8,0-4,Hombres,6.0
2017,05225000,8,0-4,Mujeres,4.0
2017,05225000,8,5-9,Hombres,25.0
2017,05225000,8,5-9,Mujeres,6.0
2017,05225000,8,10-14,Hombres,14.0
2017,05225000,8,10-14,Mujeres,3.0
2017,05225000,8,15-19,Hombres,11.0
2017,05225000,8,15-19,Mujeres,5.0
2017,05225000,8,20-24,Hombres,4.0
2017,05225000,8,20-24,Mujeres,3.0
2017,05225000,8,25-29,Hombres,0.0
2017,05225000,8,25-29,Mujeres,1.0
2017,05225000,8,30-34,Hombres,0.0
2017,05225000,8,30-34,Mujeres,0.0
2017,05225000,8,35-39,Hombres,0.0
2017,05225000,8,35-39,Mujeres,1.0
2017,05225000,8,40-44,Hombres,0.0
2017,05225000,8,40-44,Mujeres,0.0
2017,05225000,8,45-49,Hombres,0.0
2017,05225000,8,45-49,Mujeres,1.0
2017,05225000,8,50-54,Hombres,0.0
2017,05225000,8,50-54,Mujeres,1.0
2017,05225000,8,55-59,Hombres,1.0
2017,05225000,8,55-59,Mujeres,0.0
2017,05225000,8,60-64,Hombres,1.0
2017,05225000,8,60-64,Mujeres,0.0
2017,05225000,8,65-69,Hombres,0.0
2017,05225000,8,65-69,Mujeres,0.0
2017,05225000,8,70-74,Hombres,0.0
2017,05225000,8,70-74,Mujeres,0.0
2017,05225000,8,75-79,Hombres,1.0
2017,05225000,8,75-79,Mujeres,0.0
2017,05225000,8,80+,Hombres,0.0
2017,05225000,8,80+,Mujeres,0.0
2017,05225000,9,0-4,Hombres,4.0
2017,05225000,9,0-4,Mujeres,1.0
2017,05225000,9,5-9,Hombres,7.0
2017,05225000,9,5-9,Mujeres,5.0
2017,05225000,9,10-14,Hombres,7.0
2017,05225000,9,10-14,Mujeres,3.0
2017,05225000,9,15-19,Hombres,2.0
2017,05225000,9,15-19,Mujeres,1.0
2017,05225000,9,20-24,Hombres,0.0
2017,05225000,9,20-24,Mujeres,1.0
2017,05225000,9,25-29,Hombres,1.0
2017,05225000,9,25-29,Mujeres,0.0
2017,05225000,9,30-34,Hombres,1.0
2017,05225000,9,30-34,Mujeres,0.0
2017,05225000,9,35-39,Hombres,3.0
2017,05225000,9,35-39,Mujeres,0.0
2017,05225000,9,40-44,Hombres,0.0
2017,05225000,9,40-44,Mujeres,1.0
2017,05225000,9,45-49,Hombres,0.0
2017,05225000,9,45-49,Mujeres,0.0
2017,05225000,9,50-54,Hombres,0.0
2017,05225000,9,50-54,Mujeres,0.0
2017,05225000,9,55-59,Hombres,0.0
2017,05225000,9,55-59,Mujeres,0.0
2017,05225000,9,60-64,Hombres,0.0
2017,05225000,9,60-64,Mujeres,0.0
2017,05225000,9,65-69,Hombres,1.0
2017,05225000,9,65-69,Mujeres,0.0
2017,05225000,9,70-74,Hombres,0.0
2017,05225000,9,70-74,Mujeres,0.0
2017,05225000,9,75-79,Hombres,0.0
2017,05225000,9,75-79,Mujeres,0.0
2017,05225000,9,80+,Hombres,0.0
2017,05225000,9,80+,Mujeres,0.0
2017,06902600,1,0-4,Hombres,8.0
2017,06902600,1,0-4,Mujeres,2.0
2017,06902600,1,5-9,Hombres,43.0
2017,06902600,1,5-9,Mujeres,4.0
2017,06902600,1,10-14,Hombres,14.0
2017,06902600,1,10-14,Mujeres,4.0
2017,06902600,1,15-19,Hombres,7.0
2017,06902600,1,15-19,Mujeres,3.0
2017,06902600,1,20-24,Hombres,2.0
2017,06902600,1,20-24,Mujeres,0.0
2017,06902600,1,25-29,Hombres,1.0
2017,06902600,1,25-29,Mujeres,0.0
2017,06902600,1,30-34,Hombres,1.0
2017,06902600,1,30-34,Mujeres,0.0
2017,06902600,1,35-39,Hombres,0.0
2017,06902600,1,35-39,Mujeres,0.0
2017,06902600,1,40-44,Hombres,1.0
2017,06902600,1,40-44,Mujeres,0.0
2017,06902600,1,45-49,Hombres,0.0
2017,06902600,1,45-49,Mujeres,0.0
2017,06902600,1,50-54,Hombres,3.0
2017,06902600,1,50-54,Mujeres,0.0
2017,06902600,1,55-59,Hombres,0.0
2017,06902600,1,55-59,Mujeres,0.0
2017,06902600,1,60-64,Hombres,0.0
2017,06902600,1,60-64,Mujeres,0.0
2017,06902600,1,65-69,Hombres,0.0
2017,06902600,1,65-69,Mujeres,0.0
2017,06902600,1,70-74,Hombres,0.0
2017,06902600,1,70-74,Mujeres,0.0
2017,06902600,1,75-79,Hombres,0.0
2017,06902600,1,75-79,Mujeres,0.0
2017,06902600,1,80+,Hombres,0.0
2017,06902600,1,80+,Mujeres,0.0
2017,06902600,10,0-4,Hombres,12.0
2017,06902600,10,0-4,Mujeres,2.0
2017,06902600,10,5-9,Hombres,36.0
2017,06902600,10,5-9,Mujeres,5.0
2017,06902600,10,10-14,Hombres,20.0
2017,06902600,10,10-14,Mujeres,7.0
2017,06902600,10,15-19,Hombres,9.0
2017,06902600,10,15-19,Mujeres,3.0
2017,06902600,10,20-24,Hombres,1.0
2017,06902600,10,20-24,Mujeres,1.0
2017,06902600,10,25-29,Hombres,2.0
2017,06902600,10,25-29,Mujeres,0.0
2017,06902600,10,30-34,Hombres,0.0
2017,06902600,10,30-34,Mujeres,1.0
2017,06902600,10,35-39,Hombres,1.0
2017,06902600,10,35-39,Mujeres,1.0
2017,06902600,10,40-44,Hombres,2.0
2017,06902600,10,40-44,Mujeres,0.0
2017,06902600,10,45-49,Hombres,0.0
2017,06902600,10,45-49,Mujeres,1.0
2017,06902600,10,50-54,Hombres,0.0
2017,06902600,10,50-54,Mujeres,0.0
2017,06902600,10,55-59,Hombres,0.0
2017,06902600,10,55-59,Mujeres,0.0
2017,06902600,10,60-64,Hombres,0.0
2017,06902600,10,60-64,Mujeres,0.0
2017,06902600,10,65-69,Hombres,0.0
2017,06902600,10,65-69,Mujeres,0.0
2017,06902600,10,70-74,Hombres,0.0
2017,06902600,10,70-74,Mujeres,0.0
2017,06902600,10,75-79,Hombres,0.0
2017,06902600,10,75-79,Mujeres,0.0
2017,06902600,10,80+,Hombres,0.0
2017,06902600,10,80+,Mujeres,0.0
2017,06902600,11,0-4,Hombres,7.0
2017,06902600,11,0-4,Mujeres,1.0
2017,06902600,11,5-9,Hombres,8.0
2017,06902600,11,5-9,Mujeres,1.0
2017,06902600,11,10-14,Hombres,16.0
2017,06902600,11,10-14,Mujeres,
2017,06902600,11,15-19,Hombres,2.0
2017,06902600,11,15-19,Mujeres,
2017,06902600,11,20-24,Hombres,
2017,06902600,11,20-24,Mujeres,
2017,06902600,11,25-29,Hombres,
2017,06902600,11,25-29,Mujeres,
2017,06902600,11,30-34,Hombres,
2017,06902600,11,30-34,Mujeres,1.0
2017,06902600,11,35-39,Hombres,
2017,06902600,11,35-39,Mujeres,
2017,06902600,11,40-44,Hombres,
2017,06902600,11,40-44,Mujeres,
2017,06902600,11,45-49,Hombres,
2017,06902600,11,45-49,Mujeres,
2017,06902600,11,50-54,Hombres,
2017,06902600,11,50-54,Mujeres,
2017,06902600,11,55-59,Hombres,
2017,06902600,11,55-59,Mujeres,1.0
2017,06902600,11,60-64,Hombres,
2017,06902600,11,60-64,Mujeres,
2017,06902600,11,65-69,Hombres,
2017,06902600,11,65-69,Mujeres,
2017,06902600,11,70-74,Hombres,
2017,06902600,11,70-74,Mujeres,
2017,06902600,11,75-79,Hombres,
2017,06902600,11,75-79,Mujeres,
2017,06902600,11,80+,Hombres,
2017,06902600,11,80+,Mujeres,
2017,06902600,12,0-4,Hombres,4.0
2017,06902600,12,0-4,Mujeres,
2017,06902600,12,5-9,Hombres,6.0
2017,06902600,12,5-9,Mujeres,2.0
2017,06902600,12,10-14,Hombres,5.0
2017,06902600,12,10-14,Mujeres,3.0
2017,06902600,12,15-19,Hombres,2.0
2017,06902600,12,15-19,Mujeres,
2017,06902600,12,20-24,Hombres,5.0
2017,06902600,12,20-24,Mujeres,
2017,06902600,12,25-29,Hombres,1.0
2017,06902600,12,25-29,Mujeres,
2017,06902600,12,30-34,Hombres,
2017,06902600,12,30-34,Mujeres,
2017,06902600,12,35-39,Hombres,
2017,06902600,12,35-39,Mujeres,
2017,06902600,12,40-44,Hombres,
2017,06902600,12,40-44,Mujeres,1.0
2017,06902600,12,45-49,Hombres,
2017,06902600,12,45-49,Mujeres,
2017,06902600,12,50-54,Hombres,
2017,06902600,12,50-54,Mujeres,
2017,06902600,12,55-59,Hombres,
2017,06902600,12,55-59,Mujeres,
2017,06902600,12,60-64,Hombres,
2017,06902600,12,60-64,Mujeres,
2017,06902600,12,65-69,Hombres,
2017,06902600,12,65-69,Mujeres,
2017,06902600,12,70-74,Hombres,
2017,06902600,12,70-74,Mujeres,
2017,06902600,12,75-79,Hombres,
