period,year,cut_comuna,comuna,cut_region,region_short,continental,population,rem_reported,rem_rows,rem_establishments,rem_ingresos,rem_crude,rem_crude_lo,rem_crude_hi,rem_expected,rem_sir,rem_sir_lo,rem_sir_hi,grd_records,grd_records_crude,grd_records_crude_lo,grd_records_crude_hi,grd_records_expected,grd_records_sir,grd_records_sir_lo,grd_records_sir_hi,grd_persons,grd_persons_population,grd_persons_crude,grd_persons_crude_lo,grd_persons_crude_hi,grd_persons_expected,grd_persons_sir,grd_persons_sir_lo,grd_persons_sir_hi
2021,2021.0,1101,Iquique,1,Tarapacá,True,227127.0,True,5,2.0,5.0,2.201411545082707,0.7147923364982677,5.137360190255968,25.064065393328793,0.19948878689611269,0.06477346610141456,0.4655402823210151,31.0,13.648751579512783,9.273664504502703,19.373313389975102,28.215200013238928,1.0986985733028443,0.7465123752182805,1.559514923963057,27.0,227127.0,11.887622343446617,7.834018030337553,17.29586638539764,23.296372789290007,1.1589787064367656,0.7637742704711865,1.6862531691294815
2021,2021.0,1107,Alto Hospicio,1,Tarapacá,True,134085.0,True,6,2.0,8.0,5.966364619457806,2.57585276261215,11.75611680664751,19.8392043940886,0.40324197690022917,0.1740912643542109,0.7945474479253917,10.0,7.457955774322258,3.5763796816440565,13.715446203540871,21.985821649857765,0.4548385845777428,0.21811278070489837,0.8364643512032106,9.0,134085.0,6.712160196890032,3.069227055508322,12.741770855367244,18.14171308510234,0.49609427498832204,0.22684589256114998,0.9417414646166417
2021,2021.0,1401,Pozo Almonte,1,Tarapacá,True,17853.0,False,0,,,,,,2.3824034243088077,,,,1.0,5.601299501484345,0.14181262524107924,31.208443348114592,2.6585788439759046,0.376140810066968,0.009523060804330744,2.0957224584720255,1.0,17853.0,5.601299501484345,0.14181262524107924,31.208443348114592,2.191186476558906,0.4563737549030628,0.011554383095705114,2.5427518153036184
2021,2021.0,1402,Camiña,1,Tarapacá,True,1384.0,False,0,,,,,,0.1501286493815349,,,,0.0,0.0,0.0,266.5375328117006,0.16787582792640718,0.0,0.0,21.973857104258357,0.0,1384.0,0.0,0.0,266.5375328117006,0.13857655715900208,0.0,0.0,26.619794355847166
2021,2021.0,1403,Colchane,1,Tarapacá,True,1588.0,False,0,,,,,,0.14847490199975474,,,,0.0,0.0,0.0,232.29719484344685,0.17114760092522208,0.0,0.0,21.553790027858373,0.0,1588.0,0.0,0.0,232.29719484344685,0.14064363507639968,0.0,0.0,26.228555967783986
2021,2021.0,1404,Huara,1,Tarapacá,True,3043.0,False,0,,,,,,0.36336035895723295,,,,0.0,0.0,0.0,121.22508886342214,0.401986571663099,0.0,0.0,9.17662358434587,0.0,3043.0,0.0,0.0,121.22508886342214,0.3322963036707941,0.0,0.0,11.101175105963586
2021,2021.0,1405,Pica,1,Tarapacá,True,6085.0,False,0,,,,,,0.7284227211880292,,,,3.0,49.30156121610518,10.16716717987841,144.08008331540384,0.8069636531579099,3.7176395594275276,0.766666652797232,10.864520397459225,2.0,6085.0,32.86770747740345,3.9804318577479862,118.72946043917764,0.6664781733407121,3.000848459860327,0.36341667024126906,10.84009643033067
2021,2021.0,2101,Antofagasta,2,Antofagasta,True,433712.0,True,47,11.0,112.0,25.82358800309883,21.263062477533108,31.072486648313948,49.54601112208636,2.260525064752856,1.8613093454752172,2.7199990521953543,122.0,28.12926550337551,23.359654877311645,33.58638217334707,56.08759472603456,2.1751690475571497,1.806346427518641,2.5971548711118335,98.0,433712.0,22.595639502711478,18.344232364875225,27.536847099719466,46.26922132236247,2.118038670182578,1.7195261731343379,2.581210724534347
2021,2021.0,2102,Mejillones,2,Antofagasta,True,15168.0,True,5,1.0,5.0,32.96413502109704,10.70336491375541,76.92729482675811,1.6889570369657934,2.9604068609006693,0.9612360495770865,6.908602068578841,0.0,0.0,0.0,24.32014408039251,1.9226710981413249,0.0,0.0,1.9186222009994487,0.0,15168.0,0.0,0.0,24.32014408039251,1.5875617126183716,0.0,0.0,2.3236132647907293
2021,2021.0,2103,Sierra Gorda,2,Antofagasta,True,1772.0,False,0,,,,,,0.19530827513906898,,,,1.0,56.433408577878104,1.428770202273695,314.42682793108906,0.219291121514334,4.560148140492021,0.11545295500089352,25.407519248674674,1.0,1772.0,56.433408577878104,1.428770202273695,314.42682793108906,0.1814581694195665,5.510911981525648,0.1395242113665888,30.704836319913365
