year,path,bytes,mtime_ns,records
2019,GRD/GRD_PUBLICO_2019.csv,572538107,1759171876437000036,1151475
2020,GRD/GRD_PUBLICO_2020.csv,397026770,1759171505342999935,781912
2021,GRD/GRD_PUBLICO_2021.csv,428657870,1759171702884000063,816909
2022,GRD/GRD_PUBLICO_2022.csv,484759208,1759172062164000034,932839
2023,GRD/GRD_PUBLICO_2023.csv,542631171,1759172339944999933,1039587
2024,GRD/GRD_PUBLICO_2024.csv,571293858,1759172597522000074,1085813
