unit,period,variable,n_comunas,islands,moran_i,expected_i,z_norm,p_norm,z_sim,p_sim,permutations
persons,2021-2024,asr,342,4,0.2972583821750735,-0.002932551319648094,8.12135000945,4.610263442764193e-16,8.422597208493189,0.001,999
persons,2021-2024,sir,342,4,0.3435066033373123,-0.002932551319648094,9.372546995982566,7.080294542522918e-21,9.513131565507795,0.001,999
persons,2021-2024,sir_eb,342,4,0.40864210923577166,-0.002932551319648094,11.134719608211991,8.501211431506485e-29,11.51539649943126,0.001,999
records,2019-2024,asr,342,4,0.17368723413329817,-0.002932551319648094,4.778262552964691,1.768164041665284e-06,5.352154036652364,0.001,999
records,2019-2024,sir,342,4,0.2694649530564943,-0.002932551319648094,7.369428013648651,1.713616657047111e-13,7.56408266788038,0.001,999
records,2019-2024,sir_eb,342,4,0.3423826303684224,-0.002932551319648094,9.342139089337124,9.440718069910526e-21,9.930465651803953,0.001,999
