series,year,cut_region,sex,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing,period,region
05990022,2022.0,6,MUJER,26.0,504841.0,5.150136379572975,3.3642400707542257,7.5461430595227,7.100412485629673,4.62334705300024,10.482773458850058,1.965560165861537,0.0,2022,O'Higgins
05990022,2022.0,6,TOTAL,123.0,1009552.0,12.183622042252406,10.125781088119616,14.536786595751298,16.25754546040199,13.501099941864615,19.435423124292754,2.1661421098835905,0.0,2022,O'Higgins
05990022,2022.0,7,HOMBRE,164.0,565612.0,28.995141545794645,24.727262244475074,33.78810237878015,38.53912743613169,32.84900477650737,44.95868106887037,9.114602633956364,0.0,2022,Maule
05990022,2022.0,7,MUJER,46.0,587431.0,7.830706925579345,5.733061654725725,10.445065669088965,11.602994463328882,8.485383305575876,15.510965650792324,2.9461570007820437,0.0,2022,Maule
05990022,2022.0,7,TOTAL,210.0,1153043.0,18.212677237535807,15.832549761702063,20.84962346930515,25.310533343207144,21.992058621110477,29.000635557828858,3.0712023976089617,0.0,2022,Maule
05990022,2022.0,8,HOMBRE,489.0,815898.0,59.933962333526985,54.73888012892222,65.48917889913506,79.67250359619821,72.73615129481793,87.11756514732124,13.097945975432049,0.0,2022,Biobío
05990022,2022.0,8,MUJER,197.0,860371.0,22.897099042157397,19.811179186592895,26.327449188514798,32.758768581963054,28.31549454665233,37.73186579176372,5.52004584057409,0.0,2022,Biobío
05990022,2022.0,8,TOTAL,686.0,1676269.0,40.924219203481066,37.9186766080003,44.104645091391085,56.6665157154777,52.48399023676545,61.106842098671216,4.7288181981194075,0.0,2022,Biobío
05990022,2022.0,9,HOMBRE,200.0,499978.0,40.00176007744341,34.649701123140886,45.9464179754809,50.85773447857964,44.01866745796216,58.49695352376044,13.069111014570016,0.0,2022,La Araucanía
05990022,2022.0,9,MUJER,64.0,524051.0,12.212551831787364,9.405153037821787,15.595156045668265,15.935665736745529,12.240455606988721,20.45702085826109,4.042482133819673,0.0,2022,La Araucanía
