year,cut_region,age,population
2019,7,4,15116.0
2019,7,5,14735.0
2019,8,0,18384.0
2019,8,1,18666.0
2019,8,2,19670.0
2019,8,3,21152.0
2019,8,4,21619.0
2019,8,5,21411.0
2019,9,0,11819.0
2019,9,1,12029.0
2019,9,2,12717.0
2019,9,3,13299.0
2019,9,4,13837.0
2019,9,5,13483.0
2019,10,0,10182.0
2019,10,1,10337.0
2019,10,2,10879.0
2019,10,3,11318.0
2019,10,4,11309.0
2019,10,5,11328.0
2019,11,0,1306.0
2019,11,1,1337.0
2019,11,2,1412.0
2019,11,3,1504.0
2019,11,4,1538.0
2019,11,5,1578.0
2019,12,0,1902.0
2019,12,1,1908.0
2019,12,2,1981.0
2019,12,3,2120.0
2019,12,4,2177.0
2019,12,5,2128.0
2019,13,0,99527.0
2019,13,1,97860.0
2019,13,2,99055.0
2019,13,3,103101.0
2019,13,4,104441.0
2019,13,5,101817.0
2019,14,0,4358.0
2019,14,1,4416.0
2019,14,2,4634.0
2019,14,3,4927.0
2019,14,4,4896.0
2019,14,5,5109.0
2019,15,0,3097.0
2019,15,1,3109.0
2019,15,2,3229.0
2019,15,3,3366.0
2019,15,4,3644.0
2019,15,5,3628.0
2019,16,0,5237.0
2019,16,1,5379.0
2019,16,2,5743.0
2019,16,3,6149.0
2019,16,4,6340.0
2019,16,5,6279.0
2020,1,0,5825.0
2020,1,1,5656.0
2020,1,2,5558.0
2020,1,3,5607.0
2020,1,4,6020.0
2020,1,5,6161.0
2020,2,0,9689.0
2020,2,1,9336.0
2020,2,2,9068.0
2020,2,3,9099.0
2020,2,4,9926.0
2020,2,5,10308.0
2020,3,0,4110.0
2020,3,1,4110.0
2020,3,2,4141.0
2020,3,3,4318.0
2020,3,4,4692.0
2020,3,5,4816.0
2020,4,0,9842.0
2020,4,1,9840.0
2020,4,2,9968.0
2020,4,3,10389.0
2020,4,4,11342.0
2020,4,5,12184.0
2020,5,0,21383.0
2020,5,1,21371.0
2020,5,2,21633.0
2020,5,3,22585.0
2020,5,4,24325.0
2020,5,5,25159.0
2020,6,0,11275.0
2020,6,1,11372.0
2020,6,2,11622.0
2020,6,3,12234.0
2020,6,4,13050.0
2020,6,5,13122.0
2020,7,0,13130.0
2020,7,1,13251.0
2020,7,2,13509.0
2020,7,3,14221.0
2020,7,4,14970.0
2020,7,5,15304.0
2020,8,0,18375.0
2020,8,1,18500.0
2020,8,2,18788.0
2020,8,3,19774.0
2020,8,4,21239.0
2020,8,5,21697.0
2020,9,0,11795.0
2020,9,1,11918.0
2020,9,2,12156.0
2020,9,3,12851.0
2020,9,4,13428.0
