year,code,IdRegion,IdComuna,Col01,Col02,Col03,total_known,rows,rows_total_known,reporting_establishments
2017,05225000,6,06301,4,3,1,4,7,7,3
2017,05225000,6,06303,1,1,0,1,3,3,1
2017,05225000,6,06309,6,4,2,6,4,4,2
2017,05225000,6,06310,2,1,1,2,2,2,1
2017,05225000,7,07101,4,4,0,4,6,6,3
2017,05225000,7,07105,5,1,4,5,4,4,2
2017,05225000,7,07201,3,2,1,3,2,2,2
2017,05225000,7,07301,15,12,3,15,6,6,1
2017,05225000,7,07304,0,0,0,0,1,1,1
2017,05225000,7,07401,3,3,0,3,2,2,1
2017,05225000,7,07404,2,2,0,2,1,1,1
2017,05225000,8,08101,8,5,3,8,10,10,7
2017,05225000,8,08102,4,4,0,4,3,3,3
2017,05225000,8,08103,3,2,1,3,3,3,2
2017,05225000,8,08104,0,0,0,0,1,1,1
2017,05225000,8,08106,5,5,0,5,6,6,2
2017,05225000,8,08107,4,3,1,4,5,5,2
2017,05225000,8,08108,6,6,0,6,6,6,3
2017,05225000,8,08110,27,21,6,27,13,13,4
2017,05225000,8,08111,4,4,0,4,6,6,3
2017,05225000,8,08112,5,4,1,5,5,5,3
2017,05225000,8,08201,1,1,0,1,1,1,1
2017,05225000,8,08202,4,2,2,4,3,3,1
2017,05225000,8,08203,5,1,4,5,5,5,2
2017,05225000,8,08205,1,0,1,1,2,2,1
2017,05225000,8,08301,3,2,1,3,3,3,3
2017,05225000,8,08304,0,0,0,0,2,2,2
2017,05225000,8,08306,0,0,0,0,1,1,1
2017,05225000,8,08401,5,2,3,5,8,8,5
2017,05225000,8,08402,1,0,1,1,1,1,1
2017,05225000,8,08406,1,1,0,1,1,1,1
2017,05225000,8,08413,1,0,1,1,1,1,1
2017,05225000,8,08416,0,0,0,0,4,4,1
2017,05225000,9,09101,7,5,2,7,7,7,2
2017,05225000,9,09110,1,0,1,1,1,1,1
2017,05225000,9,09112,3,2,1,3,6,6,3
2017,05225000,9,09114,3,2,1,3,3,3,2
2017,05225000,9,09115,6,6,0,6,2,2,1
2017,05225000,9,09120,4,1,3,4,2,2,2
2017,05225000,9,09201,11,8,3,11,6,6,1
2017,05225000,9,09204,0,0,0,0,1,1,1
2017,05225000,9,09206,1,1,0,1,1,1,1
2017,05225000,9,09210,1,0,1,1,2,2,1
2017,05225000,9,09211,1,1,0,1,1,1,1
2017,06902600,1,01101,31,26,5,31,25,25,6
2017,06902600,1,01107,62,54,8,62,21,21,4
2017,06902600,10,10101,22,18,4,22,18,18,9
2017,06902600,10,10102,2,2,0,2,2,2,1
2017,06902600,10,10103,1,1,0,1,1,1,1
2017,06902600,10,10107,1,0,1,1,1,1,1
2017,06902600,10,10109,6,6,0,6,5,5,1
2017,06902600,10,10201,5,5,0,5,5,5,2
2017,06902600,10,10202,5,3,2,5,5,5,2
2017,06902600,10,10203,8,6,2,8,6,6,1
2017,06902600,10,10204,1,1,0,1,1,1,1
2017,06902600,10,10205,1,1,0,1,1,1,1
2017,06902600,10,10208,8,6,2,8,4,4,2
2017,06902600,10,10301,34,27,7,34,23,23,7
2017,06902600,10,10302,2,2,0,2,2,2,1
2017,06902600,10,10303,2,1,1,2,2,2,1
2017,06902600,10,10304,2,1,1,2,2,2,1
2017,06902600,10,10305,1,1,0,1,1,1,1
2017,06902600,10,10401,2,2,0,2,2,2,1
2017,06902600,10,10403,1,0,1,1,1,1,1
2017,06902600,11,11101,12,9,3,12,11,11,3
2017,06902600,11,11201,11,11,0,11,4,4,1
2017,06902600,11,11202,2,1,1,2,2,2,2
2017,06902600,11,11203,2,2,0,2,1,1,1
2017,06902600,11,11303,10,10,0,10,1,1,1
2017,06902600,12,12101,22,19,3,22,10,10,3
2017,06902600,12,12201,3,3,0,3,3,3,1
2017,06902600,12,12301,1,0,1,1,1,1,1
2017,06902600,12,12401,3,1,2,3,2,2,1
2017,06902600,13,13101,51,40,11,51,24,24,6
2017,06902600,13,13102,21,16,5,21,17,17,3
2017,06902600,13,13103,2,1,1,2,2,2,1
2017,06902600,13,13104,14,9,5,14,12,12,5
2017,06902600,13,13105,5,4,1,5,5,5,4
2017,06902600,13,13106,4,2,2,4,4,4,3
2017,06902600,13,13107,11,8,3,11,8,8,4
2017,06902600,13,13108,5,4,1,5,5,5,3
2017,06902600,13,13109,10,8,2,10,7,7,2
2017,06902600,13,13110,43,38,5,43,25,25,9
2017,06902600,13,13111,1,1,0,1,1,1,1
2017,06902600,13,13112,2,2,0,2,2,2,2
2017,06902600,13,13113,6,4,2,6,5,5,2
2017,06902600,13,13114,13,13,0,13,9,9,2
2017,06902600,13,13115,19,14,5,19,6,6,1
2017,06902600,13,13116,17,16,1,17,14,14,5
2017,06902600,13,13117,9,7,2,9,7,7,2
2017,06902600,13,13118,11,9,2,11,7,7,2
2017,06902600,13,13119,30,19,11,30,19,19,9
2017,06902600,13,13120,9,9,0,9,7,7,2
2017,06902600,13,13121,17,6,11,17,10,10,4
2017,06902600,13,13122,78,52,26,78,38,38,8
2017,06902600,13,13123,34,30,4,34,17,17,4
2017,06902600,13,13124,54,39,15,54,22,22,4
2017,06902600,13,13125,6,3,3,6,5,5,3
2017,06902600,13,13126,4,3,1,4,2,2,2
2017,06902600,13,13127,12,11,1,12,11,11,3
2017,06902600,13,13128,20,18,2,20,18,18,4
2017,06902600,13,13129,14,13,1,14,11,11,5
2017,06902600,13,13130,5,5,0,5,4,4,2
2017,06902600,13,13131,422,305,117,422,32,32,5
2017,06902600,13,13132,3,3,0,3,2,2,2
2017,06902600,13,13201,122,76,46,122,54,54,9
2017,06902600,13,13202,2,2,0,2,2,2,1
2017,06902600,13,13203,4,2,2,4,3,3,2
2017,06902600,13,13301,12,10,2,12,11,11,3
2017,06902600,13,13302,22,15,7,22,14,14,4
2017,06902600,13,13303,4,4,0,4,3,3,2
2017,06902600,13,13401,52,36,16,52,33,33,9
2017,06902600,13,13402,34,28,6,34,22,22,7
2017,06902600,13,13404,13,6,7,13,4,4,2
2017,06902600,13,13501,24,20,4,24,14,14,4
2017,06902600,13,13504,1,1,0,1,1,1,1
2017,06902600,13,13505,6,6,0,6,4,4,2
2017,06902600,13,13601,9,9,0,9,8,8,2
2017,06902600,13,13603,5,4,1,5,4,4,3
2017,06902600,13,13605,4,3,1,4,3,3,2
2017,06902600,14,14101,12,8,4,12,8,8,3
2017,06902600,14,14105,7,5,2,7,3,3,1
2017,06902600,14,14108,3,2,1,3,3,3,3
2017,06902600,14,14203,1,0,1,1,1,1,1
2017,06902600,14,14204,3,2,1,3,3,3,2
2017,06902600,15,15101,83,67,16,83,50,50,10
2017,06902600,2,02101,62,48,14,62,41,41,9
2017,06902600,2,02102,2,2,0,2,2,2,1
2017,06902600,2,02104,11,11,0,11,7,7,1
2017,06902600,2,02201,37,23,14,37,21,21,6
2017,06902600,2,02301,4,4,0,4,3,3,1
2017,06902600,2,02302,3,1,2,3,3,3,1
2017,06902600,3,03101,5,4,1,5,4,4,4
2017,06902600,3,03102,27,9,18,27,1,1,1
2017,06902600,3,03201,2,0,2,2,2,2,1
2017,06902600,3,03202,1,1,0,1,1,1,1
2017,06902600,3,03301,2,2,0,2,2,2,2
2017,06902600,3,03302,1,1,0,1,1,1,1
2017,06902600,3,03303,3,1,2,3,2,2,1
2017,06902600,4,04101,44,32,12,44,29,29,7
2017,06902600,4,04102,27,20,7,27,20,20,7
2017,06902600,4,04105,1,0,1,1,1,1,1
2017,06902600,4,04106,5,5,0,5,4,4,3
2017,06902600,4,04201,16,10,6,16,11,11,4
2017,06902600,4,04202,1,1,0,1,1,1,1
2017,06902600,4,04203,3,3,0,3,1,1,1
2017,06902600,4,04204,2,1,1,2,2,2,2
2017,06902600,4,04301,20,15,5,20,13,13,5
2017,06902600,4,04302,3,1,2,3,3,3,2
2017,06902600,4,04303,2,1,1,2,2,2,2
2017,06902600,4,04304,1,1,0,1,1,1,1
2017,06902600,5,05101,37,24,13,37,29,29,15
2017,06902600,5,05102,2,2,0,2,2,2,2
2017,06902600,5,05103,11,7,4,11,9,9,2
2017,06902600,5,05105,3,2,1,3,2,2,1
2017,06902600,5,05107,3,2,1,3,3,3,2
2017,06902600,5,05109,19,10,9,19,13,13,8
2017,06902600,5,05201,2,1,1,2,1,1,1
2017,06902600,5,05301,1,0,1,1,1,1,1
2017,06902600,5,05302,2,1,1,2,2,2,1
2017,06902600,5,05303,1,1,0,1,1,1,1
2017,06902600,5,05304,1,1,0,1,1,1,1
2017,06902600,5,05401,1,0,1,1,1,1,1
2017,06902600,5,05402,1,1,0,1,1,1,1
2017,06902600,5,05405,2,2,0,2,2,2,2
2017,06902600,5,05501,21,19,2,21,17,17,3
2017,06902600,5,05502,9,5,4,9,5,5,3
2017,06902600,5,05504,3,2,1,3,3,3,1
2017,06902600,5,05601,20,18,2,20,15,15,7
2017,06902600,5,05602,3,3,0,3,3,3,1
2017,06902600,5,05603,2,2,0,2,2,2,2
2017,06902600,5,05606,1,1,0,1,1,1,1
2017,06902600,5,05701,49,40,9,49,22,22,4
2017,06902600,5,05702,2,2,0,2,2,2,1
2017,06902600,5,05703,1,1,0,1,1,1,1
2017,06902600,5,05705,16,14,2,16,7,7,2
2017,06902600,5,05706,5,2,3,5,4,4,1
2017,06902600,5,05801,33,24,9,33,20,20,6
2017,06902600,5,05802,7,5,2,7,4,4,1
2017,06902600,5,05803,1,0,1,1,1,1,1
2017,06902600,5,05804,3,3,0,3,3,3,2
2017,06902600,6,06101,41,32,9,41,24,24,10
2017,06902600,6,06103,1,0,1,1,1,1,1
2017,06902600,6,06104,11,5,6,11,4,4,2
2017,06902600,6,06105,5,4,1,5,3,3,2
2017,06902600,6,06106,11,7,4,11,6,6,2
2017,06902600,6,06107,1,0,1,1,1,1,1
2017,06902600,6,06108,2,2,0,2,1,1,1
2017,06902600,6,06110,2,1,1,2,2,2,1
2017,06902600,6,06111,7,3,4,7,4,4,2
2017,06902600,6,06112,2,2,0,2,2,2,1
2017,06902600,6,06113,1,1,0,1,1,1,1
2017,06902600,6,06114,2,2,0,2,1,1,1
2017,06902600,6,06115,7,3,4,7,6,6,2
2017,06902600,6,06116,4,3,1,4,4,4,1
2017,06902600,6,06117,5,5,0,5,5,5,2
2017,06902600,6,06201,2,1,1,2,2,2,1
2017,06902600,6,06203,1,1,0,1,1,1,1
2017,06902600,6,06205,2,2,0,2,2,2,1
2017,06902600,6,06301,20,13,7,20,15,15,5
2017,06902600,6,06302,2,0,2,2,1,1,1
2017,06902600,6,06303,3,3,0,3,3,3,1
2017,06902600,6,06304,1,0,1,1,1,1,1
2017,06902600,6,06306,2,1,1,2,2,2,1
2017,06902600,6,06307,1,1,0,1,1,1,1
2017,06902600,6,06309,5,3,2,5,2,2,1
2017,06902600,6,06310,5,2,3,5,3,3,2
2017,06902600,7,07101,11,11,0,11,8,8,4
2017,06902600,7,07105,20,8,12,20,12,12,6
2017,06902600,7,07301,11,6,5,11,10,10,2
2017,06902600,7,07303,3,3,0,3,3,3,2
2017,06902600,7,07304,1,0,1,1,1,1,1
2017,06902600,7,07308,1,0,1,1,1,1,1
2017,06902600,7,07401,8,5,3,8,7,7,3
2017,06902600,7,07403,1,0,1,1,1,1,1
2017,06902600,7,07404,5,2,3,5,5,5,4
2017,06902600,7,07406,9,6,3,9,3,3,2
2017,06902600,7,07407,3,0,3,3,3,3,2
2017,06902600,7,07408,1,1,0,1,1,1,1
2017,06902600,8,08101,44,30,14,44,23,23,8
2017,06902600,8,08102,24,21,3,24,18,18,5
2017,06902600,8,08103,9,7,2,9,8,8,3
2017,06902600,8,08104,1,1,0,1,1,1,1
2017,06902600,8,08105,2,1,1,2,2,2,2
2017,06902600,8,08106,24,16,8,24,11,11,3
2017,06902600,8,08107,21,17,4,21,15,15,5
2017,06902600,8,08108,11,9,2,11,9,9,4
2017,06902600,8,08109,1,1,0,1,1,1,1
2017,06902600,8,08110,53,37,16,53,25,25,8
2017,06902600,8,08111,17,13,4,17,11,11,4
2017,06902600,8,08112,36,30,6,36,32,32,8
2017,06902600,8,08201,27,23,4,27,12,12,3
2017,06902600,8,08202,31,26,5,31,16,16,3
2017,06902600,8,08203,23,19,4,23,12,12,4
2017,06902600,8,08205,17,16,1,17,13,13,3
2017,06902600,8,08206,2,1,1,2,2,2,2
2017,06902600,8,08207,2,1,1,2,2,2,1
2017,06902600,8,08301,91,48,43,91,28,28,10
2017,06902600,8,08303,2,1,1,2,2,2,1
2017,06902600,8,08304,2,2,0,2,2,2,2
2017,06902600,8,08305,3,3,0,3,3,3,2
2017,06902600,8,08307,3,1,2,3,3,3,1
2017,06902600,8,08309,1,1,0,1,1,1,1
2017,06902600,8,08310,1,1,0,1,1,1,1
2017,06902600,8,08311,1,1,0,1,1,1,1
2017,06902600,8,08312,1,1,0,1,1,1,1
2017,06902600,8,08401,16,11,5,16,15,15,7
2017,06902600,8,08402,4,2,2,4,3,3,1
2017,06902600,8,08404,9,8,1,9,5,5,1
2017,06902600,8,08405,1,1,0,1,1,1,1
2017,06902600,8,08406,4,4,0,4,3,3,1
2017,06902600,8,08407,1,1,0,1,1,1,1
2017,06902600,8,08409,6,2,4,6,3,3,1
