definition,unit,role,sex,period,apc,apc_lo,apc_hi,p_value,years,dispersion
F84_historico,persons,cualquiera,HOMBRE,2019-2024,35.782936090323815,21.6954543430939,51.50118657127347,4.4160945827424445e-08,6,113.37811004697087
F84_historico,persons,cualquiera,HOMBRE,2021-2024,45.63245272132899,37.14638899691636,54.643599738575624,1.2789234789146294e-34,4,12.86440300433518
F84_historico,persons,cualquiera,MUJER,2019-2024,49.653216415639825,31.052468874196105,70.89403485443269,2.6253545471037868e-09,6,61.73333641995009
F84_historico,persons,cualquiera,MUJER,2021-2024,64.97670972099807,49.54232673559667,82.00408770213232,1.6929758814475435e-23,4,13.608875970711596
F84_historico,persons,cualquiera,TOTAL,2019-2024,39.5641920918848,24.333325978429322,56.66084343018218,1.567994213428022e-08,6,173.40063250133213
F84_historico,persons,cualquiera,TOTAL,2021-2024,51.04137006487104,41.29481468435981,61.46024553014675,8.599669865316449e-34,4,22.204236873577138
F84_historico,records,cualquiera,HOMBRE,2019-2024,35.85144073892727,21.842212805982044,51.47142788871084,3.435093907572038e-08,6,135.90050039306806
F84_historico,records,cualquiera,HOMBRE,2021-2024,45.32008567399291,35.14822896302907,56.25752155489676,5.802583456789854e-24,4,22.882421486573577
F84_historico,records,cualquiera,MUJER,2019-2024,51.34626418383756,32.12440198319819,73.36458170169648,2.2346738069765472e-09,6,77.97736260167204
F84_historico,records,cualquiera,MUJER,2021-2024,68.71048492314533,55.40841566016452,83.15113504048652,9.400055646843956e-36,4,11.454381161751177
F84_historico,records,cualquiera,TOTAL,2019-2024,40.060583385740365,24.760352918404706,57.237187611866915,1.1420691149431163e-08,6,210.7056618060962
F84_historico,records,cualquiera,TOTAL,2021-2024,51.795617197588804,41.33354716065612,63.03213117693007,2.222523802784835e-30,4,30.913898251445517
F84_historico,records,principal,HOMBRE,2019-2024,11.722154883874737,1.3174888996969392,23.195314327750083,0.026256981349357788,6,8.29998385502451
F84_historico,records,principal,HOMBRE,2021-2024,16.42033684685995,3.351638309056093,31.141557630719284,0.012327801846282833,4,3.950455780614826
F84_historico,records,principal,MUJER,2019-2024,29.470546171265788,14.434376439414898,46.48240194466842,4.120944437067269e-05,6,4.4099924777797765
F84_historico,records,principal,MUJER,2021-2024,43.799854015066316,24.50666865869544,66.08265434712699,7.732186169911174e-07,4,2.098367775224796
F84_historico,records,principal,TOTAL,2019-2024,16.091845765032133,4.784228910932886,28.619705400397578,0.00432046252861794,6,12.244355216122175
F84_historico,records,principal,TOTAL,2021-2024,23.406025383269412,9.56182756602808,38.999571650247056,0.0005319568762176015,4,5.414168375127114
F84_historico,records,principal_y_secundario,HOMBRE,2019-2024,9.416387013636896,-8.345606117026904,30.620532632664464,0.31938485855637744,6,0.769805490481398
F84_historico,records,principal_y_secundario,HOMBRE,2021-2024,44.97962494873031,15.749642264903606,81.59098584659465,0.001224560528110097,4,0.3224569510589942
