definition,unit,role,sex,period,apc,apc_lo,apc_hi,p_value,years,dispersion
F84_historico,records,principal_y_secundario,MUJER,2019-2024,35.07695340264239,2.0724679236253873,78.7532300501623,0.0354248419548926,6,0.8534870278329025
F84_historico,records,principal_y_secundario,MUJER,2021-2024,75.60359457918932,13.118736061624926,172.6040221341679,0.012096491189164052,4,0.6317336255872286
F84_historico,records,principal_y_secundario,TOTAL,2019-2024,17.155982372931923,-2.0393522756564253,40.11263221114751,0.08286820490191342,6,1.1518056233429455
F84_historico,records,principal_y_secundario,TOTAL,2021-2024,55.20184005959769,26.545547683303038,90.3473618697939,2.4371625437359896e-05,4,0.40327120564136226
F84_historico,records,solo_secundario,HOMBRE,2019-2024,37.97220444457725,23.680752093104473,53.915050459638536,7.95476243068479e-09,6,125.86666919159147
F84_historico,records,solo_secundario,HOMBRE,2021-2024,47.45164695718882,37.14113940684718,58.537316259907925,8.674376625779961e-26,4,21.28039474203357
F84_historico,records,solo_secundario,MUJER,2019-2024,52.99656773187018,33.3633450615777,75.52011556792174,1.2894191301877608e-09,6,73.8951561750984
F84_historico,records,solo_secundario,MUJER,2021-2024,70.32145843493167,56.47531915388455,85.39281057399901,8.050702647445852e-35,4,11.44648099827865
F84_historico,records,solo_secundario,TOTAL,2019-2024,42.08724317841461,26.466965446924085,59.636823756278055,3.385714868077022e-09,6,196.4148233971677
F84_historico,records,solo_secundario,TOTAL,2021-2024,53.81878755827509,43.12406217781426,65.31265984124191,1.1129282150344663e-31,4,29.38092310289791
TEA_operacional,persons,cualquiera,HOMBRE,2019-2024,35.88823392027278,21.74785013119478,51.670950230926785,4.500243393000156e-08,6,113.60067441578319
TEA_operacional,persons,cualquiera,HOMBRE,2021-2024,45.71242007944143,37.188130647077045,54.7663727558779,1.8969413367489086e-34,4,12.926345336745044
TEA_operacional,persons,cualquiera,MUJER,2019-2024,51.741178125178045,33.0149324074553,73.10376152569825,5.462826658402739e-10,6,57.71679874917336
TEA_operacional,persons,cualquiera,MUJER,2021-2024,66.79223118309388,50.38278083719576,84.99224597497074,3.6098694888380566e-22,4,14.589270188578396
TEA_operacional,persons,cualquiera,TOTAL,2019-2024,40.06877184979365,24.792578937348697,57.21496433982076,1.0713742573231813e-08,6,170.3460634569968
TEA_operacional,persons,cualquiera,TOTAL,2021-2024,51.463483992955595,41.51338743063153,62.113192255608055,4.785083335825851e-33,4,22.7605970339648
TEA_operacional,records,cualquiera,HOMBRE,2019-2024,35.93574899427481,21.891082612315294,51.598685142595535,3.4341184514019246e-08,6,135.86097877644556
TEA_operacional,records,cualquiera,HOMBRE,2021-2024,45.35452958752793,35.097740493854545,56.39002691220154,1.2797092654047826e-23,4,23.191595686248156
TEA_operacional,records,cualquiera,MUJER,2019-2024,53.41807769337517,34.142988163263645,75.46281684499081,4.157675730882347e-10,6,71.81498387769236
TEA_operacional,records,cualquiera,MUJER,2021-2024,70.51955835212482,55.75318022583904,86.6858817164615,7.550873574483802e-31,4,13.33539999533345
TEA_operacional,records,cualquiera,TOTAL,2019-2024,40.50600800305693,25.20458435485311,57.67743958162719,7.430161795395627e-09,6,205.55740251679043
TEA_operacional,records,cualquiera,TOTAL,2021-2024,52.11520502270197,41.33161810010921,63.72157844190687,5.041765629682861e-29,4,32.31224138851607
TEA_operacional,records,principal,HOMBRE,2019-2024,11.629262542207798,1.4255228980858625,22.859531798897194,0.024488667680204492,6,7.94988591832264
TEA_operacional,records,principal,HOMBRE,2021-2024,16.473484753485646,3.6359378273514764,30.90123884651248,0.010486264952581408,4,3.777749140063583
TEA_operacional,records,principal,MUJER,2019-2024,33.273903389992455,20.061152195145905,47.940720208440226,6.960441133952547e-08,6,2.763792339323694
TEA_operacional,records,principal,MUJER,2021-2024,43.60974283422414,23.08232531623171,67.56068090137224,4.246453177551331e-06,4,2.220600872276375
TEA_operacional,records,principal,TOTAL,2019-2024,16.462147452801013,5.687453501478434,28.33530698256659,0.0020927326572272435,6,10.641677425176512
TEA_operacional,records,principal,TOTAL,2021-2024,23.02458267108971,9.239775384371285,38.548874603060824,0.0006319935150751808,4,5.264898597208853
TEA_operacional,records,principal_y_secundario,HOMBRE,2019-2024,11.586240018451166,-7.353376250174149,34.39765484685346,0.24802433603194995,6,0.816722627878721
TEA_operacional,records,principal_y_secundario,HOMBRE,2021-2024,44.97962494873031,15.749642264903606,81.59098584659465,0.001224560528110097,4,0.3224569510589942
TEA_operacional,records,principal_y_secundario,MUJER,2019-2024,76.99142965099499,8.22779147825139,189.44475113121132,0.022903998783927088,6,1.2916826265534391
TEA_operacional,records,principal_y_secundario,MUJER,2021-2024,80.83390806715174,-27.919879437117977,353.6743564171917,0.20682698192977989,4,2.279475596680288
TEA_operacional,records,principal_y_secundario,TOTAL,2019-2024,24.110578989865196,2.907429977610354,49.682445869563566,0.023833767034041928,6,1.0673775700355967
TEA_operacional,records,principal_y_secundario,TOTAL,2021-2024,55.45518390737041,16.950559506657335,106.63701230346581,0.0023793867785770256,4,0.7383242413302193
TEA_operacional,records,solo_secundario,HOMBRE,2019-2024,38.06569112364051,23.725096165481887,54.06846029000425,8.178182808477772e-09,6,126.05697575161457
TEA_operacional,records,solo_secundario,HOMBRE,2021-2024,47.478733624486715,37.02484815974425,58.73016583186485,3.8848617169344238e-25,4,21.821607007049884
TEA_operacional,records,solo_secundario,MUJER,2019-2024,54.742633563215534,34.883020394585685,77.5262933172038,4.668141708431076e-10,6,70.16842430831761
TEA_operacional,records,solo_secundario,MUJER,2021-2024,72.19315174185496,57.143584242623426,88.6840092753283,2.395928545094469e-31,4,12.777624214427677
TEA_operacional,records,solo_secundario,TOTAL,2019-2024,42.48390856569857,26.815105623584778,60.08869054147359,2.5746822263775232e-09,6,193.31791703868404
TEA_operacional,records,solo_secundario,TOTAL,2021-2024,54.167295851380004,43.13912926466299,66.0451284860126,2.9350120860423922e-30,4,30.751001600203796
autismo_F840,persons,cualquiera,HOMBRE,2019-2024,44.06237007364793,31.32272964141176,58.03788520012658,1.0913325992665495e-14,6,61.33293505997274
autismo_F840,persons,cualquiera,HOMBRE,2021-2024,48.72136760863337,37.58900809044032,60.75444899525386,1.5472398273644134e-23,4,17.941144575305934
autismo_F840,persons,cualquiera,MUJER,2019-2024,61.37166285757581,45.182815833049375,79.3656737128196,7.181306352645743e-19,6,26.67293111239729
autismo_F840,persons,cualquiera,MUJER,2021-2024,68.886990808142,50.83718996147315,89.09670533848279,1.0143185295334834e-19,4,13.910113388159036
autismo_F840,persons,cualquiera,TOTAL,2019-2024,48.4600322059304,34.88465850688625,63.40169005551264,6.682825591078205e-16,6,87.97344498550044
autismo_F840,persons,cualquiera,TOTAL,2021-2024,54.07410546138325,41.50307978758783,67.76193146721701,2.4184646868687414e-23,4,29.41930073163394
autismo_F840,records,cualquiera,HOMBRE,2019-2024,43.940432081898265,31.47102010331324,57.59250952523358,3.318872646801566e-15,6,70.1273564525261
autismo_F840,records,cualquiera,HOMBRE,2021-2024,48.51050409834805,36.24015378860299,61.885972778390006,2.506185422174112e-19,4,26.29509626058967
autismo_F840,records,cualquiera,MUJER,2019-2024,63.67403756133516,47.31009463349088,81.85576920767824,4.836805399002117e-20,6,31.137498088338923
autismo_F840,records,cualquiera,MUJER,2021-2024,73.15171817565067,56.69048298470209,91.34230066868257,4.698578384769902e-27,4,12.79450467150931
autismo_F840,records,cualquiera,TOTAL,2019-2024,48.91051505270707,35.5505021477307,63.587306147310564,1.0227423892601365e-16,6,100.60131615702201
autismo_F840,records,cualquiera,TOTAL,2021-2024,54.977829767031224,42.1387620126644,68.97662100897517,3.099025645739993e-23,4,36.1399009399449
autismo_F840,records,principal,HOMBRE,2019-2024,11.723728821208844,3.1241533246340936,21.040427284005524,0.006672619055696441,6,4.025206425220497
autismo_F840,records,principal,HOMBRE,2021-2024,15.581756651394297,4.377612488430449,27.98858061735128,0.005376842466137332,4,2.0963079267378824
autismo_F840,records,principal,MUJER,2019-2024,39.66499978800297,29.582936015314452,50.531487907308744,2.350935167569275e-18,6,0.9904594074749947
autismo_F840,records,principal,MUJER,2021-2024,48.83365557183272,39.09469350313655,59.254508371129376,1.0846054511923529e-30,4,0.3139215394993489
autismo_F840,records,principal,TOTAL,2019-2024,17.782785692890002,8.82589062093675,27.47687637952858,4.994596772015145e-05,6,5.100556615516023
autismo_F840,records,principal,TOTAL,2021-2024,23.609207337783378,13.592498605081516,34.50920022276549,8.841216595679841e-07,4,1.948156285377244
autismo_F840,records,solo_secundario,HOMBRE,2019-2024,46.60055588849137,33.90437418183785,60.50052971107283,1.2643625526403177e-16,6,64.46478238040028
autismo_F840,records,solo_secundario,HOMBRE,2021-2024,50.667627395765045,37.929811006334276,64.58178097573544,9.431359728467771e-20,4,25.939643299768672
autismo_F840,records,solo_secundario,MUJER,2019-2024,65.25310338042169,48.42824548890259,83.98511743441782,4.7868375333355756e-20,6,30.270853635254166
autismo_F840,records,solo_secundario,MUJER,2021-2024,74.55722938617593,57.36349778958398,93.62956949343366,6.308517800936863e-26,4,13.03847827435608
autismo_F840,records,solo_secundario,TOTAL,2019-2024,51.35844015120243,37.73888450236518,66.3246910106328,6.962058890078361e-18,6,93.45066425009064
autismo_F840,records,solo_secundario,TOTAL,2021-2024,56.97321273012606,43.5697078532117,71.62805360034858,4.098824813347134e-23,4,36.243824795994584
