unit,period,cut_comuna,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing,expected,sir,sir_lo,sir_hi,sir_eb,eb_weight,prior_mean,prior_variance,comuna,cut_region,region_short,continental
records,2019-2024,1101,351.0,1358733.0,25.832889905522276,23.200747950203986,28.681866323220834,32.619529458693655,29.263726698026527,36.26523348108011,3.092048422119827,0,300.4613274848212,1.1682035852608417,1.0491740194490433,1.2970387437603783,1.1659247210080086,0.9864517498286434,1.0,0.24232825693450658,Iquique,1,Tarapacá,True
records,2019-2024,1107,205.0,809073.0,25.33763949606525,21.987682832510945,29.0536981920864,24.87814474396773,21.585571954123594,28.725800489796104,3.025546600389976,0,237.6586079140092,0.8625818429188734,0.7485376047807559,0.9890894743383828,0.864927207016514,0.9829326477122233,1.0,0.24232825693450658,Alto Hospicio,1,Tarapacá,True
records,2019-2024,1401,27.0,107268.0,25.170600738337622,16.58758449096168,36.62190256662018,26.99385638126591,17.777397868105794,39.42471939283678,27.064948692090493,0,28.598635616390936,0.9441009830736575,0.6221684967924431,1.373617363153061,0.9511498105282525,0.8739006901698607,1.0,0.24232825693450658,Pozo Almonte,1,Tarapacá,True
records,2019-2024,1402,1.0,8240.0,12.135922330097088,0.30725495126565383,67.61703144343323,14.490166536950161,0.3668592540428868,89.42723358387464,209.96492626855024,0,1.7890788041592591,0.5589468712474795,0.014151309559663282,3.114252641071994,0.8666130619221788,0.3024282776433176,1.0,0.24232825693450658,Camiña,1,Tarapacá,True
records,2019-2024,1403,0.0,9433.0,0.0,0.0,39.106111036933484,0.0,0.0,68.03640478751778,0.0,0,1.8204071471526515,0.0,0.0,2.026403521807642,0.6938969930237058,0.3061030069762943,1.0,0.24232825693450658,Colchane,1,Tarapacá,True
records,2019-2024,1404,1.0,18195.0,5.496015388843089,0.13914706229343157,30.621837817746073,6.108972970571412,0.154665804650144,43.27781693347587,37.31955075517209,0,4.253669267127213,0.2350911500638052,0.005951992596121297,1.309844052521225,0.6117480236418802,0.5075794016378632,1.0,0.24232825693450658,Huara,1,Tarapacá,True
records,2019-2024,1405,11.0,36474.0,30.158469046444043,15.054999087670229,53.961831752212404,39.013771191952,19.330842424993545,71.39208663496464,140.9065012351501,0,8.581767632300371,1.281787211133263,0.6398635575460013,2.293471386852981,1.1902861159641898,0.6752830094698635,1.0,0.24232825693450658,Pica,1,Tarapacá,True
records,2019-2024,2101,952.0,2593425.0,36.70821404127746,34.41313900226058,39.11610972561782,46.0055959972414,43.11386169247114,49.04359138082821,2.24744197558627,0,597.3023014571759,1.5938328007066191,1.4941830091598325,1.6983811483343758,1.5897582867910431,0.9931386176197617,1.0,0.24232825693450658,Antofagasta,2,Antofagasta,True
records,2019-2024,2102,26.0,91053.0,28.55479775515359,18.652941930080658,41.83939472958057,36.644217305012646,23.933335204026083,54.4218726577577,51.68164659849171,0,20.579417681522923,1.2633982361582519,0.8252936734378716,1.8511711396639385,1.2194030195632488,0.8329707243423967,1.0,0.24232825693450658,Mejillones,2,Antofagasta,True
records,2019-2024,2103,1.0,10584.0,9.44822373393802,0.2392083142884531,52.6421333233078,12.966804001706492,0.3282910538851266,103.16869788833093,168.13800601867152,0,2.3453576694761264,0.4263741999843317,0.010794860124658521,2.3756049934095618,0.7921261708967667,0.3623857732646531,1.0,0.24232825693450658,Sierra Gorda,2,Antofagasta,True
