cut_comuna,comuna,comuna_norm,cut_region,region,region_short,continental
6110,Mostazal,MOSTAZAL,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6111,Olivar,OLIVAR,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6112,Peumo,PEUMO,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6113,Pichidegua,PICHIDEGUA,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6114,Quinta de Tilcoco,QUINTA DE TILCOCO,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6115,Rengo,RENGO,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6116,Requínoa,REQUINOA,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6117,San Vicente,SAN VICENTE,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6201,Pichilemu,PICHILEMU,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6202,La Estrella,LA ESTRELLA,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6203,Litueche,LITUECHE,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6204,Marchihue,MARCHIHUE,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6205,Navidad,NAVIDAD,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6206,Paredones,PAREDONES,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6301,San Fernando,SAN FERNANDO,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6302,Chépica,CHEPICA,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6303,Chimbarongo,CHIMBARONGO,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6304,Lolol,LOLOL,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6305,Nancagua,NANCAGUA,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6306,Palmilla,PALMILLA,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6307,Peralillo,PERALILLO,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6308,Placilla,PLACILLA,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6309,Pumanque,PUMANQUE,6,Libertador General Bernardo O'Higgins,O'Higgins,True
6310,Santa Cruz,SANTA CRUZ,6,Libertador General Bernardo O'Higgins,O'Higgins,True
7101,Talca,TALCA,7,Maule,Maule,True
7102,Constitución,CONSTITUCION,7,Maule,Maule,True
7103,Curepto,CUREPTO,7,Maule,Maule,True
7104,Empedrado,EMPEDRADO,7,Maule,Maule,True
7105,Maule,MAULE,7,Maule,Maule,True
7106,Pelarco,PELARCO,7,Maule,Maule,True
7107,Pencahue,PENCAHUE,7,Maule,Maule,True
7108,Río Claro,RIO CLARO,7,Maule,Maule,True
7109,San Clemente,SAN CLEMENTE,7,Maule,Maule,True
7110,San Rafael,SAN RAFAEL,7,Maule,Maule,True
7201,Cauquenes,CAUQUENES,7,Maule,Maule,True
7202,Chanco,CHANCO,7,Maule,Maule,True
7203,Pelluhue,PELLUHUE,7,Maule,Maule,True
7301,Curicó,CURICO,7,Maule,Maule,True
7302,Hualañé,HUALANE,7,Maule,Maule,True
7303,Licantén,LICANTEN,7,Maule,Maule,True
7304,Molina,MOLINA,7,Maule,Maule,True
7305,Rauco,RAUCO,7,Maule,Maule,True
7306,Romeral,ROMERAL,7,Maule,Maule,True
7307,Sagrada Familia,SAGRADA FAMILIA,7,Maule,Maule,True
7308,Teno,TENO,7,Maule,Maule,True
7309,Vichuquén,VICHUQUEN,7,Maule,Maule,True
