era,definition,window,position,code,patients
2019-2020,autismo_F840,730d,any,J353,6
2019-2020,autismo_F840,all,any,G401,6
2019-2020,autismo_F840,730d,any,H919,6
2019-2020,autismo_F840,365d,any,E872,6
2019-2020,autismo_F840,730d,any,F919,6
2019-2020,autismo_F840,all,any,H919,6
2019-2020,autismo_F840,730d,any,Z638,6
2019-2020,autismo_F840,730d,any,G408,6
2019-2020,autismo_F840,all,any,G408,6
2019-2020,autismo_F840,730d,any,G401,6
2019-2020,autismo_F840,730d,principal,S4240,6
2019-2020,autismo_F840,730d,any,J209,6
2019-2020,autismo_F840,all,any,F609,6
2019-2020,autismo_F840,all,any,F919,6
2019-2020,autismo_F840,365d,any,G408,5
2019-2020,autismo_F840,all,any,E86,5
2019-2020,autismo_F840,all,any,Q753,5
2019-2020,autismo_F840,365d,any,R13,5
2019-2020,autismo_F840,all,any,N47,5
2019-2020,autismo_F840,730d,any,Z511,5
2019-2020,autismo_F840,365d,principal,G403,5
2019-2020,autismo_F840,365d,any,Q753,5
2019-2020,autismo_F840,730d,any,H509,5
2019-2020,autismo_F840,730d,any,Y848,5
2019-2020,autismo_F840,all,any,Z511,5
2019-2020,autismo_F840,365d,any,Z511,5
2019-2020,autismo_F840,730d,any,N47,5
2019-2020,autismo_F840,730d,any,Q753,5
2019-2020,autismo_F840,730d,principal,K029,5
2019-2020,autismo_F840,365d,any,H919,5
2019-2020,autismo_F840,730d,principal,Z511,5
2019-2020,autismo_F840,all,any,Y848,5
2019-2020,autismo_F840,365d,any,T827,5
2019-2020,autismo_F840,730d,any,J159,5
2019-2020,autismo_F840,365d,any,Z888,5
2019-2020,autismo_F840,365d,any,Z881,5
2019-2020,autismo_F840,365d,any,Y848,5
2019-2020,autismo_F840,all,any,T827,5
2019-2020,autismo_F840,all,any,H509,5
2019-2020,autismo_F840,365d,principal,Z511,5
2019-2020,autismo_F840,all,principal,K029,5
2019-2020,autismo_F840,all,any,F82,5
2019-2020,autismo_F840,730d,any,F82,5
2019-2020,autismo_F840,all,principal,Z511,5
2019-2020,autismo_F840,all,any,J159,5
2019-2020,autismo_F840,730d,principal,F845,5
2019-2020,autismo_F840,730d,any,Z870,5
2019-2020,autismo_F840,all,principal,F845,5
2019-2020,autismo_F840,730d,any,E86,5
2019-2020,autismo_F840,365d,any,F919,5
2019-2020,autismo_F840,365d,any,E86,5
2019-2020,autismo_F840,730d,any,T827,5
2019-2020,autismo_F840,all,any,Z870,5
2019-2020,autismo_F840,365d,any,B962,5
2019-2020,autismo_F840,730d,any,R568,4
2019-2020,autismo_F840,730d,any,J450,4
2019-2020,autismo_F840,all,principal,A099,4
2019-2020,autismo_F840,all,any,F83,4
2019-2020,autismo_F840,all,any,W1899,4
2019-2020,autismo_F840,all,any,Z978,4
2019-2020,autismo_F840,365d,any,Y838,4
2019-2020,autismo_F840,all,any,Z958,4
2019-2020,autismo_F840,all,any,F638,4
2019-2020,autismo_F840,all,any,Z931,4
2019-2020,autismo_F840,all,any,Z653,4
2019-2020,autismo_F840,365d,any,Q870,4
2019-2020,autismo_F840,all,any,Y838,4
2019-2020,autismo_F840,all,any,Z818,4
2019-2020,autismo_F840,730d,principal,J159,4
2019-2020,autismo_F840,730d,any,Y838,4
2019-2020,autismo_F840,all,any,F709,4
2019-2020,autismo_F840,365d,any,N47,4
2019-2020,autismo_F840,365d,any,P942,4
2019-2020,autismo_F840,all,any,F711,4
2019-2020,autismo_F840,all,any,Z632,4
2019-2020,autismo_F840,730d,principal,R458,4
2019-2020,autismo_F840,730d,any,J690,4
2019-2020,autismo_F840,730d,any,J960,4
2019-2020,autismo_F840,all,any,Z833,4
2019-2020,autismo_F840,all,any,F918,4
2019-2020,autismo_F840,all,any,E668,4
2019-2020,autismo_F840,all,any,R568,4
2019-2020,autismo_F840,730d,any,J304,4
2019-2020,autismo_F840,730d,any,Z632,4
2019-2020,autismo_F840,all,any,F603,4
2019-2020,autismo_F840,730d,any,P942,4
2019-2020,autismo_F840,730d,any,E46,4
2019-2020,autismo_F840,730d,any,E668,4
2019-2020,autismo_F840,all,any,I10,4
2019-2020,autismo_F840,all,any,J960,4
2019-2020,autismo_F840,all,any,J690,4
2019-2020,autismo_F840,all,any,J450,4
2019-2020,autismo_F840,all,any,B957,4
2019-2020,autismo_F840,730d,any,F918,4
2019-2020,autismo_F840,all,any,J304,4
2019-2020,autismo_F840,730d,any,Z653,4
