era,definition,index_year,index_role,sex,age_band,patients,prior_hospitalization,prior_candidate_group,age_median
2021-2024,autismo_F840,2024,principal,MUJER,20+,2,0,0,32.889801505817935
2021-2024,autismo_F840,2024,principal,MUJER,5-9,15,1,1,7.252566735112937
2021-2024,autismo_F840,2024,solo_secundario,HOMBRE,0-4,677,265,71,3.7782340862423
2021-2024,autismo_F840,2024,solo_secundario,HOMBRE,10-14,765,124,52,12.388774811772759
2021-2024,autismo_F840,2024,solo_secundario,HOMBRE,15-19,322,64,32,16.79260780287474
2021-2024,autismo_F840,2024,solo_secundario,HOMBRE,20+,240,51,31,25.963039014373717
2021-2024,autismo_F840,2024,solo_secundario,HOMBRE,5-9,1428,260,83,7.0978781656399725
2021-2024,autismo_F840,2024,solo_secundario,MUJER,0-4,196,73,22,3.7453798767967146
2021-2024,autismo_F840,2024,solo_secundario,MUJER,10-14,464,117,82,13.292265571526352
2021-2024,autismo_F840,2024,solo_secundario,MUJER,15-19,309,89,71,16.75564681724846
2021-2024,autismo_F840,2024,solo_secundario,MUJER,20+,238,83,52,26.28062970568104
2021-2024,autismo_F840,2024,solo_secundario,MUJER,5-9,341,61,24,7.312799452429843
2021-2024,TEA_operacional,2021,principal,HOMBRE,0-4,15,0,0,2.757015742642026
2021-2024,TEA_operacional,2021,principal,HOMBRE,10-14,18,2,0,13.64271047227926
2021-2024,TEA_operacional,2021,principal,HOMBRE,15-19,24,0,0,16.80082135523614
2021-2024,TEA_operacional,2021,principal,HOMBRE,20+,27,2,2,25.05407255304586
2021-2024,TEA_operacional,2021,principal,HOMBRE,5-9,18,0,0,6.837782340862423
2021-2024,TEA_operacional,2021,principal,MUJER,0-4,7,1,1,2.0424366872005475
2021-2024,TEA_operacional,2021,principal,MUJER,10-14,11,0,0,12.334017796030116
2021-2024,TEA_operacional,2021,principal,MUJER,15-19,3,0,0,17.53593429158111
2021-2024,TEA_operacional,2021,principal,MUJER,20+,2,0,0,22.772073921971256
2021-2024,TEA_operacional,2021,principal,MUJER,5-9,5,0,0,7.761806981519507
2021-2024,TEA_operacional,2021,principal_y_secundario,HOMBRE,10-14,1,0,0,12.815879534565367
2021-2024,TEA_operacional,2021,principal_y_secundario,MUJER,10-14,1,0,0,13.478439425051334
2021-2024,TEA_operacional,2021,solo_secundario,HOMBRE,0-4,286,27,12,3.455167693360712
2021-2024,TEA_operacional,2021,solo_secundario,HOMBRE,10-14,327,18,11,12.14236824093087
2021-2024,TEA_operacional,2021,solo_secundario,HOMBRE,15-19,127,8,4,16.67624914442163
2021-2024,TEA_operacional,2021,solo_secundario,HOMBRE,20+,159,7,5,27.87953456536619
2021-2024,TEA_operacional,2021,solo_secundario,HOMBRE,5-9,461,20,5,7.233401779603011
2021-2024,TEA_operacional,2021,solo_secundario,MUJER,0-4,92,13,10,3.277207392197125
2021-2024,TEA_operacional,2021,solo_secundario,MUJER,10-14,133,9,6,12.93908281998631
2021-2024,TEA_operacional,2021,solo_secundario,MUJER,15-19,61,6,6,17.018480492813143
2021-2024,TEA_operacional,2021,solo_secundario,MUJER,20+,52,3,2,28.632443531827516
2021-2024,TEA_operacional,2021,solo_secundario,MUJER,5-9,92,15,7,7.104722792607802
2021-2024,TEA_operacional,2022,principal,HOMBRE,0-4,21,2,0,3.3921971252566734
2021-2024,TEA_operacional,2022,principal,HOMBRE,10-14,41,2,2,13.021218343600275
2021-2024,TEA_operacional,2022,principal,HOMBRE,15-19,26,0,0,17.29637234770705
2021-2024,TEA_operacional,2022,principal,HOMBRE,20+,25,3,2,26.855578370978783
2021-2024,TEA_operacional,2022,principal,HOMBRE,5-9,23,2,2,7.129363449691992
2021-2024,TEA_operacional,2022,principal,MUJER,0-4,5,1,0,2.5900068446269677
2021-2024,TEA_operacional,2022,principal,MUJER,10-14,25,4,3,12.563997262149213
2021-2024,TEA_operacional,2022,principal,MUJER,15-19,11,2,1,15.665982203969884
2021-2024,TEA_operacional,2022,principal,MUJER,20+,2,0,0,40.35728952772074
2021-2024,TEA_operacional,2022,principal,MUJER,5-9,2,0,0,8.432580424366872
2021-2024,TEA_operacional,2022,principal_y_secundario,HOMBRE,0-4,1,0,0,3.701574264202601
2021-2024,TEA_operacional,2022,principal_y_secundario,HOMBRE,10-14,1,0,0,10.981519507186858
2021-2024,TEA_operacional,2022,principal_y_secundario,HOMBRE,15-19,1,0,0,17.776865160848732
2021-2024,TEA_operacional,2022,principal_y_secundario,HOMBRE,5-9,1,0,0,8.780287474332649
2021-2024,TEA_operacional,2022,solo_secundario,HOMBRE,0-4,557,95,42,3.5509924709103355
2021-2024,TEA_operacional,2022,solo_secundario,HOMBRE,10-14,441,39,22,12.473648186173854
2021-2024,TEA_operacional,2022,solo_secundario,HOMBRE,15-19,196,15,11,16.79808350444901
2021-2024,TEA_operacional,2022,solo_secundario,HOMBRE,20+,178,17,10,28.77618069815195
2021-2024,TEA_operacional,2022,solo_secundario,HOMBRE,5-9,686,60,27,7.186858316221766
2021-2024,TEA_operacional,2022,solo_secundario,MUJER,0-4,197,44,25,3.3155373032169746
2021-2024,TEA_operacional,2022,solo_secundario,MUJER,10-14,180,26,18,13.316906228610542
2021-2024,TEA_operacional,2022,solo_secundario,MUJER,15-19,94,15,15,16.550308008213555
2021-2024,TEA_operacional,2022,solo_secundario,MUJER,20+,85,12,11,28.314852840520192
2021-2024,TEA_operacional,2022,solo_secundario,MUJER,5-9,156,21,10,7.174537987679671
2021-2024,TEA_operacional,2023,principal,HOMBRE,0-4,10,2,1,3.5071868583162216
2021-2024,TEA_operacional,2023,principal,HOMBRE,10-14,36,2,1,12.572210814510608
2021-2024,TEA_operacional,2023,principal,HOMBRE,15-19,30,2,2,16.70773442847365
2021-2024,TEA_operacional,2023,principal,HOMBRE,20+,15,2,2,25.149897330595483
2021-2024,TEA_operacional,2023,principal,HOMBRE,5-9,21,2,1,7.8056125941136205
2021-2024,TEA_operacional,2023,principal,MUJER,0-4,11,3,1,2.7816563997262147
2021-2024,TEA_operacional,2023,principal,MUJER,10-14,23,5,5,13.568788501026694
2021-2024,TEA_operacional,2023,principal,MUJER,15-19,15,4,3,16.435318275154003
2021-2024,TEA_operacional,2023,principal,MUJER,20+,8,2,2,26.733744010951405
2021-2024,TEA_operacional,2023,principal,MUJER,5-9,6,0,0,7.27583846680356
2021-2024,TEA_operacional,2023,principal_y_secundario,HOMBRE,10-14,2,0,0,12.369609856262834
2021-2024,TEA_operacional,2023,principal_y_secundario,HOMBRE,20+,1,0,0,24.684462696783026
2021-2024,TEA_operacional,2023,solo_secundario,HOMBRE,0-4,821,204,60,3.676933607118412
2021-2024,TEA_operacional,2023,solo_secundario,HOMBRE,10-14,625,76,34,12.446269678302533
2021-2024,TEA_operacional,2023,solo_secundario,HOMBRE,15-19,278,44,30,16.647501711156742
2021-2024,TEA_operacional,2023,solo_secundario,HOMBRE,20+,256,37,23,26.704996577686515
2021-2024,TEA_operacional,2023,solo_secundario,HOMBRE,5-9,1071,149,49,6.93223819301848
2021-2024,TEA_operacional,2023,solo_secundario,MUJER,0-4,283,72,24,3.5373032169746748
2021-2024,TEA_operacional,2023,solo_secundario,MUJER,10-14,393,81,60,13.182751540041068
2021-2024,TEA_operacional,2023,solo_secundario,MUJER,15-19,225,58,48,16.553045859000683
2021-2024,TEA_operacional,2023,solo_secundario,MUJER,20+,186,34,20,27.315537303216974
2021-2024,TEA_operacional,2023,solo_secundario,MUJER,5-9,278,38,17,6.9664613278576315
2021-2024,TEA_operacional,2024,mixto_mismo_dia,HOMBRE,5-9,1,0,0,7.7207392197125255
2021-2024,TEA_operacional,2024,principal,HOMBRE,0-4,11,5,1,3.080082135523614
2021-2024,TEA_operacional,2024,principal,HOMBRE,10-14,42,4,3,12.971937029431896
2021-2024,TEA_operacional,2024,principal,HOMBRE,15-19,25,3,2,16.78028747433265
2021-2024,TEA_operacional,2024,principal,HOMBRE,20+,24,5,3,25.36208076659822
2021-2024,TEA_operacional,2024,principal,HOMBRE,5-9,22,0,0,7.548254620123203
2021-2024,TEA_operacional,2024,principal,MUJER,10-14,33,4,3,13.086926762491444
2021-2024,TEA_operacional,2024,principal,MUJER,15-19,14,4,4,16.802190280629706
2021-2024,TEA_operacional,2024,principal,MUJER,20+,6,2,2,28.71184120465435
2021-2024,TEA_operacional,2024,principal,MUJER,5-9,15,1,1,7.252566735112937
2021-2024,TEA_operacional,2024,principal_y_secundario,HOMBRE,10-14,1,0,0,13.481177275838467
2021-2024,TEA_operacional,2024,principal_y_secundario,HOMBRE,20+,3,1,1,23.255304585900067
2021-2024,TEA_operacional,2024,principal_y_secundario,MUJER,10-14,2,1,1,12.777549623545518
2021-2024,TEA_operacional,2024,solo_secundario,HOMBRE,0-4,810,312,85,3.7399041752224504
2021-2024,TEA_operacional,2024,solo_secundario,HOMBRE,10-14,865,120,52,12.336755646817249
2021-2024,TEA_operacional,2024,solo_secundario,HOMBRE,15-19,383,65,31,16.78576317590691
2021-2024,TEA_operacional,2024,solo_secundario,HOMBRE,20+,330,55,28,26.32991101984942
2021-2024,TEA_operacional,2024,solo_secundario,HOMBRE,5-9,1571,257,79,7.137577002053388
2021-2024,TEA_operacional,2024,solo_secundario,MUJER,0-4,246,94,32,3.6276522929500343
2021-2024,TEA_operacional,2024,solo_secundario,MUJER,10-14,532,118,82,13.26899383983573
2021-2024,TEA_operacional,2024,solo_secundario,MUJER,15-19,356,96,77,16.743326488706366
2021-2024,TEA_operacional,2024,solo_secundario,MUJER,20+,342,94,60,27.111567419575632
2021-2024,TEA_operacional,2024,solo_secundario,MUJER,5-9,388,68,28,7.30321697467488
2021-2024,F84_historico,2021,principal,HOMBRE,0-4,15,0,0,2.757015742642026
2021-2024,F84_historico,2021,principal,HOMBRE,10-14,18,2,0,13.64271047227926
