era,definition,first_principal,last_prior_principal,index_role,patients
2019-2020,autismo_F840,F231,F231,solo_secundario,1
2019-2020,autismo_F840,F239,F239,solo_secundario,1
2019-2020,autismo_F840,F28,F28,solo_secundario,1
2019-2020,autismo_F840,F29,F29,solo_secundario,1
2019-2020,autismo_F840,F313,F313,solo_secundario,1
2019-2020,autismo_F840,F316,F316,solo_secundario,1
2019-2020,autismo_F840,F319,F319,solo_secundario,1
2019-2020,autismo_F840,F320,T439,solo_secundario,1
2019-2020,autismo_F840,F322,F322,solo_secundario,1
2019-2020,autismo_F840,F323,F412,solo_secundario,1
2019-2020,autismo_F840,F323,F600,solo_secundario,1
2019-2020,autismo_F840,F329,F845,principal,1
2019-2020,autismo_F840,F431,T391,solo_secundario,1
2019-2020,autismo_F840,F432,F429,solo_secundario,1
2019-2020,autismo_F840,F432,F432,principal,1
2019-2020,autismo_F840,F432,F432,solo_secundario,1
2019-2020,autismo_F840,F061,F061,solo_secundario,1
2019-2020,autismo_F840,E108,E108,solo_secundario,1
2019-2020,autismo_F840,K021,K021,solo_secundario,1
2019-2020,autismo_F840,DESCONOCIDO,R458,solo_secundario,1
2019-2020,autismo_F840,A419,N10,solo_secundario,1
2019-2020,autismo_F840,A492,A492,solo_secundario,1
2019-2020,autismo_F840,B179,B179,solo_secundario,1
2019-2020,autismo_F840,B24,P351,solo_secundario,1
2019-2020,autismo_F840,C629,C629,solo_secundario,1
2019-2020,autismo_F840,C629,K029,solo_secundario,1
2019-2020,autismo_F840,C629,N131,solo_secundario,1
2019-2020,autismo_F840,C717,T850,solo_secundario,1
2019-2020,autismo_F840,C73,C73,solo_secundario,1
2019-2020,autismo_F840,C910,C910,solo_secundario,1
2019-2020,autismo_F840,C910,Z511,solo_secundario,1
2019-2020,autismo_F840,C920,G409,solo_secundario,1
2019-2020,autismo_F840,C950,C910,solo_secundario,1
2019-2020,autismo_F840,D410,D410,solo_secundario,1
2019-2020,autismo_F840,D619,Z511,solo_secundario,1
2019-2020,autismo_F840,D696,D70,solo_secundario,1
2019-2020,autismo_F840,D70,C910,solo_secundario,1
2019-2020,autismo_F840,D801,Z098,solo_secundario,1
2019-2020,autismo_F840,D848,Z518,solo_secundario,1
2019-2020,autismo_F840,F609,F718,solo_secundario,1
2019-2020,autismo_F840,F638,R458,solo_secundario,1
