year,definition,role,variable,value,records
2019,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) B,434
2019,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) C,148
2019,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) D,198
2019,autismo_F840,solo_secundario,PREVISION,FONASA LIBRE ELECCIÓN (FMLE_B),4
2019,autismo_F840,solo_secundario,PREVISION,FONASA LIBRE ELECCIÓN (FMLE_C),1
2019,autismo_F840,solo_secundario,PREVISION,FONASA LIBRE ELECCIÓN (FMLE_D),2
2019,autismo_F840,solo_secundario,PREVISION,ISAPRE,32
2019,autismo_F840,solo_secundario,PREVISION,NO IDENTIFICADA,4
2019,autismo_F840,solo_secundario,PREVISION,PARTICULAR,7
2020,autismo_F840,principal,PREVISION,CAPREDENA,1
2020,autismo_F840,principal,PREVISION,FONASA INSTITUCIONAL - (MAI) A,38
2020,autismo_F840,principal,PREVISION,FONASA INSTITUCIONAL - (MAI) B,44
2020,autismo_F840,principal,PREVISION,FONASA INSTITUCIONAL - (MAI) C,12
2020,autismo_F840,principal,PREVISION,FONASA INSTITUCIONAL - (MAI) D,17
2020,autismo_F840,principal,PREVISION,ISAPRE,2
2020,autismo_F840,solo_secundario,PREVISION,CAJA DE PREVISIÓN FFAA (SISA),1
2020,autismo_F840,solo_secundario,PREVISION,CAPREDENA,1
2020,autismo_F840,solo_secundario,PREVISION,DIPRECA,1
2020,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) A,378
2020,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) B,301
2020,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) C,114
2020,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) D,152
2020,autismo_F840,solo_secundario,PREVISION,FONASA LIBRE ELECCIÓN (FMLE_D),1
2020,autismo_F840,solo_secundario,PREVISION,ISAPRE,18
2020,autismo_F840,solo_secundario,PREVISION,PARTICULAR,3
2021,autismo_F840,principal,PREVISION,FONASA INSTITUCIONAL - (MAI) A,37
2021,autismo_F840,principal,PREVISION,FONASA INSTITUCIONAL - (MAI) B,61
2021,autismo_F840,principal,PREVISION,FONASA INSTITUCIONAL - (MAI) C,12
2021,autismo_F840,principal,PREVISION,FONASA INSTITUCIONAL - (MAI) D,22
2021,autismo_F840,principal,PREVISION,ISAPRE,5
2021,autismo_F840,principal,PREVISION,PARTICULAR,2
2021,autismo_F840,solo_secundario,PREVISION,CAJA DE PREVISIÓN FFAA (SISA),3
2021,autismo_F840,solo_secundario,PREVISION,CAPREDENA,2
2021,autismo_F840,solo_secundario,PREVISION,DIPRECA,9
2021,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) A,604
2021,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) B,573
2021,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) C,194
2021,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) D,281
2021,autismo_F840,solo_secundario,PREVISION,FONASA LIBRE ELECCIÓN (FMLE_B),2
2021,autismo_F840,solo_secundario,PREVISION,FONASA LIBRE ELECCIÓN (FMLE_C),2
2021,autismo_F840,solo_secundario,PREVISION,FONASA LIBRE ELECCIÓN (FMLE_D),1
2021,autismo_F840,solo_secundario,PREVISION,ISAPRE,33
2021,autismo_F840,solo_secundario,PREVISION,PARTICULAR,5
2022,autismo_F840,principal,PREVISION,CAJA DE PREVISIÓN FFAA (SISA),1
2022,autismo_F840,principal,PREVISION,DIPRECA,1
2022,autismo_F840,principal,PREVISION,FONASA INSTITUCIONAL - (MAI) A,62
2022,autismo_F840,principal,PREVISION,FONASA INSTITUCIONAL - (MAI) B,72
2022,autismo_F840,principal,PREVISION,FONASA INSTITUCIONAL - (MAI) C,29
2022,autismo_F840,principal,PREVISION,FONASA INSTITUCIONAL - (MAI) D,32
2022,autismo_F840,principal,PREVISION,ISAPRE,4
2022,autismo_F840,principal,PREVISION,PARTICULAR,1
