Scale,Indicator,Value type,Weight definition,Period,Subset,n,Moran's I,E[I],z,Analytic p,p (999 perm.)
Comuna,REM A05 entries,Empirical-Bayes smoothed standardised ratio,idw,full period,all comunas,342,0.1650,−0.0029,8.08,< 0.001,0.001
Comuna,REM P2 December,"Rate per 100,000 population",queen,full period,all comunas,342,0.1870,−0.0029,5.13,< 0.001,0.001
Comuna,REM P2 December,"Rate per 100,000 population",knn4,full period,all comunas,342,0.1728,−0.0029,4.95,< 0.001,0.001
Comuna,REM P2 December,"Rate per 100,000 population",knn8,full period,all comunas,342,0.1707,−0.0029,6.90,< 0.001,0.001
Comuna,REM P2 December,"Rate per 100,000 population",idw,full period,all comunas,342,0.1793,−0.0029,8.77,< 0.001,0.001
Comuna,REM P2 December,Crude standardised ratio,queen,full period,all comunas,342,0.1874,−0.0029,5.14,< 0.001,0.001
Comuna,REM P2 December,Crude standardised ratio,knn4,full period,all comunas,342,0.1729,−0.0029,4.95,< 0.001,0.001
Comuna,REM P2 December,Crude standardised ratio,knn8,full period,all comunas,342,0.1723,−0.0029,6.96,< 0.001,0.001
Comuna,REM P2 December,Crude standardised ratio,idw,full period,all comunas,342,0.1804,−0.0029,8.82,< 0.001,0.001
Comuna,REM P2 December,Empirical-Bayes smoothed standardised ratio,queen,full period,all comunas,342,0.1934,−0.0029,5.30,< 0.001,0.001
Comuna,REM P2 December,Empirical-Bayes smoothed standardised ratio,knn4,full period,all comunas,342,0.1804,−0.0029,5.16,< 0.001,0.001
Comuna,REM P2 December,Empirical-Bayes smoothed standardised ratio,knn8,full period,all comunas,342,0.1827,−0.0029,7.37,< 0.001,0.001
Comuna,REM P2 December,Empirical-Bayes smoothed standardised ratio,idw,full period,all comunas,342,0.1830,−0.0029,8.95,< 0.001,0.001
Comuna,REM P6 primary,"Rate per 100,000 population",queen,full period,all comunas,342,0.3458,−0.0029,9.42,< 0.001,0.001
Comuna,REM P6 primary,"Rate per 100,000 population",knn4,full period,all comunas,342,0.3352,−0.0029,9.52,< 0.001,0.001
Comuna,REM P6 primary,"Rate per 100,000 population",knn8,full period,all comunas,342,0.2968,−0.0029,11.91,< 0.001,0.001
Comuna,REM P6 primary,"Rate per 100,000 population",idw,full period,all comunas,342,0.2829,−0.0029,13.76,< 0.001,0.001
Comuna,REM P6 primary,Crude standardised ratio,queen,full period,all comunas,342,0.3466,−0.0029,9.44,< 0.001,0.001
Comuna,REM P6 primary,Crude standardised ratio,knn4,full period,all comunas,342,0.3359,−0.0029,9.54,< 0.001,0.001
Comuna,REM P6 primary,Crude standardised ratio,knn8,full period,all comunas,342,0.2977,−0.0029,11.94,< 0.001,0.001
Comuna,REM P6 primary,Crude standardised ratio,idw,full period,all comunas,342,0.2836,−0.0029,13.79,< 0.001,0.001
Comuna,REM P6 primary,Empirical-Bayes smoothed standardised ratio,queen,full period,all comunas,342,0.3468,−0.0029,9.44,< 0.001,0.001
Comuna,REM P6 primary,Empirical-Bayes smoothed standardised ratio,knn4,full period,all comunas,342,0.3384,−0.0029,9.61,< 0.001,0.001
Comuna,REM P6 primary,Empirical-Bayes smoothed standardised ratio,knn8,full period,all comunas,342,0.3066,−0.0029,12.29,< 0.001,0.001
Comuna,REM P6 primary,Empirical-Bayes smoothed standardised ratio,idw,full period,all comunas,342,0.2822,−0.0029,13.72,< 0.001,0.001
Comuna,REM P6 specialty,"Rate per 100,000 population",queen,full period,all comunas,342,0.1710,−0.0029,4.70,< 0.001,0.002
Comuna,REM P6 specialty,"Rate per 100,000 population",knn4,full period,all comunas,342,0.1798,−0.0029,5.14,< 0.001,0.001
Comuna,REM P6 specialty,"Rate per 100,000 population",knn8,full period,all comunas,342,0.1756,−0.0029,7.09,< 0.001,0.001
Comuna,REM P6 specialty,"Rate per 100,000 population",idw,full period,all comunas,342,0.0722,−0.0029,3.62,< 0.001,0.008
Comuna,REM P6 specialty,Crude standardised ratio,queen,full period,all comunas,342,0.1715,−0.0029,4.71,< 0.001,0.002
Comuna,REM P6 specialty,Crude standardised ratio,knn4,full period,all comunas,342,0.1800,−0.0029,5.15,< 0.001,0.001
Comuna,REM P6 specialty,Crude standardised ratio,knn8,full period,all comunas,342,0.1758,−0.0029,7.10,< 0.001,0.001
Comuna,REM P6 specialty,Crude standardised ratio,idw,full period,all comunas,342,0.0723,−0.0029,3.62,< 0.001,0.008
Comuna,REM P6 specialty,Empirical-Bayes smoothed standardised ratio,queen,full period,all comunas,342,0.1740,−0.0029,4.78,< 0.001,0.002
Comuna,REM P6 specialty,Empirical-Bayes smoothed standardised ratio,knn4,full period,all comunas,342,0.1791,−0.0029,5.12,< 0.001,0.001
Comuna,REM P6 specialty,Empirical-Bayes smoothed standardised ratio,knn8,full period,all comunas,342,0.1782,−0.0029,7.19,< 0.001,0.001
Comuna,REM P6 specialty,Empirical-Bayes smoothed standardised ratio,idw,full period,all comunas,342,0.0724,−0.0029,3.63,< 0.001,0.007
Comuna,APS enrolment,"Rate per 100,000 population",queen,full period,all comunas,342,0.2525,−0.0029,6.90,< 0.001,0.001
Comuna,APS enrolment,"Rate per 100,000 population",knn4,full period,all comunas,342,0.3263,−0.0029,9.27,< 0.001,0.001
Comuna,APS enrolment,"Rate per 100,000 population",knn8,full period,all comunas,342,0.2937,−0.0029,11.78,< 0.001,0.001
Comuna,APS enrolment,"Rate per 100,000 population",idw,full period,all comunas,342,0.3026,−0.0029,14.70,< 0.001,0.001
Comuna,APS enrolment,Crude standardised ratio,queen,full period,all comunas,342,0.2526,−0.0029,6.90,< 0.001,0.001
Comuna,APS enrolment,Crude standardised ratio,knn4,full period,all comunas,342,0.3263,−0.0029,9.27,< 0.001,0.001
Comuna,APS enrolment,Crude standardised ratio,knn8,full period,all comunas,342,0.2938,−0.0029,11.79,< 0.001,0.001
Comuna,APS enrolment,Crude standardised ratio,idw,full period,all comunas,342,0.3026,−0.0029,14.71,< 0.001,0.001
Comuna,APS enrolment,Empirical-Bayes smoothed standardised ratio,queen,full period,all comunas,342,0.2526,−0.0029,6.90,< 0.001,0.001
Comuna,APS enrolment,Empirical-Bayes smoothed standardised ratio,knn4,full period,all comunas,342,0.3258,−0.0029,9.25,< 0.001,0.001
