Block,Sex,Age group (years),2019,2020,2021,2022,2023,2024,2025
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Males,0–4,n/e,n/e,809,"1,122","1,266","1,163","1,140"
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Males,5–9,n/e,n/e,"1,382","2,250","3,298","4,050","4,038"
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Males,10–14,n/e,n/e,761,"1,374","2,067","2,697","2,919"
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Males,15–19,n/e,n/e,496,705,"1,182","1,470","1,564"
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Males,20–24,n/e,n/e,124,184,263,367,394
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Males,25–29,n/e,n/e,46,55,110,169,177
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Males,30–34,n/e,n/e,31,39,64,94,115
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Males,35–39,n/e,n/e,23,24,40,50,65
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Males,40–44,n/e,n/e,11,7,19,34,32
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Males,45–49,n/e,n/e,11,11,21,14,21
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Males,50–54,n/e,n/e,4,3,11,13,15
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Males,55–59,n/e,n/e,4,5,7,10,6
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Males,60–64,n/e,n/e,1,2,9,7,10
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Males,65–69,n/e,n/e,0,4,10,2,5
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Males,70–74,n/e,n/e,1,1,1,0,4
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Males,75–79,n/e,n/e,0,2,1,2,3
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Males,80+,n/e,n/e,0,4,2,1,0
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Males,Reported total (COL02/COL03),n/e,n/e,"3,704","5,791","8,371","10,143","10,508"
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Males,Sum of age cells,n/e,n/e,"3,704","5,792","8,371","10,143","10,508"
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Females,0–4,n/e,n/e,241,406,465,398,456
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Females,5–9,n/e,n/e,339,614,"1,013","1,323","1,500"
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Females,10–14,n/e,n/e,310,601,"1,104","1,447","1,521"
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Females,15–19,n/e,n/e,185,354,639,888,962
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Females,20–24,n/e,n/e,34,75,149,247,270
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Females,25–29,n/e,n/e,29,47,87,128,141
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Females,30–34,n/e,n/e,13,21,67,102,92
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Females,35–39,n/e,n/e,9,22,55,75,77
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Females,40–44,n/e,n/e,14,19,31,46,38
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Females,45–49,n/e,n/e,17,11,22,27,40
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Females,50–54,n/e,n/e,18,11,20,10,19
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Females,55–59,n/e,n/e,11,11,7,15,15
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Females,60–64,n/e,n/e,7,8,17,13,12
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Females,65–69,n/e,n/e,5,3,12,6,8
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Females,70–74,n/e,n/e,6,5,13,2,5
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Females,75–79,n/e,n/e,5,3,10,1,1
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Females,80+,n/e,n/e,1,2,4,3,5
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Females,Reported total (COL02/COL03),n/e,n/e,"1,244","2,213","3,715","4,730","5,162"
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Females,Sum of age cells,n/e,n/e,"1,244","2,213","3,715","4,731","5,162"
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Total,Reported total (COL02/COL03),n/e,n/e,"4,948","8,004","12,086","14,873","15,670"
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),Total,Total COL01 (main series of the REM pathway),n/e,n/e,"4,948","8,004","12,086","14,873","15,669"
PDD family of the variant 2021–2025 (05990022+05990023+05990025+05990026),,Reporting establishments (n),n/e,n/e,710,869,"1,040","1,153",995
Strict autism 2021–2025 (05990022; identical in both variants),Males,0–4,n/e,n/e,408,753,841,942,940
Strict autism 2021–2025 (05990022; identical in both variants),Males,5–9,n/e,n/e,637,"1,488","2,489","3,431","3,538"
Strict autism 2021–2025 (05990022; identical in both variants),Males,10–14,n/e,n/e,316,726,"1,371","2,153","2,484"
Strict autism 2021–2025 (05990022; identical in both variants),Males,15–19,n/e,n/e,192,344,755,"1,116","1,267"
Strict autism 2021–2025 (05990022; identical in both variants),Males,20–24,n/e,n/e,29,86,143,266,309
Strict autism 2021–2025 (05990022; identical in both variants),Males,25–29,n/e,n/e,19,25,59,106,136
Strict autism 2021–2025 (05990022; identical in both variants),Males,30–34,n/e,n/e,13,18,27,62,80
Strict autism 2021–2025 (05990022; identical in both variants),Males,35–39,n/e,n/e,5,12,19,29,49
Strict autism 2021–2025 (05990022; identical in both variants),Males,40–44,n/e,n/e,3,3,9,23,23
Strict autism 2021–2025 (05990022; identical in both variants),Males,45–49,n/e,n/e,1,4,11,11,15
Strict autism 2021–2025 (05990022; identical in both variants),Males,50–54,n/e,n/e,1,1,5,9,11
Strict autism 2021–2025 (05990022; identical in both variants),Males,55–59,n/e,n/e,0,1,2,8,2
Strict autism 2021–2025 (05990022; identical in both variants),Males,60–64,n/e,n/e,0,1,2,6,7
Strict autism 2021–2025 (05990022; identical in both variants),Males,65–69,n/e,n/e,0,1,0,2,2
Strict autism 2021–2025 (05990022; identical in both variants),Males,70–74,n/e,n/e,0,0,0,0,4
Strict autism 2021–2025 (05990022; identical in both variants),Males,75–79,n/e,n/e,0,0,0,0,0
Strict autism 2021–2025 (05990022; identical in both variants),Males,80+,n/e,n/e,0,3,1,0,0
Strict autism 2021–2025 (05990022; identical in both variants),Males,Reported total (COL02/COL03),n/e,n/e,"1,624","3,465","5,734","8,164","8,867"
Strict autism 2021–2025 (05990022; identical in both variants),Males,Sum of age cells,n/e,n/e,"1,624","3,466","5,734","8,164","8,867"
Strict autism 2021–2025 (05990022; identical in both variants),Females,0–4,n/e,n/e,114,260,288,311,367
Strict autism 2021–2025 (05990022; identical in both variants),Females,5–9,n/e,n/e,130,374,717,"1,079","1,298"
Strict autism 2021–2025 (05990022; identical in both variants),Females,10–14,n/e,n/e,104,287,698,"1,121","1,268"
Strict autism 2021–2025 (05990022; identical in both variants),Females,15–19,n/e,n/e,63,160,375,682,789
Strict autism 2021–2025 (05990022; identical in both variants),Females,20–24,n/e,n/e,8,34,86,196,223
Strict autism 2021–2025 (05990022; identical in both variants),Females,25–29,n/e,n/e,10,23,53,91,115
Strict autism 2021–2025 (05990022; identical in both variants),Females,30–34,n/e,n/e,4,8,34,73,72
Strict autism 2021–2025 (05990022; identical in both variants),Females,35–39,n/e,n/e,6,8,26,46,64
Strict autism 2021–2025 (05990022; identical in both variants),Females,40–44,n/e,n/e,3,8,11,35,30
Strict autism 2021–2025 (05990022; identical in both variants),Females,45–49,n/e,n/e,6,1,6,22,27
Strict autism 2021–2025 (05990022; identical in both variants),Females,50–54,n/e,n/e,3,4,7,4,10
Strict autism 2021–2025 (05990022; identical in both variants),Females,55–59,n/e,n/e,2,2,2,6,8
Strict autism 2021–2025 (05990022; identical in both variants),Females,60–64,n/e,n/e,4,1,8,8,9
Strict autism 2021–2025 (05990022; identical in both variants),Females,65–69,n/e,n/e,0,1,1,4,3
Strict autism 2021–2025 (05990022; identical in both variants),Females,70–74,n/e,n/e,1,1,1,0,2
Strict autism 2021–2025 (05990022; identical in both variants),Females,75–79,n/e,n/e,3,2,1,0,1
Strict autism 2021–2025 (05990022; identical in both variants),Females,80+,n/e,n/e,0,1,1,1,3
Strict autism 2021–2025 (05990022; identical in both variants),Females,Reported total (COL02/COL03),n/e,n/e,461,"1,175","2,315","3,678","4,289"
Strict autism 2021–2025 (05990022; identical in both variants),Females,Sum of age cells,n/e,n/e,461,"1,175","2,315","3,679","4,289"
Strict autism 2021–2025 (05990022; identical in both variants),Total,Reported total (COL02/COL03),n/e,n/e,"2,085","4,640","8,049","11,842","13,156"
Strict autism 2021–2025 (05990022; identical in both variants),Total,Total COL01 (main series of the REM pathway),n/e,n/e,"2,085","4,640","8,049","11,842","13,155"
Strict autism 2021–2025 (05990022; identical in both variants),,Reporting establishments (n),n/e,n/e,449,658,920,"1,070",952
