F84 code position,Sex,Age group (years),2019,2020,2021,2022,2023,2024
Any position,Unknown,Total,1 (645.2),0 (0.0),"1 (1,587.3)","1 (1,923.1)","2 (5,128.2)","4 (3,448.3)"
Any position,Total,Total,"2,334 (202.7)","1,609 (205.8)","2,367 (289.8)","3,859 (413.7)","6,423 (617.8)","8,731 (804.1)"
Principal diagnosis,Males,0–4,18 (28.5),9 (26.5),16 (46.4),26 (55.1),11 (20.8),16 (34.5)
Principal diagnosis,Males,5–9,31 (109.8),21 (144.7),21 (132.5),25 (120.8),30 (130.5),35 (137.9)
Principal diagnosis,Males,10–14,58 (283.4),41 (333.7),28 (206.4),64 (393.3),57 (316.6),93 (451.7)
Principal diagnosis,Males,15–19,43 (291.9),35 (378.9),41 (426.6),57 (509.7),111 (840.9),55 (384.2)
Principal diagnosis,Males,20–24,22 (144.5),9 (83.4),17 (157.2),25 (217.9),27 (215.7),33 (255.1)
Principal diagnosis,Males,25–29,10 (60.7),4 (32.9),9 (69.5),5 (38.2),7 (48.9),16 (107.9)
Principal diagnosis,Males,30–34,4 (24.9),3 (23.5),13 (90.4),11 (77.5),12 (74.3),5 (29.3)
Principal diagnosis,Males,35–39,2 (12.1),2 (15.6),5 (35.0),9 (65.1),4 (24.9),6 (34.6)
Principal diagnosis,Males,40–44,0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),1 (5.6)
Principal diagnosis,Males,45–49,0 (0.0),0 (0.0),0 (0.0),3 (17.9),0 (0.0),1 (5.1)
Principal diagnosis,Males,50–54,0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0)
Principal diagnosis,Males,55–59,1 (3.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0)
Principal diagnosis,Males,60–64,0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0)
Principal diagnosis,Males,65–69,0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0)
Principal diagnosis,Males,70–74,0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0)
Principal diagnosis,Males,75–79,0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0)
Principal diagnosis,Males,80+,0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0)
Principal diagnosis,Males,Unknown,0 (0.0),0 (0.0),0 (—),0 (0.0),0 (0.0),"2 (4,878.0)"
Principal diagnosis,Males,Total,189 (40.2),124 (38.7),150 (43.9),225 (59.3),259 (60.6),263 (58.0)
Principal diagnosis,Females,0–4,5 (10.3),2 (7.5),9 (33.3),6 (16.9),11 (26.9),1 (2.8)
Principal diagnosis,Females,5–9,3 (17.9),3 (32.7),6 (63.0),4 (33.9),13 (94.8),19 (123.0)
Principal diagnosis,Females,10–14,15 (89.2),14 (136.5),15 (126.1),36 (251.3),35 (231.1),62 (363.6)
Principal diagnosis,Females,15–19,11 (39.9),7 (37.1),3 (17.2),15 (75.4),28 (133.2),33 (154.2)
Principal diagnosis,Females,20–24,3 (5.3),6 (13.9),1 (2.6),1 (2.3),3 (7.0),3 (7.3)
Principal diagnosis,Females,25–29,1 (1.4),1 (1.8),2 (3.8),6 (10.3),8 (13.6),2 (3.5)
Principal diagnosis,Females,30–34,1 (1.6),0 (0.0),0 (0.0),1 (1.7),2 (3.3),3 (4.9)
Principal diagnosis,Females,35–39,0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),1 (2.0)
Principal diagnosis,Females,40–44,0 (0.0),0 (0.0),0 (0.0),0 (0.0),1 (2.9),1 (2.8)
Principal diagnosis,Females,45–49,0 (0.0),0 (0.0),0 (0.0),1 (4.0),0 (0.0),0 (0.0)
Principal diagnosis,Females,50–54,0 (0.0),0 (0.0),0 (0.0),0 (0.0),1 (3.6),0 (0.0)
Principal diagnosis,Females,55–59,0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),2 (5.9)
Principal diagnosis,Females,60–64,0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0)
Principal diagnosis,Females,65–69,0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0)
Principal diagnosis,Females,70–74,0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0)
Principal diagnosis,Females,75–79,0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0)
Principal diagnosis,Females,80+,0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0)
Principal diagnosis,Females,Total,39 (5.7),33 (7.1),36 (7.6),70 (12.6),102 (16.7),127 (20.1)
Principal diagnosis,Total,Total,228 (19.8),157 (20.1),186 (22.8),295 (31.6),361 (34.7),390 (35.9)
