Denominator layer,Dimension,Category,2019,2020,2021,2022,2023,2024,2025
ISAPRE beneficiaries (December stock),Region,Aysén,"9,780","9,314","9,292","8,676","7,329","6,588","6,062"
ISAPRE beneficiaries (December stock),Region,Magallanes,"31,837","30,464","30,253","28,046","23,750","21,560","19,645"
ISAPRE beneficiaries (December stock),Region,Comuna not linked,70,78,11,42,2,n/e,35
APS enrolled (December stock),Region,Arica y Parinacota,"193,413","195,676","200,853","211,425","220,275","227,199","235,346"
APS enrolled (December stock),Region,Tarapacá,"291,206","295,503","308,481","326,236","346,176","361,231","380,127"
APS enrolled (December stock),Region,Antofagasta,"360,856","364,947","374,388","390,716","424,080","443,738","475,668"
APS enrolled (December stock),Region,Atacama,"233,963","233,497","236,064","243,197","252,876","257,495","266,990"
APS enrolled (December stock),Region,Coquimbo,"628,517","636,570","648,397","664,286","683,911","697,899","718,009"
APS enrolled (December stock),Region,Valparaíso,"1,442,091","1,460,450","1,479,405","1,521,349","1,572,801","1,606,784","1,642,811"
APS enrolled (December stock),Region,Metropolitana,"5,093,868","5,113,357","5,175,587","5,319,985","5,561,887","5,672,969","5,845,718"
APS enrolled (December stock),Region,O'Higgins,"722,515","734,684","747,662","771,919","801,776","818,662","844,470"
APS enrolled (December stock),Region,Maule,"962,530","971,020","994,387","1,035,879","1,062,389","1,081,587","1,107,331"
APS enrolled (December stock),Region,Ñuble,"411,153","415,717","421,153","431,013","438,363","441,470","448,539"
APS enrolled (December stock),Region,Biobío,"1,311,088","1,312,957","1,325,553","1,355,318","1,380,585","1,396,467","1,426,611"
APS enrolled (December stock),Region,La Araucanía,"846,854","859,382","878,364","906,997","923,100","936,820","955,764"
APS enrolled (December stock),Region,Los Ríos,"353,859","355,489","361,553","371,154","378,817","383,763","390,854"
APS enrolled (December stock),Region,Los Lagos,"732,646","744,147","756,804","777,778","805,450","825,766","847,369"
APS enrolled (December stock),Region,Aysén,"69,356","68,176","67,260","66,326","65,254","64,285","63,437"
APS enrolled (December stock),Region,Magallanes,"123,136","123,937","124,930","128,886","133,933","137,554","142,818"
"INE population (2017-census-based projection, 30 June)",Age group,0–4,"1,202,176","1,190,382","1,178,895","1,177,286","1,181,326","1,184,081","1,182,418"
"INE population (2017-census-based projection, 30 June)",Age group,5–9,"1,275,472","1,282,387","1,279,150","1,263,605","1,243,537","1,221,671","1,198,210"
"INE population (2017-census-based projection, 30 June)",Age group,10–14,"1,236,524","1,265,269","1,287,620","1,298,475","1,298,004","1,292,273","1,289,159"
"INE population (2017-census-based projection, 30 June)",Age group,15–19,"1,272,967","1,260,062","1,242,805","1,232,087","1,235,359","1,250,082","1,270,366"
"INE population (2017-census-based projection, 30 June)",Age group,20–24,"1,446,985","1,443,181","1,416,129","1,378,746","1,339,853","1,303,328","1,272,209"
