Comuna,CUT,Region,Observed episodes,Expected,Person-years,"Rate per 100,000 population",Crude standardised ratio,Empirical-Bayes smoothed standardised ratio,Shrinkage weight of the smoother,GRD persons (smoothed ratio)
Lautaro,9108,La Araucanía,96,56.8,"247,047",38.9 (31.5–47.5),1.69 (1.37–2.06),1.64,0.93,1.85
San Juan de la Costa,10306,Los Lagos,15,7.7,"45,361",33.1 (18.5–54.5),1.96 (1.10–3.23),1.62,0.65,1.25
Curanilahue,8205,Biobío,73,44.5,"203,450",35.9 (28.1–45.1),1.64 (1.28–2.06),1.59,0.92,1.64
Antofagasta,2101,Antofagasta,953,600.1,"2,593,425",36.7 (34.5–39.2),1.59 (1.49–1.69),1.58,0.99,1.68
Laja,8304,Biobío,50,30.8,"143,335",34.9 (25.9–46.0),1.62 (1.20–2.14),1.55,0.88,1.26
Yumbel,8313,Biobío,40,24.5,"132,940",30.1 (21.5–41.0),1.63 (1.16–2.22),1.54,0.86,0.98
Chépica,6302,O'Higgins,30,18.2,"96,058",31.2 (21.1–44.6),1.65 (1.12–2.36),1.53,0.82,0.95
Coyhaique,11101,Aysén,135,87.1,"369,164",36.6 (30.7–43.3),1.55 (1.30–1.83),1.52,0.96,1.59
Doñihue,6105,O'Higgins,49,30.8,"138,320",35.4 (26.2–46.8),1.59 (1.18–2.10),1.52,0.88,0.91
Villarrica,9120,La Araucanía,124,80.6,"358,188",34.6 (28.8–41.3),1.54 (1.28–1.83),1.51,0.95,1.52
Parral,7404,Maule,89,57.7,"269,593",33.0 (26.5–40.6),1.54 (1.24–1.90),1.51,0.93,1.42
Pitrufquén,9114,La Araucanía,51,32.8,"157,748",32.3 (24.1–42.5),1.56 (1.16–2.05),1.49,0.89,1.40
Cobquecura,16202,Ñuble,9,4.7,"31,535",28.5 (13.1–54.2),1.91 (0.87–3.63),1.49,0.53,1.25
Castro,10201,Los Lagos,93,62.1,"288,183",32.3 (26.0–39.5),1.50 (1.21–1.83),1.47,0.94,1.46
La Serena,4101,Coquimbo,513,348.9,"1,537,665",33.4 (30.5–36.4),1.47 (1.35–1.60),1.47,0.99,1.44
Calama,2201,Antofagasta,409,278.2,"1,153,865",35.4 (32.1–39.1),1.47 (1.33–1.62),1.46,0.99,1.67
Ñiquén,16303,Ñuble,20,12.4,"69,309",28.9 (17.6–44.6),1.61 (0.98–2.48),1.46,0.75,1.23
Puente Alto,13201,Metropolitana,"1,318",918.5,"3,923,320",33.6 (31.8–35.5),1.43 (1.36–1.51),1.43,1.00,1.52
Valparaíso,5101,Valparaíso,546,380.6,"1,905,540",28.7 (26.3–31.2),1.43 (1.32–1.56),1.43,0.99,1.34
Concepción,8101,Biobío,373,261.0,"1,432,306",26.0 (23.5–28.8),1.43 (1.29–1.58),1.42,0.98,1.25
Tucapel,8312,Biobío,28,18.5,"91,726",30.5 (20.3–44.1),1.51 (1.00–2.19),1.42,0.82,1.18
Florida,8104,Biobío,19,12.3,"71,113",26.7 (16.1–41.7),1.54 (0.93–2.40),1.40,0.75,1.32
San Fabián,16304,Ñuble,9,5.4,"28,236",31.9 (14.6–60.5),1.67 (0.76–3.16),1.38,0.57,1.43
Ninhue,16204,Ñuble,9,5.5,"32,345",27.8 (12.7–52.8),1.63 (0.74–3.09),1.36,0.57,1.03
Bulnes,16102,Ñuble,39,27.7,"135,981",28.7 (20.4–39.2),1.41 (1.00–1.93),1.36,0.87,1.38
Yungay,16109,Ñuble,32,22.5,"112,114",28.5 (19.5–40.3),1.42 (0.97–2.01),1.36,0.85,1.42
Treguaco,16207,Ñuble,10,6.5,"34,335",29.1 (14.0–53.6),1.54 (0.74–2.84),1.33,0.61,0.99
Vallenar,3301,Atacama,108,80.4,"342,776",31.5 (25.8–38.0),1.34 (1.10–1.62),1.33,0.95,1.62
Viña del Mar,5109,Valparaíso,545,416.9,"2,190,845",24.9 (22.8–27.1),1.31 (1.20–1.42),1.30,0.99,1.15
Lo Espejo,13116,Metropolitana,170,129.5,"615,728",27.6 (23.6–32.1),1.31 (1.12–1.53),1.30,0.97,1.31
Puyehue,10304,Los Lagos,19,13.8,"70,787",26.8 (16.2–41.9),1.38 (0.83–2.16),1.29,0.77,1.15
Chile Chico,11401,Aysén,9,6.1,"30,823",29.2 (13.4–55.4),1.48 (0.68–2.81),1.29,0.60,1.37
Purén,9208,La Araucanía,21,15.4,"72,914",28.8 (17.8–44.0),1.36 (0.84–2.08),1.29,0.79,1.36
Corral,14102,Los Ríos,9,6.1,"32,631",27.6 (12.6–52.4),1.47 (0.67–2.80),1.28,0.60,1.22
Quilleco,8309,Biobío,16,11.6,"60,082",26.6 (15.2–43.2),1.38 (0.79–2.25),1.28,0.74,1.23
El Bosque,13105,Metropolitana,284,222.2,"1,026,868",27.7 (24.5–31.1),1.28 (1.13–1.44),1.27,0.98,1.36
Máfil,14105,Los Ríos,13,9.4,"44,301",29.3 (15.6–50.2),1.39 (0.74–2.37),1.27,0.70,1.10
Temuco,9101,La Araucanía,505,397.4,"1,832,870",27.6 (25.2–30.1),1.27 (1.16–1.39),1.27,0.99,1.30
Pichilemu,6201,O'Higgins,28,21.4,"109,360",25.6 (17.0–37.0),1.31 (0.87–1.89),1.26,0.84,1.10
O'Higgins,11302,Aysén,<5,0.8,"3,998",50.0 (6.1–180.7),2.59 (0.31–9.37),1.25,0.16,1.06
Negrete,8307,Biobío,18,13.7,"62,902",28.6 (17.0–45.2),1.32 (0.78–2.08),1.24,0.77,1.31
Santiago,13101,Metropolitana,577,463.1,"3,114,756",18.5 (17.0–20.1),1.25 (1.15–1.35),1.24,0.99,0.62
Pedro Aguirre Cerda,13121,Metropolitana,151,122.8,"638,858",23.6 (20.0–27.7),1.23 (1.04–1.44),1.22,0.97,1.18
San Pedro de la Paz,8108,Biobío,260,213.1,"892,806",29.1 (25.7–32.9),1.22 (1.08–1.38),1.22,0.98,1.37
Antártica,12202,Magallanes,<5,0.1,852,117.4 (3.0–653.9),9.44 (0.24–52.60),1.21,0.03,1.20
Mejillones,2102,Antofagasta,26,20.8,"91,053",28.6 (18.7–41.8),1.25 (0.82–1.83),1.21,0.84,1.37
El Carmen,16104,Ñuble,18,14.4,"73,692",24.4 (14.5–38.6),1.25 (0.74–1.98),1.20,0.78,1.11
Quillota,5501,Valparaíso,152,126.5,"593,012",25.6 (21.7–30.0),1.20 (1.02–1.41),1.20,0.97,1.16
Coihueco,16302,Ñuble,46,37.8,"171,808",26.8 (19.6–35.7),1.22 (0.89–1.62),1.19,0.90,1.41
Ovalle,4301,Coquimbo,199,166.2,"734,584",27.1 (23.5–31.1),1.20 (1.04–1.38),1.19,0.98,1.37
Pica,1405,Tarapacá,11,8.6,"36,474",30.2 (15.1–54.0),1.27 (0.64–2.28),1.19,0.68,1.23
Iquique,1101,Tarapacá,353,301.9,"1,358,733",26.0 (23.3–28.8),1.17 (1.05–1.30),1.17,0.99,1.23
Valdivia,14101,Los Ríos,258,220.6,"1,072,614",24.1 (21.2–27.2),1.17 (1.03–1.32),1.17,0.98,1.05
Chiguayante,8103,Biobío,134,115.0,"548,830",24.4 (20.5–28.9),1.16 (0.98–1.38),1.16,0.97,1.08
San Joaquín,13129,Metropolitana,136,117.2,"619,625",21.9 (18.4–26.0),1.16 (0.97–1.37),1.16,0.97,1.04
Quillón,16107,Ñuble,25,21.4,"113,849",22.0 (14.2–32.4),1.17 (0.76–1.73),1.14,0.84,1.15
Mulchén,8305,Biobío,47,40.6,"186,421",25.2 (18.5–33.5),1.16 (0.85–1.54),1.14,0.91,1.27
Coelemu,16203,Ñuble,24,20.5,"101,195",23.7 (15.2–35.3),1.17 (0.75–1.74),1.14,0.83,1.18
Hualqui,8105,Biobío,41,35.5,"158,448",25.9 (18.6–35.1),1.16 (0.83–1.57),1.14,0.90,1.33
San Ramón,13131,Metropolitana,119,104.9,"512,512",23.2 (19.2–27.8),1.13 (0.94–1.36),1.13,0.96,1.16
Quilpué,5801,Valparaíso,233,206.0,"1,016,994",22.9 (20.1–26.0),1.13 (0.99–1.29),1.13,0.98,1.04
Papudo,5403,Valparaíso,9,7.5,"37,743",23.8 (10.9–45.3),1.19 (0.55–2.27),1.13,0.65,1.02
Futaleufú,10402,Los Lagos,<5,3.2,"17,074",23.4 (6.4–60.0),1.26 (0.34–3.22),1.11,0.44,1.13
San Fernando,6301,O'Higgins,117,104.9,"477,386",24.5 (20.3–29.4),1.12 (0.92–1.34),1.11,0.96,1.14
San José de Maipo,13203,Metropolitana,27,24.0,"113,816",23.7 (15.6–34.5),1.12 (0.74–1.63),1.11,0.85,1.19
Renaico,9209,La Araucanía,16,14.2,"65,376",24.5 (14.0–39.7),1.13 (0.64–1.83),1.10,0.78,1.02
La Granja,13111,Metropolitana,165,150.5,"727,779",22.7 (19.3–26.4),1.10 (0.94–1.28),1.09,0.97,1.05
Portezuelo,16205,Ñuble,6,5.3,"29,490",20.3 (7.5–44.3),1.14 (0.42–2.47),1.08,0.56,1.08
Nueva Imperial,9111,La Araucanía,49,45.4,"203,510",24.1 (17.8–31.8),1.08 (0.80–1.43),1.07,0.92,1.15
La Florida,13110,Metropolitana,519,483.3,"2,424,721",21.4 (19.6–23.3),1.07 (0.98–1.17),1.07,0.99,0.95
San Gregorio,12104,Magallanes,<5,0.7,"4,016",24.9 (0.6–138.7),1.51 (0.04–8.42),1.07,0.14,1.06
Aysén,11201,Aysén,38,35.7,"150,503",25.2 (17.9–34.7),1.06 (0.75–1.46),1.06,0.90,1.07
Combarbalá,4302,Coquimbo,16,15.0,"83,219",19.2 (11.0–31.2),1.06 (0.61–1.73),1.05,0.79,0.80
Porvenir,12301,Magallanes,10,9.3,"44,641",22.4 (10.7–41.2),1.07 (0.51–1.97),1.05,0.69,1.17
El Quisco,5604,Valparaíso,21,20.1,"108,932",19.3 (11.9–29.5),1.05 (0.65–1.60),1.04,0.83,0.89
Tocopilla,2301,Antofagasta,43,41.4,"168,940",25.5 (18.4–34.3),1.04 (0.75–1.40),1.03,0.91,1.20
Toltén,9118,La Araucanía,13,12.5,"60,053",21.6 (11.5–37.0),1.04 (0.55–1.78),1.03,0.75,1.03
Ránquil,16206,Ñuble,7,6.7,"37,641",18.6 (7.5–38.3),1.04 (0.42–2.15),1.03,0.62,0.94
Santa Bárbara,8311,Biobío,19,18.7,"87,740",21.7 (13.0–33.8),1.01 (0.61–1.58),1.01,0.82,1.02
Ercilla,9204,La Araucanía,12,11.9,"50,587",23.7 (12.3–41.4),1.01 (0.52–1.77),1.01,0.74,1.08
Cochrane,11301,Aysén,5,4.9,"22,239",22.5 (7.3–52.5),1.01 (0.33–2.36),1.01,0.55,1.13
Quirihue,16201,Ñuble,14,14.0,"73,262",19.1 (10.4–32.1),1.00 (0.55–1.68),1.00,0.77,1.06
Saavedra,9116,La Araucanía,16,16.0,"76,449",20.9 (12.0–34.0),1.00 (0.57–1.62),1.00,0.80,0.97
Puerto Montt,10101,Los Lagos,373,374.3,"1,642,499",22.7 (20.5–25.1),1.00 (0.90–1.10),1.00,0.99,1.12
Yerbas Buenas,7408,Maule,25,25.2,"116,544",21.5 (13.9–31.7),0.99 (0.64–1.47),0.99,0.86,1.13
Antuco,8302,Biobío,5,5.1,"25,873",19.3 (6.3–45.1),0.99 (0.32–2.30),0.99,0.55,1.05
Santa Juana,8109,Biobío,18,18.3,"88,927",20.2 (12.0–32.0),0.98 (0.58–1.55),0.99,0.82,1.11
Cabo de Hornos,12201,Magallanes,<5,3.1,"11,861",25.3 (5.2–73.9),0.96 (0.20–2.81),0.98,0.43,1.14
San Bernardo,13401,Metropolitana,484,493.1,"2,039,634",23.7 (21.7–25.9),0.98 (0.90–1.07),0.98,0.99,1.16
Río Verde,12103,Magallanes,0,0.1,"1,255",0.0 (0.0–293.9),0.00 (0.00–46.50),0.98,0.02,0.95
Romeral,7306,Maule,20,20.6,"98,710",20.3 (12.4–31.3),0.97 (0.59–1.50),0.98,0.83,0.88
Curaco de Vélez,10204,Los Lagos,5,5.2,"24,552",20.4 (6.6–47.5),0.95 (0.31–2.22),0.97,0.56,1.07
Perquenco,9113,La Araucanía,9,9.4,"43,445",20.7 (9.5–39.3),0.95 (0.44–1.81),0.97,0.70,0.86
San Antonio,5601,Valparaíso,120,125.1,"584,536",20.5 (17.0–24.5),0.96 (0.80–1.15),0.96,0.97,1.05
Timaukel,12303,Magallanes,0,0.2,"1,679",0.0 (0.0–219.7),0.00 (0.00–16.44),0.95,0.05,0.93
Pemuco,16105,Ñuble,10,10.8,"51,709",19.3 (9.3–35.6),0.93 (0.44–1.71),0.95,0.72,0.99
Puerto Octay,10302,Los Lagos,10,10.8,"54,835",18.2 (8.7–33.5),0.92 (0.44–1.70),0.94,0.73,1.02
Laguna Blanca,12102,Magallanes,0,0.2,"1,546",0.0 (0.0–238.6),0.00 (0.00–14.96),0.94,0.06,0.94
Pozo Almonte,1401,Tarapacá,27,29.0,"107,268",25.2 (16.6–36.6),0.93 (0.61–1.35),0.94,0.88,1.03
Contulmo,8204,Biobío,7,7.7,"38,035",18.4 (7.4–37.9),0.91 (0.36–1.87),0.94,0.65,0.84
Villa Alemana,5804,Valparaíso,172,186.0,"853,993",20.1 (17.2–23.4),0.92 (0.79–1.07),0.93,0.98,0.92
Ollagüe,2202,Antofagasta,0,0.3,"1,676",0.0 (0.0–220.1),0.00 (0.00–11.29),0.93,0.07,0.93
Arauco,8202,Biobío,47,51.1,"232,658",20.2 (14.8–26.9),0.92 (0.68–1.22),0.93,0.93,1.02
Peralillo,6307,O'Higgins,12,13.4,"71,820",16.7 (8.6–29.2),0.90 (0.46–1.57),0.92,0.77,0.89
Marchihue,6204,O'Higgins,7,8.1,"45,962",15.2 (6.1–31.4),0.87 (0.35–1.79),0.91,0.66,0.91
Buin,13402,Metropolitana,146,160.4,"676,603",21.6 (18.2–25.4),0.91 (0.77–1.07),0.91,0.98,1.06
Santa Cruz,6310,O'Higgins,46,50.9,"249,882",18.4 (13.5–24.6),0.90 (0.66–1.20),0.91,0.93,0.88
Quintero,5107,Valparaíso,44,48.8,"222,391",19.8 (14.4–26.6),0.90 (0.65–1.21),0.91,0.92,1.00
San Ignacio,16108,Ñuble,17,19.2,"99,690",17.1 (9.9–27.3),0.88 (0.52–1.42),0.91,0.82,0.88
Lonquimay,9205,La Araucanía,13,14.8,"66,432",19.6 (10.4–33.5),0.88 (0.47–1.50),0.90,0.78,0.70
Pinto,16106,Ñuble,12,13.8,"71,954",16.7 (8.6–29.1),0.87 (0.45–1.52),0.90,0.77,0.95
Estación Central,13106,Metropolitana,217,241.3,"1,267,150",17.1 (14.9–19.6),0.90 (0.78–1.03),0.90,0.98,0.65
Paine,13404,Metropolitana,103,118.4,"508,991",20.2 (16.5–24.5),0.87 (0.71–1.05),0.87,0.97,1.03
La Cisterna,13109,Metropolitana,101,116.5,"604,441",16.7 (13.6–20.3),0.87 (0.71–1.05),0.87,0.97,0.84
Huasco,3304,Atacama,13,15.5,"68,310",19.0 (10.1–32.5),0.84 (0.45–1.43),0.87,0.79,0.87
Torres del Paine,12402,Magallanes,0,0.6,"6,264",0.0 (0.0–58.9),0.00 (0.00–5.96),0.87,0.13,0.79
Camiña,1402,Tarapacá,<5,1.8,"8,240",12.1 (0.3–67.6),0.56 (0.01–3.13),0.87,0.30,0.92
Primavera,12302,Magallanes,0,0.6,"4,116",0.0 (0.0–89.6),0.00 (0.00–5.83),0.87,0.13,0.85
Hualaihué,10403,Los Lagos,10,12.3,"57,285",17.5 (8.4–32.1),0.82 (0.39–1.50),0.86,0.75,0.99
Nogales,5506,Valparaíso,26,30.9,"141,265",18.4 (12.0–27.0),0.84 (0.55–1.23),0.86,0.88,0.69
Hijuelas,5503,Valparaíso,21,25.1,"115,403",18.2 (11.3–27.8),0.84 (0.52–1.28),0.86,0.86,0.98
Los Andes,5301,Valparaíso,75,88.3,"410,406",18.3 (14.4–22.9),0.85 (0.67–1.06),0.86,0.96,0.94
Cisnes,11202,Aysén,6,7.7,"35,068",17.1 (6.3–37.2),0.78 (0.29–1.69),0.85,0.65,0.98
Los Sauces,9206,La Araucanía,7,8.9,"44,993",15.6 (6.3–32.1),0.78 (0.31–1.61),0.85,0.69,0.84
Alto Hospicio,1107,Tarapacá,206,243.0,"809,073",25.5 (22.1–29.2),0.85 (0.74–0.97),0.85,0.98,1.21
Cabildo,5402,Valparaíso,23,27.8,"124,172",18.5 (11.7–27.8),0.83 (0.52–1.24),0.85,0.87,0.85
Retiro,7405,Maule,21,25.6,"127,366",16.5 (10.2–25.2),0.82 (0.51–1.25),0.85,0.86,0.94
Rancagua,6101,O'Higgins,298,354.3,"1,611,841",18.5 (16.4–20.7),0.84 (0.75–0.94),0.84,0.99,0.91
Tortel,11303,Aysén,0,0.8,"3,461",0.0 (0.0–106.6),0.00 (0.00–4.80),0.84,0.16,0.87
General Lagos,15202,Arica y Parinacota,0,0.8,"4,837",0.0 (0.0–76.3),0.00 (0.00–4.79),0.84,0.16,0.83
Navidad,6205,O'Higgins,5,6.7,"41,933",11.9 (3.9–27.8),0.74 (0.24–1.73),0.84,0.62,0.70
Cabrero,8303,Biobío,32,39.0,"185,193",17.3 (11.8–24.4),0.82 (0.56–1.16),0.84,0.90,0.84
Curacautín,9203,La Araucanía,18,22.3,"109,139",16.5 (9.8–26.1),0.81 (0.48–1.27),0.84,0.84,0.90
Punitaqui,4304,Coquimbo,13,16.4,"73,767",17.6 (9.4–30.1),0.79 (0.42–1.35),0.83,0.80,0.99
Molina,7304,Maule,54,65.8,"303,932",17.8 (13.3–23.2),0.82 (0.62–1.07),0.83,0.94,0.86
San Pablo,10307,Los Lagos,9,11.7,"63,284",14.2 (6.5–27.0),0.77 (0.35–1.45),0.83,0.74,0.86
Independencia,13108,Metropolitana,137,166.7,"874,999",15.7 (13.1–18.5),0.82 (0.69–0.97),0.83,0.98,0.68
Purranque,10303,Los Lagos,20,25.3,"126,215",15.8 (9.7–24.5),0.79 (0.48–1.22),0.82,0.86,0.76
Isla de Pascua,5201,Valparaíso,9,11.9,"51,011",17.6 (8.1–33.5),0.75 (0.34–1.43),0.82,0.74,0.69
Chimbarongo,6303,O'Higgins,38,47.5,"227,873",16.7 (11.8–22.9),0.80 (0.57–1.10),0.82,0.92,0.88
San Javier,7406,Maule,53,65.9,"301,225",17.6 (13.2–23.0),0.80 (0.60–1.05),0.82,0.94,0.90
Lago Verde,11102,Aysén,0,1.0,"5,504",0.0 (0.0–67.0),0.00 (0.00–3.87),0.81,0.19,0.81
Paredones,6206,O'Higgins,<5,5.9,"37,889",10.6 (2.9–27.0),0.67 (0.18–1.73),0.81,0.59,0.75
Pirque,13202,Metropolitana,33,42.0,"188,403",17.5 (12.1–24.6),0.79 (0.54–1.10),0.81,0.91,0.76
Puqueldón,10206,Los Lagos,<5,4.7,"25,173",11.9 (2.5–34.8),0.63 (0.13–1.85),0.80,0.54,0.72
Pencahue,7107,Maule,7,9.8,"51,659",13.6 (5.4–27.9),0.72 (0.29–1.48),0.80,0.70,0.84
San Clemente,7109,Maule,48,61.6,"281,564",17.0 (12.6–22.6),0.78 (0.57–1.03),0.79,0.94,0.85
San Pedro de Atacama,2203,Antofagasta,10,13.7,"63,899",15.6 (7.5–28.8),0.73 (0.35–1.34),0.79,0.77,0.84
Sierra Gorda,2103,Antofagasta,<5,2.3,"10,584",9.4 (0.2–52.6),0.43 (0.01–2.37),0.79,0.36,0.85
Pelarco,7106,Maule,8,11.2,"55,224",14.5 (6.3–28.5),0.71 (0.31–1.41),0.79,0.73,0.80
Cerrillos,13102,Metropolitana,91,116.8,"536,592",17.0 (13.7–20.8),0.78 (0.63–0.96),0.79,0.97,0.79
Hualañé,7302,Maule,8,11.4,"61,337",13.0 (5.6–25.7),0.70 (0.30–1.38),0.78,0.74,0.74
Loncoche,9109,La Araucanía,24,31.9,"148,536",16.2 (10.4–24.0),0.75 (0.48–1.12),0.78,0.89,0.83
Casablanca,5102,Valparaíso,29,38.4,"178,094",16.3 (10.9–23.4),0.76 (0.51–1.09),0.78,0.90,0.81
Camarones,15102,Arica y Parinacota,0,1.2,"7,432",0.0 (0.0–49.6),0.00 (0.00–3.09),0.77,0.23,0.76
Calera,5502,Valparaíso,53,70.0,"322,191",16.4 (12.3–21.5),0.76 (0.57–0.99),0.77,0.94,0.83
Teno,7308,Maule,29,38.9,"187,415",15.5 (10.4–22.2),0.74 (0.50–1.07),0.77,0.90,0.59
Cartagena,5603,Valparaíso,24,32.5,"155,959",15.4 (9.9–22.9),0.74 (0.47–1.10),0.77,0.89,0.81
Cochamó,10103,Los Lagos,<5,3.8,"23,896",8.4 (1.0–30.2),0.52 (0.06–1.88),0.77,0.48,0.74
Olmué,5803,Valparaíso,17,23.4,"117,784",14.4 (8.4–23.1),0.73 (0.42–1.16),0.77,0.85,0.80
Talca,7101,Maule,231,302.9,"1,432,927",16.1 (14.1–18.3),0.76 (0.67–0.87),0.77,0.99,0.82
Natales,12401,Magallanes,21,28.8,"144,572",14.5 (9.0–22.2),0.73 (0.45–1.11),0.76,0.88,0.77
Juan Fernández,5104,Valparaíso,0,1.3,"6,361",0.0 (0.0–58.0),0.00 (0.00–2.76),0.75,0.25,0.79
Tierra Amarilla,3103,Atacama,15,21.3,"86,124",17.4 (9.7–28.7),0.70 (0.39–1.16),0.75,0.84,0.83
Melipilla,13501,Metropolitana,143,192.9,"865,941",16.5 (13.9–19.5),0.74 (0.62–0.87),0.75,0.98,0.77
Monte Patria,4303,Coquimbo,31,43.1,"195,453",15.9 (10.8–22.5),0.72 (0.49–1.02),0.74,0.91,0.85
San Miguel,13130,Metropolitana,112,152.3,"823,684",13.6 (11.2–16.4),0.74 (0.61–0.89),0.74,0.97,0.65
Alto del Carmen,3302,Atacama,<5,6.8,"34,483",11.6 (3.2–29.7),0.59 (0.16–1.50),0.74,0.62,0.70
Talagante,13601,Metropolitana,84,114.9,"499,225",16.8 (13.4–20.8),0.73 (0.58–0.90),0.74,0.97,0.84
Quinchao,10210,Los Lagos,6,9.6,"49,529",12.1 (4.4–26.4),0.63 (0.23–1.36),0.74,0.70,0.71
La Pintana,13112,Metropolitana,203,276.4,"1,134,989",17.9 (15.5–20.5),0.73 (0.64–0.84),0.74,0.99,0.93
Llanquihue,10107,Los Lagos,16,23.1,"112,269",14.3 (8.1–23.1),0.69 (0.40–1.12),0.74,0.85,0.79
Puchuncaví,5105,Valparaíso,18,25.9,"123,004",14.6 (8.7–23.1),0.70 (0.41–1.10),0.74,0.86,0.77
San Rafael,7110,Maule,9,13.7,"60,744",14.8 (6.8–28.1),0.66 (0.30–1.25),0.74,0.77,0.88
Los Álamos,8206,Biobío,23,32.7,"136,109",16.9 (10.7–25.4),0.70 (0.45–1.05),0.74,0.89,0.82
El Tabo,5605,Valparaíso,10,15.2,"87,969",11.4 (5.5–20.9),0.66 (0.32–1.21),0.73,0.79,0.66
Freire,9105,La Araucanía,22,31.6,"152,767",14.4 (9.0–21.8),0.70 (0.44–1.05),0.73,0.88,0.52
Constitución,7102,Maule,49,68.6,"302,769",16.2 (12.0–21.4),0.71 (0.53–0.94),0.73,0.94,0.78
Palmilla,6306,O'Higgins,10,15.3,"80,443",12.4 (6.0–22.9),0.65 (0.31–1.20),0.73,0.79,0.71
El Monte,13602,Metropolitana,41,57.9,"245,053",16.7 (12.0–22.7),0.71 (0.51–0.96),0.73,0.93,0.86
San Felipe,5701,Valparaíso,82,114.4,"508,421",16.1 (12.8–20.0),0.72 (0.57–0.89),0.73,0.97,0.85
Lago Ranco,14203,Los Ríos,8,12.6,"61,706",13.0 (5.6–25.5),0.64 (0.27–1.25),0.73,0.75,0.74
Copiapó,3101,Atacama,182,252.6,"1,040,196",17.5 (15.0–20.2),0.72 (0.62–0.83),0.72,0.98,0.74
Vilcún,9119,La Araucanía,31,44.4,"189,002",16.4 (11.1–23.3),0.70 (0.47–0.99),0.72,0.92,0.84
Calbuco,10102,Los Lagos,33,47.2,"222,459",14.8 (10.2–20.8),0.70 (0.48–0.98),0.72,0.92,0.83
Santo Domingo,5606,Valparaíso,10,15.4,"73,123",13.7 (6.6–25.1),0.65 (0.31–1.19),0.72,0.79,0.76
Andacollo,4103,Coquimbo,10,15.5,"70,836",14.1 (6.8–26.0),0.65 (0.31–1.19),0.72,0.79,0.85
Pucón,9115,La Araucanía,28,40.7,"180,813",15.5 (10.3–22.4),0.69 (0.46–0.99),0.72,0.91,0.77
Padre Las Casas,9112,La Araucanía,85,120.5,"500,046",17.0 (13.6–21.0),0.71 (0.56–0.87),0.71,0.97,0.77
Gorbea,9107,La Araucanía,11,17.1,"90,721",12.1 (6.1–21.7),0.64 (0.32–1.15),0.71,0.81,0.75
Pumanque,6309,O'Higgins,<5,3.1,"21,159",4.7 (0.1–26.3),0.32 (0.01–1.79),0.71,0.43,0.65
Dalcahue,10205,Los Lagos,13,20.1,"91,290",14.2 (7.6–24.4),0.65 (0.34–1.10),0.71,0.83,0.74
