Comuna,CUT,Region,Observed episodes,Expected,Person-years,"Rate per 100,000 population",Crude standardised ratio,Empirical-Bayes smoothed standardised ratio,Shrinkage weight of the smoother,GRD persons (smoothed ratio)
San Carlos,16301,Ñuble,200,69.2,"339,335",58.9 (51.1–67.7),2.89 (2.50–3.32),2.78,0.94,2.67
Chillán,16101,Ñuble,674,255.8,"1,204,065",56.0 (51.8–60.4),2.63 (2.44–2.84),2.61,0.98,2.60
San Nicolás,16305,Ñuble,38,14.4,"73,741",51.5 (36.5–70.7),2.64 (1.87–3.63),2.28,0.78,1.97
Talcahuano,8110,Biobío,425,191.5,"949,569",44.8 (40.6–49.2),2.22 (2.01–2.44),2.19,0.98,2.14
Hualpén,8112,Biobío,265,118.6,"585,392",45.3 (40.0–51.1),2.23 (1.97–2.52),2.19,0.97,2.03
Frutillar,10105,Los Lagos,57,26.1,"122,674",46.5 (35.2–60.2),2.19 (1.66–2.83),2.03,0.86,1.20
Angol,9201,La Araucanía,152,74.3,"338,025",45.0 (38.1–52.7),2.04 (1.73–2.40),1.99,0.95,2.21
Lota,8106,Biobío,113,56.0,"273,690",41.3 (34.0–49.6),2.02 (1.66–2.43),1.95,0.93,1.85
Linares,7401,Maule,263,134.1,"612,926",42.9 (37.9–48.4),1.96 (1.73–2.21),1.93,0.97,1.83
Punta Arenas,12101,Magallanes,341,175.7,"860,088",39.6 (35.6–44.1),1.94 (1.74–2.16),1.92,0.98,1.69
Victoria,9211,La Araucanía,86,44.2,"212,998",40.4 (32.3–49.9),1.95 (1.56–2.40),1.87,0.91,1.48
Tomé,8111,Biobío,133,70.6,"353,315",37.6 (31.5–44.6),1.89 (1.58–2.23),1.84,0.95,1.63
Colbún,7402,Maule,57,29.6,"137,440",41.5 (31.4–53.7),1.93 (1.46–2.49),1.81,0.88,1.81
Penco,8107,Biobío,116,62.6,"299,909",38.7 (32.0–46.4),1.85 (1.53–2.22),1.80,0.94,1.73
Coronel,8102,Biobío,316,174.1,"762,024",41.5 (37.0–46.3),1.82 (1.62–2.03),1.80,0.98,1.89
Los Ángeles,8301,Biobío,535,298.2,"1,322,945",40.4 (37.1–44.0),1.79 (1.65–1.95),1.78,0.99,1.89
Freirina,3303,Atacama,22,10.8,"46,438",47.4 (29.7–71.7),2.04 (1.28–3.09),1.75,0.72,0.98
Coquimbo,4102,Coquimbo,632,369.5,"1,582,734",39.9 (36.9–43.2),1.71 (1.58–1.85),1.70,0.99,1.81
Arica,15101,Arica y Parinacota,594,351.4,"1,506,340",39.4 (36.3–42.7),1.69 (1.56–1.83),1.68,0.99,1.72
Osorno,10301,Los Lagos,367,220.0,"1,046,987",35.1 (31.6–38.8),1.67 (1.50–1.85),1.66,0.98,1.65
