Series,Panel,Activity,Code position,2019,2020,2021,2022,2023,2024
F84 family excluding Rett syndrome,Fixed panel of 65 hospitals,All activities,Secondary only,"2,106; 182.9 (175.2–190.9)","1,452; 185.7 (176.3–195.5)","2,181; 267.0 (255.9–278.4)","3,564; 382.1 (369.6–394.8)","6,013; 586.6 (571.9–601.6)","8,099; 772.3 (755.6–789.3)"
F84 family excluding Rett syndrome,Fixed panel of 65 hospitals,All activities,Principal and secondary,6; 0.5 (0.2–1.1),6; 0.8 (0.3–1.7),3; 0.4 (0.1–1.1),8; 0.9 (0.4–1.7),7; 0.7 (0.3–1.4),15; 1.4 (0.8–2.4)
F84 family excluding Rett syndrome,Fixed panel of 65 hospitals,Strict hospitalisation,Any position,"1,911; 215.5 (206.0–225.4)","1,526; 217.3 (206.5–228.5)","2,187; 306.3 (293.6–319.4)","3,509; 451.0 (436.2–466.2)","5,747; 687.3 (669.6–705.3)","7,424; 876.5 (856.7–896.7)"
F84 family excluding Rett syndrome,Fixed panel of 65 hospitals,Strict hospitalisation,F84 principal,203; 22.9 (19.9–26.3),155; 22.1 (18.7–25.8),186; 26.1 (22.4–30.1),295; 37.9 (33.7–42.5),358; 42.8 (38.5–47.5),381; 45.0 (40.6–49.7)
F84 family excluding Rett syndrome,Fixed panel of 65 hospitals,Strict hospitalisation,Secondary only,"1,708; 192.6 (183.6–202.0)","1,371; 195.2 (185.0–205.8)","2,001; 280.3 (268.1–292.8)","3,214; 413.1 (398.9–427.6)","5,389; 644.5 (627.4–661.9)","7,043; 831.6 (812.3–851.2)"
F84 family excluding Rett syndrome,Fixed panel of 65 hospitals,Strict hospitalisation,Principal and secondary,6; 0.7 (0.2–1.5),6; 0.9 (0.3–1.9),3; 0.4 (0.1–1.2),8; 1.0 (0.4–2.0),7; 0.8 (0.3–1.7),15; 1.8 (1.0–2.9)
F84 family excluding Rett syndrome,Fixed panel of 65 hospitals,Major ambulatory surgery,Any position,168; 114.3 (97.7–133.0),83; 104.2 (83.0–129.2),180; 174.9 (150.3–202.4),350; 226.1 (203.1–251.1),624; 330.4 (305.0–357.4),"1,056; 523.4 (492.3–556.0)"
F84 family excluding Rett syndrome,Fixed panel of 65 hospitals,Major ambulatory surgery,F84 principal,1; 0.7 (0.0–3.8),2; 2.5 (0.3–9.1),0; 0.0 (0.0–3.6),0; 0.0 (0.0–2.4),0; 0.0 (0.0–2.0),0; 0.0 (0.0–1.8)
F84 family excluding Rett syndrome,Fixed panel of 65 hospitals,Major ambulatory surgery,Secondary only,167; 113.6 (97.1–132.2),81; 101.7 (80.8–126.4),180; 174.9 (150.3–202.4),350; 226.1 (203.1–251.1),624; 330.4 (305.0–357.4),"1,056; 523.4 (492.3–556.0)"
F84 family excluding Rett syndrome,Fixed panel of 65 hospitals,Major ambulatory surgery,Principal and secondary,0; 0.0 (0.0–2.5),0; 0.0 (0.0–4.6),0; 0.0 (0.0–3.6),0; 0.0 (0.0–2.4),0; 0.0 (0.0–2.0),0; 0.0 (0.0–1.8)
F84 family excluding Rett syndrome,Fixed panel of 65 hospitals,Other modalities (2019 only),Any position,255; 216.3 (190.6–244.5),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e)
F84 family excluding Rett syndrome,Fixed panel of 65 hospitals,Other modalities (2019 only),F84 principal,24; 20.4 (13.0–30.3),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e)
F84 family excluding Rett syndrome,Fixed panel of 65 hospitals,Other modalities (2019 only),Secondary only,231; 195.9 (171.5–222.9),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e)
F84 family excluding Rett syndrome,Fixed panel of 65 hospitals,Other modalities (2019 only),Principal and secondary,0; 0.0 (0.0–3.1),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e)
Strict autism F84.0 (pre-specified series),"Observed annual panel (65, 65, 65, 65, 68 and 72)",All activities,Any position,"1,400; 121.6 (115.3–128.1)","1,084; 138.6 (130.5–147.1)","1,848; 226.2 (216.0–236.8)","3,061; 328.1 (316.6–340.0)","5,325; 512.2 (498.6–526.2)","7,230; 665.9 (650.6–681.4)"
Strict autism F84.0 (pre-specified series),"Observed annual panel (65, 65, 65, 65, 68 and 72)",All activities,F84 principal,150; 13.0 (11.0–15.3),114; 14.6 (12.0–17.5),139; 17.0 (14.3–20.1),202; 21.7 (18.8–24.9),253; 24.3 (21.4–27.5),280; 25.8 (22.9–29.0)
Strict autism F84.0 (pre-specified series),"Observed annual panel (65, 65, 65, 65, 68 and 72)",All activities,Secondary only,"1,250; 108.6 (102.6–114.7)",970; 124.1 (116.4–132.1),"1,709; 209.2 (199.4–219.4)","2,859; 306.5 (295.4–317.9)","5,072; 487.9 (474.6–501.5)","6,950; 640.1 (625.1–655.3)"
Strict autism F84.0 (pre-specified series),"Observed annual panel (65, 65, 65, 65, 68 and 72)",All activities,Principal and secondary,0; 0.0 (0.0–0.3),0; 0.0 (0.0–0.5),0; 0.0 (0.0–0.5),0; 0.0 (0.0–0.4),0; 0.0 (0.0–0.4),0; 0.0 (0.0–0.3)
Strict autism F84.0 (pre-specified series),"Observed annual panel (65, 65, 65, 65, 68 and 72)",Strict hospitalisation,Any position,"1,111; 125.3 (118.0–132.9)","1,025; 146.0 (137.2–155.2)","1,698; 237.8 (226.6–249.4)","2,759; 354.6 (341.5–368.1)","4,744; 560.7 (544.9–576.9)","6,213; 711.1 (693.5–729.0)"
Strict autism F84.0 (pre-specified series),"Observed annual panel (65, 65, 65, 65, 68 and 72)",Strict hospitalisation,F84 principal,133; 15.0 (12.6–17.8),112; 15.9 (13.1–19.2),139; 19.5 (16.4–23.0),202; 26.0 (22.5–29.8),253; 29.9 (26.3–33.8),280; 32.0 (28.4–36.0)
Strict autism F84.0 (pre-specified series),"Observed annual panel (65, 65, 65, 65, 68 and 72)",Strict hospitalisation,Secondary only,978; 110.3 (103.5–117.4),913; 130.0 (121.7–138.7),"1,559; 218.4 (207.6–229.5)","2,557; 328.6 (316.0–341.6)","4,491; 530.8 (515.4–546.6)","5,933; 679.0 (661.8–696.5)"
Strict autism F84.0 (pre-specified series),"Observed annual panel (65, 65, 65, 65, 68 and 72)",Strict hospitalisation,Principal and secondary,0; 0.0 (0.0–0.4),0; 0.0 (0.0–0.5),0; 0.0 (0.0–0.5),0; 0.0 (0.0–0.5),0; 0.0 (0.0–0.4),0; 0.0 (0.0–0.4)
Strict autism F84.0 (pre-specified series),"Observed annual panel (65, 65, 65, 65, 68 and 72)",Major ambulatory surgery,Any position,102; 69.4 (56.6–84.3),59; 74.1 (56.4–95.6),150; 145.7 (123.3–171.0),302; 195.1 (173.7–218.4),581; 300.2 (276.3–325.6),"1,017; 479.6 (450.6–510.0)"
Strict autism F84.0 (pre-specified series),"Observed annual panel (65, 65, 65, 65, 68 and 72)",Major ambulatory surgery,F84 principal,1; 0.7 (0.0–3.8),2; 2.5 (0.3–9.1),0; 0.0 (0.0–3.6),0; 0.0 (0.0–2.4),0; 0.0 (0.0–1.9),0; 0.0 (0.0–1.7)
Strict autism F84.0 (pre-specified series),"Observed annual panel (65, 65, 65, 65, 68 and 72)",Major ambulatory surgery,Secondary only,101; 68.7 (56.0–83.5),57; 71.6 (54.2–92.7),150; 145.7 (123.3–171.0),302; 195.1 (173.7–218.4),581; 300.2 (276.3–325.6),"1,017; 479.6 (450.6–510.0)"
Strict autism F84.0 (pre-specified series),"Observed annual panel (65, 65, 65, 65, 68 and 72)",Major ambulatory surgery,Principal and secondary,0; 0.0 (0.0–2.5),0; 0.0 (0.0–4.6),0; 0.0 (0.0–3.6),0; 0.0 (0.0–2.4),0; 0.0 (0.0–1.9),0; 0.0 (0.0–1.7)
Strict autism F84.0 (pre-specified series),"Observed annual panel (65, 65, 65, 65, 68 and 72)",Other modalities (2019 only),Any position,187; 158.6 (136.7–183.0),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e)
Strict autism F84.0 (pre-specified series),"Observed annual panel (65, 65, 65, 65, 68 and 72)",Other modalities (2019 only),F84 principal,16; 13.6 (7.8–22.0),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e)
