Block,Indicator,2019,2020,2021,2022,2023,2024
"WHO age group (hospitalisation, any position)",Documented F84 · 60–64,2; 8 (8–9); 8.5,2; 16 (11–21); 16.0,3; 6 (3–13); 8.7,4; 11 (8–21); 17.2,11; 6 (1–16); 12.6,10; 10 (4–17); 13.0
"WHO age group (hospitalisation, any position)",Documented F84 · 65–69,1; 8 (8–8); 8.0,1; 5 (5–5); 5.0,3; 13 (8–20); 14.3,4; 2 (2–4); 2.8,2; 8 (6–9); 7.5,8; 2 (2–4); 6.4
"WHO age group (hospitalisation, any position)",Documented F84 · 70–74,1; 2 (2–2); 2.0,2; 12 (11–13); 12.0,3; 7 (4–20); 14.3,4; 4 (3–5); 4.5,3; 8 (5–10); 7.0,4; 8 (4–11); 7.0
"WHO age group (hospitalisation, any position)",Documented F84 · 75–79,n/e,n/e,2; 6 (5–8); 6.5,4; 11 (8–15); 11.5,2; 5 (5–5); 5.0,3; 10 (6–11); 8.0
"WHO age group (hospitalisation, any position)",Documented F84 · 80+,1; 37 (37–37); 37.0,1; 2 (2–2); 2.0,3; 9 (6–9); 7.3,n/e,3; 11 (8–16); 11.7,7; 11 (4–14); 31.9
"WHO age group (hospitalisation, any position)",Documented F84 · Age not reported,n/e,n/e,n/e,n/e,n/e,n/e
"WHO age group (hospitalisation, any position)",All GRD episodes · 0–4,"99,669; 3 (2–6); 7.1","58,134; 3 (2–7); 8.8","58,495; 3 (2–7); 9.1","78,733; 3 (2–7); 8.2","88,486; 4 (2–7); 7.7","76,627; 3 (2–7); 7.8"
"WHO age group (hospitalisation, any position)",All GRD episodes · 5–9,"30,357; 2 (1–4); 3.6","19,142; 2 (1–4); 3.9","19,509; 2 (1–4); 4.1","23,215; 2 (1–5); 3.9","26,250; 2 (1–5); 4.0","28,189; 2 (1–5); 4.1"
"WHO age group (hospitalisation, any position)",All GRD episodes · 10–14,"29,226; 2 (1–5); 4.8","20,586; 3 (1–6); 5.4","22,555; 3 (1–6); 5.6","25,827; 2 (1–6); 5.5","27,799; 2 (1–6); 5.6","31,463; 3 (1–6); 5.6"
"WHO age group (hospitalisation, any position)",All GRD episodes · 15–19,"33,674; 3 (2–5); 5.3","26,055; 3 (2–5); 5.4","24,411; 3 (2–6); 6.1","27,051; 3 (2–6); 6.2","29,378; 3 (1–6); 6.1","30,152; 3 (1–6); 6.2"
"WHO age group (hospitalisation, any position)",All GRD episodes · 20–24,"63,084; 3 (2–4); 4.3","51,426; 3 (2–4); 4.3","46,720; 3 (2–4); 4.7","49,973; 3 (2–4); 4.6","50,522; 3 (2–4); 4.7","48,527; 3 (2–4); 4.8"
"WHO age group (hospitalisation, any position)",All GRD episodes · 25–29,"76,406; 3 (2–4); 4.2","63,770; 3 (2–4); 4.3","60,547; 3 (2–4); 4.6","65,580; 2 (2–4); 4.5","65,889; 3 (2–4); 4.4","64,075; 3 (2–4); 4.5"
"WHO age group (hospitalisation, any position)",All GRD episodes · 30–34,"69,044; 3 (2–4); 4.4","59,457; 3 (2–4); 4.6","60,148; 3 (2–5); 5.0","65,206; 3 (2–4); 4.7","67,759; 3 (2–4); 4.6","67,817; 3 (2–4); 4.6"
"WHO age group (hospitalisation, any position)",All GRD episodes · 35–39,"54,629; 3 (2–5); 4.8","46,011; 3 (2–5); 5.3","47,514; 3 (2–6); 5.7","49,630; 3 (2–5); 5.2","53,212; 3 (2–5); 5.1","54,948; 3 (2–5); 5.1"
"WHO age group (hospitalisation, any position)",All GRD episodes · 40–44,"39,150; 3 (1–6); 5.7","32,466; 3 (2–7); 6.5","35,231; 3 (2–7); 6.9","35,739; 3 (2–6); 6.2","39,849; 3 (2–6); 6.1","40,833; 3 (1–6); 6.1"
"WHO age group (hospitalisation, any position)",All GRD episodes · 45–49,"38,049; 3 (2–7); 6.8","31,252; 4 (2–8); 7.7","34,381; 4 (2–9); 8.4","32,606; 3 (2–8); 7.6","35,066; 3 (2–7); 7.1","36,861; 3 (2–7); 7.1"
"WHO age group (hospitalisation, any position)",All GRD episodes · 50–54,"42,676; 4 (2–8); 7.6","35,194; 5 (2–10); 8.8","37,403; 5 (2–11); 9.4","35,653; 4 (2–9); 8.7","38,790; 4 (2–9); 8.0","41,288; 4 (2–8); 7.8"
"WHO age group (hospitalisation, any position)",All GRD episodes · 55–59,"49,134; 4 (2–9); 8.2","42,419; 5 (2–11); 9.3","45,445; 5 (2–12); 10.1","43,932; 5 (2–10); 9.1","47,787; 4 (2–10); 8.7","50,367; 4 (2–9); 8.4"
"WHO age group (hospitalisation, any position)",All GRD episodes · 60–64,"52,355; 5 (2–10); 8.8","44,396; 5 (2–11); 9.8","47,056; 6 (2–12); 10.3","49,300; 5 (2–11); 9.6","55,349; 5 (2–10); 9.1","59,885; 4 (2–10); 8.9"
"WHO age group (hospitalisation, any position)",All GRD episodes · 65–69,"52,144; 5 (2–10); 9.2","43,080; 6 (2–12); 10.0","45,635; 6 (3–13); 10.8","49,704; 5 (2–11); 10.0","57,112; 5 (2–10); 9.2","61,588; 5 (2–10); 9.0"
"WHO age group (hospitalisation, any position)",All GRD episodes · 70–74,"50,304; 5 (2–11); 9.4","40,985; 6 (3–12); 10.1","41,480; 6 (3–13); 10.6","45,734; 6 (2–12); 10.0","51,918; 5 (2–11); 9.5","56,957; 5 (2–10); 9.1"
"WHO age group (hospitalisation, any position)",All GRD episodes · 75–79,"43,395; 6 (3–12); 9.7","35,509; 6 (3–12); 10.1","36,184; 7 (3–13); 10.6","40,933; 6 (3–12); 10.5","45,848; 5 (2–11); 9.5","50,649; 5 (2–11); 9.2"
"WHO age group (hospitalisation, any position)",All GRD episodes · 80+,"63,324; 6 (3–12); 9.7","52,380; 6 (3–12); 9.4","51,260; 7 (3–12); 9.8","59,251; 6 (3–12); 9.9","65,023; 6 (3–11); 9.2","73,493; 6 (3–11); 8.8"
"WHO age group (hospitalisation, any position)",All GRD episodes · Age not reported,5; 9 (1–13); 9.0,8; 7 (3–20); 23.0,4; 5 (4–5); 4.0,4; 2 (1–8); 6.5,6; 6 (2–14); 9.5,1; 0 (0–0); 0.0
