Indicator,2019,2020,2021,2022,2023,2024
30 days — any cause,"352/2,330; 15.1 (13.7–16.6)","231/1,459; 15.8 (14.0–17.8)","322/2,367; 13.6 (12.3–15.0)","472/3,856; 12.2 (11.2–13.3)","876/6,421; 13.6 (12.8–14.5)","1,008/7,957; 12.7 (12.0–13.4)"
30 days — with F84,"241/2,330; 10.3 (9.2–11.6)","172/1,459; 11.8 (10.2–13.5)","247/2,367; 10.4 (9.3–11.7)","377/3,856; 9.8 (8.9–10.8)","722/6,421; 11.2 (10.5–12.0)","818/7,957; 10.3 (9.6–11.0)"
90 days — any cause,"510/2,330; 21.9 (20.3–23.6)","260/1,172; 22.2 (19.9–24.7)","482/2,367; 20.4 (18.8–22.0)","717/3,856; 18.6 (17.4–19.9)","1,313/6,421; 20.4 (19.5–21.5)","1,229/6,282; 19.6 (18.6–20.6)"
90 days — with F84,"343/2,330; 14.7 (13.3–16.2)","197/1,172; 16.8 (14.8–19.1)","378/2,367; 16.0 (14.5–17.5)","563/3,856; 14.6 (13.5–15.8)","1,071/6,421; 16.7 (15.8–17.6)","989/6,282; 15.7 (14.9–16.7)"
365 days — any cause,"734/2,330; 31.5 (29.6–33.4)",0/1; n/e,"766/2,367; 32.4 (30.5–34.3)","1,193/3,856; 30.9 (29.5–32.4)","2,080/6,421; 32.4 (31.3–33.5)",1/2; n/e
365 days — with F84,"498/2,330; 21.4 (19.8–23.1)",0/1; n/e,"588/2,367; 24.8 (23.1–26.6)","951/3,856; 24.7 (23.3–26.0)","1,697/6,421; 26.4 (25.4–27.5)",0/2; n/e
Episodes per identifier within the era — 2019–2020,"1: 2,637 (85.0%); 2: 316 (10.2%); 3: 77 (2.5%); 4–5: 48 (1.5%); 6+: 25 (0.8%)",n/e,n/e,n/e,n/e,n/e
Episodes per identifier within the era — 2021–2024,"1: 12,680 (80.9%); 2: 1,959 (12.5%); 3: 541 (3.5%); 4–5: 301 (1.9%); 6+: 189 (1.2%)",n/e,n/e,n/e,n/e,n/e
Persons within year,"1,944","1,319","1,954","3,231","5,232","7,169"
Episodes per person,1.20,1.22,1.21,1.19,1.23,1.22
