Flow,Category,Code,Sex,Age group,2019,2020,2021,2022,2023,2024,2025
Entries,Childhood disintegrative disorder,05990025,Females,40–44,n/e,n/e,2 (38),0 (24),1 (40),0 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Females,45–49,n/e,n/e,3 (38),5 (24),1 (40),0 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Females,50–54,n/e,n/e,5 (38),1 (24),1 (40),1 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Females,55–59,n/e,n/e,3 (38),1 (24),0 (40),0 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Females,60–64,n/e,n/e,0 (38),2 (24),1 (40),1 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Females,65–69,n/e,n/e,2 (38),1 (24),0 (40),0 (27),1 (21)
Entries,Childhood disintegrative disorder,05990025,Females,70–74,n/e,n/e,2 (38),1 (24),0 (40),0 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Females,75–79,n/e,n/e,0 (38),0 (24),0 (40),0 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Females,80+,n/e,n/e,0 (38),0 (24),0 (40),0 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Females,Total,n/e,n/e,39 (38),28 (24),17 (40),20 (27),11 (21)
Entries,Other and unspecified PDD,05990026,Males,0–4,n/e,n/e,332 (424),312 (460),368 (473),194 (457),185 (368)
Entries,Other and unspecified PDD,05990026,Males,5–9,n/e,n/e,533 (424),497 (460),592 (473),459 (457),395 (368)
Entries,Other and unspecified PDD,05990026,Males,10–14,n/e,n/e,246 (424),345 (460),403 (473),365 (457),293 (368)
Entries,Other and unspecified PDD,05990026,Males,15–19,n/e,n/e,165 (424),166 (460),228 (473),222 (457),193 (368)
Entries,Other and unspecified PDD,05990026,Males,20–24,n/e,n/e,44 (424),46 (460),52 (473),41 (457),48 (368)
Entries,Other and unspecified PDD,05990026,Males,25–29,n/e,n/e,7 (424),11 (460),22 (473),37 (457),26 (368)
Entries,Other and unspecified PDD,05990026,Males,30–34,n/e,n/e,9 (424),16 (460),19 (473),15 (457),11 (368)
Entries,Other and unspecified PDD,05990026,Males,35–39,n/e,n/e,9 (424),3 (460),11 (473),14 (457),13 (368)
Entries,Other and unspecified PDD,05990026,Males,40–44,n/e,n/e,1 (424),3 (460),7 (473),5 (457),6 (368)
Entries,Other and unspecified PDD,05990026,Males,45–49,n/e,n/e,4 (424),4 (460),6 (473),2 (457),3 (368)
Entries,Other and unspecified PDD,05990026,Males,50–54,n/e,n/e,2 (424),1 (460),2 (473),1 (457),2 (368)
Entries,Other and unspecified PDD,05990026,Males,55–59,n/e,n/e,3 (424),3 (460),2 (473),0 (457),3 (368)
Entries,Other and unspecified PDD,05990026,Males,60–64,n/e,n/e,0 (424),1 (460),6 (473),1 (457),2 (368)
Entries,Other and unspecified PDD,05990026,Males,65–69,n/e,n/e,0 (424),2 (460),9 (473),0 (457),3 (368)
Entries,Other and unspecified PDD,05990026,Males,70–74,n/e,n/e,1 (424),1 (460),1 (473),0 (457),0 (368)
Entries,Other and unspecified PDD,05990026,Males,75–79,n/e,n/e,0 (424),2 (460),1 (473),1 (457),3 (368)
Entries,Other and unspecified PDD,05990026,Males,80+,n/e,n/e,0 (424),1 (460),0 (473),0 (457),0 (368)
Entries,Other and unspecified PDD,05990026,Males,Total,n/e,n/e,"1,356 (424)","1,414 (460)","1,729 (473)","1,357 (457)","1,186 (368)"
Entries,Other and unspecified PDD,05990026,Females,0–4,n/e,n/e,110 (424),127 (460),161 (473),75 (457),79 (368)
Entries,Other and unspecified PDD,05990026,Females,5–9,n/e,n/e,152 (424),180 (460),207 (473),182 (457),166 (368)
Entries,Other and unspecified PDD,05990026,Females,10–14,n/e,n/e,126 (424),184 (460),248 (473),205 (457),176 (368)
Entries,Other and unspecified PDD,05990026,Females,15–19,n/e,n/e,70 (424),126 (460),161 (473),127 (457),117 (368)
Entries,Other and unspecified PDD,05990026,Females,20–24,n/e,n/e,10 (424),20 (460),32 (473),30 (457),25 (368)
Entries,Other and unspecified PDD,05990026,Females,25–29,n/e,n/e,13 (424),16 (460),22 (473),20 (457),18 (368)
Entries,Other and unspecified PDD,05990026,Females,30–34,n/e,n/e,5 (424),6 (460),19 (473),17 (457),9 (368)
Entries,Other and unspecified PDD,05990026,Females,35–39,n/e,n/e,3 (424),9 (460),18 (473),20 (457),9 (368)
Entries,Other and unspecified PDD,05990026,Females,40–44,n/e,n/e,7 (424),8 (460),10 (473),5 (457),7 (368)
Entries,Other and unspecified PDD,05990026,Females,45–49,n/e,n/e,7 (424),4 (460),12 (473),4 (457),10 (368)
Entries,Other and unspecified PDD,05990026,Females,50–54,n/e,n/e,9 (424),5 (460),8 (473),4 (457),7 (368)
Entries,Other and unspecified PDD,05990026,Females,55–59,n/e,n/e,6 (424),7 (460),3 (473),7 (457),3 (368)
Entries,Other and unspecified PDD,05990026,Females,60–64,n/e,n/e,3 (424),4 (460),7 (473),4 (457),1 (368)
Entries,Other and unspecified PDD,05990026,Females,65–69,n/e,n/e,2 (424),1 (460),10 (473),2 (457),4 (368)
Entries,Other and unspecified PDD,05990026,Females,70–74,n/e,n/e,3 (424),3 (460),12 (473),1 (457),2 (368)
Entries,Other and unspecified PDD,05990026,Females,75–79,n/e,n/e,1 (424),1 (460),7 (473),1 (457),0 (368)
Entries,Other and unspecified PDD,05990026,Females,80+,n/e,n/e,1 (424),1 (460),3 (473),1 (457),2 (368)
Entries,Other and unspecified PDD,05990026,Females,Total,n/e,n/e,528 (424),702 (460),940 (473),705 (457),635 (368)
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Males,0–4,739 (651),405 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Males,5–9,"1,350 (651)",759 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Males,10–14,728 (651),399 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Males,15–19,367 (651),239 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Males,20–24,77 (651),60 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Males,25–29,38 (651),25 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Males,30–34,22 (651),19 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Males,35–39,6 (651),9 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Males,40–44,3 (651),7 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Males,45–49,4 (651),9 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Males,50–54,7 (651),6 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Males,55–59,6 (651),6 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Males,60–64,3 (651),4 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Males,65–69,1 (651),1 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Males,70–74,2 (651),1 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Males,75–79,1 (651),0 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Males,80+,1 (651),4 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Males,Total,"3,347 (651)","1,955 (492)",n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Females,0–4,277 (651),113 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Females,5–9,303 (651),201 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Females,10–14,208 (651),121 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Females,15–19,130 (651),84 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Females,20–24,32 (651),15 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Females,25–29,22 (651),13 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Females,30–34,19 (651),9 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Females,35–39,13 (651),8 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Females,40–44,16 (651),3 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Females,45–49,9 (651),13 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Females,50–54,12 (651),4 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Females,55–59,13 (651),9 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Females,60–64,6 (651),7 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Females,65–69,6 (651),2 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Females,70–74,5 (651),2 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Females,75–79,2 (651),1 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Females,80+,0 (651),2 (492),n/e,n/e,n/e,n/e,n/e
Entries,"Broad PDD (2019–2020 era, separate series)",06902600,Females,Total,"1,073 (651)",607 (492),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Males,0–4,130 (387),38 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Males,5–9,331 (387),167 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Males,10–14,209 (387),109 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Males,15–19,142 (387),89 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Males,20–24,23 (387),22 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Males,25–29,15 (387),11 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Males,30–34,4 (387),3 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Males,35–39,5 (387),3 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Males,40–44,6 (387),0 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Males,45–49,2 (387),1 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Males,50–54,1 (387),1 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Males,55–59,4 (387),2 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Males,60–64,0 (387),0 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Males,65–69,0 (387),0 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Males,70–74,1 (387),2 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Males,75–79,1 (387),0 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Males,80+,0 (387),0 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Males,Total,874 (387),448 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Females,0–4,48 (387),22 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Females,5–9,74 (387),29 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Females,10–14,67 (387),32 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Females,15–19,45 (387),32 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Females,20–24,17 (387),11 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Females,25–29,10 (387),13 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Females,30–34,7 (387),11 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Females,35–39,5 (387),11 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Females,40–44,14 (387),4 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Females,45–49,9 (387),7 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Females,50–54,12 (387),7 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Females,55–59,9 (387),7 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Females,60–64,4 (387),3 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Females,65–69,3 (387),2 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Females,70–74,1 (387),2 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Females,75–79,5 (387),1 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Females,80+,4 (387),4 (260),n/e,n/e,n/e,n/e,n/e
Exits,"Broad PDD (2019–2020 era, separate series)",05225000,Females,Total,334 (387),198 (260),n/e,n/e,n/e,n/e,n/e
Exits,Autism (single code),05990027,Males,0–4,n/e,n/e,48 (207),64 (307),128 (438),139 (625),139 (624)
Exits,Autism (single code),05990027,Males,5–9,n/e,n/e,133 (207),283 (307),599 (438),909 (625),873 (624)
Exits,Autism (single code),05990027,Males,10–14,n/e,n/e,91 (207),156 (307),325 (438),681 (625),661 (624)
Exits,Autism (single code),05990027,Males,15–19,n/e,n/e,84 (207),94 (307),221 (438),445 (625),491 (624)
Exits,Autism (single code),05990027,Males,20–24,n/e,n/e,17 (207),19 (307),43 (438),76 (625),102 (624)
Exits,Autism (single code),05990027,Males,25–29,n/e,n/e,3 (207),8 (307),14 (438),24 (625),38 (624)
Exits,Autism (single code),05990027,Males,30–34,n/e,n/e,3 (207),2 (307),8 (438),17 (625),15 (624)
Exits,Autism (single code),05990027,Males,35–39,n/e,n/e,0 (207),5 (307),1 (438),17 (625),6 (624)
Exits,Autism (single code),05990027,Males,40–44,n/e,n/e,1 (207),1 (307),0 (438),9 (625),4 (624)
Exits,Autism (single code),05990027,Males,45–49,n/e,n/e,1 (207),0 (307),6 (438),3 (625),2 (624)
Exits,Autism (single code),05990027,Males,50–54,n/e,n/e,0 (207),0 (307),1 (438),1 (625),4 (624)
Exits,Autism (single code),05990027,Males,55–59,n/e,n/e,1 (207),0 (307),2 (438),1 (625),2 (624)
Exits,Autism (single code),05990027,Males,60–64,n/e,n/e,0 (207),0 (307),1 (438),2 (625),2 (624)
Exits,Autism (single code),05990027,Males,65–69,n/e,n/e,0 (207),0 (307),0 (438),1 (625),1 (624)
Exits,Autism (single code),05990027,Males,70–74,n/e,n/e,0 (207),0 (307),0 (438),1 (625),0 (624)
Exits,Autism (single code),05990027,Males,75–79,n/e,n/e,0 (207),0 (307),1 (438),2 (625),1 (624)
Exits,Autism (single code),05990027,Males,80+,n/e,n/e,0 (207),0 (307),0 (438),3 (625),0 (624)
Exits,Autism (single code),05990027,Males,Total,n/e,n/e,382 (207),632 (307),"1,350 (438)","2,331 (625)","2,341 (624)"
Exits,Autism (single code),05990027,Females,0–4,n/e,n/e,17 (207),22 (307),45 (438),60 (625),51 (624)
Exits,Autism (single code),05990027,Females,5–9,n/e,n/e,24 (207),84 (307),154 (438),280 (625),296 (624)
Exits,Autism (single code),05990027,Females,10–14,n/e,n/e,21 (207),39 (307),114 (438),278 (625),290 (624)
Exits,Autism (single code),05990027,Females,15–19,n/e,n/e,20 (207),29 (307),110 (438),222 (625),251 (624)
Exits,Autism (single code),05990027,Females,20–24,n/e,n/e,7 (207),5 (307),12 (438),57 (625),50 (624)
Exits,Autism (single code),05990027,Females,25–29,n/e,n/e,4 (207),0 (307),10 (438),24 (625),21 (624)
Exits,Autism (single code),05990027,Females,30–34,n/e,n/e,6 (207),4 (307),5 (438),20 (625),19 (624)
Exits,Autism (single code),05990027,Females,35–39,n/e,n/e,2 (207),1 (307),2 (438),11 (625),18 (624)
Exits,Autism (single code),05990027,Females,40–44,n/e,n/e,3 (207),0 (307),3 (438),11 (625),7 (624)
Exits,Autism (single code),05990027,Females,45–49,n/e,n/e,4 (207),1 (307),2 (438),2 (625),6 (624)
Exits,Autism (single code),05990027,Females,50–54,n/e,n/e,2 (207),0 (307),3 (438),5 (625),5 (624)
Exits,Autism (single code),05990027,Females,55–59,n/e,n/e,1 (207),3 (307),1 (438),3 (625),3 (624)
Exits,Autism (single code),05990027,Females,60–64,n/e,n/e,1 (207),1 (307),1 (438),4 (625),1 (624)
Exits,Autism (single code),05990027,Females,65–69,n/e,n/e,0 (207),10 (307),2 (438),2 (625),2 (624)
Exits,Autism (single code),05990027,Females,70–74,n/e,n/e,0 (207),0 (307),0 (438),3 (625),4 (624)
Exits,Autism (single code),05990027,Females,75–79,n/e,n/e,0 (207),0 (307),0 (438),2 (625),1 (624)
Exits,Autism (single code),05990027,Females,80+,n/e,n/e,0 (207),0 (307),0 (438),1 (625),1 (624)
Exits,Autism (single code),05990027,Females,Total,n/e,n/e,112 (207),199 (307),464 (438),984 (625),"1,026 (624)"
Exits,Asperger syndrome,05990028,Males,0–4,n/e,n/e,7 (150),5 (181),5 (195),8 (220),23 (168)
Exits,Asperger syndrome,05990028,Males,5–9,n/e,n/e,69 (150),55 (181),65 (195),62 (220),53 (168)
Exits,Asperger syndrome,05990028,Males,10–14,n/e,n/e,54 (150),85 (181),89 (195),88 (220),82 (168)
Exits,Asperger syndrome,05990028,Males,15–19,n/e,n/e,52 (150),97 (181),88 (195),111 (220),75 (168)
Exits,Asperger syndrome,05990028,Males,20–24,n/e,n/e,8 (150),13 (181),22 (195),37 (220),20 (168)
Exits,Asperger syndrome,05990028,Males,25–29,n/e,n/e,4 (150),7 (181),16 (195),14 (220),8 (168)
Exits,Asperger syndrome,05990028,Males,30–34,n/e,n/e,0 (150),4 (181),10 (195),6 (220),5 (168)
Exits,Asperger syndrome,05990028,Males,35–39,n/e,n/e,2 (150),0 (181),8 (195),6 (220),1 (168)
Exits,Asperger syndrome,05990028,Males,40–44,n/e,n/e,0 (150),0 (181),0 (195),3 (220),1 (168)
Exits,Asperger syndrome,05990028,Males,45–49,n/e,n/e,1 (150),0 (181),2 (195),2 (220),1 (168)
Exits,Asperger syndrome,05990028,Males,50–54,n/e,n/e,0 (150),0 (181),1 (195),0 (220),0 (168)
Exits,Asperger syndrome,05990028,Males,55–59,n/e,n/e,0 (150),0 (181),1 (195),2 (220),3 (168)
Exits,Asperger syndrome,05990028,Males,60–64,n/e,n/e,0 (150),0 (181),1 (195),0 (220),2 (168)
Exits,Asperger syndrome,05990028,Males,65–69,n/e,n/e,0 (150),0 (181),1 (195),1 (220),1 (168)
Exits,Asperger syndrome,05990028,Males,70–74,n/e,n/e,0 (150),0 (181),3 (195),0 (220),1 (168)
Exits,Asperger syndrome,05990028,Males,75–79,n/e,n/e,0 (150),0 (181),0 (195),0 (220),0 (168)
Exits,Asperger syndrome,05990028,Males,80+,n/e,n/e,0 (150),11 (181),0 (195),0 (220),0 (168)
Exits,Asperger syndrome,05990028,Males,Total,n/e,n/e,197 (150),277 (181),312 (195),340 (220),276 (168)
Exits,Asperger syndrome,05990028,Females,0–4,n/e,n/e,0 (150),3 (181),3 (195),0 (220),10 (168)
Exits,Asperger syndrome,05990028,Females,5–9,n/e,n/e,12 (150),13 (181),7 (195),16 (220),23 (168)
Exits,Asperger syndrome,05990028,Females,10–14,n/e,n/e,22 (150),21 (181),29 (195),37 (220),36 (168)
Exits,Asperger syndrome,05990028,Females,15–19,n/e,n/e,12 (150),23 (181),27 (195),50 (220),47 (168)
Exits,Asperger syndrome,05990028,Females,20–24,n/e,n/e,6 (150),8 (181),14 (195),22 (220),10 (168)
Exits,Asperger syndrome,05990028,Females,25–29,n/e,n/e,1 (150),3 (181),8 (195),2 (220),6 (168)
Exits,Asperger syndrome,05990028,Females,30–34,n/e,n/e,1 (150),1 (181),9 (195),3 (220),4 (168)
Exits,Asperger syndrome,05990028,Females,35–39,n/e,n/e,0 (150),0 (181),4 (195),1 (220),0 (168)
Exits,Asperger syndrome,05990028,Females,40–44,n/e,n/e,2 (150),0 (181),3 (195),1 (220),0 (168)
Exits,Asperger syndrome,05990028,Females,45–49,n/e,n/e,0 (150),0 (181),4 (195),1 (220),3 (168)
Exits,Asperger syndrome,05990028,Females,50–54,n/e,n/e,0 (150),0 (181),1 (195),1 (220),0 (168)
Exits,Asperger syndrome,05990028,Females,55–59,n/e,n/e,1 (150),1 (181),4 (195),0 (220),1 (168)
Exits,Asperger syndrome,05990028,Females,60–64,n/e,n/e,0 (150),0 (181),4 (195),1 (220),2 (168)
Exits,Asperger syndrome,05990028,Females,65–69,n/e,n/e,0 (150),10 (181),3 (195),0 (220),2 (168)
Exits,Asperger syndrome,05990028,Females,70–74,n/e,n/e,1 (150),0 (181),0 (195),1 (220),3 (168)
Exits,Asperger syndrome,05990028,Females,75–79,n/e,n/e,0 (150),0 (181),2 (195),0 (220),1 (168)
Exits,Asperger syndrome,05990028,Females,80+,n/e,n/e,0 (150),0 (181),0 (195),0 (220),0 (168)
Exits,Asperger syndrome,05990028,Females,Total,n/e,n/e,58 (150),83 (181),122 (195),136 (220),148 (168)
Exits,Rett syndrome,05990029,Males,0–4,n/e,n/e,4 (29),0 (17),2 (17),8 (9),0 (9)
Exits,Rett syndrome,05990029,Males,5–9,n/e,n/e,6 (29),0 (17),3 (17),3 (9),0 (9)
Exits,Rett syndrome,05990029,Males,10–14,n/e,n/e,4 (29),0 (17),3 (17),4 (9),4 (9)
Exits,Rett syndrome,05990029,Males,15–19,n/e,n/e,1 (29),0 (17),4 (17),1 (9),0 (9)
Exits,Rett syndrome,05990029,Males,20–24,n/e,n/e,1 (29),2 (17),0 (17),0 (9),0 (9)
Exits,Rett syndrome,05990029,Males,25–29,n/e,n/e,0 (29),0 (17),0 (17),0 (9),0 (9)
Exits,Rett syndrome,05990029,Males,30–34,n/e,n/e,2 (29),1 (17),1 (17),2 (9),0 (9)
Exits,Rett syndrome,05990029,Males,35–39,n/e,n/e,1 (29),0 (17),0 (17),0 (9),1 (9)
Exits,Rett syndrome,05990029,Males,40–44,n/e,n/e,0 (29),0 (17),2 (17),1 (9),2 (9)
Exits,Rett syndrome,05990029,Males,45–49,n/e,n/e,0 (29),0 (17),0 (17),0 (9),0 (9)
Exits,Rett syndrome,05990029,Males,50–54,n/e,n/e,1 (29),0 (17),0 (17),2 (9),0 (9)
Exits,Rett syndrome,05990029,Males,55–59,n/e,n/e,0 (29),0 (17),0 (17),3 (9),0 (9)
Exits,Rett syndrome,05990029,Males,60–64,n/e,n/e,0 (29),1 (17),0 (17),1 (9),0 (9)
Exits,Rett syndrome,05990029,Males,65–69,n/e,n/e,1 (29),0 (17),0 (17),0 (9),0 (9)
Exits,Rett syndrome,05990029,Males,70–74,n/e,n/e,1 (29),0 (17),0 (17),0 (9),0 (9)
Exits,Rett syndrome,05990029,Males,75–79,n/e,n/e,0 (29),0 (17),1 (17),0 (9),0 (9)
Exits,Rett syndrome,05990029,Males,80+,n/e,n/e,0 (29),0 (17),0 (17),3 (9),0 (9)
Exits,Rett syndrome,05990029,Males,Total,n/e,n/e,22 (29),4 (17),16 (17),28 (9),7 (9)
Exits,Rett syndrome,05990029,Females,0–4,n/e,n/e,2 (29),0 (17),0 (17),0 (9),0 (9)
Exits,Rett syndrome,05990029,Females,5–9,n/e,n/e,7 (29),0 (17),0 (17),1 (9),2 (9)
Exits,Rett syndrome,05990029,Females,10–14,n/e,n/e,9 (29),0 (17),1 (17),1 (9),1 (9)
Exits,Rett syndrome,05990029,Females,15–19,n/e,n/e,4 (29),1 (17),5 (17),4 (9),1 (9)
Exits,Rett syndrome,05990029,Females,20–24,n/e,n/e,2 (29),2 (17),0 (17),3 (9),1 (9)
Exits,Rett syndrome,05990029,Females,25–29,n/e,n/e,4 (29),0 (17),0 (17),9 (9),0 (9)
Exits,Rett syndrome,05990029,Females,30–34,n/e,n/e,7 (29),1 (17),0 (17),2 (9),1 (9)
Exits,Rett syndrome,05990029,Females,35–39,n/e,n/e,4 (29),1 (17),0 (17),4 (9),0 (9)
Exits,Rett syndrome,05990029,Females,40–44,n/e,n/e,0 (29),0 (17),0 (17),5 (9),0 (9)
Exits,Rett syndrome,05990029,Females,45–49,n/e,n/e,4 (29),0 (17),1 (17),2 (9),1 (9)
Exits,Rett syndrome,05990029,Females,50–54,n/e,n/e,3 (29),0 (17),1 (17),4 (9),0 (9)
Exits,Rett syndrome,05990029,Females,55–59,n/e,n/e,2 (29),0 (17),1 (17),1 (9),0 (9)
Exits,Rett syndrome,05990029,Females,60–64,n/e,n/e,0 (29),2 (17),0 (17),1 (9),0 (9)
Exits,Rett syndrome,05990029,Females,65–69,n/e,n/e,1 (29),12 (17),0 (17),1 (9),0 (9)
Exits,Rett syndrome,05990029,Females,70–74,n/e,n/e,2 (29),0 (17),0 (17),3 (9),0 (9)
Exits,Rett syndrome,05990029,Females,75–79,n/e,n/e,2 (29),0 (17),0 (17),1 (9),0 (9)
Exits,Rett syndrome,05990029,Females,80+,n/e,n/e,0 (29),1 (17),0 (17),1 (9),0 (9)
Exits,Rett syndrome,05990029,Females,Total,n/e,n/e,53 (29),20 (17),9 (17),43 (9),7 (9)
Exits,Childhood disintegrative disorder,05990030,Males,0–4,n/e,n/e,1 (17),1 (15),0 (10),1 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Males,5–9,n/e,n/e,3 (17),2 (15),1 (10),0 (8),1 (12)
Exits,Childhood disintegrative disorder,05990030,Males,10–14,n/e,n/e,1 (17),3 (15),1 (10),3 (8),1 (12)
Exits,Childhood disintegrative disorder,05990030,Males,15–19,n/e,n/e,0 (17),0 (15),1 (10),0 (8),5 (12)
