Flow,Category,Code,Sex,Age group,2019,2020,2021,2022,2023,2024,2025
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Males,5–9,n/e,n/e,375 (387),483 (492),809 (587),"1,112 (725)","1,050 (675)"
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Males,10–14,n/e,n/e,279 (387),364 (492),539 (587),935 (725),850 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Males,15–19,n/e,n/e,225 (387),278 (492),415 (587),681 (725),691 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Males,20–24,n/e,n/e,52 (387),53 (492),86 (587),169 (725),147 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Males,25–29,n/e,n/e,15 (387),23 (492),39 (587),61 (725),62 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Males,30–34,n/e,n/e,7 (387),9 (492),22 (587),32 (725),25 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Males,35–39,n/e,n/e,6 (387),7 (492),11 (587),45 (725),12 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Males,40–44,n/e,n/e,3 (387),4 (492),0 (587),21 (725),5 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Males,45–49,n/e,n/e,2 (387),0 (492),12 (587),11 (725),4 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Males,50–54,n/e,n/e,4 (387),1 (492),3 (587),10 (725),5 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Males,55–59,n/e,n/e,3 (387),0 (492),7 (587),5 (725),6 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Males,60–64,n/e,n/e,2 (387),1 (492),2 (587),9 (725),4 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Males,65–69,n/e,n/e,1 (387),0 (492),1 (587),3 (725),3 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Males,70–74,n/e,n/e,0 (387),0 (492),3 (587),1 (725),3 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Males,75–79,n/e,n/e,2 (387),1 (492),1 (587),2 (725),1 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Males,80+,n/e,n/e,3 (387),12 (492),0 (587),3 (725),0 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Males,Total,n/e,n/e,"1,078 (387)","1,352 (492)","2,141 (587)","3,291 (725)","3,046 (675)"
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Females,0–4,n/e,n/e,35 (387),37 (492),70 (587),79 (725),67 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Females,5–9,n/e,n/e,85 (387),136 (492),209 (587),343 (725),364 (675)
