ICD-10 category (3 characters),2019,2020,2021,2022,2023,2024,Total 2019–2024
Z81 — Family history of mental and behavioural disorders,27 (1.2%),40 (2.5%),41 (1.7%),66 (1.7%),139 (2.2%),228 (2.6%),541
D64 — Other anaemias,38 (1.6%),34 (2.1%),39 (1.6%),60 (1.6%),131 (2.0%),211 (2.4%),513
Z93,77 (3.3%),49 (3.0%),47 (2.0%),61 (1.6%),123 (1.9%),149 (1.7%),506
H50 — Other strabismus,55 (2.4%),29 (1.8%),61 (2.6%),73 (1.9%),124 (1.9%),158 (1.8%),500
R13,84 (3.6%),47 (2.9%),48 (2.0%),66 (1.7%),106 (1.7%),141 (1.6%),492
"X61 — Intentional self-poisoning by antiepileptic, sedative-hypnotic and psychotropic drugs",13 (0.6%),18 (1.1%),30 (1.3%),56 (1.5%),155 (2.4%),218 (2.5%),490
Z65 — Problems related to other psychosocial circumstances,25 (1.1%),28 (1.7%),36 (1.5%),54 (1.4%),125 (1.9%),204 (2.3%),472
Q53,39 (1.7%),21 (1.3%),34 (1.4%),74 (1.9%),110 (1.7%),186 (2.1%),464
R50 — Fever of other and unknown origin,38 (1.6%),39 (2.4%),70 (3.0%),74 (1.9%),114 (1.8%),129 (1.5%),464
L20 — Atopic dermatitis,25 (1.1%),17 (1.1%),31 (1.3%),62 (1.6%),129 (2.0%),195 (2.2%),459
B97 — Viral agents as the cause of diseases classified elsewhere,12 (0.5%),4 (0.2%),13 (0.5%),71 (1.8%),182 (2.8%),166 (1.9%),448
I10 — Essential (primary) hypertension,24 (1.0%),37 (2.3%),47 (2.0%),85 (2.2%),86 (1.3%),156 (1.8%),435
Z59,34 (1.5%),31 (1.9%),47 (2.0%),59 (1.5%),97 (1.5%),154 (1.8%),422
Z86 — Personal history of certain other diseases,24 (1.0%),22 (1.4%),45 (1.9%),39 (1.0%),120 (1.9%),171 (2.0%),421
Z60,28 (1.2%),31 (1.9%),25 (1.1%),50 (1.3%),102 (1.6%),179 (2.1%),415
N17,31 (1.3%),33 (2.1%),48 (2.0%),59 (1.5%),107 (1.7%),134 (1.5%),412
N39 — Other disorders of urinary system,37 (1.6%),42 (2.6%),54 (2.3%),54 (1.4%),98 (1.5%),115 (1.3%),400
Y83 — Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient,34 (1.5%),37 (2.3%),39 (1.6%),58 (1.5%),96 (1.5%),132 (1.5%),396
Z98 — Other postprocedural states,44 (1.9%),32 (2.0%),56 (2.4%),52 (1.3%),85 (1.3%),120 (1.4%),389
B34 — Viral infection of unspecified site,10 (0.4%),10 (0.6%),22 (0.9%),80 (2.1%),130 (2.0%),130 (1.5%),382
B95 — Streptococcus and staphylococcus as the cause of diseases classified elsewhere,26 (1.1%),20 (1.2%),35 (1.5%),57 (1.5%),92 (1.4%),141 (1.6%),371
E78 — Disorders of lipoprotein metabolism and other lipidaemias,13 (0.6%),20 (1.2%),40 (1.7%),72 (1.9%),98 (1.5%),123 (1.4%),366
F98 — Other behavioural and emotional disorders with onset in childhood,20 (0.9%),17 (1.1%),32 (1.4%),51 (1.3%),88 (1.4%),154 (1.8%),362
U07 — COVID-19,0 (0.0%),32 (2.0%),78 (3.3%),134 (3.5%),67 (1.0%),51 (0.6%),362
A08 — Viral and other specified intestinal infections,23 (1.0%),13 (0.8%),11 (0.5%),51 (1.3%),125 (1.9%),136 (1.6%),359
G80 — Cerebral palsy,60 (2.6%),41 (2.5%),42 (1.8%),46 (1.2%),86 (1.3%),80 (0.9%),355
R11 — Nausea and vomiting,22 (0.9%),28 (1.7%),34 (1.4%),40 (1.0%),95 (1.5%),131 (1.5%),350
Z97,35 (1.5%),33 (2.1%),33 (1.4%),59 (1.5%),82 (1.3%),107 (1.2%),349
J06 — Acute upper respiratory infections of multiple and unspecified sites,23 (1.0%),16 (1.0%),15 (0.6%),65 (1.7%),101 (1.6%),128 (1.5%),348
"J18 — Pneumonia, organism unspecified",33 (1.4%),20 (1.2%),24 (1.0%),46 (1.2%),84 (1.3%),124 (1.4%),331
T81,33 (1.4%),23 (1.4%),30 (1.3%),52 (1.3%),78 (1.2%),113 (1.3%),329
"T42 — Poisoning by antiepileptic, sedative-hypnotic and antiparkinsonism drugs",12 (0.5%),17 (1.1%),18 (0.8%),38 (1.0%),92 (1.4%),147 (1.7%),324
X78 — Intentional self-harm by sharp object,11 (0.5%),5 (0.3%),12 (0.5%),28 (0.7%),99 (1.5%),169 (1.9%),324
D70,25 (1.1%),29 (1.8%),37 (1.6%),39 (1.0%),97 (1.5%),96 (1.1%),323
F71 — Moderate mental retardation,33 (1.4%),47 (2.9%),38 (1.6%),61 (1.6%),68 (1.1%),75 (0.9%),322
Q90 — Down syndrome,38 (1.6%),17 (1.1%),34 (1.4%),48 (1.2%),64 (1.0%),116 (1.3%),317
F64,0 (0.0%),3 (0.2%),10 (0.4%),31 (0.8%),96 (1.5%),171 (2.0%),311
H91 — Other hearing loss,45 (1.9%),29 (1.8%),22 (0.9%),39 (1.0%),74 (1.2%),102 (1.2%),311
